['BV', 45, 'CV', 83, 'svn', 'tac', 'V3', 'V2', 0.6615540626188363, 0.8095417022705078]
['CV', 52, 'BV', 12, 'logname', 'sort', 'V2', 'V2', 0.5394230769230769, 0.061052560806274414]
['BV', 25, 'CV', 114, 'git', 'expr', 'V3', 'V3', 0.9731224319565016, 10.938086032867432]
['BV', 26, 'CV', 214, 'geany', 'ls', 'V2', 'V0', 0.951480384900074, 27.276808500289917]
['BV', 40, 'UV', 46, 'lua', 'diff', 'V2', 'V1', 0.4196833831506698, 0.6429688930511475]
['CV', 7, 'BV', 48, 'dir', 'gvmap', 'V2', 'V3', 0.3143487858719647, 0.25484776496887207]
['CV', 71, 'UV', 1, '[', 'xargs', 'V2', 'V2', 0.35060814383923855, 0.05246090888977051]
['UV', 50, 'CV', 291, 'find', 'pinky', 'V1', 'V1', 0.7196538936959209, 0.18833279609680176]
['BV', 54, 'CV', 41, 'lua', 'nice', 'V3', 'V2', 0.8611186165901108, 0.4307525157928467]
['CV', 134, 'BV', 43, 'od', 'lua', 'V3', 'V0', 0.672562358276644, 0.4543025493621826]
['CV', 287, 'UV', 37, 'date', 'locate', 'V1', 'V3', 0.5324580598103574, 0.1251366138458252]
['CV', 74, 'BV', 79, 'pathchk', 'bash', 'V2', 'V3', 0.9562916756291676, 3.369683027267456]
['CV', 28, 'BV', 65, 'chown', 'ssh', 'V2', 'V1', 0.9318593693367162, 5.57434868812561]
['UV', 55, 'CV', 113, 'ranlib', 'date', 'V1', 'V3', 0.8170614596670934, 1.293036937713623]
['CV', 35, 'BV', 9, 'sum', 'dot', 'V2', 'V2', 0.49882352941176467, 0.016541481018066406]
['CV', 307, 'BV', 72, 'cut', 'perl', 'V1', 'V1', 0.9663831915957979, 3.004598617553711]
['UV', 19, 'CV', 37, 'elfedit', 'seq', 'V2', 'V2', 0.14639814097598758, 0.028451204299926758]
['CV', 113, 'UV', 11, 'date', 'ranlib', 'V3', 'V2', 0.8158806932688432, 1.5556354522705078]
['CV', 240, 'BV', 53, 'link', 'ssh', 'V0', 'V2', 0.9762447993557911, 4.739592552185059]
['CV', 301, 'UV', 32, 'ls', 'addr2line', 'V1', 'V3', 0.7743085016120821, 1.6360578536987305]
['CV', 107, 'UV', 75, 'tee', 'readelf', 'V3', 'V0', 0.5859570911117303, 0.11515688896179199]
['CV', 337, 'BV', 52, 'comm', 'libSDL2-2.0.so', 'V1', 'V2', 0.9511966213045518, 5.318260192871094]
['CV', 54, 'BV', 12, 'false', 'sort', 'V2', 'V2', 0.5742379547689282, 0.05846977233886719]
['BV', 79, 'UV', 9, 'bash', 'readelf', 'V3', 'V2', 0.7292118170411771, 3.8984286785125732]
['CV', 254, 'UV', 83, 'uniq', 'addr2line', 'V0', 'V0', 0.8992255295325184, 1.12190842628479]
['BV', 32, 'CV', 296, 'perl', 'sum', 'V0', 'V1', 0.9581407077414474, 2.3369505405426025]
['BV', 47, 'UV', 2, 'dot', 'find', 'V3', 'V2', 0.8774509803921569, 0.16271042823791504]
['CV', 283, 'BV', 11, 'kill', 'bash', 'V1', 'V1', 0.9584432717678101, 2.92165470123291]
['CV', 157, 'BV', 38, 'vdir', 'ruby', 'V3', 'V2', 0.9172661870503597, 0.06507301330566406]
['BV', 12, 'CV', 336, 'sort', 'tr', 'V2', 'V1', 0.47830101569713757, 0.061541080474853516]
['BV', 76, 'CV', 202, 'diff', 'chown', 'V2', 'V0', 0.4825407382773528, 0.11191105842590332]
['CV', 263, 'BV', 69, 'unlink', 'gvmap', 'V1', 'V0', 0.755199454483464, 0.11199736595153809]
['UV', 54, 'CV', 204, 'as', 'pinky', 'V1', 'V0', 0.9354201753876532, 1.967411994934082]
['BV', 37, 'UV', 10, 'geany', 'as', 'V1', 'V2', 0.5030393103960764, 41.60551619529724]
['CV', 291, 'UV', 79, 'pinky', 'strings', 'V1', 'V0', 0.8939988782950085, 1.1232473850250244]
['BV', 36, 'CV', 75, 'libvlc.so', 'tr', 'V2', 'V2', 0.7499065420560748, 0.38932013511657715]
['CV', 303, 'BV', 10, 'dircolors', 'gvmap', 'V1', 'V2', 0.7112676056338029, 0.14581036567687988]
['BV', 4, 'CV', 13, 'geany', 'join', 'V3', 'V2', 0.9736413137724136, 29.671878576278687]
['BV', 14, 'UV', 85, 'openssl', 'elfedit', 'V3', 'V0', 0.9296737441740031, 6.761172771453857]
['UV', 10, 'CV', 226, 'as', 'logname', 'V2', 'V0', 0.9587544546357423, 1.9211444854736328]
['CV', 199, 'BV', 5, 'expand', 'libvlccore.so', 'V0', 'V0', 0.9549519708512753, 3.577350616455078]
['BV', 17, 'CV', 105, 'codeblocks', 'pwd', 'V2', 'V3', 0.9624428046232378, 12.560844898223877]
['UV', 0, 'CV', 212, 'locate', 'split', 'V2', 'V0', 0.4421621621621621, 0.054842472076416016]
['CV', 1, 'UV', 11, 'stat', 'ranlib', 'V2', 'V2', 0.8975568660488626, 1.3664467334747314]
['BV', 12, 'UV', 53, 'sort', 'readelf', 'V2', 'V1', 0.31884372962399476, 0.18706965446472168]
['BV', 76, 'CV', 100, 'diff', 'join', 'V2', 'V3', 0.3938260056127222, 0.11390042304992676]
['UV', 83, 'CV', 294, 'addr2line', 'sync', 'V0', 'V1', 0.9329534662867996, 1.75350022315979]
['UV', 52, 'CV', 118, 'strip', 'sha1sum', 'V1', 'V3', 0.8973548608725523, 1.5279345512390137]
['CV', 28, 'BV', 56, 'chown', 'ssh', 'V2', 'V3', 0.8685732443597076, 2.1106581687927246]
['UV', 61, 'CV', 25, 'addr2line', 'expand', 'V1', 'V2', 0.9070098868798432, 1.0551424026489258]
['BV', 61, 'CV', 37, 'cmp', 'seq', 'V0', 'V2', 0.27497425334706493, 0.018622875213623047]
['CV', 174, 'BV', 3, 'touch', 'diff', 'V0', 'V1', 0.5188866799204771, 0.08898401260375977]
['CV', 330, 'UV', 62, 'csplit', 'ar', 'V1', 'V1', 0.7776559931104674, 1.6080772876739502]
['BV', 75, 'CV', 119, 'cmp', 'paste', 'V2', 'V3', 0.15568022440392704, 0.03329300880432129]
['BV', 83, 'UV', 55, 'git', 'ranlib', 'V2', 'V1', 0.6315062931384491, 14.1324462890625]
['BV', 23, 'CV', 188, 'diff', 'dirname', 'V3', 'V0', 0.7257448433919023, 0.08415365219116211]
['UV', 40, 'CV', 23, 'diff3', 'wc', 'V3', 'V2', 0.21229698375870076, 0.04702591896057129]
['UV', 11, 'CV', 273, 'ranlib', 'stty', 'V2', 'V1', 0.9041339081917322, 1.2199642658233643]
['UV', 62, 'CV', 338, 'ar', 'nl', 'V1', 'V1', 0.8092430278884463, 1.284062385559082]
['CV', 265, 'UV', 25, 'basename', 'as', 'V1', 'V3', 0.9548134742249985, 2.1638994216918945]
['BV', 19, 'UV', 11, 'cp', 'ranlib', 'V3', 'V2', 0.6944090056285178, 1.9805891513824463]
['CV', 253, 'UV', 37, 'fold', 'locate', 'V0', 'V3', 0.673436877737953, 0.11040925979614258]
['BV', 68, 'CV', 61, 'dot', 'ginstall', 'V0', 'V2', 0.7607655502392344, 0.0605471134185791]
['CV', 159, 'BV', 70, 'id', 'ssh', 'V3', 'V0', 0.94782489458709, 4.836322069168091]
['BV', 14, 'CV', 81, 'openssl', 'sleep', 'V3', 'V2', 0.9444763346031415, 6.774659633636475]
['BV', 37, 'CV', 242, 'geany', 'cat', 'V1', 'V0', 0.9840166509582156, 23.506129503250122]
['CV', 121, 'BV', 78, 'echo', 'make', 'V3', 'V2', 0.7760633036597429, 0.25722765922546387]
['UV', 46, 'CV', 318, 'diff', 'who', 'V1', 'V1', 0.6425452276980661, 0.10624408721923828]
['BV', 17, 'CV', 53, 'codeblocks', 'tty', 'V2', 'V2', 0.9746640053226879, 12.30233907699585]
['UV', 29, 'BV', 48, 'objcopy', 'gvmap', 'V3', 'V3', 0.6263778518328633, 1.9659514427185059]
['CV', 143, 'UV', 33, 'yes', 'ar', 'V3', 'V3', 0.8995465046633011, 1.3108274936676025]
