['UV', 58, 'BV', 31, 'objcopy', 'codeblocks', 'V1', 'V0', 0.4508209981396101, 40.878821849823]
['BV', 21, 'CV', 87, 'cp', 'touch', 'V1', 'V3', 0.09783089862771144, 0.07380151748657227]
['CV', 169, 'BV', 4, 'sort', 'geany', 'V3', 'V3', 0.9277753311426539, 46.56932091712952]
['CV', 275, 'UV', 38, 'dirname', 'xargs', 'V1', 'V3', 0.5511163337250293, 0.06434178352355957]
['CV', 164, 'BV', 33, 'nl', 'openssl', 'V3', 'V0', 0.9659468827579746, 8.779551029205322]
['CV', 285, 'UV', 73, 'factor', 'nm', 'V1', 'V0', 0.9208673091178651, 1.147796630859375]
['BV', 57, 'CV', 199, 'svn', 'expand', 'V2', 'V0', 0.8476261962844811, 0.433941125869751]
['CV', 259, 'BV', 24, 'mknod', 'git', 'V0', 'V0', 0.977257233236072, 4.875641584396362]
['UV', 75, 'BV', 24, 'readelf', 'git', 'V0', 'V0', 0.8547091625313348, 7.362727165222168]
['UV', 4, 'CV', 64, 'cmp', 'md5sum', 'V2', 'V2', 0.14349442379182153, 0.035324811935424805]
['BV', 36, 'CV', 67, 'libvlc.so', 'uname', 'V2', 'V2', 0.8152173913043478, 0.3911595344543457]
['CV', 34, 'BV', 28, 'echo', 'openssl', 'V2', 'V1', 0.9797583485665879, 8.866775751113892]
['BV', 10, 'CV', 188, 'gvmap', 'dirname', 'V2', 'V0', 0.7813072693952352, 0.12782955169677734]
['BV', 37, 'CV', 340, 'geany', 'fold', 'V1', 'V1', 0.9834324637339772, 25.320696592330933]
['CV', 253, 'BV', 76, 'fold', 'diff', 'V0', 'V2', 0.6886363636363636, 0.09959101676940918]
['UV', 19, 'CV', 328, 'elfedit', 'uname', 'V2', 'V1', 0.3044315992292871, 0.022921323776245117]
['UV', 38, 'BV', 56, 'xargs', 'ssh', 'V3', 'V3', 0.8356745957420241, 2.846641778945923]
['CV', 226, 'BV', 12, 'logname', 'sort', 'V0', 'V2', 0.638689866939611, 0.05937385559082031]
['CV', 305, 'BV', 82, 'true', 'gvmap', 'V1', 'V1', 0.7961194949183862, 0.1389164924621582]
['BV', 16, 'UV', 44, 'libvlc.so', 'diff3', 'V3', 'V1', 0.655148095909732, 0.4683079719543457]
['CV', 190, 'BV', 71, 'dd', 'ruby', 'V0', 'V1', 0.7887485648679678, 0.016237258911132812]
['CV', 142, 'BV', 3, 'nohup', 'diff', 'V3', 'V1', 0.47267128560431093, 0.09293770790100098]
