['UV', 20, 'CV', 175, 'size', 'stat', 'V2', 'V0', 0.9065102534252709, 1.1837191581726074]
['BV', 61, 'CV', 45, 'cmp', 'cp', 'V0', 'V2', 0.6578057032382794, 0.0742499828338623]
['BV', 20, 'CV', 35, 'sort', 'sum', 'V1', 'V2', 0.28760806916426507, 0.052696943283081055]
['CV', 183, 'BV', 67, 'users', 'cluster', 'V0', 'V0', 0.696484510964149, 0.12520718574523926]
['CV', 124, 'UV', 45, 'seq', 'cmp', 'V3', 'V1', 0.10006626905235261, 0.04003477096557617]
['CV', 126, 'UV', 69, 'whoami', 'sdiff', 'V3', 'V0', 0.29631940112289457, 0.04223227500915527]
['UV', 0, 'CV', 287, 'locate', 'date', 'V2', 'V1', 0.3512145748987854, 0.06881856918334961]
['CV', 330, 'UV', 54, 'csplit', 'as', 'V1', 'V1', 0.842946413758779, 2.742277145385742]
['CV', 285, 'BV', 51, 'factor', 'cp', 'V1', 'V0', 0.4436482084690554, 0.041779279708862305]
['BV', 52, 'CV', 254, 'libSDL2-2.0.so', 'uniq', 'V2', 'V0', 0.9438990182328191, 5.344791412353516]
['CV', 128, 'BV', 31, 'nice', 'codeblocks', 'V3', 'V0', 0.9665112686546578, 14.642951965332031]
['CV', 145, 'BV', 17, 'readlink', 'codeblocks', 'V3', 'V2', 0.9578858484840489, 16.12777090072632]
['UV', 83, 'BV', 72, 'addr2line', 'perl', 'V0', 'V1', 0.48676181350547176, 9.346091270446777]
['CV', 213, 'UV', 17, 'whoami', 'addr2line', 'V0', 'V2', 0.9342201166180758, 1.2400264739990234]
['CV', 49, 'UV', 24, 'tsort', 'readelf', 'V2', 'V3', 0.8228371501272265, 0.3198847770690918]
['UV', 48, 'BV', 39, 'locate', 'svn', 'V1', 'V1', 0.4589486119314825, 0.759575366973877]
['UV', 11, 'CV', 125, 'ranlib', 'split', 'V2', 'V3', 0.8229343691834587, 1.3965632915496826]
['UV', 12, 'CV', 127, 'c++filt', 'ls', 'V2', 'V3', 0.6633883248730964, 1.550593614578247]
['UV', 61, 'CV', 188, 'addr2line', 'dirname', 'V1', 'V0', 0.9351048445408532, 1.0933592319488525]
['CV', 310, 'BV', 49, 'tsort', 'make', 'V1', 'V3', 0.8315343099460293, 0.28330421447753906]
['BV', 67, 'CV', 24, 'cluster', 'factor', 'V0', 'V2', 0.6394763343403826, 0.11389899253845215]
['CV', 19, 'UV', 29, 'pr', 'objcopy', 'V2', 'V3', 0.8717910888167602, 1.7709589004516602]
['UV', 26, 'CV', 123, 'ranlib', 'chroot', 'V3', 'V3', 0.8691588785046729, 1.3094747066497803]
['UV', 55, 'CV', 274, 'ranlib', 'join', 'V1', 'V1', 0.8959585838343354, 1.2703046798706055]
['CV', 122, 'UV', 52, 'sum', 'strip', 'V3', 'V1', 0.8926735658967857, 1.9534366130828857]
['UV', 66, 'CV', 172, 'diff3', 'mknod', 'V0', 'V3', 0.1941923774954628, 0.0436098575592041]
['BV', 58, 'UV', 1, 'ruby', 'xargs', 'V3', 'V2', 0.8653986832479883, 0.032225847244262695]
['BV', 66, 'UV', 55, 'lua', 'ranlib', 'V1', 'V1', 0.31033688453786357, 3.6724941730499268]
['BV', 56, 'CV', 316, 'ssh', 'nohup', 'V3', 'V1', 0.938550801081295, 1.639167070388794]
['CV', 196, 'BV', 9, 'kill', 'dot', 'V0', 'V2', 0.35572519083969467, 0.013046503067016602]
['CV', 54, 'BV', 44, 'false', 'make', 'V2', 'V0', 0.8066964285714285, 0.20942473411560059]
['UV', 24, 'CV', 25, 'readelf', 'expand', 'V3', 'V2', 0.8330401407324485, 0.280437707901001]
['CV', 128, 'UV', 69, 'nice', 'sdiff', 'V3', 'V0', 0.27876923076923077, 0.04274487495422363]
['UV', 23, 'CV', 115, 'strip', 'chown', 'V3', 'V3', 0.8225957049486461, 1.6208927631378174]
['CV', 262, 'UV', 63, 'stat', 'elfedit', 'V1', 'V1', 0.18474576271186438, 0.030335664749145508]
['CV', 95, 'BV', 48, 'du', 'gvmap', 'V3', 'V3', 0.23951342281879195, 0.2703094482421875]
['UV', 15, 'CV', 25, 'ld', 'expand', 'V2', 'V2', 0.9360803281699627, 1.9655637741088867]
['UV', 2, 'BV', 39, 'find', 'svn', 'V2', 'V1', 0.22782691847956016, 0.9942934513092041]
['CV', 319, 'UV', 13, 'readlink', 'strings', 'V1', 'V2', 0.9221110100090992, 1.2574536800384521]
['CV', 269, 'UV', 75, 'du', 'readelf', 'V1', 'V0', 0.4427228854457709, 0.16348791122436523]
