['UO', 21, 'CO', 95, 'sdiff', 'sha224sum', 'O1', 'O3', 0.2002275312855517, 0.05336761474609375]
['CO', 321, 'UO', 0, 'du', 'locate', 'O0', 'O1', 0.0972160848431286, 0.358548641204834]
['CO', 183, 'BO', 19, 'link', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.9558835389950803, 7.140371084213257]
['BO', 70, 'CO', 42, 'diff', 'sum', 'O3', 'O3', 0.485207100591716, 0.11589527130126953]
['UO', 2, 'CO', 10, 'find', 'users', 'O1', 'O3', 0.7774431057563588, 0.4773976802825928]
['BO', 38, 'CO', 305, 'acyclic', 'uniq', 'O2', 'O2', 0.49284253578732107, 0.02330636978149414]
['CO', 21, 'BO', 40, 'mktemp', 'lua', 'O3', 'O0', 0.8282454208787909, 1.094221591949463]
['CO', 344, 'BO', 36, 'expr', 'cluster', 'O0', 'O2', 0.4440550013480722, 0.21301031112670898]
['BO', 41, 'CO', 326, 'libSDL2-2.0.so.0.16.0', 'stty', 'O2', 'O0', 0.9054531378526153, 7.401983976364136]
['CO', 266, 'UO', 4, 'df', 'strip', 'O2', 'O1', 0.8120638430180336, 2.40329909324646]
['UO', 3, 'CO', 45, 'nm', 'split', 'O1', 'O3', 0.8204644293099204, 1.5099103450775146]
['CO', 197, 'UO', 21, 'nl', 'sdiff', 'O1', 'O1', 0.19081272084805656, 0.05717921257019043]
['UO', 63, 'CO', 104, 'cmp', 'sha384sum', 'O3', 'O1', 0.10600945307224852, 0.04676389694213867]
['BO', 2, 'CO', 116, 'perl', 'ptx', 'O1', 'O1', 0.9419284149013879, 3.5622615814208984]
['BO', 32, 'CO', 82, 'ruby', 'shuf', 'O2', 'O3', 0.9648208909785881, 20.639368057250977]
['UO', 46, 'BO', 72, 'readelf', 'make', 'O3', 'O2', 0.12310159418922739, 0.7572801113128662]
['UO', 73, 'CO', 172, 'objcopy', 'yes', 'O0', 'O1', 0.9438219184965579, 3.603482246398926]
['CO', 69, 'UO', 10, 'who', 'objcopy', 'O3', 'O1', 0.8785187307499462, 2.0011634826660156]
['CO', 299, 'UO', 2, 'comm', 'find', 'O2', 'O1', 0.793033479878255, 0.5534374713897705]
['CO', 214, 'BO', 62, 'mkdir', 'bash', 'O2', 'O1', 0.937088575952004, 4.308506011962891]
['CO', 173, 'UO', 8, 'who', 'c++filt', 'O1', 'O1', 0.8611255411255411, 1.6178984642028809]
['BO', 81, 'UO', 31, 'sort', 'c++filt', 'O3', 'O2', 0.6611423974255832, 1.9280211925506592]
['UO', 43, 'CO', 281, 'find', 'hostid', 'O2', 'O2', 0.8357155780712864, 0.4313774108886719]
['UO', 80, 'CO', 289, 'objdump', 'cat', 'O0', 'O2', 0.9574518943468387, 5.259648323059082]
['UO', 73, 'BO', 66, 'objcopy', 'svn', 'O0', 'O2', 0.5529789368104313, 6.456467866897583]
['UO', 28, 'CO', 324, 'readelf', 'ptx', 'O2', 'O0', 0.6186979240220308, 0.42299437522888184]
['UO', 17, 'CO', 266, 'objdump', 'df', 'O1', 'O2', 0.8535587380208894, 3.00039005279541]
['UO', 6, 'CO', 5, 'as', 'basename', 'O1', 'O3', 0.9331779331779332, 2.4664089679718018]
['BO', 35, 'CO', 226, 'make', 'uptime', 'O3', 'O2', 0.7345746622855056, 0.32390642166137695]
