['BV', 20, 'CV', 106, 'sort', 'pr', 'V1', 'V3', 0.0881701373504652, 0.07169461250305176]
['UV', 58, 'BV', 10, 'objcopy', 'gvmap', 'V1', 'V2', 0.6513783412067213, 2.2877609729766846]
['CV', 172, 'UV', 42, 'mknod', 'diff', 'V3', 'V3', 0.5372575706022457, 0.12098884582519531]
['UV', 36, 'CV', 169, 'objdump', 'sort', 'V3', 'V3', 0.7738712262890729, 2.8663971424102783]
['BV', 62, 'CV', 44, 'diff', 'true', 'V0', 'V2', 0.4798798798798799, 0.04536890983581543]
['CV', 6, 'UV', 86, 'fmt', 'size', 'V2', 'V0', 0.9097333761644716, 1.180304765701294]
['CV', 5, 'BV', 7, 'mkdir', 'libSDL2-2.0.so', 'V2', 'V0', 0.8941056218057921, 4.549139976501465]
['CV', 126, 'UV', 41, 'whoami', 'cmp', 'V3', 'V3', 0.17998506348020915, 0.03323030471801758]
['UV', 60, 'CV', 199, 'gprof', 'expand', 'V1', 'V0', 0.9319943328610718, 1.229802131652832]
['BV', 17, 'CV', 257, 'codeblocks', 'tac', 'V2', 'V0', 0.9364250854712007, 13.751701354980469]
['UV', 53, 'CV', 99, 'readelf', 'stty', 'V1', 'V3', 0.5455012853470437, 0.12830495834350586]
['UV', 8, 'CV', 260, 'strip', 'ln', 'V2', 'V0', 0.9153297682709447, 1.5492615699768066]
['CV', 289, 'BV', 83, 'chown', 'git', 'V1', 'V2', 0.9676383012067075, 10.560879945755005]
['BV', 65, 'CV', 191, 'ssh', 'mkfifo', 'V1', 'V0', 0.9742734956392901, 4.6383585929870605]
['CV', 323, 'BV', 59, 'unexpand', 'make', 'V1', 'V1', 0.8256367778007869, 0.2565479278564453]
['UV', 73, 'CV', 88, 'nm', 'stat', 'V0', 'V3', 0.7818650623119897, 1.3206238746643066]
['CV', 129, 'BV', 56, 'dircolors', 'ssh', 'V3', 'V3', 0.9048976418761338, 2.0431253910064697]
['CV', 311, 'UV', 69, 'cksum', 'sdiff', 'V1', 'V0', 0.4602720114531138, 0.03455233573913574]
['CV', 277, 'UV', 2, 'dd', 'find', 'V1', 'V2', 0.6321243523316062, 0.2564356327056885]
['UV', 21, 'CV', 23, 'objdump', 'wc', 'V2', 'V2', 0.9102992208472468, 1.949082851409912]
['UV', 36, 'CV', 150, 'objdump', 'mv', 'V3', 'V3', 0.7540689072077785, 2.906587839126587]
['BV', 69, 'CV', 252, 'gvmap', 'rm', 'V0', 'V0', 0.5479616306954437, 0.14072084426879883]
['CV', 347, 'BV', 14, 'ln', 'openssl', 'V1', 'V3', 0.9372985338463138, 8.472814559936523]
['UV', 17, 'CV', 14, 'addr2line', 'dirname', 'V2', 'V2', 0.9127849355797819, 1.1841461658477783]
['BV', 25, 'CV', 259, 'git', 'mknod', 'V3', 'V0', 0.9870265225169168, 12.054253101348877]
['CV', 136, 'UV', 80, 'tsort', 'objcopy', 'V3', 'V0', 0.8960909025941542, 1.765451192855835]
['BV', 74, 'CV', 40, 'git', 'ls', 'V1', 'V2', 0.9263032850550555, 6.960085868835449]
['CV', 264, 'UV', 67, 'test', 'cmp', 'V1', 'V0', 0.2522596548890714, 0.029984235763549805]
['BV', 22, 'CV', 39, 'cmp', 'whoami', 'V3', 'V2', 0.23771152296535059, 0.029348134994506836]
['CV', 271, 'BV', 19, 'ptx', 'cp', 'V1', 'V3', 0.243001786777844, 0.13485121726989746]
['BV', 58, 'CV', 84, 'ruby', 'rmdir', 'V3', 'V2', 0.7348703170028819, 0.010802745819091797]
['BV', 5, 'CV', 21, 'libvlccore.so', 'chgrp', 'V0', 'V2', 0.8929812369701181, 3.8187601566314697]
['UV', 44, 'CV', 277, 'diff3', 'dd', 'V1', 'V1', 0.14141978759083285, 0.053063154220581055]
['CV', 37, 'BV', 71, 'seq', 'ruby', 'V2', 'V1', 0.7404795486600846, 0.010536432266235352]
['BV', 75, 'CV', 247, 'cmp', 'shred', 'V2', 'V0', 0.05922396187882917, 0.04492545127868652]
['CV', 83, 'UV', 11, 'tac', 'ranlib', 'V2', 'V2', 0.7873353435962546, 1.721848487854004]
['CV', 215, 'UV', 7, 'nice', 'nm', 'V0', 'V2', 0.9306957220684112, 1.3185486793518066]
['BV', 83, 'CV', 161, 'git', 'pathchk', 'V2', 'V3', 0.9735533942430494, 8.755757808685303]
['UV', 17, 'CV', 4, 'addr2line', 'basename', 'V2', 'V2', 0.9122680598090435, 1.166132926940918]
['UV', 44, 'CV', 246, 'diff3', 'id', 'V1', 'V0', 0.3769123783031989, 0.03681445121765137]
['BV', 57, 'CV', 197, 'svn', 'wc', 'V2', 'V0', 0.835228331780056, 0.4581151008605957]
['CV', 128, 'UV', 31, 'nice', 'gprof', 'V3', 'V3', 0.8978973927670311, 1.439239501953125]
['UV', 1, 'BV', 43, 'xargs', 'lua', 'V2', 'V0', 0.6254042928550426, 0.5261063575744629]
['BV', 24, 'UV', 86, 'git', 'size', 'V0', 'V0', 0.5231389165835826, 9.370746850967407]
['CV', 319, 'UV', 2, 'readlink', 'find', 'V1', 'V2', 0.7790967741935484, 0.20595169067382812]
['CV', 102, 'BV', 45, 'uptime', 'svn', 'V3', 'V3', 0.7718610623057169, 1.0174708366394043]
['UV', 74, 'CV', 4, 'strip', 'basename', 'V0', 'V2', 0.9291790881989385, 1.4666857719421387]
['CV', 307, 'UV', 65, 'cut', 'objdump', 'V1', 'V1', 0.9353680430879713, 2.1287853717803955]
['CV', 26, 'UV', 83, 'date', 'addr2line', 'V2', 'V0', 0.8646024184683034, 1.2814619541168213]
['BV', 0, 'CV', 346, 'bash', 'mknod', 'V2', 'V1', 0.9621201920919169, 3.088376998901367]
['UV', 70, 'CV', 42, 'locate', 'dircolors', 'V0', 'V2', 0.4912859161563825, 0.06704473495483398]
['UV', 87, 'CV', 178, 'objdump', 'basename', 'V0', 'V0', 0.9524924723987955, 1.7401573657989502]
['BV', 49, 'CV', 263, 'make', 'unlink', 'V3', 'V1', 0.8591273723341811, 0.24823880195617676]
['CV', 344, 'UV', 62, 'tac', 'ar', 'V1', 'V1', 0.8052154555573223, 1.6598875522613525]
['CV', 23, 'UV', 79, 'wc', 'strings', 'V2', 'V0', 0.8733357988165681, 1.2407052516937256]
['BV', 4, 'CV', 191, 'geany', 'mkfifo', 'V3', 'V0', 0.9866638737606479, 32.33875560760498]
['CV', 336, 'BV', 9, 'tr', 'dot', 'V1', 'V2', 0.4531645569620253, 0.015413045883178711]
['CV', 60, 'BV', 75, 'hostid', 'cmp', 'V2', 'V2', 0.24898621248986208, 0.028347015380859375]
['CV', 158, 'UV', 46, '[', 'diff', 'V3', 'V1', 0.5390008764241893, 0.13302159309387207]
['CV', 50, 'BV', 79, 'cksum', 'bash', 'V2', 'V3', 0.9586509884998061, 3.519667625427246]
['UV', 68, 'CV', 206, 'diff', 'paste', 'V0', 'V0', 0.6601477618426771, 0.07172822952270508]
['CV', 290, 'UV', 77, 'tail', 'ranlib', 'V1', 'V0', 0.867563372995344, 1.4651546478271484]
['UV', 19, 'CV', 146, 'elfedit', 'head', 'V2', 'V3', 0.15732613099257264, 0.036554813385009766]
['CV', 41, 'BV', 73, 'nice', 'geany', 'V2', 'V0', 0.9768687277800279, 21.777053833007812]
['UV', 29, 'CV', 13, 'objcopy', 'join', 'V3', 'V2', 0.8869636350115268, 1.5337035655975342]
['CV', 201, 'UV', 44, 'expr', 'diff3', 'V0', 'V1', 0.13472654513116944, 0.05775618553161621]
['UV', 13, 'CV', 95, 'strings', 'du', 'V2', 'V3', 0.7020865221944735, 1.531930685043335]
['UV', 8, 'CV', 235, 'strip', 'ginstall', 'V2', 'V0', 0.8277695088241548, 1.7794983386993408]
['UV', 51, 'CV', 45, 'nm', 'cp', 'V1', 'V2', 0.7295368020304569, 1.5328946113586426]
['UV', 81, 'CV', 57, 'ld', 'who', 'V0', 'V2', 0.9050856153402168, 1.853430986404419]
['UV', 72, 'CV', 66, 'find', 'link', 'V0', 'V2', 0.6983061681048258, 0.1366896629333496]
['CV', 228, 'BV', 34, 'false', 'svn', 'V0', 'V0', 0.8699021207177814, 0.4102034568786621]
['BV', 66, 'CV', 346, 'lua', 'mknod', 'V1', 'V1', 0.8688218837426174, 0.3697490692138672]
['CV', 53, 'BV', 74, 'tty', 'git', 'V2', 'V1', 0.9776719750451486, 6.607973337173462]
['CV', 32, 'BV', 64, 'paste', 'openssl', 'V2', 'V2', 0.9425799086757991, 6.654389381408691]
['CV', 275, 'UV', 53, 'dirname', 'readelf', 'V1', 'V1', 0.7720023626698169, 0.10722875595092773]
['BV', 40, 'CV', 63, 'lua', 'mv', 'V2', 'V2', 0.5991545443242571, 0.594780445098877]
['UV', 61, 'CV', 100, 'addr2line', 'join', 'V1', 'V3', 0.8325772489942652, 1.2353966236114502]
