['CO', 199, 'UO', 50, 'sha224sum', 'strings', 'O1', 'O3', 0.8662127346337872, 1.2236740589141846]
['UO', 25, 'CO', 154, 'sdiff', 'dircolors', 'O2', 'O1', 0.1752822341057635, 0.05596327781677246]
['CO', 374, 'UO', 49, 'printf', 'c++filt', 'O0', 'O3', 0.8464646464646465, 1.2618169784545898]
['BO', 28, 'CO', 156, 'ruby', 'sha256sum', 'O0', 'O1', 0.9779660246404703, 17.808332920074463]
['UO', 75, 'CO', 288, 'gprof', 'uname', 'O0', 'O2', 0.9467697907188353, 2.898378610610962]
['BO', 68, 'CO', 17, 'git', 'stdbuf', 'O3', 'O3', 0.9702070259808809, 8.608165502548218]
['BO', 4, 'CO', 394, 'libgeany.so.0.0.0', 'shuf', 'O2', 'O0', 0.9585025660401121, 39.31799650192261]
['BO', 60, 'CO', 200, 'openssl', 'fold', 'O0', 'O1', 0.9499219968798752, 11.921859979629517]
['CO', 349, 'BO', 77, 'truncate', 'libSDL2-2.0.so.0.16.0', 'O0', 'O3', 0.9333667106640572, 7.647775173187256]
['CO', 66, 'UO', 76, 'runcon', 'addr2line', 'O3', 'O0', 0.9335872411330636, 3.062305450439453]
['BO', 80, 'CO', 234, 'ssh', 'kill', 'O3', 'O2', 0.9298178331735378, 1.6765110492706299]
['BO', 74, 'CO', 257, 'dot', 'nice', 'O1', 'O2', 0.3997194950911641, 0.016141414642333984]
['BO', 50, 'CO', 231, 'perl', 'pr', 'O2', 'O2', 0.9387269482450922, 3.35870361328125]
['BO', 14, 'CO', 410, 'cmp', 'sleep', 'O0', 'O0', 0.16370558375634514, 0.06373906135559082]
['UO', 17, 'CO', 9, 'objdump', 'du', 'O1', 'O3', 0.8059270915289798, 3.0777838230133057]
['CO', 51, 'UO', 79, 'realpath', 'size', 'O3', 'O0', 0.899970921779587, 3.2748658657073975]
['UO', 75, 'CO', 316, 'gprof', 'test', 'O0', 'O0', 0.9030464754280632, 3.081397771835327]
['CO', 99, 'BO', 12, 'sort', 'libgeany.so.0.0.0', 'O3', 'O0', 0.8495406253544557, 50.23069167137146]
['UO', 63, 'CO', 127, 'cmp', 'pr', 'O3', 'O1', 0.2293868921775899, 0.0657353401184082]
['CO', 64, 'UO', 60, 'tty', 'xargs', 'O3', 'O3', 0.40971488912354803, 0.07025671005249023]
['CO', 169, 'BO', 44, 'false', 'cmp', 'O1', 'O2', 0.20062695924764884, 0.03578662872314453]
['UO', 18, 'CO', 120, 'diff3', 'dirname', 'O1', 'O1', 0.30676786843769766, 0.05057358741760254]
['UO', 14, 'CO', 385, 'ar', 'hostid', 'O1', 'O0', 0.8987196323046619, 1.5006930828094482]
['UO', 54, 'CO', 362, 'addr2line', 'dircolors', 'O3', 'O0', 0.8571818927042536, 1.1048684120178223]
['BO', 59, 'CO', 122, 'libgeany.so.0.0.0', 'uptime', 'O3', 'O1', 0.9744651591630072, 34.03853178024292]
['CO', 194, 'BO', 65, 'tr', 'gvmap', 'O1', 'O0', 0.6924643584521385, 0.2960662841796875]
['BO', 43, 'CO', 401, 'diff', 'pathchk', 'O1', 'O0', 0.5395049169209901, 0.14512896537780762]
