['CO', 101, 'BO', 10, 'rmdir', 'openssl', 'O3', 'O3', 0.9397781299524565, 11.796916723251343]
['CO', 293, 'UO', 6, '[', 'as', 'O2', 'O1', 0.9242072699149265, 2.7677958011627197]
['CO', 326, 'UO', 87, 'stty', 'find', 'O0', 'O0', 0.7494229289561426, 1.045827865600586]
['UO', 77, 'CO', 296, 'ar', 'shred', 'O0', 'O2', 0.890608531646974, 3.2969095706939697]
['UO', 44, 'BO', 11, 'nm', 'ssh', 'O3', 'O1', 0.19962445722333055, 6.231212615966797]
['UO', 66, 'BO', 57, 'nm', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.20552222059612668, 20.85676145553589]
['CO', 338, 'UO', 30, 'kill', 'ranlib', 'O0', 'O2', 0.8746833305184935, 1.5465819835662842]
['CO', 402, 'UO', 71, 'tr', 'c++filt', 'O0', 'O0', 0.8839259648508203, 3.4400830268859863]
['BO', 19, 'UO', 76, 'libvlccore.so.9.0.0', 'addr2line', 'O1', 'O0', 0.21229781454500563, 17.29116463661194]
['UO', 71, 'CO', 140, 'c++filt', 'pinky', 'O0', 'O1', 0.9112664376258737, 2.9336657524108887]
['BO', 19, 'CO', 199, 'libvlccore.so.9.0.0', 'sha224sum', 'O1', 'O1', 0.941944266495836, 6.536351203918457]
['CO', 14, 'BO', 47, 'stty', 'libvlc.so.12.0.0', 'O3', 'O0', 0.7181996086105675, 0.9087774753570557]
['BO', 17, 'CO', 276, 'codeblocks', 'yes', 'O2', 'O2', 0.975697710881154, 14.636219263076782]
['CO', 239, 'BO', 43, 'date', 'diff', 'O2', 'O1', 0.37784522003034904, 0.17737269401550293]
['CO', 38, 'BO', 67, 'sha1sum', 'libSDL2-2.0.so.0.16.0', 'O3', 'O1', 0.9282209179255267, 7.937522649765015]
['CO', 338, 'UO', 35, 'kill', 'gprof', 'O0', 'O2', 0.8765904365904366, 1.5795464515686035]
['CO', 395, 'BO', 48, 'csplit', 'libvlccore.so.9.0.0', 'O0', 'O0', 0.9293650336768177, 19.53294062614441]
['BO', 61, 'CO', 319, 'git', 'fmt', 'O1', 'O0', 0.9683215499394555, 9.181161642074585]
['UO', 17, 'CO', 182, 'objdump', 'chcon', 'O1', 'O1', 0.8657128922126484, 3.0073955059051514]
['CO', 315, 'UO', 83, 'unlink', 'diff', 'O0', 'O0', 0.6251892219194671, 0.2260894775390625]
['CO', 48, 'UO', 46, 'ls', 'readelf', 'O3', 'O3', 0.46880481082435477, 0.5370006561279297]
['CO', 82, 'UO', 48, 'shuf', 'ranlib', 'O3', 'O3', 0.8250841750841751, 1.4329900741577148]
['UO', 61, 'CO', 291, 'find', 'csplit', 'O3', 'O2', 0.7027586206896552, 0.42546844482421875]
['CO', 222, 'UO', 66, 'stty', 'nm', 'O2', 'O0', 0.9123860094655432, 3.414154052734375]
['BO', 26, 'CO', 149, 'gvmap', 'split', 'O3', 'O1', 0.5002613695765813, 0.18631315231323242]
['CO', 344, 'UO', 61, 'expr', 'find', 'O0', 'O3', 0.6535750251762337, 0.5537059307098389]
['CO', 358, 'BO', 66, 'whoami', 'svn', 'O0', 'O2', 0.7978106889890535, 0.7713534832000732]
['CO', 288, 'BO', 62, 'uname', 'bash', 'O2', 'O1', 0.9605313092979127, 3.9500622749328613]
['BO', 67, 'CO', 105, 'libSDL2-2.0.so.0.16.0', 'touch', 'O1', 'O1', 0.8966447399555156, 7.875946283340454]
['BO', 52, 'CO', 91, 'svn', 'comm', 'O3', 'O3', 0.7670295489891136, 0.5877504348754883]
['CO', 82, 'BO', 0, 'shuf', 'codeblocks', 'O3', 'O1', 0.9463128823271301, 18.84930729866028]
['CO', 138, 'UO', 25, 'tail', 'sdiff', 'O1', 'O2', 0.1362372567191844, 0.08259820938110352]
['CO', 408, 'BO', 80, 'fold', 'ssh', 'O0', 'O3', 0.9067828723001137, 2.1470210552215576]
['CO', 251, 'BO', 61, 'chroot', 'git', 'O2', 'O1', 0.9741821743388834, 9.775925636291504]
['BO', 42, 'CO', 112, 'cmp', 'dir', 'O1', 'O1', 0.4616467276565799, 0.1476743221282959]
['CO', 100, 'BO', 64, 'tac', 'dot', 'O3', 'O0', 0.563777994157741, 0.021247148513793945]
['CO', 131, 'UO', 45, 'wc', 'strip', 'O1', 'O3', 0.8757521058965102, 1.620236873626709]
['UO', 17, 'CO', 233, 'objdump', 'chgrp', 'O1', 'O2', 0.8790525051850234, 2.8032851219177246]
['UO', 86, 'CO', 173, 'xargs', 'who', 'O0', 'O1', 0.34752353663528446, 0.13374805450439453]
['CO', 229, 'UO', 29, 'mktemp', 'as', 'O2', 'O2', 0.9158894547119071, 2.5830163955688477]
['CO', 81, 'UO', 48, 'cat', 'ranlib', 'O3', 'O3', 0.8811382960263752, 1.2400481700897217]
['UO', 48, 'BO', 43, 'ranlib', 'diff', 'O3', 'O1', 0.6543096872616323, 1.589169979095459]
['CO', 219, 'UO', 11, 'groups', 'ld', 'O2', 'O1', 0.9354460781442212, 2.9231820106506348]
['CO', 125, 'BO', 73, 'mktemp', 'cluster', 'O1', 'O1', 0.5406618059450364, 0.1906425952911377]
['CO', 124, 'UO', 62, 'mkfifo', 'diff3', 'O1', 'O3', 0.29084158415841577, 0.046235084533691406]
['BO', 52, 'CO', 402, 'svn', 'tr', 'O3', 'O0', 0.7031812725090036, 0.6724624633789062]
['UO', 22, 'CO', 313, 'diff3', 'touch', 'O2', 'O0', 0.18454545454545457, 0.09460163116455078]
['CO', 317, 'BO', 3, 'basename', 'openssl', 'O0', 'O1', 0.9435747462583863, 12.397812604904175]
['CO', 295, 'BO', 79, 'id', 'bash', 'O2', 'O3', 0.9485766035358507, 3.7480852603912354]
