['CO', 153, 'UO', 45, 'nice', 'strip', 'O1', 'O3', 0.9105255094223993, 1.461416244506836]
['UO', 19, 'BO', 25, 'cmp', 'dot', 'O1', 'O3', 0.5555555555555556, 0.023667573928833008]
['BO', 19, 'CO', 385, 'libvlccore.so.9.0.0', 'hostid', 'O1', 'O0', 0.9505348668865117, 6.091015338897705]
['BO', 6, 'CO', 315, 'codeblocks', 'unlink', 'O0', 'O0', 0.9765051395007343, 37.5770788192749]
['BO', 74, 'CO', 3, 'dot', 'unlink', 'O1', 'O3', 0.47858017135862907, 0.015457868576049805]
['CO', 118, 'BO', 63, 'stty', 'cluster', 'O1', 'O0', 0.653247015982197, 0.3139777183532715]
['BO', 29, 'UO', 25, 'libvlc.so.12.0.0', 'sdiff', 'O2', 'O2', 0.6581322527168908, 0.6023736000061035]
['BO', 69, 'CO', 366, 'cmp', 'true', 'O3', 'O0', 0.14754098360655732, 0.04349184036254883]
['CO', 87, 'BO', 8, 'id', 'cp', 'O3', 'O0', 0.6153452685421995, 0.2644054889678955]
['BO', 81, 'CO', 27, 'sort', 'wc', 'O3', 'O3', 0.41661129568106314, 0.1235804557800293]
['BO', 41, 'CO', 19, 'libSDL2-2.0.so.0.16.0', 'dd', 'O2', 'O3', 0.8740427151215335, 7.192904472351074]
['CO', 142, 'UO', 46, 'sha1sum', 'readelf', 'O1', 'O3', 0.7813641900121803, 0.3436872959136963]
['CO', 157, 'BO', 79, 'chmod', 'bash', 'O1', 'O3', 0.9159117305458769, 4.2013185024261475]
['CO', 199, 'BO', 70, 'sha224sum', 'diff', 'O1', 'O3', 0.5137307434695244, 0.1344616413116455]
['UO', 63, 'CO', 347, 'cmp', 'base32', 'O3', 'O0', 0.12878787878787878, 0.055638790130615234]
['UO', 49, 'CO', 233, 'c++filt', 'chgrp', 'O3', 'O2', 0.8014692707400107, 1.102489948272705]
['UO', 81, 'CO', 115, 'diff3', 'groups', 'O0', 'O1', 0.3231418028465999, 0.07490110397338867]
['UO', 5, 'CO', 383, 'readelf', 'readlink', 'O1', 'O0', 0.7359477124183007, 0.440671443939209]
['CO', 403, 'UO', 81, 'comm', 'diff3', 'O0', 'O0', 0.22476840565577771, 0.09051632881164551]
['BO', 39, 'CO', 328, 'codeblocks', 'dirname', 'O3', 'O0', 0.967743592377626, 14.0789155960083]
['BO', 31, 'UO', 5, 'bash', 'readelf', 'O2', 'O1', 0.5975880886613218, 5.263056039810181]
['UO', 35, 'CO', 268, 'gprof', 'base64', 'O2', 'O2', 0.9028585884138629, 1.2893009185791016]
['CO', 94, 'UO', 8, 'rm', 'c++filt', 'O3', 'O1', 0.7883879554150723, 1.6393060684204102]
['CO', 284, 'BO', 66, 'md5sum', 'svn', 'O2', 'O2', 0.801258267462494, 0.7348940372467041]
['BO', 52, 'CO', 252, 'svn', 'seq', 'O3', 'O2', 0.7954401519949335, 0.5831127166748047]
['CO', 4, 'BO', 39, 'test', 'codeblocks', 'O3', 'O3', 0.9619491460323151, 16.309964179992676]
['UO', 62, 'CO', 267, 'diff3', 'tsort', 'O3', 'O2', 0.27730061349693247, 0.04570198059082031]
['CO', 46, 'UO', 61, 'whoami', 'find', 'O3', 'O3', 0.7901234567901234, 0.4035031795501709]
['BO', 64, 'CO', 255, 'dot', 'numfmt', 'O0', 'O2', 0.5580448065173116, 0.022457599639892578]
['UO', 25, 'CO', 138, 'sdiff', 'tail', 'O2', 'O1', 0.1362372567191844, 0.08186149597167969]
['CO', 384, 'UO', 56, 'head', 'elfedit', 'O0', 'O3', 0.2026300059772863, 0.05391430854797363]
['CO', 169, 'BO', 50, 'false', 'perl', 'O1', 'O2', 0.9684706450833535, 3.6288459300994873]
['CO', 13, 'UO', 42, 'printenv', 'xargs', 'O3', 'O2', 0.41980624327233584, 0.07184696197509766]
['CO', 304, 'UO', 52, 'fold', 'ld', 'O2', 'O3', 0.9343568665377177, 2.3464901447296143]
