['CV', 295, 'BV', 52, 'echo', 'libSDL2-2.0.so', 'V1', 'V2', 0.9624521474644712, 5.22458028793335]
['CV', 199, 'UV', 74, 'expand', 'strip', 'V0', 'V0', 0.9403247038174638, 1.4717636108398438]
['CV', 36, 'BV', 61, 'chroot', 'cmp', 'V2', 'V0', 0.2861538461538462, 0.01946258544921875]
['UV', 77, 'CV', 21, 'ranlib', 'chgrp', 'V0', 'V2', 0.8307835347815062, 1.1871306896209717]
['BV', 31, 'CV', 302, 'codeblocks', 'nice', 'V0', 'V1', 0.977859778597786, 11.441619396209717]
['UV', 4, 'CV', 99, 'cmp', 'stty', 'V2', 'V3', 0.11286407766990292, 0.04192090034484863]
['CV', 91, 'BV', 30, 'basename', 'bash', 'V3', 'V0', 0.9404520500519313, 2.732255220413208]
['CV', 305, 'UV', 15, 'true', 'ld', 'V1', 'V2', 0.9588676206405253, 1.9648454189300537]
['CV', 291, 'BV', 23, 'pinky', 'diff', 'V1', 'V3', 0.5987261146496815, 0.11037468910217285]
['BV', 66, 'CV', 299, 'lua', 'split', 'V1', 'V1', 0.8388132742009482, 0.3557569980621338]
['BV', 13, 'CV', 161, 'cp', 'pathchk', 'V2', 'V3', 0.44388609715242877, 0.07201647758483887]
['CV', 301, 'UV', 62, 'ls', 'ar', 'V1', 'V1', 0.7913385826771654, 1.7469794750213623]
['CV', 120, 'BV', 63, 'sync', 'ruby', 'V3', 'V0', 0.9748196406802694, 12.808124542236328]
['UV', 40, 'CV', 127, 'diff3', 'ls', 'V3', 'V3', 0.34468621885840434, 0.13424038887023926]
['CV', 255, 'UV', 10, 'sleep', 'as', 'V0', 'V2', 0.9547574626865671, 2.1151163578033447]
['CV', 228, 'BV', 76, 'false', 'diff', 'V0', 'V2', 0.7482352941176471, 0.08736181259155273]
['UV', 81, 'BV', 1, 'ld', 'libSDL2-2.0.so', 'V0', 'V3', 0.23653189379751016, 25.886183500289917]
['UV', 87, 'CV', 111, 'objdump', 'factor', 'V0', 'V3', 0.8695540748334187, 1.712914228439331]
['CV', 185, 'BV', 22, 'printenv', 'cmp', 'V0', 'V3', 0.3846153846153846, 0.02415299415588379]
['UV', 6, 'CV', 149, 'sdiff', 'unexpand', 'V2', 'V3', 0.22292993630573243, 0.04503917694091797]
['CV', 243, 'UV', 74, 'csplit', 'strip', 'V0', 'V0', 0.8067415730337079, 1.8641729354858398]
['BV', 23, 'CV', 35, 'diff', 'sum', 'V3', 'V2', 0.5665742024965326, 0.10091948509216309]
['CV', 214, 'UV', 79, 'ls', 'strings', 'V0', 'V0', 0.7752141234049992, 1.4487214088439941]
['UV', 33, 'BV', 18, 'ar', 'sort', 'V3', 'V3', 0.6816807738814994, 1.5579001903533936]
['BV', 4, 'CV', 244, 'geany', 'vdir', 'V3', 'V0', 0.9549616091519659, 31.979724645614624]
['UV', 55, 'CV', 276, 'ranlib', 'uptime', 'V1', 'V1', 0.9177364864864865, 1.1740450859069824]
['CV', 48, 'BV', 14, 'df', 'openssl', 'V2', 'V3', 0.8841078019922132, 8.883717060089111]
['UV', 19, 'CV', 134, 'elfedit', 'od', 'V2', 'V3', 0.25879682179341656, 0.04362678527832031]
['BV', 32, 'UV', 16, 'perl', 'gprof', 'V0', 'V2', 0.34217567684207495, 6.237709283828735]
['CV', 272, 'BV', 63, 'printenv', 'ruby', 'V1', 'V0', 0.9859721049881426, 12.089000701904297]
['CV', 155, 'BV', 82, 'cat', 'gvmap', 'V3', 'V1', 0.623437933907248, 0.1594069004058838]
['UV', 82, 'CV', 49, 'gprof', 'tsort', 'V0', 'V2', 0.9041473068318706, 1.0688529014587402]
['BV', 26, 'CV', 210, 'geany', 'chroot', 'V2', 'V0', 0.9861759831249058, 25.099616765975952]
['CV', 62, 'BV', 24, 'unexpand', 'git', 'V2', 'V0', 0.9716119208179247, 4.67082142829895]
['UV', 2, 'CV', 85, 'find', 'mknod', 'V2', 'V2', 0.7325961296808243, 0.1767137050628662]
['CV', 232, 'BV', 40, 'readlink', 'lua', 'V0', 'V2', 0.8776587941909931, 0.41207313537597656]
['CV', 16, 'UV', 21, 'dd', 'objdump', 'V2', 'V2', 0.8747028207929063, 2.1116538047790527]
['CV', 285, 'UV', 46, 'factor', 'diff', 'V1', 'V1', 0.7209150326797386, 0.10435366630554199]
['UV', 42, 'CV', 310, 'diff', 'tsort', 'V3', 'V1', 0.6758160237388724, 0.08741235733032227]
['BV', 12, 'CV', 264, 'sort', 'test', 'V2', 'V1', 0.5500725689404935, 0.057703256607055664]
['CV', 20, 'BV', 6, 'tee', 'libvlc.so', 'V2', 'V0', 0.7474844274077623, 0.3005337715148926]
['BV', 66, 'CV', 305, 'lua', 'true', 'V1', 'V1', 0.8953341740226987, 0.3239319324493408]
['UV', 34, 'CV', 57, 'elfedit', 'who', 'V3', 'V2', 0.14420485175202158, 0.03708052635192871]
