['CV', 48, 'UV', 21, 'df', 'objdump', 'V2', 'V2', 0.8543282064319309, 2.265343427658081]
['BV', 58, 'CV', 132, 'ruby', 'cp', 'V3', 'V3', 0.9146171693735499, 0.0609745979309082]
['UV', 4, 'CV', 119, 'cmp', 'paste', 'V2', 'V3', 0.15568022440392704, 0.03369331359863281]
['CV', 77, 'BV', 38, 'nl', 'ruby', 'V2', 'V2', 0.8692253020611229, 0.022301912307739258]
['BV', 24, 'CV', 331, 'git', 'vdir', 'V0', 'V1', 0.9283529693359219, 5.081926107406616]
['CV', 278, 'BV', 41, 'mkfifo', 'libvlccore.so', 'V1', 'V1', 0.9580260303687635, 3.425800085067749]
['BV', 55, 'CV', 210, 'codeblocks', 'chroot', 'V3', 'V0', 0.980770238407126, 13.051290273666382]
['BV', 20, 'CV', 306, 'sort', 'cp', 'V1', 'V1', 0.0555058191584602, 0.07301545143127441]
['CV', 262, 'BV', 48, 'stat', 'gvmap', 'V1', 'V3', 0.7046979865771812, 0.15039420127868652]
['UV', 29, 'CV', 346, 'objcopy', 'mknod', 'V3', 'V1', 0.9356167518498741, 1.3751797676086426]
['CV', 334, 'BV', 12, 'shred', 'sort', 'V1', 'V2', 0.319324268644417, 0.08664512634277344]
['CV', 64, 'UV', 84, 'md5sum', 'ar', 'V2', 'V0', 0.8971708855215906, 1.2641069889068604]
['BV', 12, 'UV', 68, 'sort', 'diff', 'V2', 'V0', 0.12617487895186552, 0.14302301406860352]
['UV', 3, 'CV', 292, 'diff3', 'sha1sum', 'V2', 'V1', 0.34415145368492217, 0.03632807731628418]
['UV', 33, 'CV', 68, 'ar', 'cat', 'V3', 'V2', 0.8555667001003009, 1.2832036018371582]
['BV', 67, 'UV', 67, 'cluster', 'cmp', 'V0', 'V0', 0.5331032318795105, 0.1280505657196045]
['BV', 12, 'CV', 325, 'sort', 'md5sum', 'V2', 'V1', 0.5357314148681055, 0.06160402297973633]
['CV', 78, 'BV', 11, 'rm', 'bash', 'V2', 'V1', 0.9051242093684114, 3.4841959476470947]
['BV', 9, 'CV', 114, 'dot', 'expr', 'V2', 'V3', 0.5908675799086758, 0.020646333694458008]
['CV', 144, 'UV', 1, 'who', 'xargs', 'V3', 'V2', 0.20866698068770606, 0.0641171932220459]
['UV', 65, 'CV', 321, 'objdump', 'hostid', 'V1', 'V1', 0.9534040900854258, 1.7330255508422852]
['UV', 67, 'CV', 7, 'cmp', 'dir', 'V0', 'V2', 0.3722504230118444, 0.09032368659973145]
['UV', 1, 'CV', 303, 'xargs', 'dircolors', 'V2', 'V1', 0.4423076923076923, 0.04810166358947754]
['CV', 98, 'BV', 29, 'printenv', 'perl', 'V3', 'V3', 0.9602089032578961, 3.271902561187744]
['CV', 234, 'BV', 31, 'hostid', 'codeblocks', 'V0', 'V0', 0.9806073403161726, 13.084208726882935]
['CV', 213, 'BV', 51, 'whoami', 'cp', 'V0', 'V0', 0.5085091899251192, 0.036435604095458984]
['UV', 39, 'CV', 121, 'find', 'echo', 'V3', 'V3', 0.7953386744355426, 0.3385732173919678]
['CV', 79, 'BV', 31, 'fold', 'codeblocks', 'V2', 'V0', 0.9703159116663442, 13.550685167312622]
['UV', 34, 'CV', 287, 'elfedit', 'date', 'V3', 'V1', 0.1385281385281385, 0.03670072555541992]
['CV', 40, 'UV', 21, 'ls', 'objdump', 'V2', 'V2', 0.8021109808036541, 2.6761679649353027]
['CV', 247, 'BV', 53, 'shred', 'ssh', 'V0', 'V2', 0.9528530221146514, 5.659773349761963]
['CV', 173, 'UV', 24, 'ln', 'readelf', 'V3', 'V3', 0.6016759776536312, 0.45536136627197266]
['BV', 18, 'CV', 202, 'sort', 'chown', 'V3', 'V0', 0.4652920962199313, 0.10875320434570312]
['BV', 15, 'CV', 87, 'libvlccore.so', 'touch', 'V3', 'V3', 0.8945210585165859, 4.393000364303589]
['BV', 49, 'CV', 264, 'make', 'test', 'V3', 'V1', 0.8213532681617788, 0.246718168258667]
['CV', 240, 'UV', 3, 'link', 'diff3', 'V0', 'V2', 0.4773570898292502, 0.0301053524017334]
['BV', 70, 'UV', 64, 'ssh', 'size', 'V0', 'V1', 0.4525482181632392, 8.631601572036743]
['CV', 346, 'UV', 45, 'mknod', 'cmp', 'V1', 'V1', 0.28620102214650767, 0.02701568603515625]
['CV', 222, 'UV', 32, 'df', 'addr2line', 'V0', 'V3', 0.8716270730614074, 1.3240036964416504]
