['CO', 290, 'UO', 12, 'shuf', 'gprof', 'O2', 'O1', 0.8522628200047555, 1.7873106002807617]
['CO', 355, 'BO', 83, 'chroot', 'lua', 'O0', 'O2', 0.7780064308681672, 0.6496922969818115]
['CO', 115, 'BO', 21, 'groups', 'cp', 'O1', 'O1', 0.5183795948987246, 0.13341164588928223]
['BO', 34, 'CO', 277, 'cp', 'who', 'O2', 'O2', 0.4625517500940911, 0.11501455307006836]
['CO', 0, 'BO', 3, 'sha384sum', 'openssl', 'O3', 'O1', 0.9345062283292668, 11.80242133140564]
['CO', 21, 'UO', 39, 'mktemp', 'size', 'O3', 'O2', 0.8470764617691154, 1.4336955547332764]
['UO', 13, 'CO', 117, 'addr2line', 'printenv', 'O1', 'O1', 0.906618868584419, 1.3651995658874512]
['BO', 82, 'UO', 35, 'cp', 'gprof', 'O3', 'O2', 0.6948898546380938, 2.053561210632324]
['CO', 360, 'UO', 32, 'ls', 'strings', 'O0', 'O2', 0.5753165036767492, 2.461409568786621]
['BO', 72, 'CO', 198, 'make', 'rm', 'O2', 'O1', 0.5723978156544762, 0.3775014877319336]
['CO', 161, 'BO', 38, 'od', 'acyclic', 'O1', 'O2', 0.5952569169960474, 0.03406691551208496]
['BO', 70, 'CO', 64, 'diff', 'tty', 'O3', 'O3', 0.5925273175890025, 0.10215377807617188]
['BO', 71, 'CO', 167, 'libSDL2-2.0.so.0.16.0', 'logname', 'O0', 'O1', 0.9532991481968047, 8.590530395507812]
['CO', 173, 'UO', 32, 'who', 'strings', 'O1', 'O2', 0.8566833452466047, 1.41310715675354]
['CO', 158, 'UO', 75, 'true', 'gprof', 'O1', 'O0', 0.9408096156026761, 3.2249741554260254]
['BO', 53, 'CO', 110, 'bash', 'mkdir', 'O0', 'O1', 0.9401748734468477, 4.949445724487305]
['BO', 73, 'CO', 111, 'cluster', 'fmt', 'O1', 'O1', 0.5984870526622054, 0.16303586959838867]
['BO', 17, 'UO', 54, 'codeblocks', 'addr2line', 'O2', 'O3', 0.5767323638484937, 21.431788444519043]
['CO', 191, 'UO', 62, 'id', 'diff3', 'O1', 'O3', 0.1734980348119034, 0.05568885803222656]
['BO', 33, 'CO', 123, 'sort', 'dd', 'O2', 'O1', 0.22889245585874796, 0.16008830070495605]
['CO', 193, 'UO', 23, 'pathchk', 'cmp', 'O1', 'O2', 0.1590052750565185, 0.03861403465270996]
['BO', 12, 'CO', 397, 'libgeany.so.0.0.0', '[', 'O0', 'O0', 0.8932324424747934, 38.15224814414978]
['CO', 398, 'UO', 22, 'timeout', 'diff3', 'O0', 'O2', 0.11146838156484462, 0.07346534729003906]
['UO', 26, 'BO', 56, 'nm', 'libvlc.so.12.0.0', 'O2', 'O3', 0.39247628393850187, 2.8042540550231934]
['BO', 48, 'CO', 86, 'libvlccore.so.9.0.0', 'timeout', 'O0', 'O3', 0.9519566736547869, 14.497612237930298]
['CO', 96, 'UO', 52, 'fold', 'ld', 'O3', 'O3', 0.9191652674502279, 2.3646559715270996]
['CO', 31, 'UO', 21, 'date', 'sdiff', 'O3', 'O1', 0.1351351351351351, 0.06907939910888672]
['BO', 17, 'CO', 357, 'codeblocks', 'split', 'O2', 'O0', 0.9365794933531416, 15.508009672164917]
['BO', 76, 'CO', 122, 'openssl', 'uptime', 'O2', 'O1', 0.9304769603880356, 10.55097246170044]
['CO', 78, 'BO', 5, 'chcon', 'libgeany.so.0.0.0', 'O3', 'O1', 0.9571013393985343, 46.44740891456604]
['BO', 58, 'CO', 182, 'svn', 'chcon', 'O1', 'O1', 0.6361229592587145, 0.7403676509857178]
['BO', 41, 'CO', 26, 'libSDL2-2.0.so.0.16.0', 'kill', 'O2', 'O3', 0.9348498992777478, 6.830700397491455]
['CO', 180, 'UO', 21, 'md5sum', 'sdiff', 'O1', 'O1', 0.17948717948717952, 0.0582423210144043]
['UO', 3, 'BO', 9, 'nm', 'git', 'O1', 'O0', 0.6391848153148024, 28.59582781791687]
['CO', 410, 'UO', 3, 'sleep', 'nm', 'O0', 'O1', 0.8863945578231293, 1.5978443622589111]
['UO', 13, 'CO', 17, 'addr2line', 'stdbuf', 'O1', 'O3', 0.8693527646806687, 1.3849782943725586]
['CO', 400, 'BO', 50, 'shred', 'perl', 'O0', 'O2', 0.9231677091939101, 4.786030054092407]
['CO', 402, 'UO', 2, 'tr', 'find', 'O0', 'O1', 0.6851969504447268, 0.6409893035888672]
['CO', 362, 'BO', 57, 'dircolors', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.9379734285147729, 6.884168863296509]
['UO', 86, 'CO', 110, 'xargs', 'mkdir', 'O0', 'O1', 0.3209975864843122, 0.1370859146118164]
['UO', 15, 'CO', 15, 'elfedit', 'join', 'O1', 'O3', 0.17904432930339664, 0.0459597110748291]
['CO', 228, 'BO', 54, 'mkfifo', 'lua', 'O2', 'O3', 0.8659279778393352, 0.4353923797607422]
['CO', 345, 'BO', 59, 'chown', 'libgeany.so.0.0.0', 'O0', 'O3', 0.9554276163060637, 48.86098265647888]
['CO', 84, 'BO', 55, 'vdir', 'make', 'O3', 'O1', 0.36374513909661976, 0.5023534297943115]
['CO', 89, 'UO', 35, 'pathchk', 'gprof', 'O3', 'O2', 0.8879223820675811, 1.4208743572235107]
['BO', 34, 'CO', 333, 'cp', 'mktemp', 'O2', 'O0', 0.34740484429065743, 0.15348267555236816]
['BO', 40, 'CO', 175, 'lua', 'readlink', 'O0', 'O1', 0.8439773645917542, 0.9364633560180664]
['BO', 19, 'CO', 132, 'libvlccore.so.9.0.0', 'factor', 'O1', 'O1', 0.9203389159440947, 6.487232446670532]
['UO', 0, 'CO', 59, 'locate', 'tsort', 'O1', 'O3', 0.5295282085120422, 0.15116286277770996]
['BO', 65, 'CO', 283, 'gvmap', 'mv', 'O0', 'O2', 0.3039291815499301, 0.4555838108062744]
['CO', 304, 'BO', 2, 'fold', 'perl', 'O2', 'O1', 0.9712409300354854, 3.6244871616363525]
['UO', 23, 'CO', 34, 'cmp', 'tail', 'O2', 'O3', 0.23892002037697402, 0.05916762351989746]
['UO', 28, 'CO', 37, 'readelf', 'truncate', 'O2', 'O3', 0.7963020996552804, 0.30022239685058594]
['CO', 271, 'UO', 22, 'logname', 'diff3', 'O2', 'O2', 0.3395818312905552, 0.03917384147644043]
['CO', 366, 'BO', 23, 'true', 'git', 'O0', 'O2', 0.9769316777496616, 9.441608905792236]
['CO', 375, 'BO', 57, 'logname', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.9505827878013732, 6.54375696182251]
['CO', 235, 'BO', 39, 'wc', 'codeblocks', 'O2', 'O3', 0.9623008758899759, 17.4958016872406]
['CO', 387, 'BO', 27, 'mv', 'perl', 'O0', 'O3', 0.8239052091296276, 6.934461832046509]
['UO', 8, 'CO', 333, 'c++filt', 'mktemp', 'O1', 'O0', 0.8380504489097905, 1.4864821434020996]
['UO', 82, 'CO', 337, 'cmp', 'chgrp', 'O0', 'O0', 0.22513990529487726, 0.11168026924133301]
['CO', 374, 'BO', 30, 'printf', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.9338541460126105, 7.233978986740112]
['UO', 40, 'CO', 385, 'objdump', 'hostid', 'O2', 'O0', 0.9282558139534883, 2.321815252304077]
['CO', 110, 'BO', 77, 'mkdir', 'libSDL2-2.0.so.0.16.0', 'O1', 'O3', 0.9234740083318239, 7.8577797412872314]
['BO', 27, 'CO', 270, 'perl', 'printf', 'O3', 'O2', 0.9609604320770224, 3.028837203979492]
['UO', 35, 'CO', 361, 'gprof', 'nice', 'O2', 'O0', 0.8872626913105294, 1.3229334354400635]
['CO', 20, 'BO', 27, 'mkfifo', 'perl', 'O3', 'O3', 0.9635540663668695, 3.399423360824585]
['UO', 23, 'BO', 35, 'cmp', 'make', 'O2', 'O3', 0.7260672116257947, 0.33932065963745117]
['BO', 16, 'CO', 1, 'make', 'touch', 'O0', 'O3', 0.6391193363114231, 0.3576178550720215]
['CO', 379, 'BO', 55, 'nohup', 'make', 'O0', 'O1', 0.726962457337884, 0.3473842144012451]
['BO', 14, 'CO', 104, 'cmp', 'sha384sum', 'O0', 'O1', 0.12660550458715591, 0.06093859672546387]
['UO', 83, 'CO', 52, 'diff', 'sha256sum', 'O0', 'O3', 0.5632451293980808, 0.19428801536560059]
['BO', 9, 'CO', 77, 'git', 'env', 'O0', 'O3', 0.9745302795791618, 8.509848594665527]
['UO', 22, 'BO', 5, 'diff3', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9655768651152461, 45.535202503204346]
['UO', 42, 'CO', 244, 'xargs', 'pinky', 'O2', 'O2', 0.3316274309109519, 0.08923578262329102]
['BO', 58, 'CO', 364, 'svn', 'sha256sum', 'O1', 'O0', 0.7208726597555315, 0.7271304130554199]
['CO', 40, 'BO', 18, 'sync', 'libvlc.so.12.0.0', 'O3', 'O1', 0.7591623036649214, 0.6148231029510498]
['UO', 23, 'BO', 33, 'cmp', 'sort', 'O2', 'O2', 0.43393393393393387, 0.13077497482299805]
['CO', 107, 'BO', 78, 'unlink', 'ssh', 'O1', 'O0', 0.9441391941391941, 3.1672775745391846]
['UO', 19, 'CO', 228, 'cmp', 'mkfifo', 'O1', 'O2', 0.22978382706164935, 0.03651618957519531]
['BO', 42, 'CO', 108, 'cmp', 'test', 'O1', 'O1', 0.08267716535433067, 0.04866313934326172]
['CO', 296, 'BO', 30, 'shred', 'libvlccore.so.9.0.0', 'O2', 'O2', 0.9222612055032129, 7.7204506397247314]
['CO', 194, 'UO', 63, 'tr', 'cmp', 'O1', 'O3', 0.09054857898215463, 0.045537471771240234]
['UO', 62, 'CO', 206, 'diff3', 'mknod', 'O3', 'O1', 0.2566265060240964, 0.048015594482421875]
['BO', 26, 'UO', 38, 'gvmap', 'elfedit', 'O3', 'O2', 0.5860917941585535, 0.1516399383544922]
['CO', 103, 'UO', 48, 'ln', 'ranlib', 'O3', 'O3', 0.7672181921917026, 1.5591490268707275]
['UO', 37, 'CO', 8, 'ar', 'dir', 'O2', 'O3', 0.6794135429262395, 1.681262493133545]
['BO', 2, 'CO', 104, 'perl', 'sha384sum', 'O1', 'O1', 0.9616823907658251, 3.2524142265319824]
['UO', 39, 'CO', 120, 'size', 'dirname', 'O2', 'O1', 0.9005444646098003, 1.1920971870422363]
['BO', 33, 'CO', 147, 'sort', 'chroot', 'O2', 'O1', 0.44030131826742, 0.12633132934570312]
['CO', 115, 'BO', 59, 'groups', 'libgeany.so.0.0.0', 'O1', 'O3', 0.9798796540052651, 38.11553645133972]
['CO', 261, 'UO', 18, 'chmod', 'diff3', 'O2', 'O1', 0.06653523903400693, 0.0706787109375]
['CO', 28, 'BO', 33, 'factor', 'sort', 'O3', 'O2', 0.32172131147540983, 0.13035798072814941]
['CO', 298, 'UO', 64, 'tr', 'diff', 'O2', 'O3', 0.5425059747354046, 0.12312078475952148]
['BO', 42, 'CO', 81, 'cmp', 'cat', 'O1', 'O3', 0.15644383184011024, 0.038632869720458984]
['CO', 362, 'UO', 75, 'dircolors', 'gprof', 'O0', 'O0', 0.9124022346368715, 3.3906595706939697]
['UO', 31, 'CO', 100, 'c++filt', 'tac', 'O2', 'O3', 0.8555085127465994, 1.1682190895080566]
['UO', 63, 'CO', 264, 'cmp', 'cut', 'O3', 'O2', 0.101010101010101, 0.03933095932006836]
['CO', 257, 'UO', 43, 'nice', 'find', 'O2', 'O2', 0.8244919978421147, 0.48255467414855957]
['BO', 81, 'CO', 84, 'sort', 'vdir', 'O3', 'O3', 0.060506566604127565, 0.22332239151000977]
['UO', 21, 'CO', 10, 'sdiff', 'users', 'O1', 'O3', 0.25819916517590935, 0.048375606536865234]
['UO', 4, 'CO', 387, 'strip', 'mv', 'O1', 'O0', 0.6052148365773045, 2.608985424041748]
['BO', 29, 'CO', 325, 'libvlc.so.12.0.0', 'printenv', 'O2', 'O0', 0.7608695652173914, 0.5317046642303467]
['UO', 5, 'CO', 8, 'readelf', 'dir', 'O1', 'O3', 0.4753330044400592, 0.5583229064941406]
['CO', 201, 'UO', 41, 'uniq', 'locate', 'O1', 'O2', 0.4665792922673657, 0.16827011108398438]
['CO', 108, 'UO', 50, 'test', 'strings', 'O1', 'O3', 0.8607339449541285, 1.196432113647461]
['CO', 289, 'BO', 82, 'cat', 'cp', 'O2', 'O3', 0.5887562572198691, 0.10700821876525879]
['UO', 37, 'CO', 302, 'ar', 'rm', 'O2', 'O2', 0.8047313226566946, 1.4706199169158936]
['UO', 30, 'CO', 150, 'ranlib', 'whoami', 'O2', 'O1', 0.9041084141006948, 1.3078727722167969]
['BO', 49, 'CO', 349, 'svn', 'truncate', 'O0', 'O0', 0.7871906841339156, 0.7167942523956299]
['CO', 292, 'BO', 47, 'vdir', 'libvlc.so.12.0.0', 'O2', 'O0', 0.48748609566184653, 1.1961398124694824]
['UO', 45, 'BO', 45, 'strip', 'diff', 'O3', 'O2', 0.7017735334242837, 1.745502233505249]
['CO', 147, 'UO', 21, 'chroot', 'sdiff', 'O1', 'O1', 0.15675057208237986, 0.06148934364318848]
['BO', 53, 'CO', 55, 'bash', 'cp', 'O0', 'O3', 0.8600468320494112, 5.537931680679321]
['UO', 0, 'CO', 2, 'locate', 'stat', 'O1', 'O3', 0.2988248461108003, 0.20528149604797363]
['CO', 39, 'UO', 57, 'paste', 'size', 'O3', 'O3', 0.8774797942689199, 1.1220617294311523]
['CO', 228, 'BO', 61, 'mkfifo', 'git', 'O2', 'O1', 0.9809729729729729, 9.197379112243652]
['BO', 5, 'CO', 374, 'libgeany.so.0.0.0', 'printf', 'O1', 'O0', 0.9684809201537826, 38.28306555747986]
['CO', 64, 'UO', 54, 'tty', 'addr2line', 'O3', 'O3', 0.8928803490206999, 1.1270606517791748]
['CO', 256, 'UO', 77, 'ls', 'ar', 'O2', 'O0', 0.7960086356695276, 4.654975175857544]
['BO', 70, 'CO', 53, 'diff', 'chmod', 'O3', 'O3', 0.3438335809806835, 0.13242292404174805]
['CO', 154, 'UO', 26, 'dircolors', 'nm', 'O1', 'O2', 0.87539654564681, 1.44606614112854]
['BO', 17, 'CO', 160, 'codeblocks', 'cut', 'O2', 'O1', 0.9624669054664382, 14.339954853057861]
['CO', 164, 'BO', 57, 'base64', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.9453025477707007, 6.648469924926758]
['CO', 325, 'UO', 43, 'printenv', 'find', 'O0', 'O2', 0.7869718309859155, 0.5401158332824707]
['BO', 27, 'CO', 94, 'perl', 'rm', 'O3', 'O3', 0.926521902125328, 3.209320545196533]
['UO', 3, 'CO', 124, 'nm', 'mkfifo', 'O1', 'O1', 0.9011054931870769, 1.4073266983032227]
['CO', 215, 'UO', 80, 'fmt', 'objdump', 'O2', 'O0', 0.9527064621254272, 5.687230348587036]
['BO', 65, 'CO', 273, 'gvmap', 'false', 'O0', 'O2', 0.8138518680358313, 0.22340154647827148]
['CO', 186, 'UO', 6, 'shuf', 'as', 'O1', 'O1', 0.8855627131489201, 3.2079057693481445]
['UO', 8, 'CO', 335, 'c++filt', 'pr', 'O1', 'O0', 0.7766757583271344, 1.5944507122039795]
['BO', 23, 'CO', 47, 'git', 'numfmt', 'O2', 'O3', 0.9659026626353262, 8.565073728561401]
['BO', 76, 'UO', 36, 'openssl', 'addr2line', 'O2', 'O2', 0.42605283018867923, 18.09826397895813]
['CO', 196, 'BO', 67, 'sha512sum', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.9299817008571704, 7.979655742645264]
['CO', 414, 'UO', 23, 'mknod', 'cmp', 'O0', 'O2', 0.37893864013267, 0.11590790748596191]
['BO', 8, 'CO', 32, 'cp', 'expr', 'O0', 'O3', 0.5720328439910426, 0.23300957679748535]
['CO', 259, 'BO', 30, 'realpath', 'libvlccore.so.9.0.0', 'O2', 'O2', 0.9427091633466136, 7.018690824508667]
['CO', 217, 'BO', 17, 'du', 'codeblocks', 'O2', 'O2', 0.9111245924016076, 24.545866012573242]
['UO', 45, 'CO', 245, 'strip', 'truncate', 'O3', 'O2', 0.9193473911035863, 1.3245580196380615]
['BO', 8, 'CO', 51, 'cp', 'realpath', 'O0', 'O3', 0.5764529807932153, 0.23933148384094238]
['CO', 133, 'UO', 83, 'nproc', 'diff', 'O1', 'O0', 0.6242057488653555, 0.22157597541809082]
['CO', 248, 'UO', 15, 'sync', 'elfedit', 'O2', 'O1', 0.22585794094173983, 0.035370826721191406]
['CO', 86, 'BO', 53, 'timeout', 'bash', 'O3', 'O0', 0.9412743952112775, 5.801609992980957]
['CO', 360, 'UO', 56, 'ls', 'elfedit', 'O0', 'O3', 0.5948790896159317, 0.22477221488952637]
['UO', 32, 'CO', 347, 'strings', 'base32', 'O2', 'O0', 0.8520499108734403, 1.2767713069915771]
['UO', 28, 'CO', 2, 'readelf', 'stat', 'O2', 'O3', 0.6377660334237966, 0.39437413215637207]
['CO', 260, 'UO', 76, 'sha256sum', 'addr2line', 'O2', 'O0', 0.9243115190997927, 3.276163339614868]
['CO', 263, 'UO', 8, 'cp', 'c++filt', 'O2', 'O1', 0.6958474509494917, 2.249356985092163]
['CO', 401, 'UO', 33, 'pathchk', 'objcopy', 'O0', 'O2', 0.8983989226395331, 1.8185977935791016]
['UO', 67, 'BO', 32, 'strip', 'ruby', 'O0', 'O2', 0.5004391176318644, 97.69507265090942]
['UO', 36, 'CO', 386, 'addr2line', 'unexpand', 'O2', 'O0', 0.859624120423978, 1.264714002609253]
['BO', 59, 'UO', 69, 'libgeany.so.0.0.0', 'as', 'O3', 'O0', 0.44225789155458206, 74.45652770996094]
['CO', 366, 'BO', 50, 'true', 'perl', 'O0', 'O2', 0.9645548254867683, 3.769078254699707]
['CO', 385, 'BO', 61, 'hostid', 'git', 'O0', 'O1', 0.9758077164366374, 9.51129698753357]
['CO', 290, 'BO', 0, 'shuf', 'codeblocks', 'O2', 'O1', 0.9517535913032225, 18.035104751586914]
['CO', 125, 'UO', 77, 'mktemp', 'ar', 'O1', 'O0', 0.9078593819973131, 3.524339199066162]
['CO', 340, 'UO', 2, 'factor', 'find', 'O0', 'O1', 0.5756945476155103, 0.7405524253845215]
['BO', 27, 'CO', 228, 'perl', 'mkfifo', 'O3', 'O2', 0.9714344733968778, 2.997727870941162]
['UO', 44, 'CO', 405, 'nm', 'nl', 'O3', 'O0', 0.8518782903542429, 1.1555726528167725]
['CO', 174, 'BO', 47, 'b2sum', 'libvlc.so.12.0.0', 'O1', 'O0', 0.7212041884816754, 0.9467127323150635]
