['BO', 76, 'CO', 141, 'openssl', 'truncate', 'O2', 'O1', 0.9472961373390558, 9.969279289245605]
['CO', 295, 'BO', 36, 'id', 'cluster', 'O2', 'O2', 0.6080553050796513, 0.16280484199523926]
['UO', 38, 'CO', 328, 'elfedit', 'dirname', 'O2', 'O0', 0.15160349854227406, 0.04352927207946777]
['CO', 292, 'UO', 55, 'vdir', 'ar', 'O2', 'O3', 0.6966379984362784, 1.8910727500915527]
['CO', 109, 'BO', 72, 'basename', 'make', 'O1', 'O2', 0.7850835994739809, 0.32033681869506836]
['UO', 85, 'CO', 116, 'locate', 'ptx', 'O0', 'O1', 0.4710982658959537, 0.2903780937194824]
['BO', 53, 'CO', 184, 'bash', 'uname', 'O0', 'O1', 0.9598784194528875, 4.7193028926849365]
['CO', 220, 'UO', 26, 'ptx', 'nm', 'O2', 'O2', 0.8222450552273312, 1.5197672843933105]
['CO', 310, 'UO', 86, 'mknod', 'xargs', 'O2', 'O0', 0.5131396957123098, 0.11284399032592773]
['UO', 25, 'CO', 239, 'sdiff', 'date', 'O2', 'O2', 0.0854572713643178, 0.06975436210632324]
['UO', 35, 'CO', 340, 'gprof', 'factor', 'O2', 'O0', 0.775173064820642, 1.558685302734375]
['BO', 83, 'CO', 130, 'lua', 'kill', 'O2', 'O1', 0.8312359252881176, 0.5023326873779297]
['CO', 150, 'UO', 79, 'whoami', 'size', 'O1', 'O0', 0.9338226589321653, 3.0827157497406006]
['CO', 107, 'BO', 2, 'unlink', 'perl', 'O1', 'O1', 0.9709277695403516, 3.7061593532562256]
['CO', 179, 'UO', 37, 'mv', 'ar', 'O1', 'O2', 0.6504897595725735, 2.2938690185546875]
['UO', 37, 'BO', 82, 'ar', 'cp', 'O2', 'O3', 0.6907999696117906, 1.6676356792449951]
['BO', 43, 'CO', 215, 'diff', 'fmt', 'O1', 'O2', 0.5846422338568935, 0.1334667205810547]
['CO', 105, 'UO', 76, 'touch', 'addr2line', 'O1', 'O0', 0.8740339139462452, 3.628004550933838]
['UO', 65, 'CO', 161, 'sdiff', 'od', 'O3', 'O1', 0.13026250619118374, 0.07036209106445312]
['BO', 51, 'CO', 79, 'lua', 'link', 'O1', 'O3', 0.8494487390698264, 0.5238223075866699]
['BO', 18, 'CO', 203, 'libvlc.so.12.0.0', 'sort', 'O1', 'O1', 0.4251296126867947, 0.845329999923706]
['CO', 64, 'UO', 77, 'tty', 'ar', 'O3', 'O0', 0.9343890118621943, 3.317143440246582]
['CO', 324, 'UO', 19, 'ptx', 'cmp', 'O0', 'O1', 0.28983451536643023, 0.08591175079345703]
['CO', 207, 'BO', 49, 'ln', 'svn', 'O1', 'O0', 0.6394712244625451, 1.1198654174804688]
['UO', 75, 'BO', 15, 'gprof', 'diff', 'O0', 'O0', 0.7288888888888889, 3.9437453746795654]
['UO', 45, 'CO', 337, 'strip', 'chgrp', 'O3', 'O0', 0.7961829312207418, 1.6103413105010986]
['CO', 173, 'BO', 51, 'who', 'lua', 'O1', 'O1', 0.8019508581306334, 0.6901888847351074]
['CO', 26, 'UO', 28, 'kill', 'readelf', 'O3', 'O2', 0.7929308726931499, 0.3410048484802246]
