['CO', 346, 'UO', 63, 'tail', 'cmp', 'O0', 'O3', 0.36533559898045875, 0.09897398948669434]
['CO', 43, 'UO', 78, 'chroot', 'elfedit', 'O3', 'O0', 0.15147705845380266, 0.04633331298828125]
['BO', 78, 'UO', 1, 'ssh', 'xargs', 'O0', 'O1', 0.8660090824747302, 3.132129669189453]
['CO', 333, 'BO', 27, 'mktemp', 'perl', 'O0', 'O3', 0.9448617176128093, 4.238401651382446]
['UO', 84, 'CO', 308, 'sdiff', 'tac', 'O0', 'O2', 0.2966793685356559, 0.0689992904663086]
['CO', 97, 'BO', 61, 'uniq', 'git', 'O3', 'O1', 0.9652509652509652, 9.952001571655273]
['BO', 36, 'UO', 57, 'cluster', 'size', 'O2', 'O3', 0.5853885528152629, 1.9644253253936768]
['BO', 18, 'CO', 187, 'libvlc.so.12.0.0', 'csplit', 'O1', 'O1', 0.6584212440887596, 0.6007380485534668]
['CO', 338, 'BO', 39, 'kill', 'codeblocks', 'O0', 'O3', 0.9619993854348049, 17.129220724105835]
['UO', 83, 'CO', 264, 'diff', 'cut', 'O0', 'O2', 0.6188178528347407, 0.1905369758605957]
['CO', 58, 'UO', 53, 'df', 'gprof', 'O3', 'O3', 0.7659796294811132, 1.5832161903381348]
['BO', 4, 'UO', 45, 'libgeany.so.0.0.0', 'strip', 'O2', 'O3', 0.6662559927150012, 50.49210548400879]
['BO', 66, 'CO', 351, 'svn', 'paste', 'O2', 'O0', 0.767368254470644, 0.6527245044708252]
['BO', 1, 'CO', 154, 'ssh', 'dircolors', 'O2', 'O1', 0.9108729908603845, 1.8633692264556885]
['BO', 80, 'CO', 284, 'ssh', 'md5sum', 'O3', 'O2', 0.9215885947046843, 1.655954360961914]
['UO', 69, 'BO', 7, 'as', 'sort', 'O0', 'O0', 0.8057142857142857, 6.159590482711792]
['BO', 55, 'CO', 48, 'make', 'ls', 'O1', 'O3', 0.36374513909661976, 0.4519977569580078]
['BO', 69, 'CO', 258, 'cmp', 'dircolors', 'O3', 'O2', 0.11159737417943105, 0.039071083068847656]
['CO', 381, 'BO', 75, 'who', 'gvmap', 'O0', 'O1', 0.5133454262762374, 0.20909428596496582]
['UO', 34, 'CO', 287, 'ld', 'link', 'O2', 'O2', 0.9448875997099347, 2.280521869659424]
['CO', 402, 'BO', 51, 'tr', 'lua', 'O0', 'O1', 0.760221927391147, 0.744617223739624]
['BO', 34, 'CO', 392, 'cp', 'uname', 'O2', 'O0', 0.5122330097087379, 0.11510682106018066]
['BO', 21, 'CO', 264, 'cp', 'cut', 'O1', 'O2', 0.5240963855421686, 0.12024354934692383]
['CO', 387, 'UO', 29, 'mv', 'as', 'O0', 'O2', 0.6771673260880453, 4.420815944671631]
['CO', 202, 'BO', 16, 'sleep', 'make', 'O1', 'O0', 0.7950690680188844, 0.3510470390319824]
['BO', 74, 'CO', 294, 'dot', 'timeout', 'O1', 'O2', 0.5297872340425532, 0.024031877517700195]
['BO', 38, 'CO', 415, 'acyclic', 'ln', 'O2', 'O0', 0.7247311827956989, 0.08100056648254395]
['CO', 412, 'BO', 28, 'tac', 'ruby', 'O0', 'O0', 0.9727642337862552, 20.240031242370605]
['CO', 290, 'UO', 57, 'shuf', 'size', 'O2', 'O3', 0.832855093256815, 1.28255295753479]
['BO', 60, 'CO', 131, 'openssl', 'wc', 'O0', 'O1', 0.9360285006195787, 11.905379295349121]
['UO', 78, 'CO', 65, 'elfedit', 'false', 'O0', 'O3', 0.2422907488986784, 0.034537553787231445]
['CO', 55, 'UO', 22, 'cp', 'diff3', 'O3', 'O2', 0.3796791443850267, 0.11878681182861328]
['BO', 52, 'CO', 310, 'svn', 'mknod', 'O3', 'O2', 0.829622458857696, 0.5605614185333252]
['CO', 130, 'UO', 2, 'kill', 'find', 'O1', 'O1', 0.7858225290452938, 0.5608119964599609]
['BO', 67, 'UO', 82, 'libSDL2-2.0.so.0.16.0', 'cmp', 'O1', 'O0', 0.913305007877023, 7.091013193130493]
['BO', 49, 'CO', 183, 'svn', 'link', 'O0', 'O1', 0.8360998953192762, 0.6647794246673584]
['BO', 65, 'CO', 173, 'gvmap', 'who', 'O0', 'O1', 0.677771047849788, 0.2680826187133789]
['UO', 8, 'CO', 179, 'c++filt', 'mv', 'O1', 'O1', 0.6397439804937519, 1.816540241241455]
['BO', 15, 'CO', 180, 'diff', 'md5sum', 'O0', 'O1', 0.5802178392699441, 0.19943809509277344]
['UO', 60, 'CO', 179, 'xargs', 'mv', 'O3', 'O1', 0.30498374864572053, 0.2264719009399414]
['BO', 68, 'CO', 68, 'git', 'yes', 'O3', 'O3', 0.9769704578445604, 8.247474193572998]
['BO', 71, 'CO', 6, 'libSDL2-2.0.so.0.16.0', 'mkdir', 'O0', 'O3', 0.9255576907009775, 8.573783874511719]
['UO', 1, 'CO', 264, 'xargs', 'cut', 'O1', 'O2', 0.37325349301397204, 0.09174942970275879]
['CO', 407, 'UO', 23, 'sha224sum', 'cmp', 'O0', 'O2', 0.14906457453228728, 0.061859846115112305]
['BO', 28, 'CO', 230, 'ruby', 'pwd', 'O0', 'O2', 0.9823820661583792, 17.507111310958862]
['CO', 338, 'UO', 12, 'kill', 'gprof', 'O0', 'O1', 0.8805826023980043, 1.7265870571136475]
['CO', 357, 'UO', 18, 'split', 'diff3', 'O0', 'O1', 0.10347864376926463, 0.09639382362365723]
['CO', 64, 'BO', 9, 'tty', 'git', 'O3', 'O0', 0.9773195471757342, 9.016347408294678]
['UO', 34, 'CO', 108, 'ld', 'test', 'O2', 'O1', 0.9099163254406266, 2.3657515048980713]
['CO', 179, 'UO', 17, 'mv', 'objdump', 'O1', 'O1', 0.7586523736600306, 4.425181150436401]
['CO', 174, 'BO', 31, 'b2sum', 'bash', 'O1', 'O2', 0.9292107404393816, 4.278459787368774]
['UO', 46, 'CO', 110, 'readelf', 'mkdir', 'O3', 'O1', 0.7475728155339806, 0.3159785270690918]
['CO', 221, 'UO', 65, 'printenv', 'sdiff', 'O2', 'O3', 0.399171270718232, 0.03904128074645996]
['UO', 68, 'CO', 296, 'readelf', 'shred', 'O0', 'O2', 0.789989350372737, 0.7291839122772217]
['CO', 51, 'BO', 38, 'realpath', 'acyclic', 'O3', 'O2', 0.5412186379928315, 0.022377729415893555]
['CO', 374, 'UO', 50, 'printf', 'strings', 'O0', 'O3', 0.8476815158968752, 1.2633368968963623]
['CO', 278, 'BO', 8, 'b2sum', 'cp', 'O2', 'O0', 0.6103298389158783, 0.26603031158447266]
['CO', 261, 'BO', 80, 'chmod', 'ssh', 'O2', 'O3', 0.8762117822520508, 2.2121469974517822]
['UO', 48, 'CO', 162, 'ranlib', 'df', 'O3', 'O1', 0.7664792634237758, 1.3440048694610596]
['CO', 71, 'BO', 50, 'readlink', 'perl', 'O3', 'O2', 0.9521983946328022, 3.6371560096740723]
['CO', 67, 'BO', 69, 'nohup', 'cmp', 'O3', 'O3', 0.13314840499306513, 0.03557610511779785]
['BO', 45, 'CO', 139, 'diff', 'base32', 'O2', 'O1', 0.5213615838832928, 0.1252307891845703]
['UO', 6, 'CO', 399, 'as', 'id', 'O1', 'O0', 0.902036804455851, 2.5287041664123535]
['UO', 14, 'CO', 227, 'ar', 'dd', 'O1', 'O2', 0.823728813559322, 1.5510227680206299]
['CO', 92, 'BO', 17, 'sha512sum', 'codeblocks', 'O3', 'O2', 0.9603298070939639, 16.7663631439209]
['CO', 350, 'BO', 61, 'sha1sum', 'git', 'O0', 'O1', 0.9658259699221722, 10.188228130340576]
['CO', 89, 'UO', 11, 'pathchk', 'ld', 'O3', 'O1', 0.9220613040190775, 2.8216638565063477]
['CO', 62, 'BO', 11, 'printf', 'ssh', 'O3', 'O1', 0.8995559447119895, 2.1696717739105225]
['UO', 37, 'CO', 192, 'ar', 'shred', 'O2', 'O1', 0.8238580348340454, 1.4515881538391113]
['BO', 53, 'CO', 239, 'bash', 'date', 'O0', 'O2', 0.9278905343135531, 4.93297266960144]
['UO', 3, 'CO', 155, 'nm', 'realpath', 'O1', 'O1', 0.8643583494411295, 1.4515328407287598]
['CO', 166, 'BO', 42, 'printf', 'cmp', 'O1', 'O1', 0.08338804990151016, 0.047635793685913086]
['UO', 4, 'CO', 347, 'strip', 'base32', 'O1', 'O0', 0.880943842788496, 1.7804429531097412]
['BO', 34, 'CO', 368, 'cp', 'cut', 'O2', 'O0', 0.3837953091684435, 0.13608241081237793]
['UO', 29, 'CO', 14, 'as', 'stty', 'O2', 'O3', 0.8990471869328494, 2.210725784301758]
['UO', 20, 'CO', 288, 'diff', 'uname', 'O1', 'O2', 0.6581446311176041, 0.11819934844970703]
['BO', 48, 'CO', 326, 'libvlccore.so.9.0.0', 'stty', 'O0', 'O0', 0.9433491824191117, 14.837916135787964]
