['CO', 410, 'UO', 23, 'sleep', 'cmp', 'O0', 'O2', 0.12517580872011247, 0.04823422431945801]
['BO', 79, 'CO', 319, 'bash', 'fmt', 'O3', 'O0', 0.936529054979456, 3.3667092323303223]
['UO', 54, 'CO', 269, 'addr2line', 'cksum', 'O3', 'O2', 0.9079255169832506, 1.020141363143921]
['CO', 224, 'UO', 24, 'dirname', 'diff', 'O2', 'O2', 0.6534541336353341, 0.1183629035949707]
['BO', 72, 'CO', 321, 'make', 'du', 'O2', 'O0', 0.3626846407572064, 0.556668758392334]
['BO', 22, 'UO', 35, 'perl', 'gprof', 'O0', 'O2', 0.4724241928319266, 9.68579649925232]
['CO', 248, 'UO', 56, 'sync', 'elfedit', 'O2', 'O3', 0.20529801324503305, 0.03372788429260254]
['UO', 51, 'CO', 413, 'objcopy', 'rmdir', 'O3', 'O0', 0.8915434205536594, 1.4173848628997803]
['CO', 79, 'UO', 57, 'link', 'size', 'O3', 'O3', 0.8903273534307379, 1.1099858283996582]
['UO', 80, 'CO', 201, 'objdump', 'uniq', 'O0', 'O1', 0.9356287425149701, 5.243084907531738]
['UO', 32, 'CO', 357, 'strings', 'split', 'O2', 'O0', 0.7870657034743722, 1.376291036605835]
['CO', 292, 'UO', 10, 'vdir', 'objcopy', 'O2', 'O1', 0.7412202084578106, 2.688943862915039]
['UO', 49, 'BO', 80, 'c++filt', 'ssh', 'O3', 'O3', 0.20660039761431415, 5.371838331222534]
['CO', 304, 'BO', 13, 'fold', 'ruby', 'O2', 'O1', 0.9834069275313603, 18.65305495262146]
['UO', 7, 'CO', 139, 'ranlib', 'base32', 'O1', 'O1', 0.887565274151436, 1.4990527629852295]
['UO', 18, 'CO', 303, 'diff3', 'sha224sum', 'O1', 'O2', 0.23684210526315785, 0.05555224418640137]
['UO', 82, 'BO', 64, 'cmp', 'dot', 'O0', 'O0', 0.6130742049469965, 0.03259086608886719]
['UO', 59, 'CO', 36, 'locate', 'pinky', 'O3', 'O3', 0.45642438856355494, 0.13621926307678223]
['CO', 336, 'BO', 45, 'tee', 'diff', 'O0', 'O2', 0.4747474747474747, 0.15091443061828613]
['BO', 44, 'UO', 56, 'cmp', 'elfedit', 'O2', 'O3', 0.12261580381471393, 0.0415496826171875]
['UO', 25, 'CO', 375, 'sdiff', 'logname', 'O2', 'O0', 0.23231058234189106, 0.05552530288696289]
['UO', 29, 'CO', 227, 'as', 'dd', 'O2', 'O2', 0.8748040313549832, 2.3338749408721924]
['BO', 35, 'UO', 78, 'make', 'elfedit', 'O3', 'O0', 0.7074573225516622, 0.3040478229522705]
['CO', 115, 'UO', 66, 'groups', 'nm', 'O1', 'O0', 0.9253878784357022, 3.242016315460205]
['CO', 325, 'UO', 64, 'printenv', 'diff', 'O0', 'O3', 0.5764131193300768, 0.13045263290405273]
['UO', 59, 'CO', 47, 'locate', 'numfmt', 'O3', 'O3', 0.42299932750504365, 0.13484430313110352]
['CO', 293, 'BO', 83, '[', 'lua', 'O2', 'O2', 0.8194261647802054, 0.5619838237762451]
['CO', 343, 'BO', 2, 'date', 'perl', 'O0', 'O1', 0.9318989904232955, 4.782064914703369]
['CO', 55, 'UO', 66, 'cp', 'nm', 'O3', 'O0', 0.7813204508856683, 4.317535877227783]
['CO', 88, 'UO', 66, 'shred', 'nm', 'O3', 'O0', 0.8695480449133893, 3.609555244445801]
['CO', 248, 'BO', 23, 'sync', 'git', 'O2', 'O2', 0.9805836690576791, 9.242027282714844]
['CO', 313, 'UO', 16, 'touch', 'size', 'O0', 'O1', 0.7913828477636439, 1.9955196380615234]
['CO', 2, 'UO', 21, 'stat', 'sdiff', 'O3', 'O1', 0.1544214694236692, 0.08365511894226074]
['UO', 45, 'CO', 56, 'strip', 'cut', 'O3', 'O3', 0.8852607709750567, 1.3540019989013672]
['CO', 97, 'BO', 67, 'uniq', 'libSDL2-2.0.so.0.16.0', 'O3', 'O1', 0.915145723841376, 7.906726121902466]
['CO', 365, 'UO', 42, 'chmod', 'xargs', 'O0', 'O2', 0.10976072920622859, 0.14454007148742676]
['UO', 83, 'CO', 117, 'diff', 'printenv', 'O0', 'O1', 0.6681168427594779, 0.1845700740814209]
['CO', 360, 'UO', 46, 'ls', 'readelf', 'O0', 'O3', 0.3524448040688938, 0.7487585544586182]
['CO', 59, 'UO', 23, 'tsort', 'cmp', 'O3', 'O2', 0.13571910871033088, 0.03844594955444336]
['CO', 370, 'BO', 24, 'df', 'cluster', 'O0', 'O3', 0.2194790486976217, 0.2943727970123291]
['CO', 342, 'BO', 33, 'expand', 'sort', 'O0', 'O2', 0.4258016405667413, 0.14001941680908203]
['CO', 63, 'UO', 72, 'logname', 'strings', 'O3', 'O0', 0.9313789617648808, 3.196052074432373]
['BO', 5, 'CO', 77, 'libgeany.so.0.0.0', 'env', 'O1', 'O3', 0.9743148502230721, 37.600911378860474]
['BO', 51, 'CO', 235, 'lua', 'wc', 'O1', 'O2', 0.8167558819868044, 0.568359375]
['BO', 34, 'CO', 62, 'cp', 'printf', 'O2', 'O3', 0.4238892935178442, 0.10917282104492188]
['CO', 190, 'UO', 24, 'timeout', 'diff', 'O1', 'O2', 0.46194926568758343, 0.1526322364807129]
['UO', 71, 'CO', 390, 'c++filt', 'chcon', 'O0', 'O0', 0.8189402480270574, 3.254138946533203]
['CO', 146, 'BO', 44, 'sum', 'cmp', 'O1', 'O2', 0.10033670033670039, 0.04798316955566406]
['CO', 185, 'UO', 28, 'cat', 'readelf', 'O1', 'O2', 0.8033354310887351, 0.3580350875854492]
['BO', 54, 'CO', 29, 'lua', 'nproc', 'O3', 'O3', 0.8272308109574179, 0.3930392265319824]
['UO', 66, 'CO', 193, 'nm', 'pathchk', 'O0', 'O1', 0.9331388564760793, 2.885955572128296]
['CO', 36, 'UO', 48, 'pinky', 'ranlib', 'O3', 'O3', 0.8622348192046724, 1.3194091320037842]
['CO', 291, 'UO', 67, 'csplit', 'strip', 'O2', 'O0', 0.9132499134477472, 4.08326530456543]
['BO', 17, 'CO', 261, 'codeblocks', 'chmod', 'O2', 'O2', 0.9486584705791387, 14.338541746139526]
['UO', 30, 'BO', 58, 'ranlib', 'svn', 'O2', 'O1', 0.3440576230492196, 3.22591495513916]
['CO', 380, 'UO', 71, 'yes', 'c++filt', 'O0', 'O0', 0.9243752609292062, 3.146209716796875]
['CO', 386, 'BO', 23, 'unexpand', 'git', 'O0', 'O2', 0.9692061196975322, 9.782539367675781]
['UO', 85, 'CO', 0, 'locate', 'sha384sum', 'O0', 'O3', 0.6041009463722398, 0.2363424301147461]
['UO', 66, 'CO', 184, 'nm', 'uname', 'O0', 'O1', 0.9344932274638019, 2.8451268672943115]
['BO', 37, 'CO', 322, 'gvmap', 'users', 'O2', 'O0', 0.6071025930101466, 0.16990113258361816]
['UO', 65, 'CO', 20, 'sdiff', 'mkfifo', 'O3', 'O3', 0.2797546012269938, 0.04296278953552246]
['CO', 167, 'BO', 8, 'logname', 'cp', 'O1', 'O0', 0.7021621621621622, 0.24616646766662598]
['CO', 51, 'BO', 49, 'realpath', 'svn', 'O3', 'O0', 0.7556444698485282, 0.8184435367584229]
['CO', 42, 'BO', 58, 'sum', 'svn', 'O3', 'O1', 0.7550055178937412, 0.7406249046325684]
['BO', 59, 'CO', 223, 'libgeany.so.0.0.0', 'join', 'O3', 'O2', 0.9763491318629751, 33.73289227485657]
['CO', 95, 'BO', 48, 'sha224sum', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.9561715786402101, 16.07063627243042]
['BO', 34, 'UO', 81, 'cp', 'diff3', 'O2', 'O0', 0.2195121951219512, 0.17337703704833984]
['BO', 51, 'UO', 6, 'lua', 'as', 'O1', 'O1', 0.40970339497430497, 6.988015413284302]
['UO', 29, 'CO', 31, 'as', 'date', 'O2', 'O3', 0.8721833939055074, 2.360442638397217]
