['CO', 283, 'BO', 30, 'mv', 'libvlccore.so.9.0.0', 'O2', 'O2', 0.82908995462897, 10.193697929382324]
['CO', 21, 'BO', 78, 'mktemp', 'ssh', 'O3', 'O0', 0.9132872734554921, 3.304448127746582]
['BO', 4, 'CO', 244, 'libgeany.so.0.0.0', 'pinky', 'O2', 'O2', 0.9791282214444798, 36.96592926979065]
['CO', 221, 'UO', 26, 'printenv', 'nm', 'O2', 'O2', 0.9209314920119145, 1.3454198837280273]
['UO', 86, 'CO', 38, 'xargs', 'sha1sum', 'O0', 'O3', 0.38777219430485754, 0.11804890632629395]
['UO', 53, 'CO', 377, 'gprof', 'false', 'O3', 'O0', 0.8985944640855393, 1.1493258476257324]
['CO', 296, 'UO', 70, 'shred', 'ranlib', 'O2', 'O0', 0.8906449287417513, 3.759683609008789]
['UO', 74, 'CO', 395, 'ld', 'csplit', 'O0', 'O0', 0.9001749176260017, 5.788025856018066]
['CO', 98, 'UO', 30, 'sleep', 'ranlib', 'O3', 'O2', 0.8954918032786885, 1.437446117401123]
['BO', 11, 'UO', 44, 'ssh', 'nm', 'O1', 'O3', 0.19962445722333055, 4.847967863082886]
['UO', 5, 'CO', 347, 'readelf', 'base32', 'O1', 'O0', 0.7560975609756098, 0.41101694107055664]
['UO', 21, 'BO', 65, 'sdiff', 'gvmap', 'O1', 'O0', 0.619324796274738, 0.313732385635376]
['CO', 327, 'UO', 61, 'join', 'find', 'O0', 'O3', 0.6683604336043361, 0.5238943099975586]
['BO', 24, 'CO', 297, 'cluster', 'pathchk', 'O3', 'O2', 0.6905063291139241, 0.13118481636047363]
['BO', 82, 'CO', 294, 'cp', 'timeout', 'O3', 'O2', 0.48524118070554356, 0.11153531074523926]
['BO', 17, 'CO', 30, 'codeblocks', 'expand', 'O2', 'O3', 0.9635881986287139, 14.390528440475464]
['CO', 150, 'BO', 28, 'whoami', 'ruby', 'O1', 'O0', 0.9830145394327039, 19.58800983428955]
['CO', 91, 'BO', 32, 'comm', 'ruby', 'O3', 'O2', 0.9741698671107637, 21.730645656585693]
['BO', 51, 'CO', 155, 'lua', 'realpath', 'O1', 'O1', 0.8008390918065152, 0.5744903087615967]
['CO', 256, 'UO', 71, 'ls', 'c++filt', 'O2', 'O0', 0.785765636232926, 4.29238224029541]
['CO', 314, 'UO', 71, 'stat', 'c++filt', 'O0', 'O0', 0.8201613358154228, 4.229574680328369]
['BO', 65, 'CO', 91, 'gvmap', 'comm', 'O0', 'O3', 0.693341478313989, 0.2451920509338379]
['BO', 56, 'CO', 76, 'libvlc.so.12.0.0', 'md5sum', 'O3', 'O3', 0.7255555555555555, 0.5120830535888672]
['UO', 75, 'CO', 271, 'gprof', 'logname', 'O0', 'O2', 0.9478775463753272, 2.8804521560668945]
['UO', 11, 'CO', 76, 'ld', 'md5sum', 'O1', 'O3', 0.9124797406807131, 2.64165997505188]
['UO', 54, 'CO', 111, 'addr2line', 'fmt', 'O3', 'O1', 0.8725319129396639, 1.0645685195922852]
['CO', 377, 'UO', 85, 'false', 'locate', 'O0', 'O0', 0.6757650951199339, 0.2627265453338623]
['UO', 30, 'CO', 137, 'ranlib', 'chown', 'O2', 'O1', 0.8018018018018018, 1.4774649143218994]
['CO', 3, 'UO', 73, 'unlink', 'objcopy', 'O3', 'O0', 0.9406039931774857, 3.774810314178467]
['UO', 12, 'CO', 197, 'gprof', 'nl', 'O1', 'O1', 0.8877221324717286, 1.4815490245819092]
['CO', 339, 'UO', 45, 'wc', 'strip', 'O0', 'O3', 0.8549646708813685, 1.780940055847168]
['BO', 35, 'CO', 306, 'make', 'sleep', 'O3', 'O2', 0.8119755911517925, 0.26621437072753906]
['UO', 63, 'CO', 112, 'cmp', 'dir', 'O3', 'O1', 0.46803249735075947, 0.14422893524169922]
['CO', 357, 'UO', 4, 'split', 'strip', 'O0', 'O1', 0.8274684690962302, 2.347829580307007]
['BO', 71, 'CO', 7, 'libSDL2-2.0.so.0.16.0', 'fmt', 'O0', 'O3', 0.939251156920488, 8.608282327651978]
['CO', 371, 'BO', 1, 'tsort', 'ssh', 'O0', 'O2', 0.902837057494351, 2.3623225688934326]
['CO', 135, 'BO', 46, 'date', 'ruby', 'O1', 'O3', 0.9662203102278235, 21.731950521469116]
['UO', 20, 'BO', 48, 'diff', 'libvlccore.so.9.0.0', 'O1', 'O0', 0.8735224255973173, 22.607710361480713]
['CO', 409, 'UO', 82, 'uniq', 'cmp', 'O0', 'O0', 0.07910529187124937, 0.07721447944641113]
['UO', 48, 'CO', 301, 'ranlib', 'nl', 'O3', 'O2', 0.8959335373852209, 1.1507792472839355]
['CO', 405, 'UO', 11, 'nl', 'ld', 'O0', 'O1', 0.9043227665706052, 3.1593856811523438]
['UO', 17, 'BO', 33, 'objdump', 'sort', 'O1', 'O2', 0.8028655093076762, 3.2114880084991455]
['BO', 50, 'CO', 349, 'perl', 'truncate', 'O2', 'O0', 0.9560650621211212, 3.2719900608062744]
['BO', 6, 'CO', 138, 'codeblocks', 'tail', 'O0', 'O1', 0.9560354659504802, 39.647594690322876]
