['BO', 0, 'CO', 375, 'codeblocks', 'logname', 'O1', 'O0', 0.9675921093831542, 14.309772968292236]
['CO', 281, 'BO', 73, 'hostid', 'cluster', 'O2', 'O1', 0.7166093212386613, 0.15337443351745605]
['UO', 22, 'CO', 113, 'diff3', 'du', 'O2', 'O1', 0.3309222423146474, 0.1397078037261963]
['BO', 6, 'CO', 218, 'codeblocks', 'users', 'O0', 'O2', 0.979559163005436, 39.00242233276367]
['CO', 19, 'BO', 13, 'dd', 'ruby', 'O3', 'O1', 0.9597518078473407, 21.784059047698975]
['BO', 17, 'CO', 40, 'codeblocks', 'sync', 'O2', 'O3', 0.9672156740301303, 14.34849238395691]
['CO', 25, 'UO', 48, 'chgrp', 'ranlib', 'O3', 'O3', 0.8003819646267541, 1.4326951503753662]
['CO', 44, 'UO', 9, 'seq', 'strings', 'O3', 'O1', 0.8695727084769125, 1.5163936614990234]
['BO', 26, 'CO', 109, 'gvmap', 'basename', 'O3', 'O1', 0.6675430908559743, 0.1468486785888672]
['UO', 40, 'CO', 347, 'objdump', 'base32', 'O2', 'O0', 0.9046689255154196, 2.438652276992798]
['CO', 313, 'UO', 31, 'touch', 'c++filt', 'O0', 'O2', 0.7802748725041058, 1.743791103363037]
['CO', 292, 'BO', 62, 'vdir', 'bash', 'O2', 'O1', 0.8452196690082152, 5.7584240436553955]
['UO', 40, 'CO', 159, 'objdump', 'cp', 'O2', 'O1', 0.7835223303057989, 3.0493738651275635]
['BO', 34, 'CO', 303, 'cp', 'sha224sum', 'O2', 'O2', 0.5058094500387297, 0.10920929908752441]
['BO', 52, 'CO', 242, 'svn', 'tail', 'O3', 'O2', 0.6770186335403726, 0.6747443675994873]
['UO', 5, 'BO', 24, 'readelf', 'cluster', 'O1', 'O3', 0.3823733518390007, 0.6186494827270508]
['CO', 386, 'BO', 49, 'unexpand', 'svn', 'O0', 'O0', 0.7727403984984118, 0.9066166877746582]
['UO', 33, 'CO', 308, 'objcopy', 'tac', 'O2', 'O2', 0.9028121484814399, 1.5519332885742188]
