['UO', 52, 'CO', 71, 'ld', 'readlink', 'O3', 'O3', 0.9051133996071195, 2.2448787689208984]
['UO', 14, 'CO', 40, 'ar', 'sync', 'O1', 'O3', 0.8966959088300401, 1.5299115180969238]
['UO', 17, 'CO', 45, 'objdump', 'split', 'O1', 'O3', 0.8803866950679994, 2.9083340167999268]
['BO', 8, 'CO', 336, 'cp', 'tee', 'O0', 'O0', 0.6029524051921609, 0.26728177070617676]
['UO', 6, 'CO', 259, 'as', 'realpath', 'O1', 'O2', 0.920705817480011, 2.6599485874176025]
['CO', 232, 'BO', 41, 'tee', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.9407619141491301, 7.980452060699463]
['CO', 341, 'BO', 66, 'nproc', 'svn', 'O0', 'O2', 0.7766465160674515, 0.7919600009918213]
['UO', 67, 'BO', 36, 'strip', 'cluster', 'O0', 'O2', 0.7571765988372093, 4.443533658981323]
['CO', 135, 'UO', 87, 'date', 'find', 'O1', 'O0', 0.7190020161290323, 1.0670897960662842]
['UO', 73, 'CO', 1, 'objcopy', 'touch', 'O0', 'O3', 0.8891439175660497, 3.7312023639678955]
['CO', 132, 'UO', 5, 'factor', 'readelf', 'O1', 'O1', 0.711340206185567, 0.49016904830932617]
['BO', 53, 'CO', 73, 'bash', 'hostid', 'O0', 'O3', 0.9590377810344212, 4.823883295059204]
['UO', 10, 'CO', 204, 'objcopy', 'tac', 'O1', 'O1', 0.8937107372373456, 1.7823987007141113]
['CO', 367, 'UO', 6, 'cp', 'as', 'O0', 'O1', 0.6939460247994165, 4.896703720092773]
['CO', 343, 'BO', 37, 'date', 'gvmap', 'O0', 'O2', 0.3719644145227219, 0.24527215957641602]
['CO', 116, 'UO', 79, 'ptx', 'size', 'O1', 'O0', 0.8724209078404401, 3.6199166774749756]
['CO', 330, 'UO', 1, 'uptime', 'xargs', 'O0', 'O1', 0.1970421922575033, 0.1259918212890625]
['BO', 76, 'CO', 270, 'openssl', 'printf', 'O2', 'O2', 0.9430431244914564, 10.52792739868164]
['CO', 359, 'BO', 71, 'numfmt', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.9058881905391994, 11.095903635025024]
['UO', 70, 'CO', 185, 'ranlib', 'cat', 'O0', 'O1', 0.9292666364870983, 3.079803228378296]
['CO', 202, 'BO', 51, 'sleep', 'lua', 'O1', 'O1', 0.8513256374476722, 0.6340022087097168]
['CO', 8, 'UO', 80, 'dir', 'objdump', 'O3', 'O0', 0.8410427356829844, 7.832825660705566]
['UO', 51, 'CO', 165, 'objcopy', 'cksum', 'O3', 'O1', 0.9095015695582268, 1.3610773086547852]
['CO', 302, 'BO', 50, 'rm', 'perl', 'O2', 'O2', 0.9289159835459146, 4.532817125320435]
['CO', 376, 'UO', 77, 'tty', 'ar', 'O0', 'O0', 0.9292426129287897, 3.4172849655151367]
['CO', 83, 'UO', 0, 'csplit', 'locate', 'O3', 'O1', 0.4000602954476937, 0.17816925048828125]
