['BV', 66, 'CV', 288, 'lua', 'expr', 'V1', 'V1', 0.6557422197741669, 0.4434208869934082]
['CV', 321, 'UV', 61, 'hostid', 'addr2line', 'V1', 'V1', 0.9349299593312246, 1.2268588542938232]
['CV', 240, 'UV', 82, 'link', 'gprof', 'V0', 'V0', 0.9379980733864611, 1.2167699337005615]
['CV', 35, 'UV', 54, 'sum', 'as', 'V2', 'V1', 0.9276955113373438, 2.3624918460845947]
['CV', 90, 'BV', 68, 'test', 'dot', 'V3', 'V0', 0.5537190082644629, 0.019086122512817383]
['UV', 38, 'BV', 19, 'xargs', 'cp', 'V3', 'V3', 0.24237940218999698, 0.1849689483642578]
['UV', 1, 'CV', 245, 'xargs', '[', 'V2', 'V0', 0.4514480408858603, 0.0493311882019043]
['CV', 90, 'UV', 58, 'test', 'objcopy', 'V3', 'V1', 0.8978764346093052, 1.8671391010284424]
['BV', 46, 'CV', 175, 'cluster', 'stat', 'V3', 'V0', 0.6844362745098039, 0.1443462371826172]
['BV', 58, 'CV', 333, 'ruby', 'id', 'V3', 'V1', 0.6660617059891107, 0.008873462677001953]
['BV', 30, 'CV', 259, 'bash', 'mknod', 'V0', 'V0', 0.9583707696915245, 2.557530641555786]
['BV', 16, 'CV', 263, 'libvlc.so', 'unlink', 'V3', 'V1', 0.8571995239984134, 0.39051127433776855]
['BV', 14, 'CV', 267, 'openssl', 'fmt', 'V3', 'V1', 0.9531397421113325, 7.173853158950806]
['BV', 7, 'CV', 100, 'libSDL2-2.0.so', 'join', 'V0', 'V3', 0.8695885990857758, 4.083514928817749]
['UV', 56, 'BV', 35, 'c++filt', 'libvlccore.so', 'V1', 'V2', 0.3273411642546564, 14.408931970596313]
['CV', 310, 'UV', 56, 'tsort', 'c++filt', 'V1', 'V1', 0.920574336604871, 1.2079980373382568]
['UV', 65, 'CV', 204, 'objdump', 'pinky', 'V1', 'V0', 0.9289366053169734, 1.9449470043182373]
['CV', 286, 'UV', 86, 'expand', 'size', 'V1', 'V0', 0.9319197335283126, 1.1522016525268555]
['BV', 25, 'CV', 289, 'git', 'chown', 'V3', 'V1', 0.9744644016446656, 12.354460954666138]
['UV', 64, 'CV', 218, 'size', 'true', 'V1', 'V0', 0.941931982633864, 1.1127352714538574]
['UV', 11, 'CV', 306, 'ranlib', 'cp', 'V2', 'V1', 0.818989181333764, 1.457252025604248]
['CV', 160, 'BV', 47, 'shred', 'dot', 'V3', 'V3', 0.6741491672700941, 0.03578829765319824]
['UV', 64, 'CV', 64, 'size', 'md5sum', 'V1', 'V2', 0.896308072778661, 1.1919023990631104]
['BV', 57, 'CV', 9, 'svn', 'users', 'V2', 'V2', 0.7987582176771366, 0.4631836414337158]
['CV', 275, 'UV', 55, 'dirname', 'ranlib', 'V1', 'V1', 0.9342363063293296, 1.3477368354797363]
['CV', 141, 'UV', 53, 'false', 'readelf', 'V3', 'V1', 0.6944757609921083, 0.11612629890441895]
['UV', 22, 'CV', 232, 'nm', 'readlink', 'V3', 'V0', 0.9245794899620184, 1.1836979389190674]
['UV', 57, 'CV', 297, 'strings', 'chroot', 'V1', 'V1', 0.9315589353612167, 1.1266565322875977]
['CV', 120, 'UV', 50, 'sync', 'find', 'V3', 'V1', 0.695715676728335, 0.22130393981933594]
['CV', 217, 'BV', 7, 'chmod', 'libSDL2-2.0.so', 'V0', 'V0', 0.9078992519387825, 4.438657999038696]
['BV', 62, 'CV', 82, 'diff', 'sort', 'V0', 'V2', 0.14084009883515702, 0.11268258094787598]
['BV', 34, 'CV', 205, 'svn', 'sha1sum', 'V0', 'V0', 0.8036978756884343, 0.40662598609924316]
['BV', 44, 'UV', 42, 'make', 'diff', 'V0', 'V3', 0.2857595940374247, 0.3872501850128174]
['CV', 127, 'BV', 38, 'ls', 'ruby', 'V3', 'V2', 0.9172661870503597, 0.07015061378479004]
['BV', 9, 'CV', 243, 'dot', 'csplit', 'V2', 'V0', 0.7262773722627737, 0.03685498237609863]
['CV', 182, 'UV', 71, 'du', 'xargs', 'V0', 'V0', 0.26913875598086123, 0.054459571838378906]
['CV', 146, 'UV', 81, 'head', 'ld', 'V3', 'V0', 0.8969348659003832, 2.116631269454956]
['CV', 62, 'UV', 77, 'unexpand', 'ranlib', 'V2', 'V0', 0.9080338266384778, 1.2855100631713867]
['BV', 15, 'CV', 303, 'libvlccore.so', 'dircolors', 'V3', 'V1', 0.9526462395543176, 4.35575270652771]
['BV', 41, 'UV', 87, 'libvlccore.so', 'objdump', 'V1', 'V0', 0.1441963054866281, 9.492204427719116]
['BV', 68, 'CV', 173, 'dot', 'ln', 'V0', 'V3', 0.727932285368803, 0.04703068733215332]
['UV', 66, 'CV', 323, 'diff3', 'unexpand', 'V0', 'V1', 0.39598278335724535, 0.033205509185791016]
['UV', 59, 'BV', 59, 'ld', 'make', 'V1', 'V1', 0.5646743978590544, 3.0742485523223877]
