['UO', 35, 'CO', 13, 'gprof', 'printenv', 'O2', 'O3', 0.9054293675588956, 1.2115254402160645]
['BO', 83, 'CO', 363, 'lua', 'realpath', 'O2', 'O0', 0.7552056881665821, 0.5778889656066895]
['CO', 184, 'BO', 48, 'uname', 'libvlccore.so.9.0.0', 'O1', 'O0', 0.9670736001878155, 15.809314489364624]
['CO', 251, 'UO', 17, 'chroot', 'objdump', 'O2', 'O1', 0.926257483354781, 2.9025139808654785]
['UO', 43, 'CO', 257, 'find', 'nice', 'O2', 'O2', 0.8244919978421147, 0.4293935298919678]
['UO', 40, 'CO', 341, 'objdump', 'nproc', 'O2', 'O0', 0.918662501446257, 2.3186216354370117]
['UO', 72, 'CO', 122, 'strings', 'uptime', 'O0', 'O1', 0.9042035527935744, 2.8563084602355957]
['CO', 208, 'UO', 64, 'sha384sum', 'diff', 'O2', 'O3', 0.559696342305038, 0.1227579116821289]
['BO', 28, 'UO', 66, 'ruby', 'nm', 'O0', 'O0', 0.5950824279900768, 34.90181756019592]
['BO', 76, 'CO', 74, 'openssl', 'unexpand', 'O2', 'O3', 0.9390572246677208, 9.891392469406128]
['UO', 13, 'CO', 217, 'addr2line', 'du', 'O1', 'O2', 0.7222968169970776, 1.6842916011810303]
['CO', 11, 'UO', 86, 'groups', 'xargs', 'O3', 'O0', 0.43327556325823224, 0.11199808120727539]
['CO', 254, 'BO', 82, 'whoami', 'cp', 'O2', 'O3', 0.6314748912613681, 0.09760761260986328]
['BO', 75, 'CO', 58, 'gvmap', 'df', 'O1', 'O3', 0.34095586553853185, 0.2264406681060791]
['CO', 415, 'BO', 73, 'ln', 'cluster', 'O0', 'O1', 0.26386013342535075, 0.2843751907348633]
['CO', 161, 'UO', 5, 'od', 'readelf', 'O1', 'O1', 0.7110952040085898, 0.488109827041626]
['UO', 3, 'CO', 17, 'nm', 'stdbuf', 'O1', 'O3', 0.8714358022608403, 1.3957655429840088]
['CO', 294, 'UO', 84, 'timeout', 'sdiff', 'O2', 'O0', 0.25210084033613445, 0.07652091979980469]
['CO', 305, 'UO', 58, 'uniq', 'objdump', 'O2', 'O3', 0.9166378016395336, 2.3356144428253174]
['CO', 94, 'BO', 65, 'rm', 'gvmap', 'O3', 'O0', 0.535483870967742, 0.3157827854156494]
['UO', 6, 'CO', 165, 'as', 'cksum', 'O1', 'O1', 0.934358860443161, 2.414797782897949]
['BO', 47, 'CO', 362, 'libvlc.so.12.0.0', 'dircolors', 'O0', 'O0', 0.7414537006306007, 0.7839343547821045]
['CO', 414, 'BO', 4, 'mknod', 'libgeany.so.0.0.0', 'O0', 'O2', 0.9480755378785506, 54.496906995773315]
['CO', 9, 'UO', 29, 'du', 'as', 'O3', 'O2', 0.8008928091217125, 3.1641783714294434]
['CO', 84, 'UO', 63, 'vdir', 'cmp', 'O3', 'O3', 0.4774774774774775, 0.11835670471191406]
['BO', 6, 'CO', 382, 'codeblocks', 'b2sum', 'O0', 'O0', 0.9603266780967129, 39.33006691932678]
['CO', 304, 'UO', 62, 'fold', 'diff3', 'O2', 'O3', 0.3173198482932996, 0.04283404350280762]
['UO', 36, 'BO', 7, 'addr2line', 'sort', 'O2', 'O0', 0.5968198149988533, 1.861743450164795]
['CO', 247, 'UO', 55, 'paste', 'ar', 'O2', 'O3', 0.9064368624692226, 1.2081923484802246]
['BO', 62, 'CO', 380, 'bash', 'yes', 'O1', 'O0', 0.9469033960051925, 3.5158538818359375]
['UO', 61, 'CO', 134, 'find', 'expand', 'O3', 'O1', 0.7601858470335954, 0.383608341217041]
['BO', 9, 'CO', 101, 'git', 'rmdir', 'O0', 'O3', 0.9724820918307433, 8.388391494750977]
['CO', 146, 'UO', 1, 'sum', 'xargs', 'O1', 'O1', 0.30765572990965295, 0.09721207618713379]
['BO', 73, 'CO', 196, 'cluster', 'sha512sum', 'O1', 'O1', 0.58328530259366, 0.1659071445465088]
['CO', 235, 'BO', 34, 'wc', 'cp', 'O2', 'O2', 0.45054124673385587, 0.12649059295654297]
['UO', 12, 'CO', 138, 'gprof', 'tail', 'O1', 'O1', 0.816585062563146, 1.6385931968688965]
