['UV', 23, 'CV', 165, 'strip', 'rm', 'V3', 'V3', 0.8176348399111811, 1.643479347229004]
['CV', 164, 'UV', 48, 'nl', 'locate', 'V3', 'V1', 0.44573643410852715, 0.09334564208984375]
['CV', 99, 'BV', 34, 'stty', 'svn', 'V3', 'V0', 0.6765941896583226, 0.5294854640960693]
['CV', 87, 'UV', 67, 'touch', 'cmp', 'V3', 'V0', 0.2248144220572641, 0.05450558662414551]
['UV', 84, 'CV', 330, 'ar', 'csplit', 'V0', 'V1', 0.7681632653061224, 1.3419075012207031]
['BV', 62, 'CV', 288, 'diff', 'expr', 'V0', 'V1', 0.14343271555197423, 0.07465744018554688]
['UV', 2, 'CV', 78, 'find', 'rm', 'V2', 'V2', 0.5470771976796073, 0.24476289749145508]
['CV', 264, 'BV', 23, 'test', 'diff', 'V1', 'V3', 0.6587155963302752, 0.1087496280670166]
['UV', 29, 'CV', 58, 'objcopy', 'readlink', 'V3', 'V2', 0.9023841655420602, 1.525465726852417]
['BV', 4, 'CV', 294, 'geany', 'sync', 'V3', 'V1', 0.9876700606018268, 32.614991664886475]
['UV', 10, 'CV', 172, 'as', 'mknod', 'V2', 'V3', 0.9220362302224261, 2.201148748397827]
['CV', 266, 'UV', 5, 'mkdir', 'diff', 'V1', 'V2', 0.588172426077663, 0.12012648582458496]
['BV', 39, 'CV', 144, 'svn', 'who', 'V1', 'V3', 0.707646956823305, 0.5155394077301025]
['CV', 330, 'UV', 37, 'csplit', 'locate', 'V1', 'V3', 0.20227272727272727, 0.1750032901763916]
['BV', 78, 'CV', 136, 'make', 'tsort', 'V2', 'V3', 0.7226165355841166, 0.26502084732055664]
['CV', 23, 'BV', 37, 'wc', 'geany', 'V2', 'V1', 0.9732453228137328, 29.6670138835907]
['BV', 48, 'CV', 47, 'gvmap', 'od', 'V3', 'V2', 0.5417434816960759, 0.16938424110412598]
['CV', 146, 'BV', 23, 'head', 'diff', 'V3', 'V3', 0.47553816046966735, 0.12410759925842285]
['CV', 306, 'UV', 43, 'cp', 'sdiff', 'V1', 'V3', 0.08997188378631682, 0.07267880439758301]
['CV', 139, 'BV', 81, 'logname', 'dot', 'V3', 'V1', 0.4763092269326683, 0.015463113784790039]
['UV', 17, 'CV', 307, 'addr2line', 'cut', 'V2', 'V1', 0.9093443655004947, 1.1851274967193604]
['BV', 40, 'CV', 336, 'lua', 'tr', 'V2', 'V1', 0.8377602297200287, 0.42278075218200684]
['BV', 77, 'UV', 55, 'perl', 'ranlib', 'V2', 'V1', 0.4538237629002382, 7.293106555938721]
['CV', 65, 'UV', 69, 'env', 'sdiff', 'V2', 'V0', 0.3841998649561107, 0.03780102729797363]
['BV', 11, 'CV', 205, 'bash', 'sha1sum', 'V1', 'V0', 0.9529223830107123, 2.880800247192383]
['UV', 49, 'CV', 235, 'xargs', 'ginstall', 'V1', 'V0', 0.22161080540270128, 0.0674591064453125]
['CV', 119, 'UV', 49, 'paste', 'xargs', 'V3', 'V1', 0.12396694214876036, 0.03272056579589844]
['CV', 62, 'BV', 0, 'unexpand', 'bash', 'V2', 'V2', 0.9533532907376793, 3.369633674621582]
['CV', 53, 'UV', 74, 'tty', 'strip', 'V2', 'V0', 0.9307233299374181, 1.6112091541290283]
['BV', 1, 'UV', 32, 'libSDL2-2.0.so', 'addr2line', 'V3', 'V3', 0.3634539411801593, 12.515341997146606]
['UV', 40, 'CV', 52, 'diff3', 'logname', 'V3', 'V2', 0.36890645586297754, 0.035421133041381836]
['UV', 78, 'CV', 289, 'c++filt', 'chown', 'V0', 'V1', 0.8479381443298969, 1.1122000217437744]
['UV', 52, 'CV', 315, 'strip', 'false', 'V1', 'V1', 0.9530410183875531, 1.540717601776123]
['BV', 4, 'CV', 182, 'geany', 'du', 'V3', 'V0', 0.9634268364213504, 33.33859944343567]
['CV', 306, 'BV', 83, 'cp', 'git', 'V1', 'V2', 0.9562185954115219, 10.281380891799927]
['CV', 121, 'UV', 7, 'echo', 'nm', 'V3', 'V2', 0.899982422218316, 1.3291585445404053]
['BV', 2, 'CV', 129, 'cmp', 'dircolors', 'V1', 'V3', 0.10228802153432026, 0.03818178176879883]
['UV', 35, 'CV', 226, 'size', 'logname', 'V3', 'V0', 0.9347806004618938, 1.1304008960723877]
['UV', 24, 'BV', 45, 'readelf', 'svn', 'V3', 'V3', 0.19723127035830612, 1.6734845638275146]
['BV', 26, 'CV', 187, 'geany', 'join', 'V2', 'V0', 0.9771274302105402, 27.554360151290894]
['CV', 326, 'UV', 83, 'env', 'addr2line', 'V1', 'V0', 0.9313027801499193, 1.1197431087493896]
['UV', 79, 'CV', 43, 'strings', 'chmod', 'V0', 'V2', 0.8323385784047749, 1.1147701740264893]
['BV', 27, 'UV', 25, 'libSDL2-2.0.so', 'as', 'V1', 'V3', 0.19698914692496206, 14.834121942520142]
['CV', 144, 'BV', 42, 'who', 'libvlc.so', 'V3', 'V1', 0.6588235294117647, 0.4177577495574951]
['CV', 72, 'BV', 49, 'id', 'make', 'V2', 'V3', 0.7851239669421488, 0.3046913146972656]
['UV', 67, 'BV', 41, 'cmp', 'libvlccore.so', 'V0', 'V1', 0.9201233780046798, 4.142571210861206]
['UV', 40, 'CV', 220, 'diff3', 'cut', 'V3', 'V0', 0.35639686684073113, 0.03856396675109863]
['CV', 10, 'UV', 60, 'ptx', 'gprof', 'V2', 'V1', 0.7472113355441664, 1.8084309101104736]
['BV', 16, 'CV', 198, 'libvlc.so', 'factor', 'V3', 'V0', 0.8367987446057278, 0.39771080017089844]
['CV', 143, 'UV', 38, 'yes', 'xargs', 'V3', 'V3', 0.4030478192327903, 0.07422041893005371]
['UV', 16, 'CV', 213, 'gprof', 'whoami', 'V2', 'V0', 0.9389274234478092, 1.241166591644287]
['CV', 87, 'UV', 68, 'touch', 'diff', 'V3', 'V0', 0.258456486042693, 0.12224864959716797]
['CV', 344, 'BV', 63, 'tac', 'ruby', 'V1', 'V0', 0.9516135403088833, 15.505414247512817]
['UV', 48, 'CV', 337, 'locate', 'comm', 'V1', 'V1', 0.5967255493321844, 0.07487726211547852]
['UV', 0, 'CV', 5, 'locate', 'mkdir', 'V2', 'V2', 0.26575082899099955, 0.07492280006408691]
['UV', 75, 'CV', 260, 'readelf', 'ln', 'V0', 'V0', 0.6656891495601173, 0.10448694229125977]
['CV', 12, 'UV', 1, 'stty', 'xargs', 'V2', 'V2', 0.259990133201776, 0.06237530708312988]
['UV', 62, 'CV', 118, 'ar', 'sha1sum', 'V1', 'V3', 0.8765289256198348, 1.3272075653076172]
['UV', 63, 'BV', 83, 'elfedit', 'git', 'V1', 'V2', 0.9736697319814509, 9.973892450332642]
['CV', 299, 'BV', 3, 'split', 'diff', 'V1', 'V1', 0.5675010258514567, 0.0888972282409668]
['UV', 5, 'CV', 162, 'diff', 'tr', 'V2', 'V3', 0.4773103676714143, 0.11556839942932129]
['CV', 252, 'UV', 78, 'rm', 'c++filt', 'V0', 'V0', 0.8587167854828257, 1.262528657913208]
['CV', 105, 'UV', 43, 'pwd', 'sdiff', 'V3', 'V3', 0.22093023255813948, 0.04848933219909668]
['CV', 72, 'BV', 4, 'id', 'geany', 'V2', 'V3', 0.9800622836166252, 36.37391138076782]
['UV', 50, 'CV', 223, 'find', 'tsort', 'V1', 'V0', 0.7817622950819673, 0.188917875289917]
['CV', 276, 'BV', 55, 'uptime', 'codeblocks', 'V1', 'V3', 0.9745625489683991, 15.856109142303467]
['CV', 249, 'BV', 33, 'tr', 'openssl', 'V0', 'V0', 0.9739447383891828, 8.395403146743774]
['BV', 21, 'UV', 38, 'cp', 'xargs', 'V1', 'V3', 0.15000000000000002, 0.11177635192871094]
['CV', 209, 'BV', 34, 'sum', 'svn', 'V0', 'V0', 0.8086785009861933, 0.450894832611084]
['CV', 21, 'BV', 30, 'chgrp', 'bash', 'V2', 'V0', 0.9029003783102144, 3.424245834350586]
['CV', 191, 'BV', 73, 'mkfifo', 'geany', 'V0', 'V0', 0.9827578424734823, 21.348064422607422]
['CV', 298, 'UV', 46, 'seq', 'diff', 'V1', 'V1', 0.7203528258738974, 0.11550450325012207]
['CV', 314, 'BV', 71, 'tty', 'ruby', 'V1', 'V1', 0.5938189845474614, 0.00693202018737793]
['CV', 151, 'BV', 28, 'md5sum', 'openssl', 'V3', 'V1', 0.9665190434012401, 9.77257227897644]
['CV', 51, 'BV', 4, 'printf', 'geany', 'V2', 'V3', 0.9741205855824603, 37.754141330718994]
['CV', 110, 'UV', 7, 'wc', 'nm', 'V3', 'V2', 0.8499187131000256, 1.5412688255310059]
['BV', 73, 'UV', 83, 'geany', 'addr2line', 'V0', 'V0', 0.6244709361426856, 30.06012725830078]
['CV', 12, 'BV', 4, 'stty', 'geany', 'V2', 'V3', 0.9739151548787679, 37.510523080825806]
['BV', 16, 'CV', 67, 'libvlc.so', 'uname', 'V3', 'V2', 0.8155396241038558, 0.40485310554504395]
['CV', 308, 'BV', 36, 'od', 'libvlc.so', 'V1', 'V2', 0.7633314490295836, 0.5094351768493652]
['UV', 67, 'CV', 252, 'cmp', 'rm', 'V0', 'V0', 0.039630118890356725, 0.041121482849121094]
['BV', 2, 'CV', 280, 'cmp', 'pr', 'V1', 'V1', 0.06474820143884896, 0.04072451591491699]
['UV', 1, 'CV', 148, 'xargs', 'ginstall', 'V2', 'V3', 0.2883916083916084, 0.17766404151916504]
['CV', 61, 'BV', 59, 'ginstall', 'make', 'V2', 'V1', 0.45481530343007914, 0.4088566303253174]
['UV', 75, 'CV', 19, 'readelf', 'pr', 'V0', 'V2', 0.5335669991911567, 0.12202739715576172]
['UV', 32, 'CV', 80, 'addr2line', 'uniq', 'V3', 'V2', 0.878869690424766, 1.1839849948883057]
['UV', 64, 'CV', 154, 'size', 'uname', 'V1', 'V3', 0.896308072778661, 1.1552345752716064]
['CV', 341, 'BV', 43, 'uniq', 'lua', 'V1', 'V0', 0.8180921052631579, 0.3973696231842041]
['CV', 255, 'BV', 13, 'sleep', 'cp', 'V0', 'V2', 0.6310033285782216, 0.0720665454864502]
['BV', 52, 'CV', 200, 'libSDL2-2.0.so', 'date', 'V2', 'V0', 0.9333539987600744, 5.320012092590332]
['CV', 220, 'UV', 11, 'cut', 'ranlib', 'V0', 'V2', 0.9161207996597193, 1.4397048950195312]
['UV', 22, 'CV', 320, 'nm', 'head', 'V3', 'V1', 0.9022166607079013, 1.1951024532318115]
['BV', 30, 'CV', 249, 'bash', 'tr', 'V0', 'V0', 0.9450696544544147, 2.598952293395996]
['CV', 9, 'BV', 11, 'users', 'bash', 'V2', 'V1', 0.9479801293467054, 3.1327617168426514]
['BV', 81, 'CV', 19, 'dot', 'pr', 'V1', 'V2', 0.5886654478976234, 0.023114442825317383]
['BV', 37, 'CV', 51, 'geany', 'printf', 'V1', 'V2', 0.9708974584040416, 25.79334330558777]
['BV', 4, 'CV', 272, 'geany', 'printenv', 'V3', 'V1', 0.9878089249847175, 32.35508584976196]
['UV', 8, 'BV', 49, 'strip', 'make', 'V2', 'V3', 0.46727118163785775, 2.696312189102173]
['CV', 136, 'UV', 75, 'tsort', 'readelf', 'V3', 'V0', 0.5957387160078498, 0.1285083293914795]
['UV', 30, 'CV', 149, 'ld', 'unexpand', 'V3', 'V3', 0.9151443022909849, 2.5318830013275146]
['UV', 68, 'CV', 44, 'diff', 'true', 'V0', 'V2', 0.6303883909517712, 0.0758821964263916]
['CV', 282, 'UV', 87, 'chgrp', 'objdump', 'V1', 'V0', 0.8968991744133133, 2.211505174636841]
['BV', 1, 'CV', 340, 'libSDL2-2.0.so', 'fold', 'V3', 'V1', 0.9614206701101613, 6.788048267364502]
['CV', 263, 'UV', 2, 'unlink', 'find', 'V1', 'V2', 0.8108747044917257, 0.2014017105102539]
['BV', 14, 'CV', 126, 'openssl', 'whoami', 'V3', 'V3', 0.9391132389675271, 7.27763032913208]
['CV', 143, 'UV', 11, 'yes', 'ranlib', 'V3', 'V2', 0.9009199088530677, 1.454383134841919]
['CV', 156, 'BV', 59, 'csplit', 'make', 'V3', 'V1', 0.6277439586792105, 0.32357311248779297]
['CV', 51, 'BV', 11, 'printf', 'bash', 'V2', 'V1', 0.9306981281062753, 3.414769172668457]
['CV', 32, 'BV', 66, 'paste', 'lua', 'V2', 'V1', 0.8455871066768995, 0.4222095012664795]
['BV', 65, 'UV', 24, 'ssh', 'readelf', 'V1', 'V3', 0.6731153341322833, 6.601039886474609]
['BV', 41, 'UV', 17, 'libvlccore.so', 'addr2line', 'V1', 'V2', 0.270406027626622, 7.825063228607178]
['CV', 222, 'BV', 68, 'df', 'dot', 'V0', 'V0', 0.536663124335813, 0.022102832794189453]
['BV', 16, 'UV', 22, 'libvlc.so', 'nm', 'V3', 'V3', 0.3891535600078313, 3.1611578464508057]
['BV', 1, 'UV', 50, 'libSDL2-2.0.so', 'find', 'V3', 'V1', 0.7214936028556531, 8.69967007637024]
['UV', 25, 'CV', 27, 'as', 'expr', 'V3', 'V2', 0.8482088646023073, 2.3653461933135986]
['CV', 158, 'UV', 1, '[', 'xargs', 'V3', 'V2', 0.24261501210653758, 0.0624537467956543]
