['CV', 58, 'BV', 68, 'readlink', 'dot', 'V2', 'V0', 0.502283105022831, 0.01609635353088379]
['CV', 35, 'UV', 26, 'sum', 'ranlib', 'V2', 'V3', 0.8933901918976546, 1.3879024982452393]
['CV', 126, 'BV', 59, 'whoami', 'make', 'V3', 'V1', 0.7668736230723012, 0.253143310546875]
['CV', 319, 'BV', 59, 'readlink', 'make', 'V1', 'V1', 0.8229942100909843, 0.23825716972351074]
['UV', 81, 'CV', 112, 'ld', 'expand', 'V0', 'V3', 0.9098624148129099, 1.7091116905212402]
['UV', 45, 'CV', 94, 'cmp', 'dir', 'V1', 'V3', 0.478502080443828, 0.12271809577941895]
['UV', 82, 'CV', 44, 'gprof', 'true', 'V0', 'V2', 0.924682553487563, 1.0558860301971436]
['CV', 33, 'UV', 65, 'sync', 'objdump', 'V2', 'V1', 0.9415926926540589, 1.894655466079712]
['UV', 86, 'CV', 342, 'size', 'sleep', 'V0', 'V1', 0.9305081993830168, 0.9980323314666748]
['CV', 95, 'BV', 71, 'du', 'ruby', 'V3', 'V1', 0.9053010808028822, 0.049681663513183594]
['UV', 35, 'CV', 70, 'size', 'vdir', 'V3', 'V2', 0.7365328920148945, 1.4197032451629639]
['CV', 332, 'BV', 62, '[', 'diff', 'V1', 'V0', 0.42247838616714695, 0.04858255386352539]
['CV', 270, 'BV', 28, 'users', 'openssl', 'V1', 'V1', 0.9800231873718006, 8.532954216003418]
['BV', 20, 'CV', 221, 'sort', 'od', 'V1', 'V0', 0.2810155799192152, 0.04767942428588867]
['UV', 51, 'BV', 82, 'nm', 'gvmap', 'V1', 'V1', 0.5777809965237544, 1.6565868854522705]
['CV', 163, 'BV', 62, 'comm', 'diff', 'V3', 'V0', 0.24598393574297184, 0.05729937553405762]
['BV', 50, 'CV', 3, 'sort', 'test', 'V0', 'V2', 0.24651162790697678, 0.03478574752807617]
['BV', 59, 'CV', 14, 'make', 'dirname', 'V1', 'V2', 0.8025347506132461, 0.2117776870727539]
['BV', 12, 'CV', 140, 'sort', 'tty', 'V2', 'V3', 0.47223497016980265, 0.06238436698913574]
['UV', 46, 'CV', 333, 'diff', 'id', 'V1', 'V1', 0.703104786545925, 0.09973335266113281]
['CV', 11, 'BV', 63, 'printenv', 'ruby', 'V2', 'V0', 0.9819490964519946, 12.315038681030273]
['UV', 14, 'CV', 307, 'objcopy', 'cut', 'V2', 'V1', 0.9247648902821317, 1.425708532333374]
['BV', 44, 'CV', 327, 'make', 'link', 'V0', 'V1', 0.8345421577515866, 0.1719052791595459]
['CV', 126, 'UV', 81, 'whoami', 'ld', 'V3', 'V0', 0.9242129809560824, 1.8719570636749268]
['UV', 6, 'CV', 176, 'sdiff', 'unlink', 'V2', 'V0', 0.4908290535583273, 0.0306088924407959]
['BV', 40, 'CV', 333, 'lua', 'id', 'V2', 'V1', 0.8661612479953346, 0.38449740409851074]
['BV', 28, 'CV', 190, 'openssl', 'dd', 'V1', 'V0', 0.9655180045592369, 8.134243726730347]
['UV', 87, 'CV', 57, 'objdump', 'who', 'V0', 'V2', 0.903457273320287, 1.725701093673706]
['CV', 46, 'UV', 81, 'cut', 'ld', 'V2', 'V0', 0.9115830115830116, 1.999115228652954]
['BV', 22, 'CV', 233, 'cmp', 'head', 'V3', 'V0', 0.17829457364341084, 0.029366254806518555]
['CV', 150, 'BV', 14, 'mv', 'openssl', 'V3', 'V3', 0.7769406828151821, 10.571506977081299]
['UV', 49, 'CV', 284, 'xargs', 'wc', 'V1', 'V1', 0.2114197530864197, 0.03006601333618164]
['CV', 309, 'UV', 84, 'df', 'ar', 'V1', 'V0', 0.8748377044923397, 1.3541967868804932]
