['UV', 9, 'CV', 169, 'readelf', 'sort', 'V2', 'V3', 0.2658005617977528, 0.26440882682800293]
['CV', 1, 'BV', 4, 'stat', 'geany', 'V2', 'V3', 0.9788573216955871, 34.27356958389282]
['BV', 22, 'CV', 67, 'cmp', 'uname', 'V3', 'V2', 0.24574209245742096, 0.026872634887695312]
['CV', 142, 'UV', 36, 'nohup', 'objdump', 'V3', 'V3', 0.9203288749927624, 2.464838981628418]
['CV', 18, 'UV', 6, 'pwd', 'sdiff', 'V2', 'V2', 0.28535669586983725, 0.040040016174316406]
['UV', 20, 'CV', 219, 'size', 'cp', 'V2', 'V0', 0.8114523951331575, 1.256789207458496]
['CV', 319, 'UV', 78, 'readlink', 'c++filt', 'V1', 'V0', 0.9182113510414676, 1.0618879795074463]
['UV', 56, 'CV', 159, 'c++filt', 'id', 'V1', 'V3', 0.8656426553672316, 1.1209521293640137]
['UV', 24, 'CV', 57, 'readelf', 'who', 'V3', 'V2', 0.7712872817184361, 0.30438876152038574]
['CV', 71, 'BV', 69, '[', 'gvmap', 'V2', 'V0', 0.6174349325807463, 0.12984776496887207]
['CV', 146, 'UV', 44, 'head', 'diff3', 'V3', 'V1', 0.14079020589872004, 0.04342460632324219]
['CV', 326, 'BV', 19, 'env', 'cp', 'V1', 'V3', 0.7014432989690722, 0.0844120979309082]
['UV', 53, 'CV', 14, 'readelf', 'dirname', 'V1', 'V2', 0.7238805970149254, 0.09707808494567871]
['CV', 334, 'UV', 74, 'shred', 'strip', 'V1', 'V0', 0.8827703661652001, 1.7559514045715332]
['BV', 56, 'CV', 319, 'ssh', 'readlink', 'V3', 'V1', 0.9434199220040981, 1.5722100734710693]
['BV', 19, 'UV', 55, 'cp', 'ranlib', 'V3', 'V1', 0.6966308884913536, 1.9537508487701416]
['CV', 41, 'BV', 4, 'nice', 'geany', 'V2', 'V3', 0.9820968303726925, 33.75707268714905]
['CV', 35, 'UV', 33, 'sum', 'ar', 'V2', 'V3', 0.8933901918976546, 1.3880949020385742]
['UV', 6, 'CV', 299, 'sdiff', 'split', 'V2', 'V1', 0.31862426995457493, 0.03927731513977051]
['BV', 80, 'UV', 50, 'cluster', 'find', 'V1', 'V1', 0.14694533762057882, 0.41439318656921387]
['UV', 62, 'CV', 8, 'ar', 'du', 'V1', 'V2', 0.7475563765104287, 1.4788501262664795]
['UV', 51, 'BV', 22, 'nm', 'cmp', 'V1', 'V3', 0.8705245986090839, 1.1880192756652832]
['BV', 40, 'CV', 15, 'lua', 'uptime', 'V2', 'V2', 0.8166335509508941, 0.4137279987335205]
['CV', 173, 'UV', 10, 'ln', 'as', 'V3', 'V2', 0.8429066124333535, 2.855923652648926]
['CV', 206, 'UV', 77, 'paste', 'ranlib', 'V0', 'V0', 0.9303092416005704, 1.1795742511749268]
['CV', 235, 'BV', 40, 'ginstall', 'lua', 'V0', 'V2', 0.6819435325016415, 0.5981383323669434]
