['UO', 79, 'BO', 11, 'size', 'ssh', 'O0', 'O1', 0.11284540465086768, 9.367915630340576]
['UO', 22, 'CO', 55, 'diff3', 'cp', 'O2', 'O3', 0.3796791443850267, 0.12747430801391602]
['CO', 111, 'UO', 9, 'fmt', 'strings', 'O1', 'O1', 0.8797747942832395, 1.6095659732818604]
['BO', 80, 'CO', 70, 'ssh', 'b2sum', 'O3', 'O3', 0.8865354576694783, 1.8037610054016113]
['CO', 78, 'UO', 73, 'chcon', 'objcopy', 'O3', 'O0', 0.8829828660436138, 4.359998941421509]
['CO', 183, 'BO', 35, 'link', 'make', 'O1', 'O3', 0.7928301886792453, 0.3224961757659912]
['BO', 13, 'CO', 414, 'ruby', 'mknod', 'O1', 'O0', 0.9501832822546722, 19.76920795440674]
['UO', 87, 'CO', 241, 'find', 'chown', 'O0', 'O2', 0.7127432517263026, 0.8846006393432617]
['CO', 108, 'BO', 19, 'test', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.9394593730006398, 7.235546112060547]
['BO', 33, 'CO', 153, 'sort', 'nice', 'O2', 'O1', 0.5332798716920609, 0.11379265785217285]
['BO', 8, 'CO', 172, 'cp', 'yes', 'O0', 'O1', 0.6984897518878102, 0.22313809394836426]
['CO', 345, 'BO', 73, 'chown', 'cluster', 'O0', 'O1', 0.314367678699498, 0.2624654769897461]
['BO', 65, 'CO', 369, 'gvmap', 'od', 'O0', 'O0', 0.5691087613293051, 0.3277883529663086]
['CO', 112, 'UO', 58, 'dir', 'objdump', 'O1', 'O3', 0.7787653263372062, 3.499687910079956]
['CO', 30, 'UO', 37, 'expand', 'ar', 'O3', 'O2', 0.8811965087704432, 1.466059923171997]
['UO', 72, 'CO', 382, 'strings', 'b2sum', 'O0', 'O0', 0.8771311333294805, 3.2179932594299316]
['CO', 349, 'UO', 39, 'truncate', 'size', 'O0', 'O2', 0.8693323812923955, 1.452002763748169]
['CO', 129, 'UO', 14, 'chgrp', 'ar', 'O1', 'O1', 0.814146800501882, 2.001328229904175]
