['CV', 48, 'BV', 24, 'df', 'git', 'V2', 'V0', 0.938716577540107, 5.562216520309448]
['UV', 42, 'BV', 55, 'diff', 'codeblocks', 'V3', 'V3', 0.8872248015575858, 23.508338928222656]
['CV', 188, 'UV', 73, 'dirname', 'nm', 'V0', 'V0', 0.9330473703841851, 1.0921080112457275]
['UV', 16, 'CV', 112, 'gprof', 'expand', 'V2', 'V3', 0.8847229074165434, 1.2338366508483887]
['BV', 45, 'CV', 11, 'svn', 'printenv', 'V3', 'V2', 0.8725532218888412, 0.6876685619354248]
['CV', 280, 'BV', 24, 'pr', 'git', 'V1', 'V0', 0.9579822855908403, 5.261965751647949]
['CV', 330, 'BV', 6, 'csplit', 'libvlc.so', 'V1', 'V0', 0.46700908731726587, 0.39722299575805664]
['UV', 51, 'BV', 28, 'nm', 'openssl', 'V1', 'V1', 0.6060545780060401, 28.117899894714355]
['CV', 283, 'UV', 21, 'kill', 'objdump', 'V1', 'V2', 0.9413134606427573, 2.0455994606018066]
['UV', 49, 'CV', 178, 'xargs', 'basename', 'V1', 'V0', 0.37840210711150135, 0.022786378860473633]
['CV', 243, 'BV', 27, 'csplit', 'libSDL2-2.0.so', 'V0', 'V1', 0.8502611723737666, 5.8140082359313965]
['BV', 34, 'CV', 1, 'svn', 'stat', 'V0', 'V2', 0.767289539587748, 0.3995215892791748]
['BV', 54, 'UV', 15, 'lua', 'ld', 'V3', 'V2', 0.3952156482664435, 5.4129791259765625]
['BV', 55, 'CV', 80, 'codeblocks', 'uniq', 'V3', 'V2', 0.9650171535502651, 13.401288747787476]
['UV', 3, 'CV', 113, 'diff3', 'date', 'V2', 'V3', 0.09176029962546817, 0.05904388427734375]
['UV', 20, 'CV', 210, 'size', 'chroot', 'V2', 'V0', 0.9333454413367236, 1.0949304103851318]
['CV', 212, 'UV', 87, 'split', 'objdump', 'V0', 'V0', 0.9316827750562691, 1.8642091751098633]
['BV', 71, 'CV', 265, 'ruby', 'basename', 'V1', 'V1', 0.615866388308977, 0.0063898563385009766]
['CV', 68, 'UV', 23, 'cat', 'strip', 'V2', 'V3', 0.8724817356652645, 1.715399980545044]
['UV', 31, 'CV', 100, 'gprof', 'join', 'V3', 'V3', 0.8407960199004975, 1.2731702327728271]
['CV', 53, 'BV', 24, 'tty', 'git', 'V2', 'V0', 0.9740811325891642, 4.787230491638184]
['UV', 20, 'BV', 64, 'size', 'openssl', 'V2', 'V2', 0.36895379943604945, 17.261448621749878]
['CV', 161, 'UV', 87, 'pathchk', 'objdump', 'V3', 'V0', 0.911812880822905, 1.888777494430542]
['CV', 35, 'UV', 73, 'sum', 'nm', 'V2', 'V0', 0.8862602365787079, 1.1827611923217773]
['UV', 79, 'BV', 63, 'strings', 'ruby', 'V0', 'V0', 0.6598925092374874, 38.691803216934204]
['CV', 231, 'UV', 74, 'who', 'strip', 'V0', 'V0', 0.9187156494070002, 1.5705759525299072]
['CV', 85, 'UV', 12, 'mknod', 'c++filt', 'V2', 'V2', 0.903343023255814, 1.1827175617218018]
['BV', 11, 'UV', 38, 'bash', 'xargs', 'V1', 'V3', 0.8808995882166614, 3.2105391025543213]
['CV', 15, 'BV', 82, 'uptime', 'gvmap', 'V2', 'V1', 0.6405504071889918, 0.1593623161315918]
['CV', 307, 'BV', 27, 'cut', 'libSDL2-2.0.so', 'V1', 'V1', 0.9441179731677569, 4.913507699966431]
['CV', 83, 'UV', 77, 'tac', 'ranlib', 'V2', 'V0', 0.7797863599013969, 1.47402024269104]
['BV', 4, 'CV', 311, 'geany', 'cksum', 'V3', 'V1', 0.9867679148119054, 30.676499605178833]
['CV', 52, 'BV', 37, 'logname', 'geany', 'V2', 'V1', 0.9812156862745098, 26.280429124832153]
['UV', 4, 'BV', 61, 'cmp', 'cmp', 'V2', 'V0', 0.3651079136690647, 0.026031017303466797]
['CV', 307, 'UV', 70, 'cut', 'locate', 'V1', 'V0', 0.5182692307692308, 0.06866741180419922]
['CV', 196, 'BV', 12, 'kill', 'sort', 'V0', 'V2', 0.5765632693254554, 0.06151843070983887]
['BV', 32, 'CV', 27, 'perl', 'expr', 'V0', 'V2', 0.8885330955372704, 2.641993761062622]
['CV', 198, 'UV', 18, 'factor', 'ar', 'V0', 'V2', 0.9287549237883199, 1.3156952857971191]
['UV', 48, 'CV', 43, 'locate', 'chmod', 'V1', 'V2', 0.34172661870503596, 0.09220385551452637]
['UV', 77, 'CV', 29, 'ranlib', 'tail', 'V0', 'V2', 0.8301647655259823, 1.207592487335205]
