['CV', 130, 'BV', 70, 'chmod', 'ssh', 'V3', 'V0', 0.9250575958802005, 5.1205902099609375]
['BV', 47, 'CV', 76, 'dot', 'comm', 'V3', 'V2', 0.4818401937046004, 0.015139341354370117]
['UV', 11, 'CV', 139, 'ranlib', 'logname', 'V2', 'V3', 0.9025255511445224, 1.214712142944336]
['CV', 104, 'UV', 79, 'mkfifo', 'strings', 'V3', 'V0', 0.8846618919170309, 1.133112907409668]
['CV', 132, 'BV', 38, 'cp', 'ruby', 'V3', 'V2', 0.9146171693735499, 0.05890154838562012]
['BV', 10, 'UV', 40, 'gvmap', 'diff3', 'V2', 'V3', 0.48002023267577143, 0.17290520668029785]
['CV', 225, 'UV', 8, 'printf', 'strip', 'V0', 'V2', 0.9244776119402985, 1.5888683795928955]
['CV', 208, 'UV', 52, 'echo', 'strip', 'V0', 'V1', 0.9509713882020487, 1.6021625995635986]
['CV', 293, 'UV', 71, 'paste', 'xargs', 'V1', 'V0', 0.21696252465483234, 0.021838665008544922]
['CV', 228, 'UV', 86, 'false', 'size', 'V0', 'V0', 0.947424453361723, 1.0149552822113037]
['CV', 307, 'UV', 62, 'cut', 'ar', 'V1', 'V1', 0.914986927553344, 1.3161289691925049]
['UV', 71, 'CV', 157, 'xargs', 'vdir', 'V0', 'V3', 0.5539358600583091, 0.11785459518432617]
['CV', 161, 'BV', 38, 'pathchk', 'ruby', 'V3', 'V2', 0.7594771241830065, 0.009947776794433594]
['CV', 88, 'UV', 20, 'stat', 'size', 'V3', 'V2', 0.7869911875786824, 1.5399670600891113]
['UV', 37, 'CV', 193, 'locate', 'pr', 'V3', 'V0', 0.4590277777777778, 0.12608957290649414]
['CV', 242, 'BV', 11, 'cat', 'bash', 'V0', 'V1', 0.9615856536101934, 2.89877986907959]
['UV', 34, 'CV', 264, 'elfedit', 'test', 'V3', 'V1', 0.2462809917355372, 0.027906179428100586]
['CV', 125, 'BV', 2, 'split', 'cmp', 'V3', 'V1', 0.1917659804983749, 0.04897594451904297]
['UV', 65, 'CV', 233, 'objdump', 'head', 'V1', 'V0', 0.9314051702073202, 1.7131924629211426]
['BV', 5, 'CV', 10, 'libvlccore.so', 'ptx', 'V0', 'V2', 0.8270649538255173, 3.68312931060791]
['BV', 5, 'CV', 73, 'libvlccore.so', 'shred', 'V0', 'V2', 0.8996834933748189, 3.45271897315979]
['CV', 226, 'BV', 11, 'logname', 'bash', 'V0', 'V1', 0.9665972747918243, 2.823559284210205]
['CV', 189, 'UV', 23, 'uptime', 'strip', 'V0', 'V3', 0.9266514806378132, 1.5471086502075195]
['BV', 64, 'CV', 63, 'openssl', 'mv', 'V2', 'V2', 0.8240085744908896, 6.3242409229278564]
['CV', 155, 'BV', 42, 'cat', 'libvlc.so', 'V3', 'V1', 0.7168624161073825, 0.353487491607666]
['CV', 166, 'BV', 9, 'fold', 'dot', 'V3', 'V2', 0.5155555555555555, 0.016939163208007812]
['CV', 176, 'UV', 29, 'unlink', 'objcopy', 'V0', 'V3', 0.9464559680883706, 1.451030969619751]
['CV', 29, 'UV', 37, 'tail', 'locate', 'V2', 'V3', 0.3642512077294686, 0.1431427001953125]
['CV', 250, 'UV', 4, 'comm', 'cmp', 'V0', 'V2', 0.2563891178895301, 0.028112411499023438]
['BV', 46, 'CV', 2, 'cluster', 'unlink', 'V3', 'V2', 0.7084239975132111, 0.12023043632507324]
['UV', 14, 'CV', 82, 'objcopy', 'sort', 'V2', 'V2', 0.7808899620558813, 1.680933952331543]
['CV', 219, 'BV', 81, 'cp', 'dot', 'V0', 'V1', 0.6654163540885222, 0.031696319580078125]
['UV', 81, 'CV', 260, 'ld', 'ln', 'V0', 'V0', 0.9260844193736627, 1.6788718700408936]
['BV', 77, 'CV', 166, 'perl', 'fold', 'V2', 'V3', 0.9562979508594737, 2.782064914703369]
['BV', 4, 'CV', 23, 'geany', 'wc', 'V3', 'V2', 0.9762115608341582, 30.276504278182983]
['CV', 95, 'BV', 52, 'du', 'libSDL2-2.0.so', 'V3', 'V2', 0.8211263495768895, 7.253141164779663]
['CV', 211, 'BV', 10, 'seq', 'gvmap', 'V0', 'V2', 0.7513513513513513, 0.14105892181396484]
['UV', 51, 'CV', 117, 'nm', 'pinky', 'V1', 'V3', 0.862688098495212, 1.1883888244628906]
['UV', 72, 'CV', 108, 'find', 'chgrp', 'V0', 'V3', 0.38661131292163986, 0.18431663513183594]
['CV', 293, 'UV', 0, 'paste', 'locate', 'V1', 'V2', 0.5368663594470046, 0.053041934967041016]
