['UO', 68, 'CO', 406, 'readelf', 'rm', 'O0', 'O0', 0.6919669820817395, 0.8885250091552734]
['UO', 44, 'CO', 33, 'nm', 'chown', 'O3', 'O3', 0.7873073279944889, 1.1745355129241943]
['UO', 21, 'BO', 62, 'sdiff', 'bash', 'O1', 'O1', 0.9172783505154639, 4.42335844039917]
['UO', 60, 'CO', 322, 'xargs', 'users', 'O3', 'O0', 0.3118492811105602, 0.0925288200378418]
['CO', 176, 'UO', 61, 'head', 'find', 'O1', 'O3', 0.7302227679354499, 0.45713138580322266]
['CO', 146, 'UO', 18, 'sum', 'diff3', 'O1', 'O1', 0.17573696145124718, 0.06115007400512695]
['UO', 39, 'CO', 255, 'size', 'numfmt', 'O2', 'O2', 0.8650044523597507, 1.2411727905273438]
['CO', 203, 'BO', 16, 'sort', 'make', 'O1', 'O0', 0.43299832495812396, 0.5588035583496094]
['CO', 360, 'UO', 51, 'ls', 'objcopy', 'O0', 'O3', 0.6331608931962543, 2.6398255825042725]
['CO', 122, 'BO', 19, 'uptime', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.9349716747785846, 7.469488143920898]
['BO', 59, 'CO', 410, 'libgeany.so.0.0.0', 'sleep', 'O3', 'O0', 0.979073337301463, 34.4674596786499]
['CO', 100, 'BO', 20, 'tac', 'sort', 'O3', 'O1', 0.4417784050811574, 0.13850116729736328]
['CO', 139, 'UO', 4, 'base32', 'strip', 'O1', 'O1', 0.9001593971888132, 1.967419147491455]
['CO', 245, 'BO', 42, 'truncate', 'cmp', 'O2', 'O1', 0.19472459270752518, 0.036727190017700195]
['BO', 18, 'CO', 15, 'libvlc.so.12.0.0', 'join', 'O1', 'O3', 0.6544959128065395, 0.5657682418823242]
['UO', 0, 'CO', 31, 'locate', 'date', 'O1', 'O3', 0.34551784160139254, 0.17880845069885254]
['UO', 45, 'CO', 297, 'strip', 'pathchk', 'O3', 'O2', 0.9243827160493827, 1.3110761642456055]
['BO', 82, 'CO', 214, 'cp', 'mkdir', 'O3', 'O2', 0.46415897799858064, 0.11316442489624023]
['CO', 371, 'BO', 8, 'tsort', 'cp', 'O0', 'O0', 0.6054040275299516, 0.29111599922180176]
['CO', 94, 'UO', 73, 'rm', 'objcopy', 'O3', 'O0', 0.876406674427629, 4.327054262161255]
['CO', 186, 'UO', 35, 'shuf', 'gprof', 'O1', 'O2', 0.8286871961102107, 1.730198860168457]
['BO', 59, 'CO', 49, 'libgeany.so.0.0.0', 'nice', 'O3', 'O3', 0.980966118436525, 35.22569155693054]
['CO', 254, 'BO', 79, 'whoami', 'bash', 'O2', 'O3', 0.9630305434351448, 3.5471224784851074]
['UO', 49, 'CO', 143, 'c++filt', 'paste', 'O3', 'O1', 0.8815383175821091, 1.0472731590270996]
['CO', 265, 'UO', 80, 'od', 'objdump', 'O2', 'O0', 0.9280332757808821, 6.143362998962402]
['UO', 72, 'CO', 227, 'strings', 'dd', 'O0', 'O2', 0.8711833160502362, 3.019862413406372]
['CO', 153, 'UO', 61, 'nice', 'find', 'O1', 'O3', 0.7886326493553659, 0.43837928771972656]
['UO', 5, 'CO', 196, 'readelf', 'sha512sum', 'O1', 'O1', 0.7830822019991048, 0.39353370666503906]
['BO', 70, 'CO', 39, 'diff', 'paste', 'O3', 'O3', 0.5449265459514862, 0.1059422492980957]
['UO', 65, 'CO', 57, 'sdiff', 'od', 'O3', 'O3', 0.16491897044804582, 0.06253242492675781]
['CO', 231, 'BO', 33, 'pr', 'sort', 'O2', 'O2', 0.29931972789115646, 0.1488795280456543]
['UO', 70, 'CO', 335, 'ranlib', 'pr', 'O0', 'O0', 0.8531362104576584, 3.5184895992279053]
['UO', 74, 'CO', 330, 'ld', 'uptime', 'O0', 'O0', 0.9236502903265659, 5.856748342514038]
['CO', 298, 'UO', 3, 'tr', 'nm', 'O2', 'O1', 0.8860737969733039, 1.603133201599121]
['BO', 68, 'CO', 214, 'git', 'mkdir', 'O3', 'O2', 0.9704766746177609, 8.738123655319214]
['BO', 27, 'UO', 29, 'perl', 'as', 'O3', 'O2', 0.33225645627679734, 9.34619688987732]
['CO', 156, 'BO', 43, 'sha256sum', 'diff', 'O1', 'O1', 0.5148481815148482, 0.1603848934173584]
['BO', 65, 'CO', 343, 'gvmap', 'date', 'O0', 'O0', 0.5233388248215266, 0.3515019416809082]
['CO', 124, 'BO', 48, 'mkfifo', 'libvlccore.so.9.0.0', 'O1', 'O0', 0.9661504165200047, 16.196509838104248]
['CO', 36, 'UO', 2, 'pinky', 'find', 'O3', 'O1', 0.7398853398853399, 0.579465389251709]
['CO', 395, 'UO', 28, 'csplit', 'readelf', 'O0', 'O2', 0.6473124461052027, 0.4634571075439453]
['UO', 66, 'CO', 142, 'nm', 'sha1sum', 'O0', 'O1', 0.9169221868672259, 2.993154525756836]
['UO', 31, 'CO', 196, 'c++filt', 'sha512sum', 'O2', 'O1', 0.8681179138321995, 1.235170602798462]
['CO', 129, 'BO', 51, 'chgrp', 'lua', 'O1', 'O1', 0.7205847677434567, 0.8040726184844971]
['CO', 129, 'UO', 38, 'chgrp', 'elfedit', 'O1', 'O2', 0.2576464489372732, 0.06775474548339844]
['CO', 229, 'UO', 51, 'mktemp', 'objcopy', 'O2', 'O3', 0.8886785308595229, 1.5887634754180908]
['CO', 396, 'BO', 69, 'vdir', 'cmp', 'O0', 'O3', 0.5758087201125176, 0.2271575927734375]
['CO', 258, 'UO', 22, 'dircolors', 'diff3', 'O2', 'O2', 0.20569210866752907, 0.04652714729309082]
['CO', 206, 'UO', 6, 'mknod', 'as', 'O1', 'O1', 0.9311415423850973, 2.923433303833008]
['UO', 51, 'CO', 169, 'objcopy', 'false', 'O3', 'O1', 0.9196428571428571, 1.3229904174804688]
['UO', 79, 'CO', 28, 'size', 'factor', 'O0', 'O3', 0.8826715841641215, 2.9462177753448486]
['BO', 29, 'CO', 75, 'libvlc.so.12.0.0', 'mv', 'O2', 'O3', 0.3667942302031204, 0.7976703643798828]
['UO', 26, 'CO', 290, 'nm', 'shuf', 'O2', 'O2', 0.8389354532100579, 1.3364150524139404]
['UO', 57, 'BO', 61, 'size', 'git', 'O3', 'O1', 0.6627674844500173, 28.309492826461792]
['CO', 189, 'BO', 0, '[', 'codeblocks', 'O1', 'O1', 0.9579871208973826, 16.851997137069702]
['CO', 92, 'BO', 21, 'sha512sum', 'cp', 'O3', 'O1', 0.4585873072785944, 0.13063716888427734]
['CO', 323, 'BO', 1, 'groups', 'ssh', 'O0', 'O2', 0.9069065291231602, 2.348123550415039]
['BO', 64, 'CO', 225, 'dot', 'stdbuf', 'O0', 'O2', 0.5, 0.020252227783203125]
['BO', 77, 'CO', 388, 'libSDL2-2.0.so.0.16.0', 'md5sum', 'O3', 'O0', 0.9213859236475483, 6.807873010635376]
['CO', 133, 'UO', 16, 'nproc', 'size', 'O1', 'O1', 0.8923276983094929, 1.5890977382659912]
['UO', 27, 'CO', 262, 'strip', 'true', 'O2', 'O2', 0.9350263097689316, 1.48773193359375]
['UO', 69, 'CO', 95, 'as', 'sha224sum', 'O0', 'O3', 0.9401695855456058, 4.980653524398804]
['UO', 34, 'CO', 211, 'ld', 'unlink', 'O2', 'O2', 0.9445350734094616, 2.381927013397217]
['UO', 47, 'CO', 258, 'as', 'dircolors', 'O3', 'O2', 0.9274373750441021, 1.8992955684661865]
['BO', 54, 'CO', 298, 'lua', 'tr', 'O3', 'O2', 0.819065622468269, 0.4127793312072754]
['UO', 20, 'CO', 338, 'diff', 'kill', 'O1', 'O0', 0.5073041168658698, 0.15420866012573242]
['CO', 133, 'BO', 56, 'nproc', 'libvlc.so.12.0.0', 'O1', 'O3', 0.765622032288699, 0.6219730377197266]
['BO', 62, 'CO', 147, 'bash', 'chroot', 'O1', 'O1', 0.9378959653217739, 3.647142171859741]
['BO', 80, 'CO', 218, 'ssh', 'users', 'O3', 'O2', 0.9314227226202662, 1.6825153827667236]
['UO', 23, 'CO', 132, 'cmp', 'factor', 'O2', 'O1', 0.18047673098751416, 0.055440425872802734]
['CO', 174, 'UO', 0, 'b2sum', 'locate', 'O1', 'O1', 0.45242596093257714, 0.18468546867370605]
['CO', 175, 'UO', 54, 'readlink', 'addr2line', 'O1', 'O3', 0.8592140056533236, 1.2616381645202637]
['CO', 274, 'BO', 52, 'runcon', 'svn', 'O2', 'O3', 0.8571896495250573, 0.6311843395233154]
['UO', 2, 'CO', 125, 'find', 'mktemp', 'O1', 'O1', 0.7315918367346939, 0.5387358665466309]
['BO', 56, 'CO', 276, 'libvlc.so.12.0.0', 'yes', 'O3', 'O2', 0.817968291250734, 0.48914194107055664]
['UO', 6, 'CO', 4, 'as', 'test', 'O1', 'O3', 0.9181672999614516, 2.4987683296203613]
['CO', 46, 'BO', 20, 'whoami', 'sort', 'O3', 'O1', 0.5596330275229358, 0.1242060661315918]
['UO', 82, 'BO', 35, 'cmp', 'make', 'O0', 'O3', 0.6790952465099841, 0.3586447238922119]
['UO', 43, 'BO', 18, 'find', 'libvlc.so.12.0.0', 'O2', 'O1', 0.13458333333333328, 1.4769525527954102]
['UO', 41, 'CO', 385, 'locate', 'hostid', 'O2', 'O0', 0.5694249649368864, 0.1444230079650879]
