['UV', 3, 'BV', 43, 'diff3', 'lua', 'V2', 'V0', 0.6957055214723926, 0.47312498092651367]
['UV', 31, 'CV', 77, 'gprof', 'nl', 'V3', 'V2', 0.791236704238768, 1.3895463943481445]
['UV', 87, 'CV', 261, 'objdump', 'touch', 'V0', 'V1', 0.9184746877054569, 1.8115746974945068]
['UV', 47, 'CV', 79, 'sdiff', 'fold', 'V1', 'V2', 0.3169469598965071, 0.03812408447265625]
['CV', 44, 'UV', 18, 'true', 'ar', 'V2', 'V2', 0.9259512612227447, 1.3691997528076172]
['BV', 1, 'CV', 264, 'libSDL2-2.0.so', 'test', 'V3', 'V1', 0.9574836914374344, 6.795483350753784]
['BV', 15, 'CV', 26, 'libvlccore.so', 'date', 'V3', 'V2', 0.9298462122650465, 4.458454847335815]
['UV', 74, 'CV', 144, 'strip', 'who', 'V0', 'V3', 0.879835624202919, 1.574352502822876]
['BV', 76, 'CV', 315, 'diff', 'false', 'V2', 'V1', 0.7407262787973448, 0.08779597282409668]
['CV', 341, 'BV', 65, 'uniq', 'ssh', 'V1', 'V1', 0.9629704031070041, 5.271391868591309]
['CV', 37, 'BV', 9, 'seq', 'dot', 'V2', 'V2', 0.4750593824228029, 0.016248703002929688]
['UV', 23, 'CV', 338, 'strip', 'nl', 'V3', 'V1', 0.827571305099395, 1.6042616367340088]
['UV', 5, 'CV', 169, 'diff', 'sort', 'V2', 'V3', 0.0786516853932584, 0.22941899299621582]
['BV', 80, 'CV', 16, 'cluster', 'dd', 'V1', 'V2', 0.4872208770513855, 0.1760411262512207]
['UV', 26, 'CV', 291, 'ranlib', 'pinky', 'V3', 'V1', 0.9028027770635124, 1.3349676132202148]
['CV', 129, 'UV', 77, 'dircolors', 'ranlib', 'V3', 'V0', 0.8728923476005188, 1.4094088077545166]
['BV', 75, 'CV', 51, 'cmp', 'printf', 'V2', 'V2', 0.1103723404255319, 0.040048837661743164]
['BV', 75, 'CV', 171, 'cmp', 'rmdir', 'V2', 'V3', 0.1416837782340863, 0.03829169273376465]
['CV', 2, 'BV', 80, 'unlink', 'cluster', 'V2', 'V1', 0.7084239975132111, 0.14221453666687012]
['UV', 80, 'CV', 167, 'objcopy', 'uniq', 'V0', 'V3', 0.8741258741258742, 1.5761253833770752]
['UV', 37, 'CV', 38, 'locate', 'split', 'V3', 'V2', 0.36818181818181817, 0.14513254165649414]
['CV', 127, 'UV', 78, 'ls', 'c++filt', 'V3', 'V0', 0.6522596548890714, 1.7752161026000977]
['CV', 30, 'UV', 74, 'pinky', 'strip', 'V2', 'V0', 0.9039827771797632, 1.7579574584960938]
['CV', 205, 'BV', 29, 'sha1sum', 'perl', 'V0', 'V3', 0.9643264027342637, 3.5054259300231934]
['CV', 117, 'BV', 25, 'pinky', 'git', 'V3', 'V3', 0.9751666125465819, 13.686720371246338]
['BV', 70, 'UV', 7, 'ssh', 'nm', 'V0', 'V2', 0.4490935515948902, 9.336050987243652]
['UV', 83, 'CV', 84, 'addr2line', 'rmdir', 'V0', 'V2', 0.8883013266536784, 1.0754437446594238]
['CV', 4, 'BV', 66, 'basename', 'lua', 'V2', 'V1', 0.850130789352208, 0.41165614128112793]
['CV', 252, 'UV', 15, 'rm', 'ld', 'V0', 'V2', 0.9079280801254977, 2.3918046951293945]
['CV', 290, 'UV', 73, 'tail', 'nm', 'V1', 'V0', 0.8620317973592023, 1.3204772472381592]
['CV', 265, 'UV', 84, 'basename', 'ar', 'V1', 'V0', 0.9309975929392886, 1.2570242881774902]
['UV', 85, 'BV', 36, 'elfedit', 'libvlc.so', 'V0', 'V2', 0.7466367713004485, 0.5009887218475342]
['CV', 176, 'BV', 52, 'unlink', 'libSDL2-2.0.so', 'V0', 'V2', 0.9633788037775446, 5.439916610717773]
['UV', 0, 'CV', 33, 'locate', 'sync', 'V2', 'V2', 0.49217002237136465, 0.05302309989929199]
['CV', 296, 'UV', 15, 'sum', 'ld', 'V1', 'V2', 0.9389294254705991, 2.293891191482544]
['CV', 227, 'BV', 42, 'tty', 'libvlc.so', 'V0', 'V1', 0.842057761732852, 0.3155834674835205]
['CV', 238, 'BV', 78, 'md5sum', 'make', 'V0', 'V2', 0.799077601764588, 0.2785048484802246]
['CV', 336, 'BV', 67, 'tr', 'cluster', 'V1', 'V0', 0.6254581806064645, 0.12621068954467773]
['BV', 22, 'UV', 16, 'cmp', 'gprof', 'V3', 'V2', 0.876545231273025, 1.5093638896942139]
['UV', 37, 'CV', 206, 'locate', 'paste', 'V3', 'V0', 0.6868727418707347, 0.10550975799560547]
['CV', 65, 'UV', 38, 'env', 'xargs', 'V2', 'V3', 0.48960089938167517, 0.06864690780639648]
['UV', 65, 'CV', 80, 'objdump', 'uniq', 'V1', 'V2', 0.9146209958769426, 2.2972412109375]
['UV', 37, 'CV', 70, 'locate', 'vdir', 'V3', 'V2', 0.16725020199299756, 0.22638511657714844]
['CV', 22, 'BV', 81, 'kill', 'dot', 'V2', 'V1', 0.4341590612777053, 0.01520848274230957]
['CV', 301, 'UV', 37, 'ls', 'locate', 'V1', 'V3', 0.24630113141862486, 0.20249152183532715]
['CV', 152, 'UV', 44, 'env', 'diff3', 'V3', 'V1', 0.21463414634146338, 0.04182314872741699]
['BV', 73, 'UV', 75, 'geany', 'readelf', 'V0', 'V0', 0.8785494355114608, 22.083628177642822]
['BV', 27, 'CV', 183, 'libSDL2-2.0.so', 'users', 'V1', 'V0', 0.9513660898113627, 4.6988537311553955]
['BV', 18, 'CV', 235, 'sort', 'ginstall', 'V3', 'V0', 0.27517179563788474, 0.15536165237426758]
['BV', 5, 'CV', 50, 'libvlccore.so', 'cksum', 'V0', 'V2', 0.9472121412075223, 3.4950075149536133]
['BV', 60, 'UV', 12, 'codeblocks', 'c++filt', 'V1', 'V2', 0.5562911096965839, 21.76202630996704]
['BV', 82, 'CV', 118, 'gvmap', 'sha1sum', 'V1', 'V3', 0.596395412342982, 0.161240816116333]
['BV', 28, 'CV', 154, 'openssl', 'uname', 'V1', 'V3', 0.973905892289569, 8.480235815048218]
