['UV', 62, 'CV', 286, 'ar', 'expand', 'V1', 'V1', 0.9288141352361536, 1.159721851348877]
['CV', 207, 'UV', 64, 'sync', 'size', 'V0', 'V1', 0.9382504288164666, 1.140270471572876]
['CV', 129, 'UV', 34, 'dircolors', 'elfedit', 'V3', 'V3', 0.145368492224476, 0.03646135330200195]
['BV', 64, 'UV', 26, 'openssl', 'ranlib', 'V2', 'V3', 0.3630188142404951, 12.027990341186523]
['BV', 19, 'CV', 281, 'cp', 'tee', 'V3', 'V1', 0.6523828594313176, 0.08260488510131836]
['BV', 12, 'CV', 160, 'sort', 'shred', 'V2', 'V3', 0.16503445774392456, 0.09790253639221191]
['BV', 1, 'CV', 156, 'libSDL2-2.0.so', 'csplit', 'V3', 'V3', 0.9098273099519316, 6.589569330215454]
['CV', 143, 'UV', 9, 'yes', 'readelf', 'V3', 'V2', 0.7191038304023127, 0.13419008255004883]
['CV', 65, 'UV', 73, 'env', 'nm', 'V2', 'V0', 0.9144809752493536, 1.1252906322479248]
['UV', 72, 'BV', 25, 'find', 'git', 'V0', 'V3', 0.9202934499917317, 17.914010763168335]
['UV', 40, 'CV', 100, 'diff3', 'join', 'V3', 'V3', 0.08279623202776398, 0.051300764083862305]
['UV', 79, 'CV', 234, 'strings', 'hostid', 'V0', 'V0', 0.9333969465648855, 0.9488749504089355]
['BV', 50, 'CV', 236, 'sort', 'unexpand', 'V0', 'V0', 0.3839218632607062, 0.030170440673828125]
['CV', 145, 'BV', 34, 'readlink', 'svn', 'V3', 'V0', 0.7052592454934027, 0.48404884338378906]
['CV', 241, 'BV', 39, 'uname', 'svn', 'V0', 'V1', 0.8668437025796661, 0.45481014251708984]
['CV', 322, 'UV', 75, 'ginstall', 'readelf', 'V1', 'V0', 0.38675109595713586, 0.16794776916503906]
['CV', 74, 'UV', 13, 'pathchk', 'strings', 'V2', 'V2', 0.9082204155374887, 1.2139296531677246]
['BV', 18, 'CV', 298, 'sort', 'seq', 'V3', 'V1', 0.665625, 0.08555245399475098]
['UV', 78, 'CV', 294, 'c++filt', 'sync', 'V0', 'V1', 0.932056587431431, 0.9546658992767334]
['UV', 25, 'CV', 87, 'as', 'touch', 'V3', 'V3', 0.8730212004251272, 2.242957592010498]
