['UV', 24, 'CV', 34, 'readelf', 'echo', 'V3', 'V2', 0.8531932093775263, 0.28542065620422363]
['CV', 24, 'UV', 65, 'factor', 'objdump', 'V2', 'V1', 0.93054045410937, 2.1239919662475586]
['BV', 79, 'CV', 279, 'bash', 'pwd', 'V3', 'V1', 0.9603396990990214, 3.3077094554901123]
['UV', 21, 'CV', 256, 'objdump', 'sort', 'V2', 'V0', 0.8812302534012509, 2.0211150646209717]
['UV', 63, 'CV', 259, 'elfedit', 'mknod', 'V1', 'V0', 0.24011039558417657, 0.025588274002075195]
['UV', 4, 'CV', 148, 'cmp', 'ginstall', 'V2', 'V3', 0.5042511445389143, 0.14504098892211914]
['BV', 78, 'CV', 169, 'make', 'sort', 'V2', 'V3', 0.35690540948927163, 0.44684910774230957]
['CV', 326, 'BV', 26, 'env', 'geany', 'V1', 'V2', 0.986363037049594, 29.755446434020996]
['BV', 80, 'CV', 76, 'cluster', 'comm', 'V1', 'V2', 0.6440323063116961, 0.1421065330505371]
['CV', 15, 'UV', 31, 'uptime', 'gprof', 'V2', 'V3', 0.8916925140414117, 1.4904344081878662]
['UV', 61, 'CV', 322, 'addr2line', 'ginstall', 'V1', 'V1', 0.7896583409907276, 1.4127273559570312]
['CV', 107, 'UV', 15, 'tee', 'ld', 'V3', 'V2', 0.9096618357487922, 2.3951873779296875]
['UV', 48, 'BV', 69, 'locate', 'gvmap', 'V1', 'V0', 0.17352010845006782, 0.23685765266418457]
['CV', 83, 'UV', 60, 'tac', 'gprof', 'V2', 'V1', 0.7927461139896373, 1.6657624244689941]
['CV', 62, 'BV', 8, 'unexpand', 'cluster', 'V2', 'V2', 0.6838235294117647, 0.14731621742248535]
['UV', 85, 'CV', 33, 'elfedit', 'sync', 'V0', 'V2', 0.23742277140335388, 0.025435924530029297]
['BV', 69, 'CV', 177, 'gvmap', 'test', 'V0', 'V0', 0.7035076108537393, 0.11505818367004395]
['CV', 61, 'UV', 45, 'ginstall', 'cmp', 'V2', 'V1', 0.3762458471760797, 0.09386610984802246]
['BV', 42, 'UV', 4, 'libvlc.so', 'cmp', 'V1', 'V2', 0.6921487603305785, 0.3447394371032715]
['UV', 43, 'BV', 48, 'sdiff', 'gvmap', 'V3', 'V3', 0.5019098548510313, 0.201765775680542]
['CV', 128, 'BV', 9, 'nice', 'dot', 'V3', 'V2', 0.47596153846153844, 0.016423463821411133]
['BV', 42, 'CV', 312, 'libvlc.so', 'printf', 'V1', 'V1', 0.7751685148945423, 0.31101560592651367]
['UV', 84, 'CV', 89, 'ar', 'unlink', 'V0', 'V3', 0.8963403957275433, 1.1895620822906494]
['BV', 48, 'UV', 6, 'gvmap', 'sdiff', 'V3', 'V2', 0.5003815822945815, 0.18956494331359863]
['UV', 7, 'BV', 10, 'nm', 'gvmap', 'V2', 'V2', 0.575488195861265, 1.8075599670410156]
['UV', 46, 'CV', 292, 'diff', 'sha1sum', 'V1', 'V1', 0.6883616543764027, 0.1139981746673584]
['CV', 76, 'UV', 34, 'comm', 'elfedit', 'V2', 'V3', 0.1836431226765799, 0.03306460380554199]
['CV', 258, 'BV', 21, 'rmdir', 'cp', 'V0', 'V1', 0.5209742895805142, 0.04024863243103027]
