['CO', 395, 'UO', 64, 'csplit', 'diff', 'O0', 'O3', 0.30005737234652896, 0.1701185703277588]
['CO', 254, 'BO', 45, 'whoami', 'diff', 'O2', 'O2', 0.6490963855421686, 0.11749029159545898]
['UO', 11, 'CO', 84, 'ld', 'vdir', 'O1', 'O3', 0.7717134891700622, 3.1515140533447266]
['BO', 59, 'CO', 72, 'libgeany.so.0.0.0', 'head', 'O3', 'O3', 0.9747737609602851, 33.75239872932434]
['CO', 301, 'UO', 78, 'nl', 'elfedit', 'O2', 'O0', 0.18239886444286735, 0.04293632507324219]
['UO', 7, 'CO', 318, 'ranlib', 'mkdir', 'O1', 'O0', 0.7293862599985049, 1.8963737487792969]
['BO', 5, 'UO', 13, 'libgeany.so.0.0.0', 'addr2line', 'O1', 'O1', 0.6972319997808609, 53.17448282241821]
['CO', 400, 'UO', 11, 'shred', 'ld', 'O0', 'O1', 0.8538884524744698, 3.8838446140289307]
['CO', 414, 'BO', 32, 'mknod', 'ruby', 'O0', 'O2', 0.9444965184788431, 28.70646834373474]
['BO', 32, 'CO', 326, 'ruby', 'stty', 'O2', 'O0', 0.9669166821868175, 20.44008183479309]
['CO', 270, 'UO', 39, 'printf', 'size', 'O2', 'O2', 0.8805782526712759, 1.360405683517456]
['BO', 45, 'UO', 44, 'diff', 'nm', 'O2', 'O3', 0.6521047187077266, 1.8248698711395264]
['CO', 53, 'BO', 66, 'chmod', 'svn', 'O3', 'O2', 0.6711018089400508, 0.7856881618499756]
['CO', 46, 'BO', 7, 'whoami', 'sort', 'O3', 'O0', 0.6423923148435079, 0.19343137741088867]
['CO', 295, 'BO', 57, 'id', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.9479349386062829, 6.520789623260498]
['UO', 59, 'CO', 101, 'locate', 'rmdir', 'O3', 'O3', 0.506956831965751, 0.1241157054901123]
['UO', 4, 'CO', 213, 'strip', 'basename', 'O1', 'O2', 0.9289496910856134, 1.627418041229248]
['CO', 335, 'UO', 85, 'pr', 'locate', 'O0', 'O0', 0.3845102505694761, 0.3617970943450928]
['BO', 8, 'UO', 8, 'cp', 'c++filt', 'O0', 'O1', 0.5470964956465424, 2.727508783340454]
['CO', 109, 'UO', 64, 'basename', 'diff', 'O1', 'O3', 0.5959025079477217, 0.1226198673248291]
['UO', 6, 'CO', 84, 'as', 'vdir', 'O1', 'O3', 0.7818702680581133, 2.958036184310913]
