['UO', 66, 'CO', 59, 'nm', 'tsort', 'O0', 'O3', 0.9159245981265178, 2.968233108520508]
['CO', 297, 'BO', 27, 'pathchk', 'perl', 'O2', 'O3', 0.9710854748768182, 3.4747653007507324]
['BO', 67, 'CO', 29, 'libSDL2-2.0.so.0.16.0', 'nproc', 'O1', 'O3', 0.938288920056101, 7.132026195526123]
['CO', 413, 'UO', 29, 'rmdir', 'as', 'O0', 'O2', 0.9180844360428482, 2.758633613586426]
['BO', 2, 'UO', 14, 'perl', 'ar', 'O1', 'O1', 0.5258065838560243, 7.9457292556762695]
['UO', 60, 'CO', 171, 'xargs', 'nohup', 'O3', 'O1', 0.35411343893714875, 0.08692073822021484]
['BO', 34, 'CO', 324, 'cp', 'ptx', 'O2', 'O0', 0.18433039781354388, 0.17876029014587402]
['BO', 5, 'CO', 186, 'libgeany.so.0.0.0', 'shuf', 'O1', 'O1', 0.9615938702170437, 42.01665902137756]
['BO', 52, 'CO', 78, 'svn', 'chcon', 'O3', 'O3', 0.6533760186263097, 0.6643638610839844]
['UO', 72, 'CO', 208, 'strings', 'sha384sum', 'O0', 'O2', 0.9242846140174181, 2.889732837677002]
['UO', 41, 'CO', 175, 'locate', 'readlink', 'O2', 'O1', 0.4898570003325573, 0.15908241271972656]
['CO', 76, 'UO', 63, 'md5sum', 'cmp', 'O3', 'O3', 0.10728476821192057, 0.03948354721069336]
['UO', 65, 'BO', 55, 'sdiff', 'make', 'O3', 'O1', 0.6369518332135155, 0.3572962284088135]
['CO', 155, 'UO', 51, 'realpath', 'objcopy', 'O1', 'O3', 0.8784363937636515, 1.6062328815460205]
['UO', 19, 'CO', 399, 'cmp', 'id', 'O1', 'O0', 0.11432009626955475, 0.06141519546508789]
['CO', 261, 'BO', 5, 'chmod', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9634900009507812, 46.78505754470825]
['UO', 22, 'BO', 28, 'diff3', 'ruby', 'O2', 'O0', 0.9719297185417957, 21.071568489074707]
['BO', 64, 'CO', 256, 'dot', 'ls', 'O0', 'O2', 0.7939282428702852, 0.0880136489868164]
['CO', 162, 'BO', 77, 'df', 'libSDL2-2.0.so.0.16.0', 'O1', 'O3', 0.8739414255469301, 9.71996545791626]
['BO', 0, 'CO', 210, 'codeblocks', 'stat', 'O1', 'O2', 0.9372623574144486, 15.650485515594482]
['CO', 96, 'BO', 82, 'fold', 'cp', 'O3', 'O3', 0.5069393718042366, 0.10723471641540527]
['CO', 367, 'BO', 27, 'cp', 'perl', 'O0', 'O3', 0.8276975268111184, 7.080973148345947]
['UO', 23, 'BO', 19, 'cmp', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.9396872375314962, 7.394665718078613]
['CO', 81, 'BO', 58, 'cat', 'svn', 'O3', 'O1', 0.7822606468139609, 0.7308154106140137]
['CO', 186, 'BO', 71, 'shuf', 'libSDL2-2.0.so.0.16.0', 'O1', 'O0', 0.9122930755507613, 11.154159307479858]
['BO', 83, 'CO', 242, 'lua', 'tail', 'O2', 'O2', 0.7316341829085458, 0.5627853870391846]
['BO', 69, 'CO', 356, 'cmp', 'seq', 'O3', 'O0', 0.09484404837683003, 0.054363250732421875]
['CO', 158, 'BO', 75, 'true', 'gvmap', 'O1', 'O1', 0.6983988355167394, 0.1694958209991455]
