['BV', 0, 'CV', 112, 'bash', 'expand', 'V2', 'V3', 0.937854609929078, 3.0819430351257324]
['UV', 62, 'BV', 17, 'ar', 'codeblocks', 'V1', 'V2', 0.5348798811194584, 44.904890298843384]
['CV', 271, 'UV', 35, 'ptx', 'size', 'V1', 'V3', 0.7798929208804283, 1.5081324577331543]
['BV', 45, 'CV', 309, 'svn', 'df', 'V3', 'V1', 0.8011551155115512, 0.7875523567199707]
['BV', 21, 'CV', 120, 'cp', 'sync', 'V1', 'V3', 0.2953249714937286, 0.05076479911804199]
['BV', 61, 'UV', 69, 'cmp', 'sdiff', 'V0', 'V0', 0.4839650145772595, 0.03587746620178223]
['CV', 248, 'UV', 5, 'pathchk', 'diff', 'V0', 'V2', 0.7060849598163031, 0.09821653366088867]
['UV', 44, 'BV', 51, 'diff3', 'cp', 'V1', 'V0', 0.08579599618684464, 0.06660938262939453]
['UV', 11, 'BV', 24, 'ranlib', 'git', 'V2', 'V0', 0.5259701995117434, 15.419064283370972]
['UV', 72, 'CV', 281, 'find', 'tee', 'V0', 'V1', 0.7192868719611021, 0.1367020606994629]
['BV', 22, 'UV', 37, 'cmp', 'locate', 'V3', 'V3', 0.47161878065872465, 0.13983488082885742]
['CV', 248, 'BV', 7, 'pathchk', 'libSDL2-2.0.so', 'V0', 'V0', 0.9462260187648789, 4.020605087280273]
['CV', 88, 'BV', 15, 'stat', 'libvlccore.so', 'V3', 'V3', 0.8826797536923006, 5.9324445724487305]
['BV', 23, 'CV', 103, 'diff', 'dd', 'V3', 'V3', 0.2750556792873051, 0.14872407913208008]
['UV', 48, 'CV', 44, 'locate', 'true', 'V1', 'V2', 0.6229221347331584, 0.06870245933532715]
['BV', 2, 'CV', 75, 'cmp', 'tr', 'V1', 'V2', 0.12605042016806722, 0.03389096260070801]
['BV', 65, 'CV', 113, 'ssh', 'date', 'V1', 'V3', 0.9249458270405148, 4.932610988616943]
['BV', 56, 'CV', 327, 'ssh', 'link', 'V3', 'V1', 0.9515465286074605, 1.5859103202819824]
['BV', 69, 'CV', 171, 'gvmap', 'rmdir', 'V0', 'V3', 0.5757020757020757, 0.13057899475097656]
['CV', 52, 'BV', 33, 'logname', 'openssl', 'V2', 'V0', 0.9774322732626619, 7.936319589614868]
['UV', 64, 'CV', 165, 'size', 'rm', 'V1', 'V3', 0.7878257973186776, 1.2795414924621582]
['CV', 306, 'BV', 66, 'cp', 'lua', 'V1', 'V1', 0.6886210762331838, 0.5495362281799316]
['UV', 57, 'CV', 12, 'strings', 'stty', 'V1', 'V2', 0.8683012259194396, 1.1786713600158691]
