['CV', 7, 'BV', 28, 'dir', 'openssl', 'V2', 'V1', 0.929895473412, 11.623660564422607]
['UV', 83, 'CV', 256, 'addr2line', 'sort', 'V0', 'V0', 0.835285637051721, 1.177856206893921]
['CV', 327, 'UV', 60, 'link', 'gprof', 'V1', 'V1', 0.9389427902308465, 1.351917028427124]
['BV', 36, 'CV', 320, 'libvlc.so', 'head', 'V2', 'V1', 0.7931034482758621, 0.41564154624938965]
['CV', 287, 'UV', 43, 'date', 'sdiff', 'V1', 'V3', 0.2276029055690072, 0.049608469009399414]
['CV', 67, 'UV', 38, 'uname', 'xargs', 'V2', 'V3', 0.47855153203342615, 0.06863236427307129]
['BV', 62, 'CV', 268, 'diff', 'dir', 'V0', 'V1', 0.09577355564172163, 0.11180806159973145]
['BV', 54, 'CV', 162, 'lua', 'tr', 'V3', 'V3', 0.7942172440739776, 0.5056216716766357]
['BV', 17, 'CV', 126, 'codeblocks', 'whoami', 'V2', 'V3', 0.9689523405158688, 13.864541053771973]
['UV', 2, 'BV', 35, 'find', 'libvlccore.so', 'V2', 'V2', 0.7096801417841168, 9.235764741897583]
['UV', 33, 'CV', 187, 'ar', 'join', 'V3', 'V0', 0.8958155422715628, 1.3191754817962646]
['CV', 18, 'UV', 86, 'pwd', 'size', 'V2', 'V0', 0.9063652396985731, 1.214127540588379]
['CV', 76, 'BV', 76, 'comm', 'diff', 'V2', 'V2', 0.5752650176678445, 0.11350607872009277]
['BV', 8, 'UV', 49, 'cluster', 'xargs', 'V2', 'V1', 0.5581395348837209, 0.1567368507385254]
['BV', 46, 'CV', 213, 'cluster', 'whoami', 'V3', 'V0', 0.7679664840476957, 0.12614917755126953]
['BV', 11, 'UV', 70, 'bash', 'locate', 'V1', 'V0', 0.8590276846012791, 3.539233684539795]
['CV', 134, 'BV', 17, 'od', 'codeblocks', 'V3', 'V2', 0.9430172571817634, 18.120503664016724]
['CV', 76, 'UV', 47, 'comm', 'sdiff', 'V2', 'V1', 0.2732919254658386, 0.04208731651306152]
['CV', 179, 'BV', 27, 'mkdir', 'libSDL2-2.0.so', 'V0', 'V1', 0.9401383125864453, 5.302750587463379]
['UV', 74, 'CV', 183, 'strip', 'users', 'V0', 'V0', 0.9362183463475151, 1.4645240306854248]
['CV', 155, 'BV', 27, 'cat', 'libSDL2-2.0.so', 'V3', 'V1', 0.9246981339187705, 5.384565830230713]
['UV', 32, 'CV', 63, 'addr2line', 'mv', 'V3', 'V2', 0.729183909948684, 1.4817423820495605]
['UV', 73, 'BV', 36, 'nm', 'libvlc.so', 'V0', 'V2', 0.37850778028993215, 2.4510505199432373]
['CV', 100, 'UV', 69, 'join', 'sdiff', 'V3', 'V0', 0.16633266533066138, 0.055748939514160156]
['CV', 239, 'BV', 70, 'env', 'ssh', 'V0', 'V0', 0.9755919474288098, 4.691809177398682]
['BV', 47, 'CV', 121, 'dot', 'echo', 'V3', 'V3', 0.47103274559193953, 0.015105485916137695]
['BV', 41, 'CV', 207, 'libvlccore.so', 'sync', 'V1', 'V0', 0.9628159826039685, 3.458184242248535]
['BV', 11, 'UV', 41, 'bash', 'cmp', 'V1', 'V3', 0.9299809629939174, 3.080282688140869]
['CV', 198, 'UV', 32, 'factor', 'addr2line', 'V0', 'V3', 0.9233532934131736, 1.2822792530059814]
['CV', 8, 'BV', 71, 'du', 'ruby', 'V2', 'V1', 0.8937644341801386, 0.04210257530212402]
['UV', 20, 'CV', 247, 'size', 'shred', 'V2', 'V0', 0.8747798520605847, 1.3066339492797852]
['CV', 169, 'BV', 33, 'sort', 'openssl', 'V3', 'V0', 0.9033172346552388, 11.418047666549683]
['CV', 131, 'UV', 84, 'true', 'ar', 'V3', 'V0', 0.9036737563719459, 1.2753994464874268]
['CV', 286, 'UV', 9, 'expand', 'readelf', 'V1', 'V2', 0.7896058247552097, 0.13263273239135742]
['UV', 69, 'CV', 126, 'sdiff', 'whoami', 'V0', 'V3', 0.29631940112289457, 0.04101443290710449]
['CV', 73, 'UV', 87, 'shred', 'objdump', 'V2', 'V0', 0.879549114331723, 2.2464566230773926]
['CV', 80, 'BV', 50, 'uniq', 'sort', 'V2', 'V0', 0.17942283563362604, 0.04030871391296387]
['BV', 13, 'CV', 67, 'cp', 'uname', 'V2', 'V2', 0.5633546034639927, 0.06693243980407715]
['UV', 54, 'CV', 294, 'as', 'sync', 'V1', 'V1', 0.9585096379877762, 2.046710729598999]
['CV', 303, 'BV', 41, 'dircolors', 'libvlccore.so', 'V1', 'V1', 0.946834897012833, 3.8373982906341553]
['CV', 87, 'UV', 30, 'touch', 'ld', 'V3', 'V3', 0.86834620073141, 3.003079891204834]
['BV', 48, 'CV', 170, 'gvmap', 'tac', 'V3', 'V3', 0.5763440860215053, 0.16318440437316895]
['UV', 14, 'BV', 38, 'objcopy', 'ruby', 'V2', 'V2', 0.9858308948097951, 1.3672277927398682]
['CV', 36, 'BV', 14, 'chroot', 'openssl', 'V2', 'V3', 0.9354872221067941, 8.392219066619873]
