['CO', 80, 'BO', 29, 'uname', 'libvlc.so.12.0.0', 'O3', 'O2', 0.7702380952380953, 0.5677323341369629]
['CO', 124, 'BO', 5, 'mkfifo', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9766139709987717, 43.03559970855713]
['BO', 9, 'CO', 109, 'git', 'basename', 'O0', 'O1', 0.9775523418951003, 8.609694480895996]
['CO', 338, 'BO', 31, 'kill', 'bash', 'O0', 'O2', 0.9393096679208245, 4.324143171310425]
['BO', 52, 'CO', 358, 'svn', 'whoami', 'O3', 'O0', 0.800285759644388, 0.619330883026123]
['UO', 48, 'CO', 37, 'ranlib', 'truncate', 'O3', 'O3', 0.8868679836393699, 1.1415317058563232]
['CO', 361, 'BO', 54, 'nice', 'lua', 'O0', 'O3', 0.8180836707152497, 0.5003001689910889]
['BO', 67, 'UO', 53, 'libSDL2-2.0.so.0.16.0', 'gprof', 'O1', 'O3', 0.3404406080906983, 12.459072351455688]
['CO', 72, 'UO', 47, 'head', 'as', 'O3', 'O3', 0.9061409630146545, 2.157377004623413]
['CO', 151, 'BO', 51, 'numfmt', 'lua', 'O1', 'O1', 0.7917740945365255, 0.7012393474578857]
['CO', 215, 'UO', 18, 'fmt', 'diff3', 'O2', 'O1', 0.269041769041769, 0.05311870574951172]
['CO', 245, 'UO', 4, 'truncate', 'strip', 'O2', 'O1', 0.9231502529881939, 1.894683837890625]
['CO', 262, 'UO', 70, 'true', 'ranlib', 'O2', 'O0', 0.9512390545412923, 3.293600082397461]
['BO', 71, 'CO', 311, 'libSDL2-2.0.so.0.16.0', 'ln', 'O0', 'O2', 0.8953081952382911, 10.007181167602539]
['CO', 292, 'UO', 35, 'vdir', 'gprof', 'O2', 'O2', 0.706793622005592, 2.1670165061950684]
['BO', 70, 'CO', 345, 'diff', 'chown', 'O3', 'O0', 0.22573668559070015, 0.20255088806152344]
['UO', 13, 'CO', 178, 'addr2line', 'unexpand', 'O1', 'O1', 0.8817742492233345, 1.4160418510437012]
['BO', 22, 'CO', 106, 'perl', 'stat', 'O0', 'O1', 0.9212348616576675, 5.777403354644775]
['CO', 153, 'UO', 16, 'nice', 'size', 'O1', 'O1', 0.8984171160201774, 1.5693297386169434]
['CO', 21, 'BO', 36, 'mktemp', 'cluster', 'O3', 'O2', 0.5142615080485738, 0.1840207576751709]
['CO', 54, 'UO', 11, 'true', 'ld', 'O3', 'O1', 0.9357862666979142, 2.8954479694366455]
['CO', 78, 'UO', 33, 'chcon', 'objcopy', 'O3', 'O2', 0.8270573835409317, 1.9701695442199707]
['BO', 46, 'UO', 12, 'ruby', 'gprof', 'O3', 'O1', 0.6948528451675241, 28.03201150894165]
['UO', 80, 'CO', 267, 'objdump', 'tsort', 'O0', 'O2', 0.953016932983544, 5.27224063873291]
['UO', 64, 'CO', 20, 'diff', 'mkfifo', 'O3', 'O3', 0.5692948940604377, 0.10441136360168457]
['BO', 72, 'CO', 212, 'make', 'test', 'O2', 'O2', 0.7628942486085343, 0.2992897033691406]
['UO', 82, 'BO', 42, 'cmp', 'cmp', 'O0', 'O1', 0.10340705319784815, 0.05975914001464844]
['CO', 66, 'BO', 52, 'runcon', 'svn', 'O3', 'O3', 0.8236994219653179, 0.646796464920044]
['BO', 35, 'CO', 392, 'make', 'uname', 'O3', 'O0', 0.7651866988668029, 0.30387210845947266]
['UO', 6, 'CO', 178, 'as', 'unexpand', 'O1', 'O1', 0.9243135738356997, 2.5928115844726562]
['BO', 67, 'CO', 387, 'libSDL2-2.0.so.0.16.0', 'mv', 'O1', 'O0', 0.7241231086657497, 9.152882814407349]
['CO', 74, 'BO', 43, 'unexpand', 'diff', 'O3', 'O1', 0.5246396245390547, 0.14596772193908691]
['BO', 18, 'CO', 398, 'libvlc.so.12.0.0', 'timeout', 'O1', 'O0', 0.6617862371888726, 0.654160737991333]
['CO', 130, 'UO', 38, 'kill', 'elfedit', 'O1', 'O2', 0.1383055756698045, 0.040964365005493164]
['CO', 333, 'UO', 49, 'mktemp', 'c++filt', 'O0', 'O3', 0.827833833287883, 1.4361965656280518]
['UO', 74, 'CO', 223, 'ld', 'join', 'O0', 'O2', 0.9372926343729263, 5.595823049545288]
['CO', 373, 'UO', 31, 'cksum', 'c++filt', 'O0', 'O2', 0.8750910415149308, 1.4333386421203613]
['CO', 377, 'UO', 1, 'false', 'xargs', 'O0', 'O1', 0.403061224489796, 0.09337925910949707]
['CO', 182, 'BO', 32, 'chcon', 'ruby', 'O1', 'O2', 0.9582300884955752, 25.829910039901733]
['CO', 268, 'BO', 31, 'base64', 'bash', 'O2', 'O2', 0.9525652639380713, 4.055502414703369]
['UO', 10, 'CO', 290, 'objcopy', 'shuf', 'O1', 'O2', 0.8672837308650765, 1.824660301208496]
['CO', 361, 'BO', 67, 'nice', 'libSDL2-2.0.so.0.16.0', 'O0', 'O1', 0.9349200984888717, 8.021378755569458]
['CO', 376, 'UO', 3, 'tty', 'nm', 'O0', 'O1', 0.8933174020653751, 1.6204297542572021]
['UO', 33, 'CO', 162, 'objcopy', 'df', 'O2', 'O1', 0.7970254957507082, 1.8333182334899902]
['UO', 40, 'CO', 286, 'objdump', 'chcon', 'O2', 'O2', 0.8753746112524738, 2.4968326091766357]
['CO', 337, 'BO', 0, 'chgrp', 'codeblocks', 'O0', 'O1', 0.9276547880771, 22.413362979888916]
['CO', 403, 'UO', 20, 'comm', 'diff', 'O0', 'O1', 0.4807566862361383, 0.1715545654296875]
['CO', 318, 'BO', 38, 'mkdir', 'acyclic', 'O0', 'O2', 0.7521781219748306, 0.09218907356262207]
['BO', 0, 'CO', 330, 'codeblocks', 'uptime', 'O1', 'O0', 0.9520062127879886, 15.343513011932373]
['CO', 77, 'UO', 24, 'env', 'diff', 'O3', 'O2', 0.5450704225352113, 0.12700271606445312]
['CO', 206, 'UO', 14, 'mknod', 'ar', 'O1', 'O1', 0.898096488349196, 1.6938228607177734]
['BO', 43, 'CO', 22, 'diff', 'pwd', 'O1', 'O3', 0.525503355704698, 0.13346219062805176]
['BO', 70, 'CO', 120, 'diff', 'dirname', 'O3', 'O1', 0.6095475596722479, 0.1104273796081543]
['UO', 49, 'CO', 370, 'c++filt', 'df', 'O3', 'O0', 0.7043817272650225, 1.4179167747497559]
['BO', 14, 'CO', 106, 'cmp', 'stat', 'O0', 'O1', 0.17780809458844926, 0.09781336784362793]
['CO', 90, 'UO', 37, 'tr', 'ar', 'O3', 'O2', 0.8671152228763667, 1.5229711532592773]
['BO', 40, 'CO', 407, 'lua', 'sha224sum', 'O0', 'O0', 0.8206841527874739, 1.0019567012786865]
['CO', 261, 'BO', 36, 'chmod', 'cluster', 'O2', 'O2', 0.4588555858310627, 0.18917250633239746]
['UO', 38, 'BO', 14, 'elfedit', 'cmp', 'O2', 'O0', 0.1694915254237288, 0.05665755271911621]
['CO', 94, 'BO', 49, 'rm', 'svn', 'O3', 'O0', 0.6583917970858068, 0.9278621673583984]
['CO', 63, 'BO', 31, 'logname', 'bash', 'O3', 'O2', 0.952484868448141, 3.913283348083496]
['UO', 5, 'CO', 408, 'readelf', 'fold', 'O1', 'O0', 0.7801608579088471, 0.40776610374450684]
['CO', 96, 'BO', 51, 'fold', 'lua', 'O3', 'O1', 0.8306573005519318, 0.62164306640625]
['CO', 152, 'BO', 21, 'ls', 'cp', 'O1', 'O1', 0.05096317971226527, 0.27156972885131836]
['BO', 67, 'CO', 27, 'libSDL2-2.0.so.0.16.0', 'wc', 'O1', 'O3', 0.9162403786393842, 7.460021495819092]
['BO', 12, 'CO', 133, 'libgeany.so.0.0.0', 'nproc', 'O0', 'O1', 0.903769435849534, 39.39692568778992]
