['BO', 51, 'CO', 15, 'lua', 'join', 'O1', 'O3', 0.7636253776435046, 0.566697359085083]
['CO', 121, 'UO', 58, 'stdbuf', 'objdump', 'O1', 'O3', 0.914869073710924, 2.3760790824890137]
['CO', 323, 'UO', 71, 'groups', 'c++filt', 'O0', 'O0', 0.9122859005511764, 3.2233192920684814]
['CO', 130, 'UO', 56, 'kill', 'elfedit', 'O1', 'O3', 0.13249444855662473, 0.038545846939086914]
['CO', 69, 'UO', 57, 'who', 'size', 'O3', 'O3', 0.8469461510661366, 1.2250967025756836]
['UO', 53, 'BO', 72, 'gprof', 'make', 'O3', 'O2', 0.40596446700507616, 2.0296571254730225]
['UO', 49, 'CO', 53, 'c++filt', 'chmod', 'O3', 'O3', 0.8019713261648745, 1.084742784500122]
['BO', 15, 'CO', 94, 'diff', 'rm', 'O0', 'O3', 0.3668519454269834, 0.22685861587524414]
['BO', 71, 'CO', 331, 'libSDL2-2.0.so.0.16.0', 'dd', 'O0', 'O0', 0.8843103589240454, 9.867587804794312]
['BO', 33, 'CO', 259, 'sort', 'realpath', 'O2', 'O2', 0.4530239634842146, 0.11979365348815918]
['CO', 221, 'BO', 15, 'printenv', 'diff', 'O2', 'O0', 0.7194106342088404, 0.18889641761779785]
['BO', 24, 'CO', 76, 'cluster', 'md5sum', 'O3', 'O3', 0.5621716287215411, 0.14422106742858887]
['BO', 69, 'CO', 87, 'cmp', 'id', 'O3', 'O3', 0.09306930693069304, 0.04010009765625]
['BO', 23, 'CO', 83, 'git', 'csplit', 'O2', 'O3', 0.9605867247685005, 8.870194673538208]
['UO', 29, 'CO', 272, 'as', 'tty', 'O2', 'O2', 0.9466310098250101, 2.1967051029205322]
['CO', 51, 'UO', 18, 'realpath', 'diff3', 'O3', 'O1', 0.17485472794506074, 0.058133602142333984]
['CO', 212, 'UO', 7, 'test', 'ranlib', 'O2', 'O1', 0.8952973947239062, 1.646256685256958]
['CO', 43, 'BO', 56, 'chroot', 'libvlc.so.12.0.0', 'O3', 'O3', 0.7185021213798192, 0.6091735363006592]
['BO', 82, 'CO', 165, 'cp', 'cksum', 'O3', 'O1', 0.5546345139412208, 0.10094976425170898]
['CO', 307, 'UO', 2, 'sort', 'find', 'O2', 'O1', 0.4875207986688852, 0.8084964752197266]
