['CV', 13, 'UV', 75, 'join', 'readelf', 'V2', 'V0', 0.5805555555555556, 0.11424708366394043]
['UV', 63, 'CV', 176, 'elfedit', 'unlink', 'V1', 'V0', 0.3209028459273797, 0.020806312561035156]
['CV', 129, 'UV', 68, 'dircolors', 'diff', 'V3', 'V0', 0.44650283553875236, 0.09125232696533203]
['BV', 50, 'CV', 120, 'sort', 'sync', 'V0', 'V3', 0.22114764667956155, 0.08357071876525879]
['UV', 52, 'CV', 234, 'strip', 'hostid', 'V1', 'V0', 0.9506957688775871, 1.7609162330627441]
['UV', 33, 'CV', 104, 'ar', 'mkfifo', 'V3', 'V3', 0.89419795221843, 1.1845898628234863]
['CV', 254, 'UV', 29, 'uniq', 'objcopy', 'V0', 'V3', 0.9183488319346791, 1.5492281913757324]
['BV', 35, 'UV', 39, 'libvlccore.so', 'find', 'V2', 'V3', 0.6093588623182649, 6.220858812332153]
['BV', 62, 'CV', 92, 'diff', 'mkdir', 'V0', 'V3', 0.17984934086629, 0.06523537635803223]
['UV', 56, 'CV', 275, 'c++filt', 'dirname', 'V1', 'V1', 0.9295170272984571, 1.0202362537384033]
['BV', 48, 'CV', 187, 'gvmap', 'join', 'V3', 'V0', 0.6546640204139496, 0.14046692848205566]
['CV', 2, 'UV', 83, 'unlink', 'addr2line', 'V2', 'V0', 0.9108148704468645, 1.0603184700012207]
['CV', 192, 'UV', 33, 'pwd', 'ar', 'V0', 'V3', 0.922244350160187, 1.2962446212768555]
['UV', 71, 'BV', 44, 'xargs', 'make', 'V0', 'V0', 0.7372826786864134, 0.22964954376220703]
['CV', 4, 'UV', 32, 'basename', 'addr2line', 'V2', 'V3', 0.9108548416620904, 1.1643507480621338]
['BV', 79, 'UV', 0, 'bash', 'locate', 'V3', 'V2', 0.8891612313572348, 3.573084592819214]
['BV', 43, 'UV', 22, 'lua', 'nm', 'V0', 'V3', 0.32162295893122217, 3.0273544788360596]
['CV', 322, 'BV', 79, 'ginstall', 'bash', 'V1', 'V3', 0.8945131858517685, 4.392778396606445]
['BV', 83, 'CV', 148, 'git', 'ginstall', 'V2', 'V3', 0.9124176535547008, 9.318370342254639]
['UV', 11, 'CV', 240, 'ranlib', 'link', 'V2', 'V0', 0.9390495867768595, 1.12910795211792]
['BV', 63, 'CV', 299, 'ruby', 'split', 'V0', 'V1', 0.9788929830182633, 11.360474348068237]
['UV', 23, 'CV', 184, 'strip', 'ptx', 'V3', 'V0', 0.8151512983761356, 1.5058913230895996]
['BV', 44, 'UV', 85, 'make', 'elfedit', 'V0', 'V0', 0.7126534066864155, 0.2035667896270752]
['CV', 263, 'UV', 68, 'unlink', 'diff', 'V1', 'V0', 0.6828193832599119, 0.07026839256286621]
['CV', 18, 'UV', 54, 'pwd', 'as', 'V2', 'V1', 0.9322780773467849, 2.187121629714966]
['UV', 80, 'CV', 106, 'objcopy', 'pr', 'V0', 'V3', 0.8408381322417262, 1.5028808116912842]
