['CO', 105, 'UO', 38, 'touch', 'elfedit', 'O1', 'O2', 0.23747276688453156, 0.0643167495727539]
['UO', 70, 'CO', 45, 'ranlib', 'split', 'O0', 'O3', 0.8793958769705655, 3.2007453441619873]
['BO', 46, 'CO', 23, 'ruby', 'pr', 'O3', 'O3', 0.9652676841085271, 17.942028999328613]
['UO', 43, 'CO', 79, 'find', 'link', 'O2', 'O3', 0.7935415563790366, 0.44009923934936523]
['CO', 385, 'UO', 75, 'hostid', 'gprof', 'O0', 'O0', 0.930412225793718, 3.406967878341675]
['BO', 77, 'CO', 224, 'libSDL2-2.0.so.0.16.0', 'dirname', 'O3', 'O2', 0.9576919531754079, 6.678540468215942]
['BO', 42, 'CO', 247, 'cmp', 'paste', 'O1', 'O2', 0.18889745566692362, 0.03583264350891113]
['UO', 18, 'BO', 44, 'diff3', 'cmp', 'O1', 'O2', 0.16284275321768327, 0.0596163272857666]
['BO', 22, 'UO', 2, 'perl', 'find', 'O0', 'O1', 0.7117851706892803, 7.336787700653076]
['CO', 257, 'BO', 50, 'nice', 'perl', 'O2', 'O2', 0.9704939839168027, 3.570058584213257]
['UO', 33, 'CO', 385, 'objcopy', 'hostid', 'O2', 'O0', 0.9072459410703548, 1.5689189434051514]
['CO', 150, 'BO', 29, 'whoami', 'libvlc.so.12.0.0', 'O1', 'O2', 0.777733439744613, 0.6009142398834229]
['BO', 67, 'CO', 35, 'libSDL2-2.0.so.0.16.0', 'base32', 'O1', 'O3', 0.9320318148951554, 7.051462650299072]
['CO', 147, 'UO', 57, 'chroot', 'size', 'O1', 'O3', 0.8641130870953032, 1.2375199794769287]
['UO', 47, 'BO', 29, 'as', 'libvlc.so.12.0.0', 'O3', 'O2', 0.5726897610593993, 3.658069133758545]
['CO', 10, 'UO', 21, 'users', 'sdiff', 'O3', 'O1', 0.25819916517590935, 0.04986882209777832]
['CO', 376, 'UO', 26, 'tty', 'nm', 'O0', 'O2', 0.8890466891532043, 1.451716661453247]
['BO', 39, 'CO', 234, 'codeblocks', 'kill', 'O3', 'O2', 0.9717439975295299, 14.539774417877197]
['CO', 110, 'BO', 12, 'mkdir', 'libgeany.so.0.0.0', 'O1', 'O0', 0.8955067718122106, 42.2722270488739]
['UO', 56, 'CO', 179, 'elfedit', 'mv', 'O3', 'O1', 0.53915857605178, 0.1599276065826416]
['UO', 30, 'CO', 30, 'ranlib', 'expand', 'O2', 'O3', 0.8811965087704432, 1.3178353309631348]
['BO', 35, 'CO', 325, 'make', 'printenv', 'O3', 'O0', 0.7734229189996267, 0.30358362197875977]
['UO', 38, 'CO', 207, 'elfedit', 'ln', 'O2', 'O1', 0.3174224343675418, 0.08893752098083496]
['UO', 45, 'CO', 369, 'strip', 'od', 'O3', 'O0', 0.8318031582813074, 1.5475831031799316]
['CO', 152, 'BO', 52, 'ls', 'svn', 'O1', 'O3', 0.48238027623596236, 1.0192651748657227]
['UO', 26, 'CO', 208, 'nm', 'sha384sum', 'O2', 'O2', 0.8867021276595745, 1.2604069709777832]
['UO', 13, 'CO', 182, 'addr2line', 'chcon', 'O1', 'O1', 0.7959150057651129, 1.5576190948486328]
['BO', 63, 'CO', 366, 'cluster', 'true', 'O0', 'O0', 0.7498929336188437, 0.24998211860656738]
['UO', 70, 'CO', 61, 'ranlib', 'cksum', 'O0', 'O3', 0.9283936651583711, 3.02683424949646]
['UO', 71, 'CO', 37, 'c++filt', 'truncate', 'O0', 'O3', 0.9224261201143946, 2.792371988296509]
['CO', 96, 'UO', 87, 'fold', 'find', 'O3', 'O0', 0.8223052294557097, 0.8753616809844971]
['CO', 266, 'UO', 9, 'df', 'strings', 'O2', 'O1', 0.7772500204733437, 1.9747838973999023]
['BO', 80, 'UO', 47, 'ssh', 'as', 'O3', 'O3', 0.08362712402731454, 7.50460410118103]
['UO', 76, 'CO', 28, 'addr2line', 'factor', 'O0', 'O3', 0.8820667284522706, 2.9365878105163574]
['BO', 51, 'CO', 220, 'lua', 'ptx', 'O1', 'O2', 0.7509298140371926, 0.6183514595031738]
['CO', 76, 'BO', 40, 'md5sum', 'lua', 'O3', 'O0', 0.8493927125506073, 1.0191314220428467]
['CO', 300, 'UO', 41, 'sha512sum', 'locate', 'O2', 'O2', 0.5553235908141962, 0.15481019020080566]
['BO', 68, 'CO', 258, 'git', 'dircolors', 'O3', 'O2', 0.9758077164366374, 8.700244903564453]
['UO', 79, 'CO', 396, 'size', 'vdir', 'O0', 'O0', 0.7073578595317725, 3.9325637817382812]
['CO', 277, 'UO', 22, 'who', 'diff3', 'O2', 'O2', 0.1345100426049909, 0.05244255065917969]
['UO', 84, 'BO', 9, 'sdiff', 'git', 'O0', 'O0', 0.9538968592477705, 11.40475058555603]
['UO', 19, 'CO', 303, 'cmp', 'sha224sum', 'O1', 'O2', 0.10256410256410253, 0.04361748695373535]
['UO', 34, 'BO', 67, 'ld', 'libSDL2-2.0.so.0.16.0', 'O2', 'O1', 0.24015388447593478, 28.067856073379517]
['CO', 223, 'BO', 15, 'join', 'diff', 'O2', 'O0', 0.5604651162790698, 0.22508955001831055]
['CO', 165, 'UO', 42, 'cksum', 'xargs', 'O1', 'O2', 0.3838009528851244, 0.08329010009765625]
['CO', 268, 'BO', 24, 'base64', 'cluster', 'O2', 'O3', 0.6451016635859519, 0.1502997875213623]
['UO', 6, 'BO', 43, 'as', 'diff', 'O1', 'O1', 0.7693792542923905, 3.1095778942108154]
['BO', 35, 'CO', 275, 'make', 'nohup', 'O3', 'O2', 0.7918159532340184, 0.28170061111450195]
['BO', 33, 'UO', 34, 'sort', 'ld', 'O2', 'O2', 0.7880235529385624, 3.790846586227417]
['BO', 62, 'CO', 367, 'bash', 'cp', 'O1', 'O0', 0.7614032429155932, 4.7602009773254395]
['UO', 38, 'CO', 82, 'elfedit', 'shuf', 'O2', 'O3', 0.2130044843049328, 0.05401015281677246]
['UO', 40, 'CO', 346, 'objdump', 'tail', 'O2', 'O0', 0.8240114392564484, 2.737790822982788]
['BO', 52, 'UO', 43, 'svn', 'find', 'O3', 'O2', 0.17695243414316297, 1.6300950050354004]
['BO', 75, 'CO', 110, 'gvmap', 'mkdir', 'O1', 'O1', 0.552421500798297, 0.18104958534240723]
['CO', 208, 'BO', 61, 'sha384sum', 'git', 'O2', 'O1', 0.9749559082892416, 9.683668613433838]
['BO', 54, 'CO', 289, 'lua', 'cat', 'O3', 'O2', 0.8530949105914718, 0.39379072189331055]
['BO', 13, 'CO', 160, 'ruby', 'cut', 'O1', 'O1', 0.9779670572460345, 17.444458961486816]
['BO', 67, 'CO', 206, 'libSDL2-2.0.so.0.16.0', 'mknod', 'O1', 'O1', 0.9398838334946757, 6.9962897300720215]
['UO', 21, 'CO', 154, 'sdiff', 'dircolors', 'O1', 'O1', 0.1824561403508772, 0.05792880058288574]
['BO', 64, 'UO', 45, 'dot', 'strip', 'O0', 'O3', 0.9647077359382386, 1.3098804950714111]
['CO', 327, 'BO', 56, 'join', 'libvlc.so.12.0.0', 'O0', 'O3', 0.6558222222222222, 0.7326300144195557]
['UO', 31, 'CO', 92, 'c++filt', 'sha512sum', 'O2', 'O3', 0.8617011660489922, 1.1988773345947266]
['CO', 75, 'BO', 79, 'mv', 'bash', 'O3', 'O3', 0.8271367915820564, 5.3680901527404785]
['UO', 46, 'CO', 234, 'readelf', 'kill', 'O3', 'O2', 0.8284106891701828, 0.2857809066772461]
['UO', 71, 'BO', 68, 'c++filt', 'git', 'O0', 'O3', 0.5149720401659551, 32.367087602615356]
['CO', 244, 'UO', 31, 'pinky', 'c++filt', 'O2', 'O2', 0.8802264013145883, 1.3750696182250977]
['UO', 25, 'CO', 314, 'sdiff', 'stat', 'O2', 'O0', 0.26770428015564196, 0.13746976852416992]
['CO', 262, 'UO', 31, 'true', 'c++filt', 'O2', 'O2', 0.9205520328235733, 1.2630531787872314]
['BO', 25, 'CO', 11, 'dot', 'groups', 'O3', 'O3', 0.5044843049327354, 0.018117189407348633]
['BO', 46, 'CO', 412, 'ruby', 'tac', 'O3', 'O0', 0.9726148141393879, 17.713473796844482]
['CO', 197, 'UO', 2, 'nl', 'find', 'O1', 'O1', 0.7685509421377356, 0.5916233062744141]
['BO', 83, 'CO', 196, 'lua', 'sha512sum', 'O2', 'O1', 0.8096609503861762, 0.528416633605957]
['CO', 1, 'BO', 56, 'touch', 'libvlc.so.12.0.0', 'O3', 'O3', 0.6130818480706004, 0.6984341144561768]
['UO', 0, 'BO', 42, 'locate', 'cmp', 'O1', 'O1', 0.501466275659824, 0.1633291244506836]
['BO', 36, 'CO', 85, 'cluster', '[', 'O2', 'O3', 0.5484988452655889, 0.15004682540893555]
['UO', 16, 'CO', 48, 'size', 'ls', 'O1', 'O3', 0.6736164341560632, 1.7907259464263916]
['CO', 238, 'BO', 5, 'expand', 'libgeany.so.0.0.0', 'O2', 'O1', 0.9766139709987717, 42.23601222038269]
['CO', 60, 'UO', 87, 'base64', 'find', 'O3', 'O0', 0.8148000531420221, 0.8866162300109863]
['BO', 28, 'CO', 103, 'ruby', 'ln', 'O0', 'O3', 0.9571456418407281, 18.82347297668457]
['CO', 212, 'UO', 5, 'test', 'readelf', 'O2', 'O1', 0.8068027210884354, 0.40843772888183594]
['UO', 34, 'CO', 43, 'ld', 'chroot', 'O2', 'O3', 0.9078783567490664, 2.45050048828125]
['BO', 4, 'CO', 59, 'libgeany.so.0.0.0', 'tsort', 'O2', 'O3', 0.9768953298056602, 38.052717447280884]
['UO', 83, 'BO', 46, 'diff', 'ruby', 'O0', 'O3', 0.9205740918842938, 31.266768217086792]
['CO', 95, 'UO', 19, 'sha224sum', 'cmp', 'O3', 'O1', 0.11842105263157898, 0.04219341278076172]
['BO', 69, 'CO', 169, 'cmp', 'false', 'O3', 'O1', 0.20062695924764884, 0.03566288948059082]
['UO', 56, 'CO', 384, 'elfedit', 'head', 'O3', 'O0', 0.2026300059772863, 0.056231021881103516]
['CO', 168, 'BO', 57, 'tty', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.9559700596405556, 6.643623352050781]
['UO', 65, 'CO', 401, 'sdiff', 'pathchk', 'O3', 'O0', 0.20426287744227356, 0.05711531639099121]
['UO', 54, 'CO', 224, 'addr2line', 'dirname', 'O3', 'O2', 0.9138351792753895, 1.0200982093811035]
['UO', 5, 'CO', 55, 'readelf', 'cp', 'O1', 'O3', 0.48923995521831076, 0.5545444488525391]
['CO', 117, 'UO', 18, 'printenv', 'diff3', 'O1', 'O1', 0.3184428844926611, 0.05139970779418945]
['CO', 132, 'UO', 68, 'factor', 'readelf', 'O1', 'O0', 0.7858053548661283, 0.8874194622039795]
['BO', 41, 'CO', 269, 'libSDL2-2.0.so.0.16.0', 'cksum', 'O2', 'O2', 0.951243682489347, 6.887912750244141]
['UO', 44, 'CO', 102, 'nm', 'mknod', 'O3', 'O3', 0.8771818757348286, 1.0797955989837646]
['CO', 19, 'BO', 11, 'dd', 'ssh', 'O3', 'O1', 0.8388522307645742, 2.643350124359131]
['CO', 277, 'BO', 27, 'who', 'perl', 'O2', 'O3', 0.9581440337661576, 3.8012630939483643]
