['UV', 77, 'CV', 290, 'ranlib', 'tail', 'V0', 'V1', 0.867563372995344, 1.1682424545288086]
['CV', 84, 'UV', 11, 'rmdir', 'ranlib', 'V2', 'V2', 0.8985165205664194, 1.3758735656738281]
['UV', 35, 'CV', 152, 'size', 'env', 'V3', 'V3', 0.8831145477432116, 1.1366233825683594]
['CV', 324, 'UV', 68, 'mv', 'diff', 'V1', 'V0', 0.21999999999999997, 0.1301710605621338]
['UV', 20, 'BV', 82, 'size', 'gvmap', 'V2', 'V1', 0.570353982300885, 1.65608811378479]
['CV', 90, 'UV', 68, 'test', 'diff', 'V3', 'V0', 0.4428948360346777, 0.0886678695678711]
['BV', 74, 'CV', 116, 'git', 'tail', 'V1', 'V3', 0.9442471754669126, 5.918076753616333]
['CV', 317, 'BV', 6, 'yes', 'libvlc.so', 'V1', 'V0', 0.8214553638409603, 0.27840137481689453]
['CV', 272, 'UV', 12, 'printenv', 'c++filt', 'V1', 'V2', 0.9355196304849884, 1.1401171684265137]
['BV', 33, 'CV', 150, 'openssl', 'mv', 'V0', 'V3', 0.8943852680989348, 8.111376523971558]
['UV', 23, 'CV', 150, 'strip', 'mv', 'V3', 'V3', 0.6903114186851211, 1.8529038429260254]
['BV', 18, 'CV', 258, 'sort', 'rmdir', 'V3', 'V0', 0.7152051488334674, 0.07898139953613281]
['CV', 228, 'BV', 80, 'false', 'cluster', 'V0', 'V1', 0.7910545217107411, 0.12417149543762207]
['UV', 84, 'CV', 63, 'ar', 'mv', 'V0', 'V2', 0.7384751062294557, 1.408308744430542]
['CV', 63, 'BV', 53, 'mv', 'ssh', 'V2', 'V2', 0.8943170488534397, 6.85644268989563]
['BV', 72, 'CV', 229, 'perl', 'nohup', 'V1', 'V0', 0.9707868173006217, 2.6736514568328857]
['CV', 293, 'BV', 2, 'paste', 'cmp', 'V1', 'V1', 0.30789245446660884, 0.025546550750732422]
['BV', 46, 'CV', 275, 'cluster', 'dirname', 'V3', 'V1', 0.7538363171355499, 0.1197824478149414]
['CV', 317, 'UV', 42, 'yes', 'diff', 'V1', 'V3', 0.7270642201834863, 0.09284830093383789]
['CV', 297, 'BV', 73, 'chroot', 'geany', 'V1', 'V0', 0.9829368482823997, 20.4203200340271]
['CV', 94, 'BV', 50, 'dir', 'sort', 'V3', 'V0', 0.39862430396331483, 0.12416243553161621]
['CV', 197, 'UV', 52, 'wc', 'strip', 'V0', 'V1', 0.9376929553746842, 1.630582571029663]
['BV', 41, 'UV', 53, 'libvlccore.so', 'readelf', 'V1', 'V1', 0.7171899491758894, 4.018457889556885]
['BV', 51, 'CV', 152, 'cp', 'env', 'V0', 'V3', 0.27417519908987487, 0.04584026336669922]
['BV', 13, 'CV', 280, 'cp', 'pr', 'V2', 'V1', 0.3758523866827116, 0.08329391479492188]
['BV', 15, 'CV', 157, 'libvlccore.so', 'vdir', 'V3', 'V3', 0.8114064378255643, 5.017291307449341]
['CV', 18, 'UV', 30, 'pwd', 'ld', 'V2', 'V3', 0.9299592228352123, 2.4855763912200928]
['UV', 81, 'CV', 25, 'ld', 'expand', 'V0', 'V2', 0.9320975609756098, 1.671006202697754]
['BV', 25, 'UV', 82, 'git', 'gprof', 'V3', 'V0', 0.7046695047575834, 18.429264307022095]
['CV', 314, 'UV', 64, 'tty', 'size', 'V1', 'V1', 0.934931506849315, 1.1446478366851807]
['CV', 149, 'BV', 31, 'unexpand', 'codeblocks', 'V3', 'V0', 0.960777841956157, 14.241188526153564]
['BV', 65, 'CV', 29, 'ssh', 'tail', 'V1', 'V2', 0.9337071240105541, 4.5232696533203125]
['BV', 67, 'CV', 188, 'cluster', 'dirname', 'V0', 'V0', 0.7438282647584973, 0.09802603721618652]
['CV', 268, 'UV', 60, 'dir', 'gprof', 'V1', 'V1', 0.7951769979904159, 1.7299108505249023]
['CV', 113, 'UV', 43, 'date', 'sdiff', 'V3', 'V3', 0.12494194147700877, 0.06137514114379883]
['BV', 2, 'CV', 156, 'cmp', 'csplit', 'V1', 'V3', 0.17120181405895685, 0.045165300369262695]
['BV', 41, 'CV', 280, 'libvlccore.so', 'pr', 'V1', 'V1', 0.9173702936647018, 3.3326048851013184]
['UV', 26, 'CV', 246, 'ranlib', 'id', 'V3', 'V0', 0.9224108070661586, 1.2183537483215332]
['UV', 33, 'CV', 304, 'ar', 'chmod', 'V3', 'V1', 0.8583626318432949, 1.2851619720458984]
['CV', 131, 'BV', 15, 'true', 'libvlccore.so', 'V3', 'V3', 0.9476936341428366, 4.47969913482666]
['CV', 118, 'BV', 63, 'sha1sum', 'ruby', 'V3', 'V0', 0.9702129356408007, 13.162758111953735]
['UV', 59, 'CV', 81, 'ld', 'sleep', 'V1', 'V2', 0.9347319347319347, 1.8832247257232666]
['BV', 37, 'CV', 208, 'geany', 'echo', 'V1', 'V0', 0.9863568451678855, 24.001920700073242]
['CV', 178, 'BV', 42, 'basename', 'libvlc.so', 'V0', 'V1', 0.839981969799414, 0.2919485569000244]
['CV', 333, 'BV', 18, 'id', 'sort', 'V1', 'V3', 0.6456966422230799, 0.0962069034576416]
['UV', 48, 'CV', 282, 'locate', 'chgrp', 'V1', 'V1', 0.4013605442176871, 0.09049654006958008]
['CV', 135, 'BV', 65, 'df', 'ssh', 'V3', 'V1', 0.9051177904142973, 6.3486998081207275]
['BV', 55, 'UV', 77, 'codeblocks', 'ranlib', 'V3', 'V0', 0.556761869512471, 22.14083242416382]
['CV', 179, 'BV', 7, 'mkdir', 'libSDL2-2.0.so', 'V0', 'V0', 0.9250640626082138, 4.179559946060181]
['BV', 81, 'CV', 266, 'dot', 'mkdir', 'V1', 'V1', 0.47447073474470736, 0.01700139045715332]
['CV', 125, 'UV', 2, 'split', 'find', 'V3', 'V2', 0.5332452664024658, 0.26755809783935547]
['BV', 29, 'CV', 85, 'perl', 'mknod', 'V3', 'V2', 0.9621608165297486, 2.9858062267303467]
['UV', 13, 'CV', 291, 'strings', 'pinky', 'V2', 'V1', 0.8981040524755144, 1.1536445617675781]
['CV', 196, 'BV', 27, 'kill', 'libSDL2-2.0.so', 'V0', 'V1', 0.9521264751725673, 4.877160549163818]
['CV', 38, 'UV', 16, 'split', 'gprof', 'V2', 'V2', 0.8424563941805321, 1.5056548118591309]
['UV', 35, 'BV', 56, 'size', 'ssh', 'V3', 'V3', 0.17538632661979103, 5.461320877075195]
['UV', 30, 'BV', 34, 'ld', 'svn', 'V3', 'V0', 0.5568561064087062, 4.029544353485107]
['BV', 7, 'UV', 11, 'libSDL2-2.0.so', 'ranlib', 'V0', 'V2', 0.22233704292527823, 9.556775093078613]
['BV', 29, 'CV', 292, 'perl', 'sha1sum', 'V3', 'V1', 0.9653759840416059, 3.0130934715270996]
['BV', 78, 'CV', 94, 'make', 'dir', 'V2', 'V3', 0.35690540948927163, 0.4372572898864746]
['BV', 69, 'CV', 181, 'gvmap', 'dir', 'V0', 'V0', 0.3516992790937179, 0.19829249382019043]
['UV', 8, 'CV', 228, 'strip', 'false', 'V2', 'V0', 0.9514188422247446, 1.4299814701080322]
['CV', 79, 'UV', 17, 'fold', 'addr2line', 'V2', 'V2', 0.9036944045911047, 1.264618158340454]
['CV', 310, 'BV', 68, 'tsort', 'dot', 'V1', 'V0', 0.35649546827794554, 0.012012481689453125]
['CV', 270, 'UV', 74, 'users', 'strip', 'V1', 'V0', 0.9346653055271985, 1.5415096282958984]
['CV', 101, 'BV', 5, 'dirname', 'libvlccore.so', 'V3', 'V0', 0.937308533916849, 3.7557594776153564]
['CV', 345, 'BV', 63, 'rmdir', 'ruby', 'V1', 'V0', 0.9846957220325366, 12.287167310714722]
['CV', 158, 'UV', 25, '[', 'as', 'V3', 'V3', 0.9098790782569016, 2.4174208641052246]
