['UV', 6, 'CV', 108, 'sdiff', 'chgrp', 'V2', 'V3', 0.13667117726657652, 0.0704200267791748]
['CV', 93, 'UV', 31, 'fmt', 'gprof', 'V3', 'V3', 0.8795702506870992, 1.4564526081085205]
['CV', 10, 'UV', 29, 'ptx', 'objcopy', 'V2', 'V3', 0.766499582289056, 2.099644899368286]
['CV', 321, 'BV', 78, 'hostid', 'make', 'V1', 'V2', 0.8514238547255468, 0.2504603862762451]
['UV', 77, 'CV', 14, 'ranlib', 'dirname', 'V0', 'V2', 0.914442283896058, 1.1302845478057861]
['CV', 200, 'UV', 74, 'date', 'strip', 'V0', 'V0', 0.9072676299331465, 1.755140781402588]
['UV', 50, 'CV', 52, 'find', 'logname', 'V1', 'V2', 0.7594136972453879, 0.1823592185974121]
['CV', 319, 'BV', 1, 'readlink', 'libSDL2-2.0.so', 'V1', 'V3', 0.9608828771192249, 7.296201705932617]
['BV', 35, 'CV', 126, 'libvlccore.so', 'whoami', 'V2', 'V3', 0.9440391629871376, 4.304293870925903]
['CV', 210, 'UV', 55, 'chroot', 'ranlib', 'V0', 'V1', 0.9373720136518772, 1.345184087753296]
['CV', 231, 'BV', 59, 'who', 'make', 'V0', 'V1', 0.7738430583501006, 0.27857422828674316]
['CV', 172, 'UV', 8, 'mknod', 'strip', 'V3', 'V2', 0.8998084573449241, 1.7244668006896973]
['UV', 10, 'BV', 22, 'as', 'cmp', 'V2', 'V3', 0.9139171138257792, 2.188156843185425]
['CV', 285, 'BV', 47, 'factor', 'dot', 'V1', 'V3', 0.3711656441717792, 0.01241612434387207]
['CV', 200, 'UV', 0, 'date', 'locate', 'V0', 'V2', 0.3491662455785751, 0.06985998153686523]
['UV', 14, 'CV', 121, 'objcopy', 'echo', 'V2', 'V3', 0.9154720344648295, 1.4871721267700195]
['CV', 268, 'BV', 62, 'dir', 'diff', 'V1', 'V0', 0.09577355564172163, 0.11068272590637207]
['CV', 54, 'BV', 76, 'false', 'diff', 'V2', 'V2', 0.6746806912096168, 0.09963560104370117]
['CV', 169, 'BV', 80, 'sort', 'cluster', 'V3', 'V1', 0.173984407057858, 0.2985951900482178]
['CV', 63, 'BV', 82, 'mv', 'gvmap', 'V2', 'V1', 0.30539710399297937, 0.25894951820373535]
['BV', 45, 'UV', 74, 'svn', 'strip', 'V3', 'V0', 0.3466565733030532, 4.95726752281189]
['BV', 37, 'CV', 165, 'geany', 'rm', 'V1', 'V3', 0.9508060623612318, 26.09601879119873]
['CV', 251, 'BV', 17, 'nl', 'codeblocks', 'V0', 'V2', 0.9373857642696747, 17.697378158569336]
['UV', 42, 'BV', 70, 'diff', 'ssh', 'V3', 'V0', 0.8526851217842121, 6.860769510269165]
['UV', 11, 'BV', 67, 'ranlib', 'cluster', 'V2', 'V0', 0.6444736457877063, 1.797842025756836]
['BV', 73, 'UV', 10, 'geany', 'as', 'V0', 'V2', 0.44859289527450075, 35.30952739715576]
['BV', 71, 'CV', 201, 'ruby', 'expr', 'V1', 'V0', 0.8638045891931903, 0.021115541458129883]
['CV', 87, 'BV', 57, 'touch', 'svn', 'V3', 'V2', 0.6268163804491413, 0.6474704742431641]
['CV', 88, 'UV', 52, 'stat', 'strip', 'V3', 'V1', 0.8315426449131185, 2.1568167209625244]
['BV', 62, 'CV', 52, 'diff', 'logname', 'V0', 'V2', 0.440093512565751, 0.04629254341125488]
['BV', 66, 'CV', 192, 'lua', 'pwd', 'V1', 'V0', 0.8610122272094103, 0.3678927421569824]
['CV', 62, 'BV', 58, 'unexpand', 'ruby', 'V2', 'V3', 0.7003257328990228, 0.0084228515625]
['UV', 35, 'CV', 296, 'size', 'sum', 'V3', 'V1', 0.9092069279854148, 1.153435468673706]
['CV', 211, 'BV', 57, 'seq', 'svn', 'V0', 'V2', 0.8452023988005997, 0.5001327991485596]
['BV', 64, 'CV', 284, 'openssl', 'wc', 'V2', 'V1', 0.9415825203947744, 5.9931299686431885]
['UV', 71, 'CV', 203, 'xargs', 'tail', 'V0', 'V0', 0.09715994020926755, 0.03478646278381348]
['UV', 19, 'CV', 281, 'elfedit', 'tee', 'V2', 'V1', 0.22563176895306858, 0.02678084373474121]
['BV', 71, 'CV', 132, 'ruby', 'cp', 'V1', 'V3', 0.9146171693735499, 0.06426239013671875]
['CV', 277, 'BV', 39, 'dd', 'svn', 'V1', 'V1', 0.7219307450157397, 0.596261739730835]
['CV', 266, 'BV', 78, 'mkdir', 'make', 'V1', 'V2', 0.7717219589257504, 0.28876590728759766]
['CV', 300, 'UV', 12, 'whoami', 'c++filt', 'V1', 'V2', 0.9314159292035398, 1.2077996730804443]
['CV', 292, 'BV', 16, 'sha1sum', 'libvlc.so', 'V1', 'V3', 0.8119195046439629, 0.4708700180053711]
['CV', 128, 'UV', 46, 'nice', 'diff', 'V3', 'V1', 0.6259259259259259, 0.12357115745544434]
['BV', 0, 'UV', 55, 'bash', 'ranlib', 'V2', 'V1', 0.32530410694929546, 7.442019939422607]
['UV', 71, 'CV', 248, 'xargs', 'pathchk', 'V0', 'V0', 0.23895582329317266, 0.02221965789794922]
['UV', 42, 'BV', 56, 'diff', 'ssh', 'V3', 'V3', 0.7338443396226415, 3.094043731689453]
['BV', 43, 'CV', 283, 'lua', 'kill', 'V0', 'V1', 0.8522117962466488, 0.33928346633911133]
['BV', 8, 'CV', 164, 'cluster', 'nl', 'V2', 'V3', 0.585471317382531, 0.15014982223510742]
['BV', 13, 'UV', 20, 'cp', 'size', 'V2', 'V2', 0.723462783171521, 1.817216157913208]
['CV', 329, 'BV', 69, 'cat', 'gvmap', 'V1', 'V0', 0.7211634904714143, 0.12485241889953613]
['UV', 13, 'CV', 14, 'strings', 'dirname', 'V2', 'V2', 0.9123664674995473, 1.2134993076324463]
['CV', 319, 'BV', 17, 'readlink', 'codeblocks', 'V1', 'V2', 0.9771897567085032, 14.754833459854126]
['CV', 302, 'UV', 20, 'nice', 'size', 'V1', 'V2', 0.9277435711698659, 1.255678415298462]
['UV', 23, 'CV', 152, 'strip', 'env', 'V3', 'V3', 0.9025268051285896, 1.54374098777771]
['CV', 107, 'BV', 42, 'tee', 'libvlc.so', 'V3', 'V1', 0.6924032291451045, 0.39476728439331055]
['BV', 30, 'CV', 295, 'bash', 'echo', 'V0', 'V1', 0.9641551939924906, 2.532848596572876]
['UV', 35, 'CV', 115, 'size', 'chown', 'V3', 'V3', 0.7892039631021524, 1.304488182067871]
['BV', 26, 'CV', 194, 'geany', 'tee', 'V2', 'V0', 0.9840833835039133, 26.954116106033325]
['CV', 303, 'BV', 69, 'dircolors', 'gvmap', 'V1', 'V0', 0.6790606653620352, 0.13116025924682617]
['CV', 189, 'BV', 75, 'uptime', 'cmp', 'V0', 'V2', 0.22481869460112813, 0.032088518142700195]
['UV', 7, 'CV', 161, 'nm', 'pathchk', 'V2', 'V3', 0.883295593102247, 1.2199928760528564]
['CV', 99, 'UV', 2, 'stty', 'find', 'V3', 'V2', 0.591422642379525, 0.25478267669677734]
['CV', 39, 'BV', 26, 'whoami', 'geany', 'V2', 'V2', 0.9816972339146122, 29.848148345947266]
['UV', 26, 'CV', 50, 'ranlib', 'cksum', 'V3', 'V2', 0.917098445595855, 1.2318170070648193]
['BV', 58, 'CV', 4, 'ruby', 'basename', 'V3', 'V2', 0.6822107081174439, 0.007714271545410156]
['CV', 195, 'UV', 40, 'chgrp', 'diff3', 'V0', 'V3', 0.18064153066966804, 0.05080771446228027]
['BV', 40, 'CV', 304, 'lua', 'chmod', 'V2', 'V1', 0.766491857576594, 0.4575035572052002]
