['BO', 20, 'CO', 317, 'sort', 'basename', 'O1', 'O0', 0.5124674358020097, 0.14323163032531738]
['UO', 20, 'CO', 237, 'diff', 'nproc', 'O1', 'O2', 0.6243291592128801, 0.13331341743469238]
['BO', 58, 'CO', 200, 'svn', 'fold', 'O1', 'O1', 0.7932924862947436, 0.6575171947479248]
['UO', 49, 'CO', 266, 'c++filt', 'df', 'O3', 'O2', 0.7616961626073243, 1.2245819568634033]
['BO', 28, 'CO', 414, 'ruby', 'mknod', 'O0', 'O0', 0.9504482964734011, 19.675268173217773]
['BO', 40, 'CO', 96, 'lua', 'fold', 'O0', 'O3', 0.8632513521787938, 0.8879666328430176]
['CO', 290, 'UO', 14, 'shuf', 'ar', 'O2', 'O1', 0.8508680694455556, 1.80387544631958]
['CO', 367, 'BO', 52, 'cp', 'svn', 'O0', 'O3', 0.31897040480780126, 1.2107739448547363]
['CO', 68, 'UO', 66, 'yes', 'nm', 'O3', 'O0', 0.93156115191792, 3.1734373569488525]
['UO', 39, 'CO', 350, 'size', 'sha1sum', 'O2', 'O0', 0.8456115615086359, 1.2889738082885742]
['UO', 19, 'CO', 256, 'cmp', 'ls', 'O1', 'O2', 0.43646408839779005, 0.1302943229675293]
['CO', 144, 'UO', 47, 'sync', 'as', 'O1', 'O3', 0.9308435438265787, 2.0922839641571045]
['BO', 28, 'CO', 84, 'ruby', 'vdir', 'O0', 'O3', 0.9367302727245749, 19.587242126464844]
['CO', 0, 'BO', 43, 'sha384sum', 'diff', 'O3', 'O1', 0.4978583196046129, 0.14639854431152344]
['CO', 92, 'BO', 46, 'sha512sum', 'ruby', 'O3', 'O3', 0.9767002710687418, 18.992976427078247]
['BO', 37, 'UO', 31, 'gvmap', 'c++filt', 'O2', 'O2', 0.5671357930772156, 2.2202036380767822]
['CO', 229, 'BO', 61, 'mktemp', 'git', 'O2', 'O1', 0.9712475061612487, 9.682413578033447]
['BO', 17, 'CO', 245, 'codeblocks', 'truncate', 'O2', 'O2', 0.9726563519190127, 14.250257730484009]
['BO', 63, 'CO', 113, 'cluster', 'du', 'O0', 'O1', 0.38864481243663396, 0.4064295291900635]
['CO', 52, 'UO', 2, 'sha256sum', 'find', 'O3', 'O1', 0.7536734356942381, 0.5629403591156006]
['BO', 36, 'CO', 187, 'cluster', 'csplit', 'O2', 'O1', 0.4732510288065843, 0.1823105812072754]
['CO', 228, 'UO', 34, 'mkfifo', 'ld', 'O2', 'O2', 0.9416023166023166, 2.6390814781188965]
['UO', 7, 'BO', 21, 'ranlib', 'cp', 'O1', 'O1', 0.7039217128982415, 2.0338494777679443]
['CO', 413, 'UO', 85, 'rmdir', 'locate', 'O0', 'O0', 0.619072988811934, 0.29903721809387207]
['CO', 363, 'UO', 32, 'realpath', 'strings', 'O0', 'O2', 0.83019200281839, 1.6522181034088135]
['BO', 52, 'CO', 359, 'svn', 'numfmt', 'O3', 'O0', 0.6656874265569918, 0.7604594230651855]
['UO', 32, 'CO', 248, 'strings', 'sync', 'O2', 'O2', 0.9092245497978684, 1.2264015674591064]
['UO', 64, 'CO', 3, 'diff', 'unlink', 'O3', 'O3', 0.5847071203086637, 0.10408306121826172]
['BO', 47, 'CO', 125, 'libvlc.so.12.0.0', 'mktemp', 'O0', 'O1', 0.7319043693322341, 0.8654870986938477]
['UO', 71, 'CO', 232, 'c++filt', 'tee', 'O0', 'O2', 0.9281701924226127, 2.871616840362549]
['BO', 67, 'CO', 355, 'libSDL2-2.0.so.0.16.0', 'chroot', 'O1', 'O0', 0.9174241699358913, 7.304275751113892]
['CO', 385, 'UO', 20, 'hostid', 'diff', 'O0', 'O1', 0.5725666782126775, 0.15295791625976562]
['UO', 54, 'BO', 77, 'addr2line', 'libSDL2-2.0.so.0.16.0', 'O3', 'O3', 0.3669911560730419, 19.34283208847046]
['BO', 46, 'CO', 19, 'ruby', 'dd', 'O3', 'O3', 0.9597487695141468, 17.672566652297974]
['CO', 244, 'BO', 57, 'pinky', 'libvlccore.so.9.0.0', 'O2', 'O3', 0.947701997050265, 6.667362451553345]
['CO', 215, 'UO', 35, 'fmt', 'gprof', 'O2', 'O2', 0.8998147836336083, 1.434619665145874]
['CO', 291, 'BO', 52, 'csplit', 'svn', 'O2', 'O3', 0.7320910340614022, 0.7634658813476562]
['CO', 412, 'UO', 78, 'tac', 'elfedit', 'O0', 'O0', 0.13002915451895047, 0.06336736679077148]
['UO', 22, 'CO', 188, 'diff3', 'vdir', 'O2', 'O1', 0.383898868928809, 0.15718960762023926]
['BO', 81, 'UO', 20, 'sort', 'diff', 'O3', 'O1', 0.11176737846433438, 0.25730061531066895]
