['CO', 129, 'BO', 19, 'chgrp', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.9069749154674844, 8.333647966384888]
['BO', 10, 'CO', 81, 'openssl', 'cat', 'O3', 'O3', 0.9412773253321903, 10.185805082321167]
['UO', 8, 'CO', 169, 'c++filt', 'false', 'O1', 'O1', 0.9073646850044366, 1.3505990505218506]
['UO', 65, 'CO', 47, 'sdiff', 'numfmt', 'O3', 'O3', 0.14968152866242035, 0.05266904830932617]
['CO', 34, 'BO', 19, 'tail', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.9060413229633121, 7.711275577545166]
['CO', 89, 'UO', 29, 'pathchk', 'as', 'O3', 'O2', 0.9227103072064312, 2.4582178592681885]
['UO', 4, 'BO', 73, 'strip', 'cluster', 'O1', 'O1', 0.6541372351160444, 2.2957265377044678]
['CO', 135, 'BO', 73, 'date', 'cluster', 'O1', 'O1', 0.4250907205806117, 0.20736956596374512]
['BO', 1, 'CO', 112, 'ssh', 'dir', 'O2', 'O1', 0.7589788221642008, 2.5088553428649902]
['BO', 61, 'CO', 361, 'git', 'nice', 'O1', 'O0', 0.9736022716146089, 8.769903898239136]
['BO', 43, 'UO', 87, 'diff', 'find', 'O1', 'O0', 0.5047849521504785, 1.3784184455871582]
['CO', 407, 'UO', 5, 'sha224sum', 'readelf', 'O0', 'O1', 0.7374618403837767, 0.5044631958007812]
['CO', 367, 'UO', 9, 'cp', 'strings', 'O0', 'O1', 0.5504285714285714, 2.810333013534546]
['UO', 67, 'CO', 23, 'strip', 'pr', 'O0', 'O3', 0.8880374835277466, 3.757655620574951]
['CO', 163, 'UO', 10, 'tsort', 'objcopy', 'O1', 'O1', 0.9011235955056179, 1.977358341217041]
['CO', 71, 'BO', 13, 'readlink', 'ruby', 'O3', 'O1', 0.9757092414464873, 19.778138875961304]
['CO', 296, 'BO', 46, 'shred', 'ruby', 'O2', 'O3', 0.9700699682790231, 20.839094638824463]
['UO', 59, 'CO', 277, 'locate', 'who', 'O3', 'O2', 0.49395877754086714, 0.14031410217285156]
['UO', 6, 'BO', 54, 'as', 'lua', 'O1', 'O3', 0.44518052335210334, 4.199122667312622]
['CO', 191, 'BO', 17, 'id', 'codeblocks', 'O1', 'O2', 0.9614995459852121, 18.134142875671387]
['BO', 47, 'CO', 225, 'libvlc.so.12.0.0', 'stdbuf', 'O0', 'O2', 0.7840407470288625, 0.7884669303894043]
['UO', 16, 'CO', 98, 'size', 'sleep', 'O1', 'O3', 0.8938053097345132, 1.3911433219909668]
['UO', 65, 'BO', 67, 'sdiff', 'libSDL2-2.0.so.0.16.0', 'O3', 'O1', 0.9047935768920139, 8.199212312698364]
['CO', 49, 'UO', 39, 'nice', 'size', 'O3', 'O2', 0.8904233234046394, 1.3281784057617188]
['UO', 73, 'BO', 42, 'objcopy', 'cmp', 'O0', 'O1', 0.9239070970308848, 3.6869208812713623]
['CO', 55, 'BO', 31, 'cp', 'bash', 'O3', 'O2', 0.8399099833158732, 5.617636442184448]
['CO', 183, 'UO', 73, 'link', 'objcopy', 'O1', 'O0', 0.9447991553969132, 4.027209520339966]
['UO', 46, 'CO', 175, 'readelf', 'readlink', 'O3', 'O1', 0.7668378133494412, 0.32560205459594727]
['UO', 27, 'CO', 131, 'strip', 'wc', 'O2', 'O1', 0.8777473543994672, 1.6828796863555908]
['UO', 48, 'CO', 292, 'ranlib', 'vdir', 'O3', 'O2', 0.6966379984362784, 1.5864782333374023]
['BO', 1, 'CO', 165, 'ssh', 'cksum', 'O2', 'O1', 0.9249476157216331, 1.891730785369873]
['CO', 148, 'UO', 39, 'seq', 'size', 'O1', 'O2', 0.8698330506204803, 1.4245634078979492]
['BO', 9, 'UO', 2, 'git', 'find', 'O0', 'O1', 0.8095990519454869, 12.354710102081299]
['BO', 76, 'CO', 107, 'openssl', 'unlink', 'O2', 'O1', 0.9527437056165268, 10.3358736038208]
['CO', 195, 'UO', 45, 'comm', 'strip', 'O1', 'O3', 0.8919739038082234, 1.5489904880523682]
['CO', 171, 'BO', 28, 'nohup', 'ruby', 'O1', 'O0', 0.9805471678072318, 20.06472373008728]
['BO', 42, 'CO', 214, 'cmp', 'mkdir', 'O1', 'O2', 0.07236842105263164, 0.048032283782958984]
['CO', 218, 'BO', 47, 'users', 'libvlc.so.12.0.0', 'O2', 'O0', 0.8144686742817584, 0.8508665561676025]
['CO', 402, 'UO', 24, 'tr', 'diff', 'O0', 'O2', 0.37625628140703515, 0.16668367385864258]
['BO', 54, 'CO', 173, 'lua', 'who', 'O3', 'O1', 0.7872114619262404, 0.4398386478424072]
['CO', 60, 'UO', 38, 'base64', 'elfedit', 'O3', 'O2', 0.16689655172413786, 0.03658175468444824]
['UO', 66, 'CO', 14, 'nm', 'stty', 'O0', 'O3', 0.8980351721372515, 3.004883050918579]
['CO', 198, 'UO', 87, 'rm', 'find', 'O1', 'O0', 0.6814988290398126, 1.1294162273406982]
['UO', 18, 'CO', 294, 'diff3', 'timeout', 'O1', 'O2', 0.1819221967963387, 0.05979657173156738]
['CO', 158, 'UO', 22, 'true', 'diff3', 'O1', 'O2', 0.29014472777394906, 0.04234027862548828]
['CO', 61, 'UO', 55, 'cksum', 'ar', 'O3', 'O3', 0.8898282925128562, 1.2847049236297607]
['CO', 354, 'UO', 82, 'sum', 'cmp', 'O0', 'O0', 0.06327683615819213, 0.07325887680053711]
['CO', 367, 'BO', 50, 'cp', 'perl', 'O0', 'O2', 0.8237779456616021, 7.245636463165283]
['CO', 247, 'BO', 51, 'paste', 'lua', 'O2', 'O1', 0.8640950312939073, 0.6096556186676025]
