['BO', 61, 'CO', 345, 'git', 'chown', 'O1', 'O0', 0.9444347977079354, 9.709997653961182]
['CO', 333, 'UO', 78, 'mktemp', 'elfedit', 'O0', 'O0', 0.18114707552526976, 0.07195806503295898]
['CO', 115, 'UO', 19, 'groups', 'cmp', 'O1', 'O1', 0.10874200426439229, 0.043235063552856445]
['CO', 72, 'UO', 59, 'head', 'locate', 'O3', 'O3', 0.45717234262125905, 0.13162732124328613]
['BO', 83, 'CO', 168, 'lua', 'tty', 'O2', 'O1', 0.8520900321543409, 0.49226808547973633]
['BO', 56, 'CO', 201, 'libvlc.so.12.0.0', 'uniq', 'O3', 'O1', 0.7055484343526827, 0.5604588985443115]
['UO', 82, 'BO', 47, 'cmp', 'libvlc.so.12.0.0', 'O0', 'O0', 0.7079674796747968, 0.9957950115203857]
['BO', 33, 'CO', 87, 'sort', 'id', 'O2', 'O3', 0.4384125795582179, 0.1161344051361084]
['CO', 355, 'UO', 67, 'chroot', 'strip', 'O0', 'O0', 0.9145756000989854, 4.350095272064209]
['CO', 294, 'BO', 11, 'timeout', 'ssh', 'O2', 'O1', 0.9100685491478523, 2.3884377479553223]
['BO', 7, 'CO', 269, 'sort', 'cksum', 'O0', 'O2', 0.6860242501595405, 0.17665553092956543]
['CO', 248, 'BO', 67, 'sync', 'libSDL2-2.0.so.0.16.0', 'O2', 'O1', 0.9518823357522038, 7.543590307235718]
['UO', 3, 'CO', 16, 'nm', 'dirname', 'O1', 'O3', 0.9015943768215327, 1.3946666717529297]
['BO', 47, 'UO', 16, 'libvlc.so.12.0.0', 'size', 'O0', 'O1', 0.3510769992572419, 4.17674994468689]
['CO', 251, 'BO', 26, 'chroot', 'gvmap', 'O2', 'O3', 0.6245014245014245, 0.16547608375549316]
['UO', 51, 'CO', 84, 'objcopy', 'vdir', 'O3', 'O3', 0.7089439802766744, 1.7434873580932617]
['UO', 53, 'BO', 59, 'gprof', 'libgeany.so.0.0.0', 'O3', 'O3', 0.7033552161546446, 127.22733426094055]
