['CO', 88, 'UO', 25, 'shred', 'sdiff', 'O3', 'O2', 0.1369606003752345, 0.07352828979492188]
['CO', 62, 'BO', 1, 'printf', 'ssh', 'O3', 'O2', 0.8995050435436376, 2.2004356384277344]
['UO', 19, 'CO', 307, 'cmp', 'sort', 'O1', 'O2', 0.4280373831775701, 0.13446521759033203]
['BO', 52, 'UO', 14, 'svn', 'ar', 'O3', 'O1', 0.35940128792713355, 4.107426166534424]
['CO', 410, 'UO', 60, 'sleep', 'xargs', 'O0', 'O3', 0.33366935483870974, 0.09305572509765625]
['UO', 34, 'CO', 180, 'ld', 'md5sum', 'O2', 'O1', 0.9151443022909849, 2.4553005695343018]
['BO', 81, 'CO', 108, 'sort', 'test', 'O3', 'O1', 0.474922172258734, 0.11478829383850098]
['CO', 377, 'UO', 49, 'false', 'c++filt', 'O0', 'O3', 0.8894944559293366, 1.1520681381225586]
['BO', 22, 'CO', 329, 'perl', 'stdbuf', 'O0', 'O0', 0.9480358799876276, 5.0096330642700195]
['BO', 37, 'CO', 400, 'gvmap', 'shred', 'O2', 'O0', 0.37430706194263674, 0.24375486373901367]
['UO', 45, 'CO', 3, 'strip', 'unlink', 'O3', 'O3', 0.9095084979329352, 1.2777249813079834]
['BO', 53, 'CO', 29, 'bash', 'nproc', 'O0', 'O3', 0.9544968261892876, 4.767393589019775]
['BO', 31, 'UO', 22, 'bash', 'diff3', 'O2', 'O2', 0.9245910954178335, 3.793172836303711]
['CO', 236, 'UO', 46, 'factor', 'readelf', 'O2', 'O3', 0.7261729123635291, 0.3811914920806885]
['CO', 262, 'BO', 31, 'true', 'bash', 'O2', 'O2', 0.9647000331455088, 3.901853322982788]
['UO', 67, 'CO', 192, 'strip', 'shred', 'O0', 'O1', 0.8949740374252964, 3.8724467754364014]
['BO', 0, 'CO', 83, 'codeblocks', 'csplit', 'O1', 'O3', 0.9476702138650687, 14.19156789779663]
['BO', 12, 'CO', 263, 'libgeany.so.0.0.0', 'cp', 'O0', 'O2', 0.8560966817811, 41.9458544254303]
['UO', 54, 'CO', 252, 'addr2line', 'seq', 'O3', 'O2', 0.8808228023245088, 1.073779821395874]
['UO', 33, 'BO', 34, 'objcopy', 'cp', 'O2', 'O2', 0.7358851674641148, 1.9665112495422363]
['BO', 44, 'UO', 79, 'cmp', 'size', 'O2', 'O0', 0.911756100415472, 3.3482654094696045]
['UO', 21, 'CO', 361, 'sdiff', 'nice', 'O1', 'O0', 0.20453190220632078, 0.061681509017944336]
['CO', 11, 'UO', 87, 'groups', 'find', 'O3', 'O0', 0.8239850427350427, 0.8789644241333008]
['CO', 51, 'BO', 54, 'realpath', 'lua', 'O3', 'O3', 0.7738283307003686, 0.49069857597351074]
['CO', 55, 'BO', 61, 'cp', 'git', 'O3', 'O1', 0.9213406031951805, 12.828681945800781]
['BO', 33, 'CO', 398, 'sort', 'timeout', 'O2', 'O0', 0.34316824727783635, 0.15659117698669434]
['BO', 19, 'UO', 82, 'libvlccore.so.9.0.0', 'cmp', 'O1', 'O0', 0.9278133322733235, 6.651935338973999]
['CO', 73, 'UO', 74, 'hostid', 'ld', 'O3', 'O0', 0.952108320447992, 5.835111379623413]
['BO', 5, 'CO', 303, 'libgeany.so.0.0.0', 'sha224sum', 'O1', 'O2', 0.9746609507721239, 38.06238341331482]
['CO', 318, 'BO', 46, 'mkdir', 'ruby', 'O0', 'O3', 0.9457360855031404, 25.429390907287598]
