['BV', 3, 'CV', 70, 'diff', 'vdir', 'V1', 'V2', 0.11552653988078343, 0.1713120937347412]
['CV', 342, 'BV', 29, 'sleep', 'perl', 'V1', 'V3', 0.9694449402106015, 3.4416651725769043]
['BV', 16, 'CV', 38, 'libvlc.so', 'split', 'V3', 'V2', 0.6573648887318968, 0.47072553634643555]
['UV', 11, 'CV', 30, 'ranlib', 'pinky', 'V2', 'V2', 0.887855167211466, 1.3559000492095947]
['BV', 65, 'CV', 298, 'ssh', 'seq', 'V1', 'V1', 0.9712201190196013, 4.636811256408691]
['UV', 85, 'CV', 108, 'elfedit', 'chgrp', 'V0', 'V3', 0.29224229543039315, 0.0537571907043457]
['UV', 71, 'CV', 139, 'xargs', 'logname', 'V0', 'V3', 0.14381833473507144, 0.027822017669677734]
['BV', 64, 'UV', 5, 'openssl', 'diff', 'V2', 'V2', 0.7685752883716097, 7.166383504867554]
['BV', 55, 'CV', 3, 'codeblocks', 'test', 'V3', 'V2', 0.9695730325370568, 14.190924406051636]
['UV', 64, 'CV', 206, 'size', 'paste', 'V1', 'V0', 0.929714182994787, 1.1181700229644775]
['UV', 75, 'CV', 328, 'readelf', 'uname', 'V0', 'V1', 0.7727840199750312, 0.09201860427856445]
['UV', 5, 'CV', 108, 'diff', 'chgrp', 'V2', 'V3', 0.30594405594405594, 0.14261722564697266]
['CV', 274, 'UV', 47, 'join', 'sdiff', 'V1', 'V1', 0.24387254901960786, 0.04487156867980957]
['BV', 60, 'CV', 336, 'codeblocks', 'tr', 'V1', 'V1', 0.9696391627931971, 13.311278343200684]
['CV', 336, 'UV', 61, 'tr', 'addr2line', 'V1', 'V1', 0.8997338065661047, 1.3137176036834717]
['UV', 20, 'CV', 199, 'size', 'expand', 'V2', 'V0', 0.9261738894417805, 1.210634469985962]
['CV', 111, 'UV', 17, 'factor', 'addr2line', 'V3', 'V2', 0.8249806584715894, 1.4882993698120117]
['CV', 106, 'BV', 77, 'pr', 'perl', 'V3', 'V2', 0.9268564869432133, 4.042649745941162]
['CV', 193, 'UV', 55, 'pr', 'ranlib', 'V0', 'V1', 0.8714250391494271, 1.5354969501495361]
['BV', 49, 'UV', 25, 'make', 'as', 'V3', 'V3', 0.5606941795003024, 4.833024978637695]
['UV', 52, 'CV', 44, 'strip', 'true', 'V1', 'V2', 0.9391896636472158, 1.5865435600280762]
['UV', 57, 'CV', 120, 'strings', 'sync', 'V1', 'V3', 0.8884758364312267, 1.1822841167449951]
['UV', 2, 'CV', 312, 'find', 'printf', 'V2', 'V1', 0.7391523713420787, 0.19559526443481445]
['UV', 46, 'BV', 35, 'diff', 'libvlccore.so', 'V1', 'V2', 0.7706694633805279, 7.458483934402466]
['UV', 1, 'CV', 326, 'xargs', 'env', 'V2', 'V1', 0.5577275503970678, 0.04418325424194336]
['CV', 199, 'BV', 16, 'expand', 'libvlc.so', 'V0', 'V3', 0.8396856581532417, 0.43838024139404297]
['BV', 39, 'CV', 37, 'svn', 'seq', 'V1', 'V2', 0.7785404624277457, 0.47220444679260254]
['BV', 39, 'CV', 4, 'svn', 'basename', 'V1', 'V2', 0.8213096559378469, 0.44469189643859863]
['CV', 87, 'BV', 4, 'touch', 'geany', 'V3', 'V3', 0.9608897158904912, 40.65272498130798]
['BV', 10, 'CV', 96, 'gvmap', 'users', 'V2', 'V3', 0.6288659793814433, 0.1544022560119629]
['UV', 10, 'CV', 28, 'as', 'chown', 'V2', 'V2', 0.8838071693448702, 2.305199384689331]
['BV', 18, 'UV', 75, 'sort', 'readelf', 'V3', 'V0', 0.18262268704746587, 0.23624253273010254]
['UV', 40, 'CV', 7, 'diff3', 'dir', 'V3', 'V2', 0.22775263951734537, 0.1097722053527832]
['BV', 83, 'UV', 6, 'git', 'sdiff', 'V2', 'V2', 0.9604184557732844, 8.806518077850342]
['BV', 2, 'CV', 308, 'cmp', 'od', 'V1', 'V1', 0.10469314079422387, 0.03522515296936035]
