['BV', 43, 'UV', 75, 'lua', 'readelf', 'V0', 'V0', 0.357475797776981, 0.5394124984741211]
['CV', 80, 'UV', 29, 'uniq', 'objcopy', 'V2', 'V3', 0.899251497005988, 1.5899040699005127]
['CV', 279, 'BV', 65, 'pwd', 'ssh', 'V1', 'V1', 0.9691015952980688, 4.992584466934204]
['UV', 85, 'CV', 185, 'elfedit', 'printenv', 'V0', 'V0', 0.3411996066863323, 0.020806312561035156]
['CV', 183, 'UV', 2, 'users', 'find', 'V0', 'V2', 0.7749742533470649, 0.19533920288085938]
['BV', 2, 'CV', 332, 'cmp', '[', 'V1', 'V1', 0.21690590111642738, 0.029231548309326172]
['UV', 60, 'CV', 98, 'gprof', 'printenv', 'V1', 'V3', 0.907826516336104, 1.1764295101165771]
['CV', 263, 'BV', 28, 'unlink', 'openssl', 'V1', 'V1', 0.9839156465016531, 8.390267610549927]
['UV', 25, 'BV', 63, 'as', 'ruby', 'V3', 'V0', 0.4958504028661699, 48.19125270843506]
['CV', 242, 'UV', 11, 'cat', 'ranlib', 'V0', 'V2', 0.9302425229239867, 1.296823501586914]
['CV', 219, 'UV', 77, 'cp', 'ranlib', 'V0', 'V0', 0.8143742670464065, 1.430687665939331]
['CV', 204, 'BV', 1, 'pinky', 'libSDL2-2.0.so', 'V0', 'V3', 0.9494798055517696, 7.151209831237793]
['CV', 4, 'UV', 85, 'basename', 'elfedit', 'V2', 'V0', 0.21955403087478564, 0.0243532657623291]
['BV', 16, 'CV', 321, 'libvlc.so', 'hostid', 'V3', 'V1', 0.8571995239984134, 0.35811710357666016]
['BV', 18, 'CV', 334, 'sort', 'shred', 'V3', 'V1', 0.44151453684922237, 0.11655259132385254]
['CV', 89, 'UV', 84, 'unlink', 'ar', 'V3', 'V0', 0.8963403957275433, 1.219862937927246]
['UV', 7, 'CV', 289, 'nm', 'chown', 'V2', 'V1', 0.8580146110872368, 1.2145609855651855]
['UV', 85, 'CV', 109, 'elfedit', 'kill', 'V0', 'V3', 0.14754098360655732, 0.03140664100646973]
['CV', 281, 'BV', 61, 'tee', 'cmp', 'V1', 'V0', 0.14467005076142136, 0.015513420104980469]
['CV', 312, 'UV', 71, 'printf', 'xargs', 'V1', 'V0', 0.0947741364038972, 0.027902603149414062]
['CV', 193, 'UV', 21, 'pr', 'objdump', 'V0', 'V2', 0.8984903695991671, 2.0354015827178955]
['UV', 74, 'CV', 29, 'strip', 'tail', 'V0', 'V2', 0.8591549295774648, 1.4628431797027588]
['CV', 32, 'UV', 13, 'paste', 'strings', 'V2', 'V2', 0.9090826931766832, 1.1880643367767334]
