['CV', 311, 'UV', 26, 'cksum', 'ranlib', 'V1', 'V3', 0.9339663733774719, 1.264296054840088]
['UV', 81, 'BV', 35, 'ld', 'libvlccore.so', 'V0', 'V2', 0.19137420237010028, 14.155510663986206]
['UV', 81, 'CV', 53, 'ld', 'tty', 'V0', 'V2', 0.9378954922043186, 1.6461122035980225]
['UV', 42, 'CV', 148, 'diff', 'ginstall', 'V3', 'V3', 0.07216494845360821, 0.24011802673339844]
['CV', 75, 'BV', 41, 'tr', 'libvlccore.so', 'V2', 'V1', 0.9278163374265883, 3.66652250289917]
['CV', 75, 'BV', 40, 'tr', 'lua', 'V2', 'V2', 0.8086759926522538, 0.45599985122680664]
['CV', 24, 'BV', 22, 'factor', 'cmp', 'V2', 'V3', 0.20740169622205085, 0.029784202575683594]
['UV', 66, 'CV', 101, 'diff3', 'dirname', 'V0', 'V3', 0.26567550096961856, 0.03619742393493652]
['BV', 70, 'CV', 342, 'ssh', 'sleep', 'V0', 'V1', 0.9703169429225328, 4.0068910121917725]
['CV', 333, 'UV', 27, 'id', 'c++filt', 'V1', 'V3', 0.9146602212512782, 1.1735351085662842]
['CV', 29, 'UV', 27, 'tail', 'c++filt', 'V2', 'V3', 0.8221711050163674, 1.3406033515930176]
['BV', 22, 'CV', 92, 'cmp', 'mkdir', 'V3', 'V3', 0.13973268529769134, 0.04488945007324219]
['BV', 63, 'CV', 96, 'ruby', 'users', 'V0', 'V3', 0.9730846794321426, 11.56940507888794]
['CV', 291, 'BV', 39, 'pinky', 'svn', 'V1', 'V1', 0.7940211447320452, 0.5216622352600098]
['CV', 221, 'UV', 18, 'od', 'ar', 'V0', 'V2', 0.8951619688683214, 1.4007022380828857]
['CV', 222, 'BV', 56, 'df', 'ssh', 'V0', 'V3', 0.9071155218265551, 1.9294025897979736]
['CV', 239, 'UV', 1, 'env', 'xargs', 'V0', 'V2', 0.5682656826568265, 0.04301047325134277]
['UV', 13, 'CV', 29, 'strings', 'tail', 'V2', 'V2', 0.8262297916486556, 1.176760196685791]
['BV', 79, 'CV', 36, 'bash', 'chroot', 'V3', 'V2', 0.9468276393526843, 3.022698402404785]
['BV', 83, 'CV', 27, 'git', 'expr', 'V2', 'V2', 0.9467023276547086, 8.148436069488525]
['UV', 11, 'BV', 18, 'ranlib', 'sort', 'V2', 'V3', 0.6853815141107958, 1.5827360153198242]
['CV', 325, 'BV', 25, 'md5sum', 'git', 'V1', 'V3', 0.9849577324714073, 11.928749084472656]
['BV', 16, 'CV', 248, 'libvlc.so', 'pathchk', 'V3', 'V0', 0.8484011054086064, 0.360382080078125]
['UV', 83, 'CV', 266, 'addr2line', 'mkdir', 'V0', 'V1', 0.8925151092515109, 1.005338191986084]
['CV', 324, 'BV', 13, 'mv', 'cp', 'V1', 'V2', 0.16073211314475877, 0.12244033813476562]
['UV', 41, 'CV', 155, 'cmp', 'cat', 'V3', 'V3', 0.1416666666666666, 0.034845590591430664]
['BV', 55, 'CV', 54, 'codeblocks', 'false', 'V3', 'V2', 0.9773511873626949, 12.844879627227783]
['CV', 162, 'BV', 0, 'tr', 'bash', 'V3', 'V2', 0.9302397456841361, 3.51523756980896]
['BV', 13, 'CV', 46, 'cp', 'cut', 'V2', 'V2', 0.4279766860949209, 0.07830119132995605]
['CV', 331, 'BV', 68, 'vdir', 'dot', 'V1', 'V0', 0.7137404580152672, 0.0467534065246582]
['CV', 194, 'UV', 66, 'tee', 'diff3', 'V0', 'V0', 0.3939828080229226, 0.03239297866821289]
['UV', 58, 'CV', 88, 'objcopy', 'stat', 'V1', 'V3', 0.8315426449131185, 1.7014434337615967]
['BV', 0, 'CV', 238, 'bash', 'md5sum', 'V2', 'V0', 0.9551878354203935, 2.841622829437256]
['CV', 341, 'UV', 57, 'uniq', 'strings', 'V1', 'V1', 0.9014348097317529, 1.2051498889923096]
['CV', 2, 'BV', 27, 'unlink', 'libSDL2-2.0.so', 'V2', 'V1', 0.9472485979232605, 4.731139659881592]
['UV', 28, 'CV', 189, 'strings', 'uptime', 'V3', 'V0', 0.9111560746804009, 1.075303316116333]
['CV', 345, 'UV', 72, 'rmdir', 'find', 'V1', 'V0', 0.7493403693931399, 0.13653254508972168]
['CV', 209, 'UV', 87, 'sum', 'objdump', 'V0', 'V0', 0.9353982887842409, 1.844353199005127]
['UV', 11, 'BV', 7, 'ranlib', 'libSDL2-2.0.so', 'V2', 'V0', 0.22233704292527823, 14.201481342315674]
['BV', 32, 'CV', 251, 'perl', 'nl', 'V0', 'V0', 0.9021024698918146, 2.513972759246826]
['BV', 8, 'CV', 264, 'cluster', 'test', 'V2', 'V1', 0.7100997506234414, 0.12143802642822266]
['CV', 295, 'UV', 59, 'echo', 'ld', 'V1', 'V1', 0.9556051587301587, 1.970067024230957]
['UV', 46, 'CV', 279, 'diff', 'pwd', 'V1', 'V1', 0.7025541545425154, 0.09937071800231934]
['BV', 80, 'CV', 95, 'cluster', 'du', 'V1', 'V3', 0.21489222730241675, 0.2460477352142334]
['CV', 181, 'BV', 57, 'dir', 'svn', 'V0', 'V2', 0.5850449293966624, 0.7016432285308838]
['CV', 305, 'BV', 74, 'true', 'git', 'V1', 'V1', 0.9843738968771327, 5.889737367630005]
['BV', 11, 'UV', 60, 'bash', 'gprof', 'V1', 'V1', 0.2944338049051708, 6.60713267326355]
['UV', 9, 'CV', 73, 'readelf', 'shred', 'V2', 'V2', 0.5847966214714381, 0.15767383575439453]
['CV', 12, 'BV', 6, 'stty', 'libvlc.so', 'V2', 'V0', 0.6686390532544378, 0.3387451171875]
['UV', 12, 'CV', 114, 'c++filt', 'expr', 'V2', 'V3', 0.846641988365944, 1.128957748413086]
['CV', 127, 'UV', 62, 'ls', 'ar', 'V3', 'V1', 0.6858731924360401, 2.0368599891662598]
['UV', 60, 'CV', 241, 'gprof', 'uname', 'V1', 'V0', 0.9408908238446082, 1.1224846839904785]
['UV', 21, 'CV', 114, 'objdump', 'expr', 'V2', 'V3', 0.8874369258636304, 1.7634632587432861]
['CV', 6, 'UV', 43, 'fmt', 'sdiff', 'V2', 'V3', 0.2989821882951653, 0.03991866111755371]
['UV', 6, 'CV', 100, 'sdiff', 'join', 'V2', 'V3', 0.16465863453815266, 0.05354928970336914]
['CV', 247, 'BV', 16, 'shred', 'libvlc.so', 'V0', 'V3', 0.7418876321157055, 0.5290868282318115]
['CV', 129, 'UV', 25, 'dircolors', 'as', 'V3', 'V3', 0.9158894547119071, 2.390254259109497]
['BV', 41, 'UV', 58, 'libvlccore.so', 'objcopy', 'V1', 'V1', 0.16512350522582464, 8.377974033355713]
['UV', 26, 'CV', 336, 'ranlib', 'tr', 'V3', 'V1', 0.9031290184312044, 1.1896319389343262]
['BV', 9, 'CV', 138, 'dot', 'printf', 'V2', 'V3', 0.5622568093385214, 0.019896984100341797]
['CV', 114, 'BV', 31, 'expr', 'codeblocks', 'V3', 'V0', 0.952347044969053, 14.649001598358154]
['UV', 69, 'CV', 252, 'sdiff', 'rm', 'V0', 'V0', 0.15440763615946096, 0.04949593544006348]
['BV', 33, 'CV', 81, 'openssl', 'sleep', 'V0', 'V2', 0.9749664729548503, 6.878284215927124]
['CV', 259, 'UV', 51, 'mknod', 'nm', 'V0', 'V1', 0.9262599469496021, 1.197629451751709]
['UV', 68, 'CV', 130, 'diff', 'chmod', 'V0', 'V3', 0.273209549071618, 0.10206246376037598]
['UV', 13, 'CV', 63, 'strings', 'mv', 'V2', 'V2', 0.7317492830807046, 1.376650094985962]
['CV', 143, 'UV', 87, 'yes', 'objdump', 'V3', 'V0', 0.9226461092442512, 1.876887321472168]
['UV', 18, 'CV', 330, 'ar', 'csplit', 'V2', 'V1', 0.776060558271566, 1.3621768951416016]
['CV', 230, 'BV', 34, 'yes', 'svn', 'V0', 'V0', 0.8604179346723473, 0.393505334854126]
['CV', 130, 'UV', 72, 'chmod', 'find', 'V3', 'V0', 0.4208144796380091, 0.19728302955627441]
['UV', 67, 'CV', 185, 'cmp', 'printenv', 'V0', 'V0', 0.3847566574839303, 0.023084163665771484]
['CV', 206, 'BV', 65, 'paste', 'ssh', 'V0', 'V1', 0.973675351780785, 4.724318742752075]
['BV', 15, 'CV', 24, 'libvlccore.so', 'factor', 'V3', 'V2', 0.947968570333461, 4.007279396057129]
['CV', 191, 'UV', 49, 'mkfifo', 'xargs', 'V0', 'V1', 0.34648370497427106, 0.023764848709106445]
['UV', 57, 'CV', 194, 'strings', 'tee', 'V1', 'V0', 0.9237219367054368, 1.042478322982788]
['BV', 64, 'CV', 14, 'openssl', 'dirname', 'V2', 'V2', 0.944688874921433, 5.575172662734985]
['CV', 128, 'UV', 68, 'nice', 'diff', 'V3', 'V0', 0.5192689709972189, 0.08341765403747559]
['CV', 322, 'BV', 58, 'ginstall', 'ruby', 'V1', 'V3', 0.8645066273932254, 0.03287339210510254]
['CV', 244, 'UV', 17, 'vdir', 'addr2line', 'V0', 'V2', 0.7829951366761697, 1.6369609832763672]
['UV', 63, 'CV', 82, 'elfedit', 'sort', 'V1', 'V2', 0.4178775869660942, 0.07285785675048828]
['UV', 81, 'CV', 45, 'ld', 'cp', 'V0', 'V2', 0.79297440849831, 2.006145477294922]
['BV', 50, 'UV', 48, 'sort', 'locate', 'V0', 'V1', 0.35832732516222054, 0.09744024276733398]
['CV', 17, 'BV', 34, 'mkfifo', 'svn', 'V2', 'V0', 0.8059055118110237, 0.41370439529418945]
['BV', 27, 'CV', 113, 'libSDL2-2.0.so', 'date', 'V1', 'V3', 0.877603469507951, 4.642071008682251]
['CV', 4, 'BV', 36, 'basename', 'libvlc.so', 'V2', 'V2', 0.8124031007751938, 0.41629838943481445]
['CV', 113, 'BV', 27, 'date', 'libSDL2-2.0.so', 'V3', 'V1', 0.877603469507951, 5.372534275054932]
['UV', 22, 'CV', 246, 'nm', 'id', 'V3', 'V0', 0.9191992064207773, 1.112839937210083]
['CV', 320, 'UV', 87, 'head', 'objdump', 'V1', 'V0', 0.9277267622382243, 1.8240630626678467]
['UV', 22, 'BV', 62, 'nm', 'diff', 'V3', 'V0', 0.7929756590583678, 1.316075086593628]
['BV', 18, 'CV', 8, 'sort', 'du', 'V3', 'V2', 0.14156945917285257, 0.16392040252685547]
['CV', 213, 'UV', 42, 'whoami', 'diff', 'V0', 'V3', 0.7244274809160305, 0.0919651985168457]
['CV', 312, 'UV', 76, 'printf', 'as', 'V1', 'V0', 0.9372115618168569, 2.082883596420288]
['BV', 13, 'CV', 219, 'cp', 'cp', 'V2', 'V0', 0.2185618136733971, 0.10385894775390625]
['CV', 121, 'UV', 16, 'echo', 'gprof', 'V3', 'V2', 0.9054031587697423, 1.3282880783081055]
['CV', 243, 'BV', 10, 'csplit', 'gvmap', 'V0', 'V2', 0.3534840793724042, 0.20025968551635742]
['CV', 179, 'UV', 34, 'mkdir', 'elfedit', 'V0', 'V3', 0.17509727626459148, 0.03189969062805176]
['CV', 339, 'UV', 3, 'rm', 'diff3', 'V1', 'V2', 0.1407739764441952, 0.04898786544799805]
['CV', 104, 'BV', 3, 'mkfifo', 'diff', 'V3', 'V1', 0.5122529644268775, 0.08427190780639648]
['BV', 14, 'CV', 159, 'openssl', 'id', 'V3', 'V3', 0.9215140264026402, 6.792047739028931]
['UV', 51, 'CV', 77, 'nm', 'nl', 'V1', 'V2', 0.78456749672346, 1.22019362449646]
['UV', 50, 'CV', 61, 'find', 'ginstall', 'V1', 'V2', 0.3739774055317491, 0.30296993255615234]
['BV', 53, 'UV', 16, 'ssh', 'gprof', 'V2', 'V2', 0.43990613771357334, 9.424726963043213]
['CV', 50, 'BV', 17, 'cksum', 'codeblocks', 'V2', 'V2', 0.9744538172915724, 13.966227531433105]
['CV', 171, 'UV', 52, 'rmdir', 'strip', 'V3', 'V1', 0.9031079870443112, 1.705261468887329]
['CV', 111, 'UV', 3, 'factor', 'diff3', 'V3', 'V2', 0.07707608155146695, 0.05212807655334473]
['CV', 126, 'BV', 77, 'whoami', 'perl', 'V3', 'V2', 0.9620142203175222, 3.0191993713378906]
['CV', 346, 'UV', 54, 'mknod', 'as', 'V1', 'V1', 0.950599941469125, 2.0963263511657715]
['UV', 3, 'CV', 1, 'diff3', 'stat', 'V2', 'V2', 0.24547158026233606, 0.040526628494262695]
['CV', 69, 'UV', 0, 'csplit', 'locate', 'V2', 'V2', 0.10327983251919048, 0.10049009323120117]
['BV', 45, 'CV', 306, 'svn', 'cp', 'V3', 'V1', 0.7070246318258829, 0.8193206787109375]
['CV', 162, 'UV', 49, 'tr', 'xargs', 'V3', 'V1', 0.07242693773824649, 0.03568911552429199]
['BV', 19, 'CV', 12, 'cp', 'stty', 'V3', 'V2', 0.4657193605683836, 0.0979607105255127]
['CV', 83, 'BV', 69, 'tac', 'gvmap', 'V2', 'V0', 0.3232813697929977, 0.16831183433532715]
['UV', 13, 'BV', 60, 'strings', 'codeblocks', 'V2', 'V1', 0.5534140969162996, 41.979268312454224]
['UV', 20, 'CV', 236, 'size', 'unexpand', 'V2', 'V0', 0.9258254183627318, 1.0816311836242676]
['UV', 2, 'CV', 140, 'find', 'tty', 'V2', 'V3', 0.7127950310559006, 0.18010950088500977]
['UV', 20, 'CV', 252, 'size', 'rm', 'V2', 'V0', 0.866234221598878, 1.1527581214904785]
['UV', 41, 'CV', 115, 'cmp', 'chown', 'V3', 'V3', 0.250251256281407, 0.05631089210510254]
['CV', 141, 'UV', 62, 'false', 'ar', 'V3', 'V1', 0.9079068985799512, 1.2891757488250732]
['CV', 13, 'UV', 67, 'join', 'cmp', 'V2', 'V0', 0.11978821972203835, 0.035015106201171875]
['UV', 20, 'CV', 81, 'size', 'sleep', 'V2', 'V2', 0.9048045092600877, 1.089759349822998]
['CV', 307, 'UV', 12, 'cut', 'c++filt', 'V1', 'V2', 0.9081967213114754, 1.1892719268798828]
['CV', 22, 'UV', 62, 'kill', 'ar', 'V2', 'V1', 0.908869272803699, 1.3037159442901611]
['CV', 297, 'BV', 37, 'chroot', 'geany', 'V1', 'V1', 0.9851470559343013, 25.676063537597656]
['UV', 27, 'CV', 296, 'c++filt', 'sum', 'V3', 'V1', 0.9077436087439793, 1.053419828414917]
['CV', 2, 'BV', 19, 'unlink', 'cp', 'V2', 'V3', 0.6256895193065406, 0.08652138710021973]
['CV', 265, 'BV', 34, 'basename', 'svn', 'V1', 'V0', 0.8450704225352113, 0.39501309394836426]
['CV', 298, 'BV', 29, 'seq', 'perl', 'V1', 'V3', 0.9694449402106015, 3.1844522953033447]
['UV', 58, 'CV', 153, 'objcopy', 'link', 'V1', 'V3', 0.9175114567421192, 1.4684698581695557]
['BV', 15, 'CV', 260, 'libvlccore.so', 'ln', 'V3', 'V0', 0.9454519354993062, 4.050846815109253]
['UV', 33, 'BV', 32, 'ar', 'perl', 'V3', 'V0', 0.3549831375741366, 8.119830131530762]
['CV', 61, 'UV', 14, 'ginstall', 'objcopy', 'V2', 'V2', 0.7723711340206185, 2.1457159519195557]
['UV', 67, 'CV', 48, 'cmp', 'df', 'V0', 'V2', 0.21560358460727458, 0.05241799354553223]
['UV', 40, 'BV', 66, 'diff3', 'lua', 'V3', 'V1', 0.705857325202099, 0.4906957149505615]
['BV', 33, 'CV', 206, 'openssl', 'paste', 'V0', 'V0', 0.9815400594872763, 6.740160942077637]
['BV', 37, 'CV', 189, 'geany', 'uptime', 'V1', 'V0', 0.9810603089953729, 23.678762912750244]
['CV', 190, 'BV', 2, 'dd', 'cmp', 'V0', 'V1', 0.07581699346405224, 0.04045891761779785]
['CV', 291, 'UV', 26, 'pinky', 'ranlib', 'V1', 'V3', 0.9028027770635124, 1.3947558403015137]
['CV', 335, 'BV', 46, 'pathchk', 'cluster', 'V1', 'V3', 0.7488045903729678, 0.13350296020507812]
['UV', 80, 'CV', 185, 'objcopy', 'printenv', 'V0', 'V0', 0.950308732725669, 1.3424146175384521]
['CV', 325, 'BV', 1, 'md5sum', 'libSDL2-2.0.so', 'V1', 'V3', 0.9558776607867269, 7.017693996429443]
['CV', 64, 'UV', 45, 'md5sum', 'cmp', 'V2', 'V1', 0.13965646004480958, 0.03302478790283203]
['UV', 86, 'CV', 55, 'size', 'nohup', 'V0', 'V2', 0.9091201027617213, 0.9774055480957031]
['CV', 84, 'UV', 27, 'rmdir', 'c++filt', 'V2', 'V3', 0.8895412844036698, 1.1861817836761475]
['CV', 316, 'UV', 39, 'nohup', 'find', 'V1', 'V3', 0.8270551122657265, 0.3648049831390381]
['CV', 69, 'BV', 32, 'csplit', 'perl', 'V2', 'V0', 0.8765909457064605, 3.6315224170684814]
['CV', 284, 'BV', 13, 'wc', 'cp', 'V1', 'V2', 0.5401885945217781, 0.0770113468170166]
['BV', 48, 'CV', 116, 'gvmap', 'tail', 'V3', 'V3', 0.437227338826951, 0.1832447052001953]
['BV', 34, 'UV', 65, 'svn', 'objdump', 'V0', 'V1', 0.5341296060991105, 4.4832763671875]
['CV', 253, 'BV', 24, 'fold', 'git', 'V0', 'V0', 0.9775807991272331, 4.744596481323242]
