['CV', 285, 'BV', 13, 'factor', 'cp', 'V1', 'V2', 0.6013071895424836, 0.0702219009399414]
['BV', 61, 'CV', 81, 'cmp', 'sleep', 'V0', 'V2', 0.23476297968397297, 0.01711273193359375]
['BV', 35, 'UV', 86, 'libvlccore.so', 'size', 'V2', 'V0', 0.32198749261068416, 8.698792934417725]
['UV', 43, 'CV', 226, 'sdiff', 'logname', 'V3', 'V0', 0.4849596478356566, 0.03163504600524902]
['BV', 51, 'CV', 25, 'cp', 'expand', 'V0', 'V2', 0.36809815950920244, 0.0399932861328125]
['CV', 117, 'UV', 69, 'pinky', 'sdiff', 'V3', 'V0', 0.17408017572762224, 0.05063509941101074]
['CV', 194, 'BV', 68, 'tee', 'dot', 'V0', 'V0', 0.3641975308641976, 0.012189865112304688]
['BV', 23, 'CV', 71, 'diff', '[', 'V3', 'V2', 0.5714782608695652, 0.09868931770324707]
['UV', 58, 'CV', 74, 'objcopy', 'pathchk', 'V1', 'V2', 0.9290304554344789, 1.4873220920562744]
['UV', 14, 'BV', 72, 'objcopy', 'perl', 'V2', 'V1', 0.3914336283185841, 9.416358232498169]
['BV', 13, 'CV', 189, 'cp', 'uptime', 'V2', 'V0', 0.5605095541401274, 0.06970858573913574]
['UV', 52, 'BV', 44, 'strip', 'make', 'V1', 'V0', 0.5512741528983478, 2.3583879470825195]
['UV', 40, 'CV', 63, 'diff3', 'mv', 'V3', 'V2', 0.23042505592841167, 0.09635114669799805]
['CV', 215, 'BV', 82, 'nice', 'gvmap', 'V0', 'V1', 0.7656675749318801, 0.13945579528808594]
['CV', 250, 'UV', 46, 'comm', 'diff', 'V0', 'V1', 0.7053108808290155, 0.1089017391204834]
['UV', 21, 'CV', 35, 'objdump', 'sum', 'V2', 'V2', 0.917833431933215, 1.7930350303649902]
['CV', 306, 'UV', 52, 'cp', 'strip', 'V1', 'V1', 0.8494508438253415, 1.9494478702545166]
['CV', 93, 'UV', 69, 'fmt', 'sdiff', 'V3', 'V0', 0.2204362801377726, 0.04436635971069336]
['CV', 255, 'UV', 29, 'sleep', 'objcopy', 'V0', 'V3', 0.9406500956022944, 1.5308403968811035]
['CV', 239, 'BV', 46, 'env', 'cluster', 'V0', 'V3', 0.7736825088910443, 0.12987160682678223]
['CV', 139, 'BV', 25, 'logname', 'git', 'V3', 'V3', 0.982093257816743, 12.189717769622803]
['UV', 73, 'CV', 326, 'nm', 'env', 'V0', 'V1', 0.9325067586464063, 1.0249152183532715]
['CV', 62, 'UV', 35, 'unexpand', 'size', 'V2', 'V3', 0.9050391122430417, 1.2069318294525146]
['BV', 6, 'CV', 296, 'libvlc.so', 'sum', 'V0', 'V1', 0.7594202898550725, 0.2745187282562256]
['BV', 61, 'CV', 236, 'cmp', 'unexpand', 'V0', 'V0', 0.09162303664921467, 0.014381885528564453]
['BV', 59, 'CV', 116, 'make', 'tail', 'V1', 'V3', 0.5713014064447214, 0.28218531608581543]
['BV', 46, 'UV', 16, 'cluster', 'gprof', 'V3', 'V2', 0.6140252059424065, 2.4029481410980225]
['CV', 211, 'UV', 86, 'seq', 'size', 'V0', 'V0', 0.9325477448191792, 1.0977630615234375]
['CV', 115, 'BV', 53, 'chown', 'ssh', 'V3', 'V2', 0.9194420908557649, 5.8181304931640625]
['BV', 16, 'CV', 188, 'libvlc.so', 'dirname', 'V3', 'V0', 0.8575679428684785, 0.3671596050262451]
['UV', 56, 'CV', 100, 'c++filt', 'join', 'V1', 'V3', 0.8305760069294067, 1.1387279033660889]
['CV', 271, 'UV', 74, 'ptx', 'strip', 'V1', 'V0', 0.8221276011262962, 1.8076212406158447]
['UV', 45, 'CV', 189, 'cmp', 'uptime', 'V1', 'V0', 0.22267206477732793, 0.02974390983581543]
['BV', 10, 'CV', 7, 'gvmap', 'dir', 'V2', 'V2', 0.31404593639575973, 0.23923778533935547]
['CV', 158, 'UV', 22, '[', 'nm', 'V3', 'V3', 0.8617793718834748, 1.352132797241211]
['UV', 77, 'CV', 136, 'ranlib', 'tsort', 'V0', 'V3', 0.8741888033226616, 1.1344068050384521]
['BV', 36, 'CV', 322, 'libvlc.so', 'ginstall', 'V2', 'V1', 0.5901666947297525, 0.5379791259765625]
['BV', 42, 'UV', 80, 'libvlc.so', 'objcopy', 'V1', 'V0', 0.5293982015217893, 3.2713677883148193]
['CV', 271, 'UV', 58, 'ptx', 'objcopy', 'V1', 'V1', 0.8285108918757863, 1.9559028148651123]
['CV', 22, 'BV', 54, 'kill', 'lua', 'V2', 'V3', 0.8541049798115747, 0.4894404411315918]
['UV', 57, 'BV', 16, 'strings', 'libvlc.so', 'V1', 'V3', 0.38996742671009765, 2.3953094482421875]
['UV', 80, 'CV', 163, 'objcopy', 'comm', 'V0', 'V3', 0.891629830315129, 1.4405310153961182]
['CV', 140, 'UV', 69, 'tty', 'sdiff', 'V3', 'V0', 0.3007518796992481, 0.03913593292236328]
['CV', 166, 'UV', 74, 'fold', 'strip', 'V3', 'V0', 0.9031633311814073, 1.605898141860962]
['UV', 2, 'CV', 292, 'find', 'sha1sum', 'V2', 'V1', 0.7528604118993135, 0.1823408603668213]
['BV', 62, 'UV', 61, 'diff', 'addr2line', 'V0', 'V1', 0.7935829772974784, 1.539654016494751]
['CV', 119, 'UV', 24, 'paste', 'readelf', 'V3', 'V3', 0.7915299265510236, 0.3254125118255615]
['CV', 47, 'UV', 40, 'od', 'diff3', 'V2', 'V3', 0.10265763418447105, 0.05001115798950195]
['CV', 190, 'UV', 0, 'dd', 'locate', 'V0', 'V2', 0.281590156176053, 0.07215166091918945]
['UV', 52, 'CV', 10, 'strip', 'ptx', 'V1', 'V2', 0.7834032935098483, 1.7532844543457031]
['BV', 11, 'UV', 43, 'bash', 'sdiff', 'V1', 'V3', 0.9073096865966136, 2.9544529914855957]
['BV', 77, 'UV', 73, 'perl', 'nm', 'V2', 'V0', 0.4892190926788398, 6.391738176345825]
['CV', 111, 'BV', 14, 'factor', 'openssl', 'V3', 'V3', 0.8963814952414881, 8.745838642120361]
['CV', 338, 'BV', 57, 'nl', 'svn', 'V1', 'V2', 0.6109839816933639, 0.5998413562774658]
['CV', 106, 'UV', 59, 'pr', 'ld', 'V3', 'V1', 0.8643967606549625, 2.457143783569336]
['BV', 7, 'UV', 13, 'libSDL2-2.0.so', 'strings', 'V0', 'V2', 0.23507767784137368, 8.826797723770142]
['UV', 36, 'CV', 49, 'objdump', 'tsort', 'V3', 'V2', 0.9350058343057176, 2.144617795944214]
['CV', 280, 'UV', 31, 'pr', 'gprof', 'V1', 'V3', 0.8709891385457259, 1.4466919898986816]
['BV', 9, 'CV', 176, 'dot', 'unlink', 'V2', 'V0', 0.28919860627177707, 0.009725093841552734]
['CV', 242, 'UV', 39, 'cat', 'find', 'V0', 'V3', 0.8472795497185741, 0.3663597106933594]
['BV', 30, 'CV', 151, 'bash', 'md5sum', 'V0', 'V3', 0.9257841260491827, 2.5762414932250977]
['CV', 83, 'UV', 29, 'tac', 'objcopy', 'V2', 'V3', 0.8089399016183075, 1.8514158725738525]
['CV', 151, 'BV', 19, 'md5sum', 'cp', 'V3', 'V3', 0.4636395885065626, 0.10759997367858887]
['BV', 31, 'CV', 347, 'codeblocks', 'ln', 'V0', 'V1', 0.966728280961183, 12.056061267852783]
['UV', 3, 'CV', 269, 'diff3', 'du', 'V2', 'V1', 0.09090909090909094, 0.06726908683776855]
['BV', 48, 'CV', 79, 'gvmap', 'fold', 'V3', 'V2', 0.692530399536769, 0.13441681861877441]
['CV', 256, 'BV', 77, 'sort', 'perl', 'V0', 'V2', 0.9408420849792851, 3.791771411895752]
['UV', 19, 'CV', 55, 'elfedit', 'nohup', 'V2', 'V2', 0.1645161290322581, 0.027581214904785156]
['BV', 61, 'UV', 38, 'cmp', 'xargs', 'V0', 'V3', 0.5760479041916168, 0.06141209602355957]
['BV', 29, 'CV', 337, 'perl', 'comm', 'V3', 'V1', 0.9666369631081804, 2.994070529937744]
['UV', 1, 'CV', 270, 'xargs', 'users', 'V2', 'V1', 0.4799767846778874, 0.04546546936035156]
['BV', 74, 'CV', 230, 'git', 'yes', 'V1', 'V0', 0.9837203284164961, 5.656559467315674]
['CV', 211, 'BV', 64, 'seq', 'openssl', 'V0', 'V2', 0.9523864157870583, 6.229626893997192]
['CV', 263, 'UV', 21, 'unlink', 'objdump', 'V1', 'V2', 0.9518330211399518, 1.8440525531768799]
['UV', 2, 'CV', 311, 'find', 'cksum', 'V2', 'V1', 0.8018818609513853, 0.16780686378479004]
['BV', 77, 'CV', 76, 'perl', 'comm', 'V2', 'V2', 0.9609955544017912, 2.808488607406616]
['BV', 58, 'CV', 77, 'ruby', 'nl', 'V3', 'V2', 0.8692253020611229, 0.02321481704711914]
['BV', 32, 'CV', 138, 'perl', 'printf', 'V0', 'V3', 0.9333582306319764, 2.5048201084136963]
['CV', 338, 'BV', 46, 'nl', 'cluster', 'V1', 'V3', 0.3942625031733943, 0.17982816696166992]
['CV', 282, 'UV', 20, 'chgrp', 'size', 'V1', 'V2', 0.8613393949991257, 1.3475055694580078]
['BV', 32, 'UV', 53, 'perl', 'readelf', 'V0', 'V1', 0.771828414968056, 3.072467803955078]
['UV', 57, 'BV', 22, 'strings', 'cmp', 'V1', 'V3', 0.8679740850989319, 1.1508657932281494]
['BV', 22, 'CV', 146, 'cmp', 'head', 'V3', 'V3', 0.12748238308776427, 0.03732728958129883]
['BV', 62, 'CV', 71, 'diff', '[', 'V0', 'V2', 0.3344155844155844, 0.04956221580505371]
['UV', 36, 'CV', 80, 'objdump', 'uniq', 'V3', 'V2', 0.9219981455725544, 2.188596725463867]
['CV', 172, 'UV', 57, 'mknod', 'strings', 'V3', 'V1', 0.8801550934085302, 1.2567393779754639]
['CV', 322, 'BV', 68, 'ginstall', 'dot', 'V1', 'V0', 0.6981891348088531, 0.04195857048034668]
['BV', 49, 'CV', 4, 'make', 'basename', 'V3', 'V2', 0.8144329896907216, 0.2407064437866211]
['CV', 138, 'UV', 2, 'printf', 'find', 'V3', 'V2', 0.6225882352941177, 0.22684741020202637]
['BV', 4, 'UV', 86, 'geany', 'size', 'V3', 'V0', 0.6638758067329495, 41.82313919067383]
['CV', 152, 'UV', 29, 'env', 'objcopy', 'V3', 'V3', 0.9025268051285896, 1.595090627670288]
['BV', 30, 'CV', 267, 'bash', 'fmt', 'V0', 'V1', 0.9554425837320574, 2.4362120628356934]
['CV', 165, 'UV', 28, 'rm', 'strings', 'V3', 'V3', 0.7818930041152263, 1.4289369583129883]
['UV', 70, 'CV', 325, 'locate', 'md5sum', 'V0', 'V1', 0.5320388349514563, 0.06388115882873535]
['BV', 46, 'CV', 206, 'cluster', 'paste', 'V3', 'V0', 0.7510373443983402, 0.1188046932220459]
['CV', 72, 'UV', 27, 'id', 'c++filt', 'V2', 'V3', 0.8945819151871953, 1.1840770244598389]
['UV', 16, 'CV', 50, 'gprof', 'cksum', 'V2', 'V2', 0.9196047232225106, 1.2033545970916748]
['CV', 346, 'BV', 30, 'mknod', 'bash', 'V1', 'V0', 0.9578821298467988, 2.6891531944274902]
['BV', 25, 'CV', 45, 'git', 'cp', 'V3', 'V2', 0.9476998612445299, 12.562378883361816]
['UV', 32, 'CV', 31, 'addr2line', 'sha1sum', 'V3', 'V2', 0.8945553539019964, 1.1223843097686768]
['BV', 45, 'CV', 249, 'svn', 'tr', 'V3', 'V0', 0.8440095734196819, 0.710360050201416]
['CV', 155, 'UV', 36, 'cat', 'objdump', 'V3', 'V3', 0.9205512768544791, 2.4606199264526367]
['CV', 306, 'BV', 52, 'cp', 'libSDL2-2.0.so', 'V1', 'V2', 0.8880766322157801, 6.185342311859131]
['CV', 188, 'BV', 39, 'dirname', 'svn', 'V0', 'V1', 0.8647214854111406, 0.4536094665527344]
