['CO', 76, 'BO', 64, 'md5sum', 'dot', 'O3', 'O0', 0.5489795918367347, 0.020143747329711914]
['CO', 392, 'UO', 60, 'uname', 'xargs', 'O0', 'O3', 0.3583162217659137, 0.0887153148651123]
['UO', 56, 'BO', 33, 'elfedit', 'sort', 'O3', 'O2', 0.45731707317073167, 0.12303543090820312]
['UO', 44, 'CO', 139, 'nm', 'base32', 'O3', 'O1', 0.8754744261702512, 1.094179391860962]
['BO', 37, 'CO', 38, 'gvmap', 'sha1sum', 'O2', 'O3', 0.5882025598219255, 0.15646934509277344]
['BO', 32, 'CO', 366, 'ruby', 'true', 'O2', 'O0', 0.9799570508231925, 19.81979513168335]
['CO', 130, 'UO', 53, 'kill', 'gprof', 'O1', 'O3', 0.8906062167267731, 1.274078130722046]
['CO', 285, 'BO', 4, 'env', 'libgeany.so.0.0.0', 'O2', 'O2', 0.9835142934583313, 40.870036602020264]
['CO', 76, 'BO', 45, 'md5sum', 'diff', 'O3', 'O2', 0.48947725729803127, 0.12747812271118164]
['CO', 339, 'UO', 83, 'wc', 'diff', 'O0', 'O0', 0.46816069964471163, 0.26833295822143555]
['BO', 7, 'CO', 131, 'sort', 'wc', 'O0', 'O1', 0.5253748558246828, 0.21465039253234863]
['BO', 70, 'CO', 306, 'diff', 'sleep', 'O3', 'O2', 0.6417151162790697, 0.10028982162475586]
['CO', 316, 'UO', 22, 'test', 'diff3', 'O0', 'O2', 0.0938367573570239, 0.06560659408569336]
['CO', 318, 'UO', 75, 'mkdir', 'gprof', 'O0', 'O0', 0.8088344076931205, 4.548238754272461]
['UO', 17, 'CO', 316, 'objdump', 'test', 'O1', 'O0', 0.9035718235098972, 2.6876213550567627]
['CO', 274, 'UO', 84, 'runcon', 'sdiff', 'O2', 'O0', 0.4658461538461538, 0.05675673484802246]
['CO', 73, 'UO', 11, 'hostid', 'ld', 'O3', 'O1', 0.932955010823144, 2.801978826522827]
['UO', 12, 'CO', 194, 'gprof', 'tr', 'O1', 'O1', 0.8780135004821601, 1.484823226928711]
['CO', 45, 'UO', 42, 'split', 'xargs', 'O3', 'O2', 0.1826159632260761, 0.10159683227539062]
['BO', 23, 'CO', 226, 'git', 'uptime', 'O2', 'O2', 0.9715560076685317, 8.558654546737671]
['CO', 109, 'UO', 86, 'basename', 'xargs', 'O1', 'O0', 0.4839584274740172, 0.11806368827819824]
['UO', 19, 'CO', 410, 'cmp', 'sleep', 'O1', 'O0', 0.10956036287508719, 0.0493013858795166]
['UO', 75, 'CO', 224, 'gprof', 'dirname', 'O0', 'O2', 0.9477667140825036, 2.897665500640869]
['CO', 247, 'UO', 66, 'paste', 'nm', 'O2', 'O0', 0.9377741388385286, 3.143263816833496]
['CO', 212, 'BO', 81, 'test', 'sort', 'O2', 'O3', 0.5387946589678816, 0.11126184463500977]
['CO', 218, 'BO', 9, 'users', 'git', 'O2', 'O0', 0.9789502621399258, 9.224027872085571]
['CO', 171, 'UO', 74, 'nohup', 'ld', 'O1', 'O0', 0.9465766554152603, 6.03199315071106]
['CO', 37, 'BO', 13, 'truncate', 'ruby', 'O3', 'O1', 0.980139420656833, 18.303359508514404]
['CO', 198, 'UO', 74, 'rm', 'ld', 'O1', 'O0', 0.8951639078221356, 6.9658896923065186]
['BO', 21, 'CO', 345, 'cp', 'chown', 'O1', 'O0', 0.17321016166281755, 0.20535039901733398]
['CO', 165, 'BO', 56, 'cksum', 'libvlc.so.12.0.0', 'O1', 'O3', 0.7761222540592169, 0.5967516899108887]
