['BV', 42, 'CV', 329, 'libvlc.so', 'cat', 'V1', 'V1', 0.8142222222222222, 0.2955605983734131]
['CV', 69, 'BV', 21, 'csplit', 'cp', 'V2', 'V1', 0.1694277108433735, 0.08896899223327637]
['UV', 38, 'CV', 221, 'xargs', 'od', 'V3', 'V0', 0.3625580195977307, 0.0776364803314209]
['BV', 78, 'CV', 86, 'make', 'ln', 'V2', 'V2', 0.6720700577603875, 0.28772568702697754]
['UV', 57, 'CV', 236, 'strings', 'unexpand', 'V1', 'V0', 0.9259794186676296, 1.14727783203125]
['CV', 210, 'UV', 62, 'chroot', 'ar', 'V0', 'V1', 0.9373720136518772, 1.3424279689788818]
['BV', 47, 'CV', 146, 'dot', 'head', 'V3', 'V3', 0.563953488372093, 0.02028822898864746]
['BV', 4, 'CV', 186, 'geany', 'stty', 'V3', 'V0', 0.9806480804705718, 32.87570095062256]
['UV', 12, 'CV', 12, 'c++filt', 'stty', 'V2', 'V2', 0.8660491628072675, 1.2280497550964355]
['CV', 328, 'UV', 9, 'uname', 'readelf', 'V1', 'V2', 0.814663951120163, 0.12770962715148926]
['CV', 43, 'UV', 14, 'chmod', 'objcopy', 'V2', 'V2', 0.8658563056218798, 1.8591930866241455]
['CV', 42, 'UV', 48, 'dircolors', 'locate', 'V2', 'V1', 0.5466666666666666, 0.08146142959594727]
['CV', 310, 'BV', 64, 'tsort', 'openssl', 'V1', 'V2', 0.9499255185057867, 6.6269145011901855]
['BV', 72, 'UV', 40, 'perl', 'diff3', 'V1', 'V3', 0.931913499344692, 3.024092674255371]
['CV', 198, 'UV', 16, 'factor', 'gprof', 'V0', 'V2', 0.929948640229014, 1.368746042251587]
['BV', 64, 'UV', 36, 'openssl', 'objdump', 'V2', 'V3', 0.34005952380952387, 17.824738025665283]
['UV', 42, 'CV', 213, 'diff', 'whoami', 'V3', 'V0', 0.7244274809160305, 0.09044218063354492]
['CV', 166, 'BV', 37, 'fold', 'geany', 'V3', 'V1', 0.9736307524025315, 29.56498074531555]
