['BO', 5, 'CO', 396, 'libgeany.so.0.0.0', 'vdir', 'O1', 'O0', 0.9141153203428029, 39.807270765304565]
['CO', 171, 'BO', 6, 'nohup', 'codeblocks', 'O1', 'O0', 0.9761926869579751, 36.247565031051636]
['BO', 12, 'CO', 318, 'libgeany.so.0.0.0', 'mkdir', 'O0', 'O0', 0.9733870493442334, 208.63419580459595]
['BO', 6, 'CO', 171, 'codeblocks', 'nohup', 'O0', 'O1', 0.9761926869579751, 30.3186457157135]
['BO', 12, 'CO', 61, 'libgeany.so.0.0.0', 'cksum', 'O0', 'O3', 0.9906115820151727, 184.08028316497803]
['BO', 5, 'CO', 238, 'libgeany.so.0.0.0', 'expand', 'O1', 'O2', 0.9816834119010206, 29.985126495361328]
['CO', 33, 'BO', 6, 'chown', 'codeblocks', 'O3', 'O0', 0.9545955477187569, 35.85269331932068]
['BO', 5, 'CO', 169, 'libgeany.so.0.0.0', 'false', 'O1', 'O1', 0.9834148821249286, 29.55662703514099]
['BO', 6, 'UO', 83, 'codeblocks', 'diff', 'O0', 'O0', 0.903957632577113, 31.764970779418945]
['CO', 157, 'BO', 6, 'chmod', 'codeblocks', 'O1', 'O0', 0.9599955796220577, 36.0025749206543]
['CO', 118, 'BO', 12, 'stty', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9872515269294836, 200.96257328987122]
