['CO', 190, 'UO', 49, 'timeout', 'c++filt', 'O1', 'O3', 0.9732280008777705, 1.2051913738250732]
['CO', 130, 'BO', 72, 'kill', 'make', 'O1', 'O2', 0.9517426273458445, 0.4376254081726074]
['CO', 272, 'UO', 0, 'tty', 'locate', 'O2', 'O1', 0.9587628865979382, 0.16826462745666504]
['UO', 2, 'BO', 8, 'find', 'cp', 'O1', 'O0', 0.9805825242718447, 2.3403966426849365]
['BO', 39, 'CO', 343, 'codeblocks', 'date', 'O3', 'O0', 0.9977113948446158, 7.1685450077056885]
['CO', 86, 'UO', 33, 'timeout', 'objcopy', 'O3', 'O2', 0.9772408963585434, 1.569840669631958]
['BO', 20, 'CO', 390, 'sort', 'chcon', 'O1', 'O0', 0.9473309608540925, 0.43257594108581543]
['UO', 78, 'CO', 358, 'elfedit', 'whoami', 'O0', 'O0', 0.9659090909090909, 0.08939456939697266]
['UO', 22, 'CO', 406, 'diff3', 'rm', 'O2', 'O0', 0.9149840595111584, 0.20321202278137207]
['BO', 36, 'CO', 148, 'cluster', 'seq', 'O2', 'O1', 0.9750183688464364, 0.3002653121948242]
['CO', 286, 'UO', 52, 'chcon', 'ld', 'O2', 'O3', 0.9725877192982456, 2.5148212909698486]
['BO', 21, 'CO', 326, 'cp', 'stty', 'O1', 'O0', 0.9740932642487047, 0.26512956619262695]
['UO', 32, 'CO', 270, 'strings', 'printf', 'O2', 'O2', 0.9947950553025374, 0.9769647121429443]
['BO', 15, 'CO', 22, 'diff', 'pwd', 'O0', 'O3', 0.9743589743589743, 0.2439565658569336]
['UO', 51, 'CO', 33, 'objcopy', 'chown', 'O3', 'O3', 0.9924837717799795, 1.9952223300933838]
['UO', 4, 'CO', 278, 'strip', 'b2sum', 'O1', 'O2', 0.9924567118121036, 1.3920683860778809]
['CO', 161, 'UO', 71, 'od', 'c++filt', 'O1', 'O0', 0.9876836948915325, 2.7020578384399414]
['BO', 2, 'CO', 186, 'perl', 'shuf', 'O1', 'O1', 0.9968170967375242, 4.9647486209869385]
['UO', 29, 'CO', 261, 'as', 'chmod', 'O2', 'O2', 0.9952631578947368, 2.2394721508026123]
['BO', 33, 'UO', 49, 'sort', 'c++filt', 'O2', 'O3', 0.9616689958075464, 2.678109884262085]
['CO', 296, 'BO', 42, 'shred', 'cmp', 'O2', 'O1', 0.9179331306990881, 0.09762358665466309]
['UO', 3, 'CO', 239, 'nm', 'date', 'O1', 'O2', 0.9920508744038156, 1.59367036819458]
['UO', 19, 'CO', 31, 'cmp', 'date', 'O1', 'O3', 0.9303882195448461, 0.11794352531433105]
['BO', 3, 'CO', 21, 'openssl', 'mktemp', 'O1', 'O3', 0.9969139204232338, 3.0521538257598877]
