['CV', 31, 'UV', 46, 'sha1sum', 'diff', 'V2', 'V1', 0.9150871872630781, 0.2104339599609375]
['BV', 3, 'CV', 10, 'diff', 'ptx', 'V1', 'V2', 0.9499323410013532, 0.4008626937866211]
['UV', 59, 'CV', 135, 'ld', 'df', 'V1', 'V3', 0.9937533948940793, 3.01851749420166]
['CV', 220, 'BV', 24, 'cut', 'git', 'V0', 'V0', 0.9919257652446373, 2.4859602451324463]
['CV', 71, 'BV', 32, '[', 'perl', 'V2', 'V0', 0.982119329945417, 1.7894577980041504]
['BV', 10, 'CV', 22, 'gvmap', 'kill', 'V2', 'V2', 0.984363894811656, 0.23997092247009277]
['UV', 32, 'BV', 38, 'addr2line', 'ruby', 'V3', 'V2', 0.9977334542157752, 0.1275315284729004]
['UV', 39, 'CV', 145, 'find', 'readlink', 'V3', 'V3', 0.9862955032119914, 0.5444333553314209]
['CV', 302, 'UV', 1, 'nice', 'xargs', 'V1', 'V2', 0.8895705521472392, 0.07264089584350586]
['CV', 298, 'UV', 7, 'seq', 'nm', 'V1', 'V2', 0.9787414965986394, 0.688570499420166]
['CV', 252, 'BV', 51, 'rm', 'cp', 'V0', 'V0', 0.8846153846153846, 0.11469626426696777]
['CV', 67, 'UV', 87, 'uname', 'objdump', 'V2', 'V0', 0.9860248447204969, 1.1087536811828613]
['CV', 96, 'BV', 19, 'users', 'cp', 'V3', 'V3', 0.8688524590163934, 0.180342435836792]
['BV', 68, 'CV', 208, 'dot', 'echo', 'V0', 'V0', 0.9898477157360406, 0.018113136291503906]
['CV', 292, 'BV', 17, 'sha1sum', 'codeblocks', 'V1', 'V2', 0.9959403742467491, 3.427057981491089]
['BV', 75, 'CV', 287, 'cmp', 'date', 'V2', 'V1', 0.920303605313093, 0.06683826446533203]
['UV', 63, 'CV', 76, 'elfedit', 'comm', 'V1', 'V2', 0.9588477366255144, 0.07655143737792969]
['CV', 138, 'BV', 76, 'printf', 'diff', 'V3', 'V2', 0.8873469387755102, 0.23016095161437988]
['UV', 54, 'CV', 306, 'as', 'cp', 'V1', 'V1', 0.9939782694069904, 2.5024502277374268]
['CV', 33, 'BV', 33, 'sync', 'openssl', 'V2', 'V0', 0.9915634062747166, 2.695232629776001]
['CV', 292, 'UV', 33, 'sha1sum', 'ar', 'V1', 'V3', 0.9814509480626545, 0.8643081188201904]
['CV', 82, 'UV', 18, 'sort', 'ar', 'V2', 'V2', 0.95627200296461, 2.515231132507324]
['UV', 54, 'CV', 332, 'as', '[', 'V1', 'V1', 0.9981047786652227, 1.140540361404419]
['BV', 26, 'CV', 282, 'geany', 'chgrp', 'V2', 'V1', 0.999017637865595, 5.741941213607788]
['BV', 40, 'CV', 155, 'lua', 'cat', 'V2', 'V3', 0.9926421404682274, 0.6351935863494873]
['BV', 7, 'UV', 30, 'libSDL2-2.0.so', 'ld', 'V0', 'V3', 0.9667621776504298, 30.771363258361816]
['BV', 48, 'CV', 56, 'gvmap', 'yes', 'V3', 'V2', 0.9854756717501816, 0.20225763320922852]
['UV', 28, 'CV', 296, 'strings', 'sum', 'V3', 'V1', 0.9973597359735974, 0.7153036594390869]
