['CO', 349, 'UO', 39, 'truncate', 'size', 'O0', 'O2', 0.9678180647929628, 1.141484260559082]
['CO', 129, 'UO', 14, 'chgrp', 'ar', 'O1', 'O1', 0.9596454836884782, 2.0015501976013184]
['UO', 65, 'CO', 300, 'sdiff', 'sha512sum', 'O3', 'O2', 0.9459459459459459, 0.08834004402160645]
['CO', 102, 'BO', 68, 'mknod', 'git', 'O3', 'O3', 0.9929912607077961, 5.276276588439941]
['CO', 309, 'BO', 16, 'rmdir', 'make', 'O2', 'O0', 0.9832285115303984, 0.46109652519226074]
['BO', 4, 'UO', 36, 'libgeany.so.0.0.0', 'addr2line', 'O2', 'O2', 0.9975102375102375, 87.94604563713074]
['CO', 348, 'BO', 32, 'pinky', 'ruby', 'O0', 'O2', 0.9888064052236776, 7.2298264503479]
['CO', 250, 'BO', 36, 'sum', 'cluster', 'O2', 'O2', 0.9561602418745276, 0.26938676834106445]
['CO', 139, 'BO', 18, 'base32', 'libvlc.so.12.0.0', 'O1', 'O1', 0.9828109201213346, 0.5889167785644531]
['CO', 6, 'BO', 36, 'mkdir', 'cluster', 'O3', 'O2', 0.933240611961057, 0.36328554153442383]
['UO', 72, 'CO', 323, 'strings', 'groups', 'O0', 'O0', 0.9988678177186527, 1.612647533416748]
['CO', 59, 'UO', 87, 'tsort', 'find', 'O3', 'O0', 0.9855263157894737, 0.7713198661804199]
['BO', 51, 'CO', 282, 'lua', 'unexpand', 'O1', 'O2', 0.9897713598074609, 0.6306042671203613]
['UO', 1, 'CO', 8, 'xargs', 'dir', 'O1', 'O3', 0.9650655021834061, 0.4308748245239258]
['BO', 12, 'CO', 163, 'libgeany.so.0.0.0', 'tsort', 'O0', 'O1', 0.9987398827121601, 5.270179033279419]
['CO', 218, 'BO', 37, 'users', 'gvmap', 'O2', 'O2', 0.9472140762463344, 0.23828387260437012]
['UO', 63, 'CO', 209, 'cmp', 'touch', 'O3', 'O2', 0.9138187221396731, 0.10357308387756348]
['BO', 29, 'CO', 317, 'libvlc.so.12.0.0', 'basename', 'O2', 'O0', 0.9927573719606829, 0.47786426544189453]
['UO', 18, 'CO', 284, 'diff3', 'md5sum', 'O1', 'O2', 0.9453376205787781, 0.08655214309692383]
['UO', 57, 'CO', 214, 'size', 'mkdir', 'O3', 'O2', 0.9917659804983748, 1.0692026615142822]
['UO', 87, 'BO', 37, 'find', 'gvmap', 'O0', 'O2', 0.9709628120224146, 2.4993748664855957]
['CO', 347, 'BO', 74, 'base32', 'dot', 'O0', 'O1', 0.9892761394101877, 0.04049372673034668]
['CO', 245, 'UO', 69, 'truncate', 'as', 'O2', 'O0', 0.9928725499390415, 2.337454319000244]
['CO', 319, 'BO', 36, 'fmt', 'cluster', 'O0', 'O2', 0.9609544468546638, 0.3463287353515625]
['BO', 54, 'CO', 270, 'lua', 'printf', 'O3', 'O2', 0.989240506329114, 0.642585039138794]
['BO', 41, 'CO', 48, 'libSDL2-2.0.so.0.16.0', 'ls', 'O2', 'O3', 0.9906998372471518, 5.234042406082153]
['CO', 275, 'BO', 33, 'nohup', 'sort', 'O2', 'O2', 0.8817317845828934, 0.1423327922821045]
['BO', 81, 'CO', 90, 'sort', 'tr', 'O3', 'O3', 0.9779286926994907, 0.21116423606872559]
['CO', 269, 'BO', 18, 'cksum', 'libvlc.so.12.0.0', 'O2', 'O1', 0.9779411764705882, 0.4151942729949951]
['CO', 392, 'BO', 80, 'uname', 'ssh', 'O0', 'O3', 0.981095849948309, 1.4450175762176514]
['BO', 12, 'UO', 57, 'libgeany.so.0.0.0', 'size', 'O0', 'O3', 0.989966419872962, 71.4929563999176]
['CO', 306, 'UO', 38, 'sleep', 'elfedit', 'O2', 'O2', 0.9739696312364425, 0.06873369216918945]
['BO', 73, 'CO', 25, 'cluster', 'chgrp', 'O1', 'O3', 0.9625935162094763, 0.4934730529785156]
['BO', 3, 'CO', 285, 'openssl', 'env', 'O1', 'O2', 0.9970871611023975, 1.963937520980835]
['UO', 37, 'CO', 108, 'ar', 'test', 'O2', 'O1', 0.9951622656722435, 1.166872501373291]
['UO', 24, 'CO', 353, 'diff', 'echo', 'O2', 'O0', 0.9834862385321101, 0.175978422164917]
['CO', 298, 'UO', 32, 'tr', 'strings', 'O2', 'O2', 0.9726977248104008, 1.0639655590057373]
['CO', 123, 'BO', 77, 'dd', 'libSDL2-2.0.so.0.16.0', 'O1', 'O3', 0.973628808864266, 3.9581024646759033]
['CO', 24, 'BO', 44, 'tee', 'cmp', 'O3', 'O2', 0.9067357512953368, 0.0786888599395752]
['CO', 214, 'UO', 41, 'mkdir', 'locate', 'O2', 'O2', 0.9550949913644214, 0.2729368209838867]
['CO', 295, 'BO', 38, 'id', 'acyclic', 'O2', 'O2', 0.9938837920489296, 0.03687644004821777]
['CO', 208, 'BO', 53, 'sha384sum', 'bash', 'O2', 'O0', 0.9903270759898353, 2.7653863430023193]
['UO', 76, 'CO', 225, 'addr2line', 'stdbuf', 'O0', 'O2', 0.9960244214113304, 1.6532604694366455]
['CO', 67, 'BO', 29, 'nohup', 'libvlc.so.12.0.0', 'O3', 'O2', 0.9766141331977631, 0.5565667152404785]
['BO', 58, 'CO', 296, 'svn', 'shred', 'O1', 'O2', 0.9867704280155642, 0.9346892833709717]
['UO', 42, 'CO', 166, 'xargs', 'printf', 'O2', 'O1', 0.9661016949152542, 0.16110920906066895]
['CO', 9, 'UO', 15, 'du', 'elfedit', 'O3', 'O1', 0.972972972972973, 0.224029541015625]
['BO', 39, 'CO', 137, 'codeblocks', 'chown', 'O3', 'O1', 0.9972250708813416, 6.777547836303711]
['CO', 19, 'BO', 80, 'dd', 'ssh', 'O3', 'O3', 0.9788434414668548, 2.9289543628692627]
['UO', 21, 'CO', 382, 'sdiff', 'b2sum', 'O1', 'O0', 0.9130434782608696, 0.15117692947387695]
['CO', 55, 'BO', 83, 'cp', 'lua', 'O3', 'O2', 0.9481618619412854, 1.9298288822174072]
['UO', 35, 'CO', 24, 'gprof', 'tee', 'O2', 'O3', 0.9956564659427444, 1.1614346504211426]
['CO', 42, 'UO', 24, 'sum', 'diff', 'O3', 'O2', 0.9272419627749577, 0.2288818359375]
['UO', 50, 'CO', 408, 'strings', 'fold', 'O3', 'O0', 0.992548761779531, 1.0515563488006592]
['UO', 41, 'CO', 299, 'locate', 'comm', 'O2', 'O2', 0.9782411604714415, 0.20889043807983398]
['BO', 52, 'CO', 57, 'svn', 'od', 'O3', 'O3', 0.9963113242345998, 0.9445469379425049]
['BO', 13, 'CO', 65, 'ruby', 'false', 'O1', 'O3', 0.9995222006074878, 4.332698822021484]
['BO', 79, 'UO', 18, 'bash', 'diff3', 'O3', 'O1', 0.9941865586188673, 3.4407386779785156]
['CO', 15, 'UO', 74, 'join', 'ld', 'O3', 'O0', 0.9896595454102038, 3.532998561859131]
['CO', 172, 'UO', 42, 'yes', 'xargs', 'O1', 'O2', 0.9737991266375546, 0.12373971939086914]
['CO', 85, 'UO', 49, '[', 'c++filt', 'O3', 'O3', 0.9693989071038251, 1.1234791278839111]
['BO', 60, 'CO', 195, 'openssl', 'comm', 'O0', 'O1', 0.9971943887775551, 2.909687042236328]
['BO', 64, 'CO', 265, 'dot', 'od', 'O0', 'O2', 0.9906103286384976, 0.045159101486206055]
['CO', 216, 'UO', 59, 'dir', 'locate', 'O2', 'O3', 0.9698870765370138, 0.6087865829467773]
['CO', 183, 'UO', 62, 'link', 'diff3', 'O1', 'O3', 0.9049180327868852, 0.0801548957824707]
