['BV', 62, 'CV', 44, 'diff', 'true', 'V0', 'V2', 0.9722650231124808, 0.07181715965270996]
['CV', 6, 'UV', 86, 'fmt', 'size', 'V2', 'V0', 0.9836096107282548, 0.9783189296722412]
['CV', 5, 'BV', 7, 'mkdir', 'libSDL2-2.0.so', 'V2', 'V0', 0.9703912583715192, 1.7831616401672363]
['CV', 126, 'UV', 41, 'whoami', 'cmp', 'V3', 'V3', 0.8943248532289628, 0.06545805931091309]
['UV', 60, 'CV', 199, 'gprof', 'expand', 'V1', 'V0', 0.9980299448384555, 0.9691534042358398]
['BV', 17, 'CV', 257, 'codeblocks', 'tac', 'V2', 'V0', 0.9981351401752968, 7.077942848205566]
['UV', 53, 'CV', 99, 'readelf', 'stty', 'V1', 'V3', 0.9853479853479854, 0.40021729469299316]
['UV', 8, 'CV', 260, 'strip', 'ln', 'V2', 'V0', 0.9964967595025398, 1.0308992862701416]
['CV', 289, 'BV', 83, 'chown', 'git', 'V1', 'V2', 0.990211789163671, 6.377546072006226]
['BV', 65, 'CV', 191, 'ssh', 'mkfifo', 'V1', 'V0', 0.999234654829328, 1.351407527923584]
['CV', 323, 'BV', 59, 'unexpand', 'make', 'V1', 'V1', 0.9761904761904762, 0.28951263427734375]
['UV', 73, 'CV', 88, 'nm', 'stat', 'V0', 'V3', 0.9917965545529123, 1.751230001449585]
['CV', 129, 'BV', 56, 'dircolors', 'ssh', 'V3', 'V3', 0.9791635210629624, 1.5690624713897705]
['CV', 311, 'UV', 69, 'cksum', 'sdiff', 'V1', 'V0', 0.8701298701298701, 0.05756807327270508]
['CV', 277, 'UV', 2, 'dd', 'find', 'V1', 'V2', 0.9361578641903656, 0.39052820205688477]
['UV', 21, 'CV', 23, 'objdump', 'wc', 'V2', 'V2', 0.9975335285956528, 1.413147211074829]
['UV', 36, 'CV', 150, 'objdump', 'mv', 'V3', 'V3', 0.9910725356478611, 5.312453269958496]
['BV', 69, 'CV', 252, 'gvmap', 'rm', 'V0', 'V0', 0.9821958456973294, 0.3160371780395508]
['CV', 347, 'BV', 14, 'ln', 'openssl', 'V1', 'V3', 0.9937610199376102, 2.209951162338257]
['UV', 17, 'CV', 14, 'addr2line', 'dirname', 'V2', 'V2', 0.9965598795957858, 0.6279547214508057]
['BV', 25, 'CV', 259, 'git', 'mknod', 'V3', 'V0', 0.9993858751279426, 3.178706645965576]
