['CO', 191, 'BO', 39, 'id', 'codeblocks', 'O1', 'O3', 0.9930407179048898, 5.6534483432769775]
['UO', 79, 'CO', 283, 'size', 'mv', 'O0', 'O2', 0.9873711340206186, 5.385178327560425]
['CO', 184, 'BO', 3, 'uname', 'openssl', 'O1', 'O1', 0.9914998322335309, 2.4039337635040283]
['CO', 355, 'UO', 16, 'chroot', 'size', 'O0', 'O1', 0.965927750410509, 1.4536762237548828]
['BO', 59, 'UO', 51, 'libgeany.so.0.0.0', 'objcopy', 'O3', 'O3', 0.9976401179941004, 106.49796748161316]
['CO', 365, 'UO', 19, 'chmod', 'cmp', 'O0', 'O1', 0.95448798988622, 0.14597249031066895]
['BO', 34, 'CO', 282, 'cp', 'unexpand', 'O2', 'O2', 0.9635258358662614, 0.14825963973999023]
['BO', 79, 'CO', 403, 'bash', 'comm', 'O3', 'O0', 0.9948426107060289, 2.727933406829834]
['CO', 125, 'UO', 64, 'mktemp', 'diff', 'O1', 'O3', 0.9199346405228759, 0.25838470458984375]
['BO', 57, 'UO', 54, 'libvlccore.so.9.0.0', 'addr2line', 'O3', 'O3', 0.9905653927668011, 34.32171177864075]
['UO', 6, 'CO', 382, 'as', 'b2sum', 'O1', 'O0', 0.9959375396724641, 2.50828218460083]
['BO', 16, 'CO', 76, 'make', 'md5sum', 'O0', 'O3', 0.9919093851132686, 0.5606608390808105]
['UO', 39, 'CO', 205, 'size', 'rmdir', 'O2', 'O1', 0.9935330890278077, 1.025327205657959]
['BO', 16, 'CO', 90, 'make', 'tr', 'O0', 'O3', 0.9903575733226195, 0.5840792655944824]
['BO', 2, 'CO', 144, 'perl', 'sync', 'O1', 'O1', 0.998046875, 2.8684706687927246]
['BO', 42, 'CO', 372, 'cmp', 'base64', 'O1', 'O0', 0.9152542372881356, 0.09444856643676758]
['BO', 77, 'CO', 125, 'libSDL2-2.0.so.0.16.0', 'mktemp', 'O3', 'O1', 0.9939045038943447, 2.3884003162384033]
['CO', 231, 'UO', 67, 'pr', 'strip', 'O2', 'O0', 0.9850954820680019, 3.2175586223602295]
['CO', 56, 'BO', 48, 'cut', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.995566361556064, 5.363530874252319]
['CO', 131, 'BO', 66, 'wc', 'svn', 'O1', 'O2', 0.978494623655914, 0.8900036811828613]
['BO', 43, 'CO', 104, 'diff', 'sha384sum', 'O1', 'O1', 0.9880034275921166, 0.21639132499694824]
['UO', 44, 'CO', 358, 'nm', 'whoami', 'O3', 'O0', 0.9948051948051948, 0.9327371120452881]
['CO', 1, 'UO', 78, 'touch', 'elfedit', 'O3', 'O0', 0.9842105263157894, 0.15292882919311523]
['UO', 67, 'CO', 94, 'strip', 'rm', 'O0', 'O3', 0.9958658704639411, 3.4997918605804443]
['UO', 69, 'CO', 33, 'as', 'chown', 'O0', 'O3', 0.9972657674079475, 4.1700379848480225]
['CO', 286, 'BO', 67, 'chcon', 'libSDL2-2.0.so.0.16.0', 'O2', 'O1', 0.9678464307138572, 3.504716396331787]
['CO', 234, 'UO', 34, 'kill', 'ld', 'O2', 'O2', 0.987498224179571, 1.4380402565002441]
['UO', 42, 'BO', 67, 'xargs', 'libSDL2-2.0.so.0.16.0', 'O2', 'O1', 0.9795042897998093, 4.209117650985718]
['CO', 147, 'UO', 28, 'chroot', 'readelf', 'O1', 'O2', 0.9592430858806404, 0.6020750999450684]
['UO', 28, 'CO', 15, 'readelf', 'join', 'O2', 'O3', 0.9909376089229697, 0.7203972339630127]
['UO', 34, 'CO', 414, 'ld', 'mknod', 'O2', 'O0', 0.9925003348064818, 3.4413206577301025]
['BO', 46, 'CO', 13, 'ruby', 'printenv', 'O3', 'O3', 0.9995222495222496, 4.5190815925598145]
['CO', 331, 'BO', 18, 'dd', 'libvlc.so.12.0.0', 'O0', 'O1', 0.9832377591530658, 1.124751091003418]
['CO', 375, 'BO', 32, 'logname', 'ruby', 'O0', 'O2', 0.9915740198946752, 5.066211938858032]
['UO', 83, 'CO', 101, 'diff', 'rmdir', 'O0', 'O3', 0.972809667673716, 0.24387049674987793]
['BO', 28, 'CO', 113, 'ruby', 'du', 'O0', 'O1', 0.9975960735868585, 14.90054965019226]
['BO', 20, 'CO', 43, 'sort', 'chroot', 'O1', 'O3', 0.9578754578754579, 0.19921016693115234]
['CO', 103, 'UO', 70, 'ln', 'ranlib', 'O3', 'O0', 0.9857549857549858, 3.9853649139404297]
['CO', 14, 'UO', 3, 'stty', 'nm', 'O3', 'O1', 0.9715316760224539, 1.4247238636016846]
['UO', 75, 'CO', 81, 'gprof', 'cat', 'O0', 'O3', 0.9981250837016205, 1.6925773620605469]
['CO', 12, 'UO', 10, 'ptx', 'objcopy', 'O3', 'O1', 0.9687448046550291, 2.146289110183716]
['BO', 47, 'CO', 133, 'libvlc.so.12.0.0', 'nproc', 'O0', 'O1', 0.9872669395179627, 0.5821878910064697]
['UO', 30, 'CO', 276, 'ranlib', 'yes', 'O2', 'O2', 0.9962832954780095, 0.7436668872833252]
['BO', 47, 'CO', 69, 'libvlc.so.12.0.0', 'who', 'O0', 'O3', 0.9930615784908933, 0.7296228408813477]
['CO', 200, 'BO', 39, 'fold', 'codeblocks', 'O1', 'O3', 0.9944920440636474, 4.645197629928589]
['BO', 69, 'UO', 86, 'cmp', 'xargs', 'O3', 'O0', 0.9665551839464883, 0.2096867561340332]
['UO', 52, 'CO', 20, 'ld', 'mkfifo', 'O3', 'O3', 0.998030388294879, 1.2760674953460693]
['CO', 219, 'UO', 9, 'groups', 'strings', 'O2', 'O1', 0.9792986903253063, 0.9386749267578125]
['BO', 55, 'CO', 365, 'make', 'chmod', 'O1', 'O0', 0.9776490066225165, 0.8727025985717773]
['CO', 24, 'BO', 15, 'tee', 'diff', 'O3', 'O0', 0.9078066914498142, 0.2890777587890625]
['UO', 33, 'CO', 151, 'objcopy', 'numfmt', 'O2', 'O1', 0.9936985821809907, 1.443321704864502]
['CO', 285, 'UO', 45, 'env', 'strip', 'O2', 'O3', 0.9848457513981599, 0.9859075546264648]
['CO', 334, 'UO', 65, 'pwd', 'sdiff', 'O0', 'O3', 0.8869047619047619, 0.10848832130432129]
['BO', 73, 'UO', 74, 'cluster', 'ld', 'O1', 'O0', 0.9695727430081078, 8.97236680984497]
