['UO', 18, 'CO', 300, 'diff3', 'sha512sum', 'O1', 'O2', 0.9397781299524565, 0.09104490280151367]
['UO', 62, 'BO', 3, 'diff3', 'openssl', 'O3', 'O1', 0.9930062288274506, 4.13449764251709]
['BO', 6, 'CO', 17, 'codeblocks', 'stdbuf', 'O0', 'O3', 0.9989947911907155, 6.140271902084351]
['BO', 44, 'UO', 64, 'cmp', 'diff', 'O2', 'O3', 0.9172185430463576, 0.21407771110534668]
['CO', 172, 'UO', 20, 'yes', 'diff', 'O1', 'O1', 0.8894927536231884, 0.1786363124847412]
['UO', 46, 'CO', 371, 'readelf', 'tsort', 'O3', 'O0', 0.985153764581124, 0.6321911811828613]
['UO', 48, 'CO', 46, 'ranlib', 'whoami', 'O3', 'O3', 0.9966914805624483, 0.8859407901763916]
['BO', 31, 'UO', 84, 'bash', 'sdiff', 'O2', 'O0', 0.9964879852125693, 3.7532958984375]
['BO', 41, 'CO', 245, 'libSDL2-2.0.so.0.16.0', 'truncate', 'O2', 'O2', 0.997226424609178, 1.3631467819213867]
['CO', 129, 'BO', 19, 'chgrp', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.9841344791765039, 4.869899272918701]
['BO', 10, 'CO', 81, 'openssl', 'cat', 'O3', 'O3', 0.9973463069438302, 2.42456316947937]
['UO', 8, 'CO', 169, 'c++filt', 'false', 'O1', 'O1', 0.9931565440547476, 0.8303883075714111]
['UO', 65, 'CO', 47, 'sdiff', 'numfmt', 'O3', 'O3', 0.9135135135135135, 0.1101827621459961]
['CO', 34, 'BO', 19, 'tail', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.9894538606403013, 4.794287204742432]
['CO', 89, 'UO', 29, 'pathchk', 'as', 'O3', 'O2', 0.9772757652720224, 1.62709379196167]
['UO', 4, 'BO', 73, 'strip', 'cluster', 'O1', 'O1', 0.983500824958752, 4.703703880310059]
['CO', 135, 'BO', 73, 'date', 'cluster', 'O1', 'O1', 0.9392764857881137, 0.47774457931518555]
['BO', 1, 'CO', 112, 'ssh', 'dir', 'O2', 'O1', 0.985560550333742, 4.363067150115967]
['BO', 61, 'CO', 361, 'git', 'nice', 'O1', 'O0', 0.9995668558062979, 4.225906133651733]
['BO', 43, 'UO', 87, 'diff', 'find', 'O1', 'O0', 0.9704756697648989, 2.3209307193756104]
['CO', 407, 'UO', 5, 'sha224sum', 'readelf', 'O0', 'O1', 0.9550173010380623, 0.7690329551696777]
['CO', 367, 'UO', 9, 'cp', 'strings', 'O0', 'O1', 0.9543489538301919, 5.074788331985474]
['UO', 67, 'CO', 23, 'strip', 'pr', 'O0', 'O3', 0.9974566473988439, 3.340524673461914]
['CO', 163, 'UO', 10, 'tsort', 'objcopy', 'O1', 'O1', 0.9744695532171813, 1.3402352333068848]
['CO', 71, 'BO', 13, 'readlink', 'ruby', 'O3', 'O1', 0.9909533040846172, 7.336167573928833]
['CO', 296, 'BO', 46, 'shred', 'ruby', 'O2', 'O3', 0.9901561439239647, 9.984078645706177]
['UO', 59, 'CO', 277, 'locate', 'who', 'O3', 'O2', 0.9816849816849816, 0.2382357120513916]
['UO', 6, 'BO', 54, 'as', 'lua', 'O1', 'O3', 0.9865280985373364, 14.66034722328186]
['CO', 191, 'BO', 17, 'id', 'codeblocks', 'O1', 'O2', 0.9928084314941104, 5.277426481246948]
['BO', 47, 'CO', 225, 'libvlc.so.12.0.0', 'stdbuf', 'O0', 'O2', 0.9918735891647855, 0.6007678508758545]
['UO', 16, 'CO', 98, 'size', 'sleep', 'O1', 'O3', 0.9949968730456535, 0.9645450115203857]
['UO', 65, 'BO', 67, 'sdiff', 'libSDL2-2.0.so.0.16.0', 'O3', 'O1', 0.9778339959041079, 3.1783359050750732]
['CO', 49, 'UO', 39, 'nice', 'size', 'O3', 'O2', 0.9758203799654577, 0.9645736217498779]
['UO', 73, 'BO', 42, 'objcopy', 'cmp', 'O0', 'O1', 0.9978768577494692, 2.1044654846191406]
['CO', 55, 'BO', 31, 'cp', 'bash', 'O3', 'O2', 0.970551490273068, 7.392122030258179]
['CO', 183, 'UO', 73, 'link', 'objcopy', 'O1', 'O0', 0.9907021099058291, 1.8215200901031494]
['UO', 46, 'CO', 175, 'readelf', 'readlink', 'O3', 'O1', 0.9781305114638448, 0.6329982280731201]
['UO', 27, 'CO', 131, 'strip', 'wc', 'O2', 'O1', 0.9936797752808989, 1.4811773300170898]
['UO', 48, 'CO', 292, 'ranlib', 'vdir', 'O3', 'O2', 0.9851245816288583, 2.9004006385803223]
['BO', 1, 'CO', 165, 'ssh', 'cksum', 'O2', 'O1', 0.9958469296944527, 1.2618224620819092]
['CO', 148, 'UO', 39, 'seq', 'size', 'O1', 'O2', 0.9751605995717345, 1.1586048603057861]
['BO', 9, 'UO', 2, 'git', 'find', 'O0', 'O1', 0.9964797183774702, 32.91669154167175]
['BO', 76, 'CO', 107, 'openssl', 'unlink', 'O2', 'O1', 0.9973285841495992, 2.1049067974090576]
['CO', 195, 'UO', 45, 'comm', 'strip', 'O1', 'O3', 0.9743681025275899, 1.2833912372589111]
['CO', 171, 'BO', 28, 'nohup', 'ruby', 'O1', 'O0', 0.992534527808884, 5.192235946655273]
['BO', 42, 'CO', 214, 'cmp', 'mkdir', 'O1', 'O2', 0.9295774647887324, 0.08041572570800781]
['CO', 218, 'BO', 47, 'users', 'libvlc.so.12.0.0', 'O2', 'O0', 0.9861687413554634, 0.5617666244506836]
['CO', 402, 'UO', 24, 'tr', 'diff', 'O0', 'O2', 0.896, 0.2940678596496582]
['BO', 54, 'CO', 173, 'lua', 'who', 'O3', 'O1', 0.9831670822942643, 0.7884600162506104]
['CO', 60, 'UO', 38, 'base64', 'elfedit', 'O3', 'O2', 0.9784560143626571, 0.09209156036376953]
['UO', 66, 'CO', 14, 'nm', 'stty', 'O0', 'O3', 0.9978070175438597, 2.1251277923583984]
