['CO', 333, 'BO', 34, 'mktemp', 'cp', 'O0', 'O2', 0.9243243243243243, 0.2517218589782715]
['CO', 121, 'BO', 20, 'stdbuf', 'sort', 'O1', 'O1', 0.8871119473189087, 0.20934414863586426]
['CO', 157, 'UO', 24, 'chmod', 'diff', 'O1', 'O2', 0.9041731066460588, 0.3254542350769043]
['CO', 6, 'UO', 5, 'mkdir', 'readelf', 'O3', 'O1', 0.95734434124527, 0.7478091716766357]
['BO', 8, 'CO', 57, 'cp', 'od', 'O0', 'O3', 0.9621077560686797, 0.6430790424346924]
['BO', 0, 'CO', 248, 'codeblocks', 'sync', 'O1', 'O2', 0.9991258741258742, 3.4374923706054688]
['CO', 157, 'UO', 44, 'chmod', 'nm', 'O1', 'O3', 0.9638704318936877, 1.627762794494629]
['BO', 10, 'CO', 270, 'openssl', 'printf', 'O3', 'O2', 0.9980057611345003, 2.485340118408203]
['CO', 84, 'BO', 69, 'vdir', 'cmp', 'O3', 'O3', 0.9895196506550218, 0.20206570625305176]
['CO', 287, 'BO', 20, 'link', 'sort', 'O2', 'O1', 0.9329842931937172, 0.1346113681793213]
['UO', 84, 'CO', 83, 'sdiff', 'csplit', 'O0', 'O3', 0.9251461988304094, 0.1545572280883789]
['UO', 38, 'CO', 349, 'elfedit', 'truncate', 'O2', 'O0', 0.9743119266055046, 0.11091828346252441]
['CO', 413, 'BO', 78, 'rmdir', 'ssh', 'O0', 'O0', 0.9901362141850634, 2.205498456954956]
['UO', 1, 'CO', 160, 'xargs', 'cut', 'O1', 'O1', 0.9460847240051348, 0.1609020233154297]
['CO', 110, 'UO', 18, 'mkdir', 'diff3', 'O1', 'O1', 0.876056338028169, 0.11606955528259277]
['CO', 350, 'UO', 23, 'sha1sum', 'cmp', 'O0', 'O2', 0.9108910891089109, 0.09087586402893066]
['CO', 305, 'BO', 12, 'uniq', 'libgeany.so.0.0.0', 'O2', 'O0', 0.9961264707306444, 7.559385299682617]
['CO', 34, 'BO', 17, 'tail', 'codeblocks', 'O3', 'O2', 0.9938807979439481, 8.177592515945435]
['CO', 187, 'BO', 72, 'csplit', 'make', 'O1', 'O2', 0.9335016835016835, 0.6413140296936035]
['UO', 84, 'CO', 211, 'sdiff', 'unlink', 'O0', 'O2', 0.9383116883116883, 0.07661700248718262]
['CO', 62, 'UO', 11, 'printf', 'ld', 'O3', 'O1', 0.9800082158017254, 2.0008716583251953]
['CO', 254, 'UO', 39, 'whoami', 'size', 'O2', 'O2', 0.9798510731493648, 0.7431907653808594]
['UO', 20, 'CO', 346, 'diff', 'tail', 'O1', 'O0', 0.9526003949967083, 0.49136805534362793]
['CO', 398, 'UO', 40, 'timeout', 'objdump', 'O0', 'O2', 0.9766317485898469, 2.3705801963806152]
['BO', 72, 'UO', 13, 'make', 'addr2line', 'O2', 'O1', 0.950624809509296, 6.935875415802002]
['UO', 69, 'CO', 383, 'as', 'readlink', 'O0', 'O0', 0.9979627743309566, 2.863278388977051]
['CO', 298, 'UO', 35, 'tr', 'gprof', 'O2', 'O2', 0.9749153892096357, 1.1340663433074951]
['BO', 47, 'CO', 49, 'libvlc.so.12.0.0', 'nice', 'O0', 'O3', 0.9918478260869565, 0.521683931350708]
['UO', 34, 'CO', 188, 'ld', 'vdir', 'O2', 'O1', 0.9892852476153142, 4.874045133590698]
['CO', 367, 'BO', 55, 'cp', 'make', 'O0', 'O1', 0.9550917141049968, 1.9866888523101807]
['BO', 51, 'CO', 289, 'lua', 'cat', 'O1', 'O2', 0.9927250682024856, 0.5862059593200684]
['CO', 186, 'BO', 57, 'shuf', 'libvlccore.so.9.0.0', 'O1', 'O3', 0.987853872745959, 4.285403490066528]
