['UO', 45, 'BO', 70, 'strip', 'diff', 'O3', 'O3', 0.9891702500398153, 3.6622254848480225]
['UO', 59, 'CO', 398, 'locate', 'timeout', 'O3', 'O0', 0.976006855184233, 0.3092343807220459]
['CO', 30, 'UO', 5, 'expand', 'readelf', 'O3', 'O1', 0.9675141242937854, 0.5860104560852051]
['CO', 304, 'UO', 27, 'fold', 'strip', 'O2', 'O2', 0.9796100876408513, 1.1067309379577637]
['BO', 48, 'CO', 233, 'libvlccore.so.9.0.0', 'chgrp', 'O0', 'O2', 0.9973085912600043, 5.62775731086731]
['BO', 34, 'CO', 229, 'cp', 'mktemp', 'O2', 'O2', 0.9692307692307692, 0.17608857154846191]
['CO', 276, 'UO', 45, 'yes', 'strip', 'O2', 'O3', 0.9844315713251267, 0.8590457439422607]
['CO', 216, 'BO', 35, 'dir', 'make', 'O2', 'O3', 0.9495313626532084, 1.2930829524993896]
['UO', 86, 'CO', 272, 'xargs', 'tty', 'O0', 'O2', 0.9716129032258064, 0.12683510780334473]
['UO', 61, 'CO', 28, 'find', 'factor', 'O3', 'O3', 0.9835526315789473, 0.6809344291687012]
['CO', 264, 'BO', 80, 'cut', 'ssh', 'O2', 'O3', 0.9852485617347692, 1.4741661548614502]
['CO', 291, 'BO', 24, 'csplit', 'cluster', 'O2', 'O3', 0.944095038434661, 0.36698102951049805]
['BO', 52, 'CO', 115, 'svn', 'groups', 'O3', 'O1', 0.994413407821229, 0.6298027038574219]
['CO', 311, 'UO', 33, 'ln', 'objcopy', 'O2', 'O2', 0.9636363636363636, 2.297549247741699]
['UO', 32, 'CO', 78, 'strings', 'chcon', 'O2', 'O3', 0.9942244224422442, 1.7082314491271973]
['CO', 212, 'BO', 25, 'test', 'dot', 'O2', 'O3', 0.9935897435897436, 0.031156063079833984]
['BO', 81, 'CO', 285, 'sort', 'env', 'O3', 'O2', 0.9753320683111955, 0.1438584327697754]
['CO', 69, 'BO', 42, 'who', 'cmp', 'O3', 'O1', 0.9158576051779935, 0.0885932445526123]
['UO', 64, 'CO', 157, 'diff', 'chmod', 'O3', 'O1', 0.9656716417910448, 0.32935428619384766]
['UO', 41, 'CO', 73, 'locate', 'hostid', 'O2', 'O3', 0.9890710382513661, 0.1930379867553711]
['BO', 59, 'CO', 300, 'libgeany.so.0.0.0', 'sha512sum', 'O3', 'O2', 0.9993354009747453, 5.921013355255127]
['BO', 60, 'CO', 158, 'openssl', 'true', 'O0', 'O1', 0.9985864297253635, 2.276909589767456]
['CO', 415, 'UO', 49, 'ln', 'c++filt', 'O0', 'O3', 0.9621866009042335, 2.3717880249023438]
['BO', 16, 'CO', 56, 'make', 'cut', 'O0', 'O3', 0.9911003236245954, 0.5528481006622314]
['CO', 392, 'UO', 42, 'uname', 'xargs', 'O0', 'O2', 0.963276836158192, 0.14567947387695312]
['UO', 13, 'CO', 319, 'addr2line', 'fmt', 'O1', 'O0', 0.9929867986798679, 1.2210819721221924]
['BO', 74, 'CO', 148, 'dot', 'seq', 'O1', 'O1', 0.9825072886297376, 0.03548932075500488]
['CO', 396, 'UO', 32, 'vdir', 'strings', 'O0', 'O2', 0.9588839941262849, 4.334277153015137]
['BO', 31, 'CO', 110, 'bash', 'mkdir', 'O2', 'O1', 0.9956940934194515, 2.7334089279174805]
