['UV', 56, 'CV', 221, 'c++filt', 'od', 'V1', 'V0', 0.9974468085106383, 0.9142076969146729]
['CV', 83, 'BV', 57, 'tac', 'svn', 'V2', 'V2', 0.9704590818363273, 1.1081891059875488]
['CV', 151, 'BV', 26, 'md5sum', 'geany', 'V3', 'V2', 0.9923162832253741, 7.479283809661865]
['CV', 184, 'BV', 75, 'ptx', 'cmp', 'V0', 'V2', 0.9392466585662211, 0.13036847114562988]
['BV', 64, 'CV', 36, 'openssl', 'chroot', 'V2', 'V2', 0.9988188395098184, 1.6888270378112793]
['UV', 80, 'CV', 146, 'objcopy', 'head', 'V0', 'V3', 0.9946773120425815, 1.4710335731506348]
['CV', 309, 'UV', 55, 'df', 'ranlib', 'V1', 'V1', 0.9743943273586764, 1.2899649143218994]
['CV', 220, 'BV', 67, 'cut', 'cluster', 'V0', 'V0', 0.9455782312925171, 0.18898391723632812]
['CV', 329, 'UV', 52, 'cat', 'strip', 'V1', 'V1', 0.9835309617918313, 0.8898270130157471]
['BV', 71, 'CV', 6, 'ruby', 'fmt', 'V1', 'V2', 0.9917695473251029, 0.01326894760131836]
['UV', 29, 'CV', 232, 'objcopy', 'readlink', 'V3', 'V0', 0.998197548666186, 0.7158005237579346]
['CV', 81, 'BV', 27, 'sleep', 'libSDL2-2.0.so', 'V2', 'V1', 0.9828587226983688, 1.5865089893341064]
['CV', 252, 'UV', 45, 'rm', 'cmp', 'V0', 'V1', 0.9100346020761245, 0.08055782318115234]
['CV', 162, 'BV', 23, 'tr', 'diff', 'V3', 'V3', 0.9027552674230146, 0.24038386344909668]
['CV', 162, 'BV', 44, 'tr', 'make', 'V3', 'V0', 0.9396636993076162, 0.4718341827392578]
['CV', 212, 'UV', 34, 'split', 'elfedit', 'V0', 'V3', 0.9621848739495799, 0.07452964782714844]
['BV', 75, 'UV', 36, 'cmp', 'objdump', 'V2', 'V3', 0.9789018122802272, 1.9869341850280762]
['BV', 76, 'UV', 20, 'diff', 'size', 'V2', 'V2', 0.9591760994618668, 3.6095166206359863]
['CV', 256, 'BV', 56, 'sort', 'ssh', 'V0', 'V3', 0.9805912212600776, 1.935978651046753]
['BV', 35, 'UV', 68, 'libvlccore.so', 'diff', 'V2', 'V0', 0.9958865555315003, 5.6769609451293945]
['CV', 9, 'BV', 61, 'users', 'cmp', 'V2', 'V0', 0.9345238095238095, 0.028858423233032227]
['UV', 13, 'CV', 308, 'strings', 'od', 'V2', 'V1', 0.9978655282817502, 0.975048303604126]
['BV', 1, 'CV', 241, 'libSDL2-2.0.so', 'uname', 'V3', 'V0', 0.9977171555758475, 0.9709997177124023]
['CV', 346, 'UV', 27, 'mknod', 'c++filt', 'V1', 'V3', 0.9776735878544318, 0.7117533683776855]
['BV', 2, 'UV', 79, 'cmp', 'strings', 'V1', 'V0', 0.9732690622261174, 1.1772661209106445]
