['UO', 9, 'CO', 373, 'strings', 'cksum', 'O1', 'O0', 0.9932998324958124, 1.074209451675415]
['CO', 24, 'UO', 0, 'tee', 'locate', 'O3', 'O1', 0.9448621553884712, 0.2710890769958496]
['UO', 40, 'CO', 292, 'objdump', 'vdir', 'O2', 'O2', 0.9926330496634066, 4.435071229934692]
['UO', 4, 'CO', 106, 'strip', 'stat', 'O1', 'O1', 0.9890728476821192, 2.383840799331665]
['UO', 22, 'CO', 100, 'diff3', 'tac', 'O2', 'O3', 0.9105812220566318, 0.09301066398620605]
['UO', 32, 'CO', 201, 'strings', 'uniq', 'O2', 'O1', 0.9940004285408185, 1.1816656589508057]
['CO', 157, 'BO', 37, 'chmod', 'gvmap', 'O1', 'O2', 0.9332073093887838, 0.46689510345458984]
['UO', 74, 'CO', 181, 'ld', 'env', 'O0', 'O1', 0.9964275081869604, 2.0834505558013916]
['CO', 141, 'UO', 85, 'truncate', 'locate', 'O1', 'O0', 0.970276008492569, 0.30341148376464844]
['CO', 223, 'UO', 14, 'join', 'ar', 'O2', 'O1', 0.975457732761979, 1.2896983623504639]
['UO', 33, 'BO', 62, 'objcopy', 'bash', 'O2', 'O1', 0.9606025492468134, 40.397138833999634]
['CO', 211, 'BO', 71, 'unlink', 'libSDL2-2.0.so.0.16.0', 'O2', 'O0', 0.9886363636363636, 1.9993221759796143]
['CO', 383, 'BO', 6, 'readlink', 'codeblocks', 'O0', 'O0', 0.993885466575405, 10.379958152770996]
['UO', 83, 'CO', 362, 'diff', 'dircolors', 'O0', 'O0', 0.9819954988747187, 0.26464104652404785]
['UO', 64, 'CO', 219, 'diff', 'groups', 'O3', 'O2', 0.9839857651245552, 0.16385793685913086]
['CO', 105, 'UO', 38, 'touch', 'elfedit', 'O1', 'O2', 0.9799426934097422, 0.14170098304748535]
['UO', 70, 'CO', 45, 'ranlib', 'split', 'O0', 'O3', 0.9973646066675451, 2.602757453918457]
['BO', 46, 'CO', 23, 'ruby', 'pr', 'O3', 'O3', 0.9993231352375795, 9.417766571044922]
['UO', 43, 'CO', 79, 'find', 'link', 'O2', 'O3', 0.9912357581069238, 0.4201204776763916]
['CO', 385, 'UO', 75, 'hostid', 'gprof', 'O0', 'O0', 0.9900242653006202, 1.8619630336761475]
['BO', 77, 'CO', 224, 'libSDL2-2.0.so.0.16.0', 'dirname', 'O3', 'O2', 0.9970190323320339, 1.2512609958648682]
['BO', 42, 'CO', 247, 'cmp', 'paste', 'O1', 'O2', 0.937888198757764, 0.05582904815673828]
['UO', 18, 'BO', 44, 'diff3', 'cmp', 'O1', 'O2', 0.920704845814978, 0.09417200088500977]
['BO', 22, 'UO', 2, 'perl', 'find', 'O0', 'O1', 0.9872398414271556, 21.171494483947754]
['CO', 257, 'BO', 50, 'nice', 'perl', 'O2', 'O2', 0.9911058011416435, 2.7356557846069336]
['UO', 33, 'CO', 385, 'objcopy', 'hostid', 'O2', 'O0', 0.9939404740687935, 1.105219841003418]
['CO', 150, 'BO', 29, 'whoami', 'libvlc.so.12.0.0', 'O1', 'O2', 0.9800210304942166, 0.46960997581481934]
['BO', 67, 'CO', 35, 'libSDL2-2.0.so.0.16.0', 'base32', 'O1', 'O3', 0.9948661532819949, 2.1010687351226807]
['CO', 147, 'UO', 57, 'chroot', 'size', 'O1', 'O3', 0.9713479487736054, 1.137298822402954]
['UO', 47, 'BO', 29, 'as', 'libvlc.so.12.0.0', 'O3', 'O2', 0.9920706841866788, 9.749279737472534]
['CO', 10, 'UO', 21, 'users', 'sdiff', 'O3', 'O1', 0.913312693498452, 0.09287357330322266]
['CO', 376, 'UO', 26, 'tty', 'nm', 'O0', 'O2', 0.9756877799104287, 1.01251220703125]
['BO', 39, 'CO', 234, 'codeblocks', 'kill', 'O3', 'O2', 0.9987734576229609, 3.0462918281555176]
['CO', 110, 'BO', 12, 'mkdir', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9951683818910954, 8.666239976882935]
['UO', 56, 'CO', 179, 'elfedit', 'mv', 'O3', 'O1', 0.9654889071487264, 0.28077101707458496]
['UO', 30, 'CO', 30, 'ranlib', 'expand', 'O2', 'O3', 0.9939369442198869, 1.0714728832244873]
['BO', 35, 'CO', 325, 'make', 'printenv', 'O3', 'O0', 0.9873817034700315, 0.4236130714416504]
['UO', 38, 'CO', 207, 'elfedit', 'ln', 'O2', 'O1', 0.965, 0.170424222946167]
['UO', 45, 'CO', 369, 'strip', 'od', 'O3', 'O0', 0.991014342491792, 1.901214838027954]
['CO', 152, 'BO', 52, 'ls', 'svn', 'O1', 'O3', 0.9915721231766612, 1.915924310684204]
['UO', 26, 'CO', 208, 'nm', 'sha384sum', 'O2', 'O2', 0.9944739638682253, 0.9645085334777832]
['UO', 13, 'CO', 182, 'addr2line', 'chcon', 'O1', 'O1', 0.9876959714229013, 1.8203673362731934]
['BO', 63, 'CO', 366, 'cluster', 'true', 'O0', 'O0', 0.9800942902042954, 0.36490678787231445]
['UO', 70, 'CO', 61, 'ranlib', 'cksum', 'O0', 'O3', 0.9975669099756691, 1.491603136062622]
['UO', 71, 'CO', 37, 'c++filt', 'truncate', 'O0', 'O3', 0.997432239657632, 1.463808298110962]
['CO', 96, 'UO', 87, 'fold', 'find', 'O3', 'O0', 0.9821073558648111, 0.7710609436035156]
['CO', 266, 'UO', 9, 'df', 'strings', 'O2', 'O1', 0.9628678649022319, 2.156242609024048]
['BO', 80, 'UO', 47, 'ssh', 'as', 'O3', 'O3', 0.9651919561243144, 33.4253191947937]
['UO', 76, 'CO', 28, 'addr2line', 'factor', 'O0', 'O3', 0.9966722129783694, 2.2581534385681152]
['BO', 51, 'CO', 220, 'lua', 'ptx', 'O1', 'O2', 0.9903133903133903, 1.0691757202148438]
['CO', 76, 'BO', 40, 'md5sum', 'lua', 'O3', 'O0', 0.9864864864864865, 1.0466947555541992]
['CO', 300, 'UO', 41, 'sha512sum', 'locate', 'O2', 'O2', 0.960431654676259, 0.22752690315246582]
['BO', 68, 'CO', 258, 'git', 'dircolors', 'O3', 'O2', 0.9989599133261106, 3.9562597274780273]
['UO', 79, 'CO', 396, 'size', 'vdir', 'O0', 'O0', 0.9962154661284218, 6.0329430103302]
['CO', 277, 'UO', 22, 'who', 'diff3', 'O2', 'O2', 0.8908507223113965, 0.08711576461791992]
['UO', 84, 'BO', 9, 'sdiff', 'git', 'O0', 'O0', 0.988412017167382, 9.835033178329468]
['UO', 19, 'CO', 303, 'cmp', 'sha224sum', 'O1', 'O2', 0.9195402298850575, 0.06895160675048828]
['UO', 34, 'BO', 67, 'ld', 'libSDL2-2.0.so.0.16.0', 'O2', 'O1', 0.9825049162541534, 43.95909023284912]
['CO', 223, 'BO', 15, 'join', 'diff', 'O2', 'O0', 0.9192221391174271, 0.2827415466308594]
['CO', 165, 'UO', 42, 'cksum', 'xargs', 'O1', 'O2', 0.9628040057224606, 0.1323256492614746]
['CO', 268, 'BO', 24, 'base64', 'cluster', 'O2', 'O3', 0.9571209800918836, 0.24263644218444824]
['UO', 6, 'BO', 43, 'as', 'diff', 'O1', 'O1', 0.9914101646385111, 5.144323348999023]
['BO', 35, 'CO', 275, 'make', 'nohup', 'O3', 'O2', 0.987313094698686, 0.3740427494049072]
['BO', 33, 'UO', 34, 'sort', 'ld', 'O2', 'O2', 0.9657308554105707, 4.423721075057983]
