['CO', 94, 'BO', 49, 'rm', 'svn', 'O3', 'O0', 0.9825210084033613, 1.4003803730010986]
['CO', 63, 'BO', 31, 'logname', 'bash', 'O3', 'O2', 0.9886696251534322, 2.2297322750091553]
['UO', 5, 'CO', 408, 'readelf', 'fold', 'O1', 'O0', 0.9936238044633369, 0.6142387390136719]
['CO', 96, 'BO', 51, 'fold', 'lua', 'O3', 'O1', 0.9572573463935886, 0.6890919208526611]
['CO', 152, 'BO', 21, 'ls', 'cp', 'O1', 'O1', 0.927905531385954, 0.5468869209289551]
['BO', 67, 'CO', 27, 'libSDL2-2.0.so.0.16.0', 'wc', 'O1', 'O3', 0.9944215377152559, 2.588707685470581]
['BO', 12, 'CO', 133, 'libgeany.so.0.0.0', 'nproc', 'O0', 'O1', 0.998932401611103, 4.886722803115845]
['CO', 316, 'UO', 78, 'test', 'elfedit', 'O0', 'O0', 0.9711538461538461, 0.1180112361907959]
['BO', 42, 'CO', 232, 'cmp', 'tee', 'O1', 'O2', 0.937007874015748, 0.0634605884552002]
['CO', 188, 'BO', 24, 'vdir', 'cluster', 'O1', 'O3', 0.9622839182818229, 0.8286042213439941]
['BO', 83, 'CO', 239, 'lua', 'date', 'O2', 'O2', 0.9904191616766467, 1.0082104206085205]
['BO', 55, 'CO', 306, 'make', 'sleep', 'O1', 'O2', 0.9913875598086125, 0.34343719482421875]
['CO', 154, 'UO', 6, 'dircolors', 'as', 'O1', 'O1', 0.9759658870655123, 1.6859796047210693]
['UO', 86, 'BO', 68, 'xargs', 'git', 'O0', 'O3', 0.9848252344416027, 12.570386409759521]
['BO', 14, 'CO', 27, 'cmp', 'wc', 'O0', 'O3', 0.9260355029585798, 0.10200929641723633]
['BO', 75, 'CO', 259, 'gvmap', 'realpath', 'O1', 'O2', 0.9604904632152589, 0.3240928649902344]
['BO', 3, 'CO', 184, 'openssl', 'uname', 'O1', 'O1', 0.996644670618499, 2.121948480606079]
['BO', 78, 'CO', 330, 'ssh', 'uptime', 'O0', 'O0', 0.9948813401582132, 2.4209859371185303]
['CO', 93, 'BO', 61, 'nl', 'git', 'O3', 'O1', 0.9918723790584064, 4.93255877494812]
['UO', 71, 'CO', 406, 'c++filt', 'rm', 'O0', 'O0', 0.9970031330881352, 3.1532256603240967]
['CO', 33, 'BO', 51, 'chown', 'lua', 'O3', 'O1', 0.9539528432732316, 1.2564446926116943]
['UO', 86, 'CO', 360, 'xargs', 'ls', 'O0', 'O0', 0.9563679245283019, 0.7353475093841553]
['BO', 79, 'CO', 22, 'bash', 'pwd', 'O3', 'O3', 0.9967948717948718, 2.284867525100708]
['CO', 41, 'UO', 79, 'echo', 'size', 'O3', 'O0', 0.9940509915014164, 1.743220567703247]
['BO', 63, 'CO', 181, 'cluster', 'env', 'O0', 'O1', 0.9771309771309771, 0.3886280059814453]
['BO', 50, 'CO', 113, 'perl', 'du', 'O2', 'O1', 0.994104453700737, 7.734300374984741]
['UO', 11, 'CO', 199, 'ld', 'sha224sum', 'O1', 'O1', 0.9942084942084942, 1.6645886898040771]
['UO', 13, 'CO', 255, 'addr2line', 'numfmt', 'O1', 'O2', 0.9938042131350682, 1.1539294719696045]
['CO', 24, 'BO', 4, 'tee', 'libgeany.so.0.0.0', 'O3', 'O2', 0.9931151881974655, 7.865640878677368]
['BO', 68, 'CO', 243, 'git', 'base32', 'O3', 'O2', 0.9988724576087428, 3.6930525302886963]
['CO', 168, 'BO', 2, 'tty', 'perl', 'O1', 'O1', 0.9918367346938776, 2.453174352645874]
['CO', 78, 'BO', 59, 'chcon', 'libgeany.so.0.0.0', 'O3', 'O3', 0.9913660642423355, 13.956319808959961]
['UO', 56, 'BO', 27, 'elfedit', 'perl', 'O3', 'O3', 0.9867923318586908, 2.8417062759399414]
['UO', 81, 'CO', 243, 'diff3', 'base32', 'O0', 'O2', 0.9387755102040817, 0.09845685958862305]
['CO', 363, 'BO', 51, 'realpath', 'lua', 'O0', 'O1', 0.9484953703703703, 0.9876759052276611]
['CO', 198, 'UO', 29, 'rm', 'as', 'O1', 'O2', 0.9645031739862676, 2.948101282119751]
['CO', 339, 'UO', 26, 'wc', 'nm', 'O0', 'O2', 0.9659962678830604, 1.5342392921447754]
['CO', 48, 'UO', 4, 'ls', 'strip', 'O3', 'O1', 0.9609740867936309, 3.9097166061401367]
['CO', 231, 'BO', 60, 'pr', 'openssl', 'O2', 'O0', 0.9911023232822541, 4.806820631027222]
['UO', 52, 'CO', 25, 'ld', 'chgrp', 'O3', 'O3', 0.9940152339499456, 2.4932751655578613]
['UO', 52, 'CO', 70, 'ld', 'b2sum', 'O3', 'O3', 0.9964028776978417, 1.856161117553711]
['CO', 103, 'BO', 74, 'ln', 'dot', 'O3', 'O1', 0.9968847352024922, 0.06232166290283203]
['UO', 13, 'CO', 395, 'addr2line', 'csplit', 'O1', 'O0', 0.988457711442786, 1.7733657360076904]
['BO', 27, 'CO', 210, 'perl', 'stat', 'O3', 'O2', 0.9968348420586187, 5.226044654846191]
['CO', 298, 'BO', 78, 'tr', 'ssh', 'O2', 'O0', 0.9910745742806811, 1.975553035736084]
['CO', 73, 'BO', 3, 'hostid', 'openssl', 'O3', 'O1', 0.9953125, 2.246619701385498]
['CO', 47, 'BO', 40, 'numfmt', 'lua', 'O3', 'O0', 0.9871306005719733, 1.2548425197601318]
['CO', 127, 'UO', 39, 'pr', 'size', 'O1', 'O2', 0.9631774927596194, 1.689755916595459]
['CO', 58, 'BO', 71, 'df', 'libSDL2-2.0.so.0.16.0', 'O3', 'O0', 0.9831760361099713, 5.697084188461304]
['CO', 175, 'UO', 78, 'readlink', 'elfedit', 'O1', 'O0', 0.9493243243243243, 0.11544418334960938]
['CO', 221, 'BO', 58, 'printenv', 'svn', 'O2', 'O1', 0.9855626326963907, 0.45661211013793945]
['CO', 189, 'BO', 66, '[', 'svn', 'O1', 'O2', 0.9777512912197059, 0.8187291622161865]
['CO', 284, 'BO', 46, 'md5sum', 'ruby', 'O2', 'O3', 0.9924953095684803, 6.402402877807617]
['UO', 73, 'CO', 319, 'objcopy', 'fmt', 'O0', 'O0', 0.9990570485619991, 2.7125754356384277]
['CO', 173, 'BO', 18, 'who', 'libvlc.so.12.0.0', 'O1', 'O1', 0.9742828882294757, 0.6637840270996094]
['BO', 55, 'CO', 231, 'make', 'pr', 'O1', 'O2', 0.978345604157644, 0.670659065246582]
['CO', 178, 'UO', 21, 'unexpand', 'sdiff', 'O1', 'O1', 0.9089481946624803, 0.09726333618164062]
['CO', 399, 'BO', 47, 'id', 'libvlc.so.12.0.0', 'O0', 'O0', 0.9774207555362571, 0.8997128009796143]
['CO', 95, 'BO', 28, 'sha224sum', 'ruby', 'O3', 'O0', 0.9909922113105316, 6.217827320098877]
['CO', 14, 'BO', 53, 'stty', 'bash', 'O3', 'O0', 0.9861968171484248, 4.128996133804321]
['BO', 61, 'UO', 29, 'git', 'as', 'O1', 'O2', 0.9901543374135179, 115.41688537597656]
['UO', 65, 'CO', 60, 'sdiff', 'base64', 'O3', 'O3', 0.9401197604790419, 0.09316515922546387]
['BO', 56, 'CO', 12, 'libvlc.so.12.0.0', 'ptx', 'O3', 'O3', 0.9920669898633759, 0.7918429374694824]
['CO', 205, 'UO', 48, 'rmdir', 'ranlib', 'O1', 'O3', 0.9748505462791177, 1.0753817558288574]
['BO', 50, 'CO', 391, 'perl', 'link', 'O2', 'O0', 0.9977496856178437, 2.5250840187072754]
['BO', 17, 'CO', 69, 'codeblocks', 'who', 'O2', 'O3', 0.9987644406004819, 4.464507818222046]
['CO', 46, 'BO', 71, 'whoami', 'libSDL2-2.0.so.0.16.0', 'O3', 'O0', 0.9902002556455048, 2.3393869400024414]
['BO', 30, 'CO', 164, 'libvlccore.so.9.0.0', 'base64', 'O2', 'O1', 0.9975164772184545, 2.403667688369751]
['CO', 395, 'UO', 14, 'csplit', 'ar', 'O0', 'O1', 0.9605114704776232, 2.0368824005126953]
['CO', 185, 'BO', 70, 'cat', 'diff', 'O1', 'O3', 0.9181184668989547, 0.20569944381713867]
['CO', 225, 'BO', 37, 'stdbuf', 'gvmap', 'O2', 'O2', 0.950354609929078, 0.28860974311828613]
['CO', 210, 'UO', 87, 'stat', 'find', 'O2', 'O0', 0.9702417854928704, 1.2656548023223877]
['CO', 18, 'BO', 54, 'uptime', 'lua', 'O3', 'O3', 0.9790058660080272, 0.973473310470581]
['CO', 6, 'UO', 55, 'mkdir', 'ar', 'O3', 'O3', 0.9733817301875378, 1.4181711673736572]
['CO', 237, 'UO', 45, 'nproc', 'strip', 'O2', 'O3', 0.9848512173128945, 0.9734315872192383]
['CO', 183, 'UO', 13, 'link', 'addr2line', 'O1', 'O1', 0.9730696402272249, 0.9106712341308594]
['UO', 20, 'CO', 379, 'diff', 'nohup', 'O1', 'O0', 0.9844559585492227, 0.21532845497131348]
['UO', 71, 'BO', 30, 'c++filt', 'libvlccore.so.9.0.0', 'O0', 'O2', 0.9736082474226804, 52.24782156944275]
['CO', 303, 'UO', 26, 'sha224sum', 'nm', 'O2', 'O2', 0.9727948990435706, 1.0206308364868164]
['BO', 74, 'CO', 171, 'dot', 'nohup', 'O1', 'O1', 0.9802631578947368, 0.033011674880981445]
['BO', 72, 'CO', 322, 'make', 'users', 'O2', 'O0', 0.9867021276595744, 0.48220252990722656]
['BO', 70, 'CO', 295, 'diff', 'id', 'O3', 'O2', 0.9793991416309012, 0.1915891170501709]
['CO', 260, 'UO', 8, 'sha256sum', 'c++filt', 'O2', 'O1', 0.9767195767195768, 1.0123028755187988]
['BO', 16, 'CO', 148, 'make', 'seq', 'O0', 'O1', 0.9779501837484688, 0.5673067569732666]
['CO', 45, 'UO', 72, 'split', 'strings', 'O3', 'O0', 0.9875673435557397, 2.937316417694092]
['UO', 20, 'BO', 26, 'diff', 'gvmap', 'O1', 'O3', 0.9500480307396734, 0.9347827434539795]
['CO', 395, 'BO', 69, 'csplit', 'cmp', 'O0', 'O3', 0.9417989417989419, 0.12113046646118164]
['UO', 64, 'CO', 93, 'diff', 'nl', 'O3', 'O3', 0.9734439834024896, 0.2097940444946289]
['CO', 407, 'UO', 87, 'sha224sum', 'find', 'O0', 'O0', 0.9747327502429544, 0.9963343143463135]
['BO', 46, 'CO', 150, 'ruby', 'whoami', 'O3', 'O1', 0.998497780812564, 4.60520601272583]
['BO', 25, 'UO', 53, 'dot', 'gprof', 'O3', 'O3', 0.9911894273127754, 0.4290320873260498]
['CO', 412, 'BO', 29, 'tac', 'libvlc.so.12.0.0', 'O0', 'O2', 0.982274741506647, 0.7441678047180176]
['CO', 341, 'BO', 71, 'nproc', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.9838504037399065, 2.9128804206848145]
['UO', 1, 'CO', 232, 'xargs', 'tee', 'O1', 'O2', 0.9592391304347826, 0.132232666015625]
['CO', 69, 'UO', 54, 'who', 'addr2line', 'O3', 'O3', 0.9759243336199485, 1.2759413719177246]
['BO', 66, 'CO', 306, 'svn', 'sleep', 'O2', 'O2', 0.9974863845831587, 0.4932584762573242]
['UO', 67, 'CO', 344, 'strip', 'expr', 'O0', 'O0', 0.9988340911740702, 2.6716229915618896]
['CO', 80, 'UO', 20, 'uname', 'diff', 'O3', 'O1', 0.9237588652482269, 0.18576812744140625]
['CO', 227, 'UO', 82, 'dd', 'cmp', 'O2', 'O0', 0.9276485788113695, 0.13839149475097656]
['BO', 40, 'UO', 50, 'lua', 'strings', 'O0', 'O3', 0.9685851024665603, 13.181077241897583]
['UO', 50, 'CO', 198, 'strings', 'rm', 'O3', 'O1', 0.9870914012075785, 1.832350492477417]
['CO', 83, 'BO', 11, 'csplit', 'ssh', 'O3', 'O1', 0.9777809839849949, 2.2495291233062744]
['BO', 47, 'CO', 301, 'libvlc.so.12.0.0', 'nl', 'O0', 'O2', 0.9954379562043796, 0.5515224933624268]
['UO', 21, 'BO', 11, 'sdiff', 'ssh', 'O1', 'O1', 0.9777199074074074, 2.2233922481536865]
['UO', 15, 'CO', 353, 'elfedit', 'echo', 'O1', 'O0', 0.9800399201596807, 0.08624029159545898]
['CO', 139, 'UO', 52, 'base32', 'ld', 'O1', 'O3', 0.977808988764045, 1.6517722606658936]
['CO', 353, 'UO', 13, 'echo', 'addr2line', 'O0', 'O1', 0.9706375838926175, 1.0221645832061768]
['BO', 63, 'CO', 157, 'cluster', 'chmod', 'O0', 'O1', 0.9660537482319661, 0.6780943870544434]
