['BO', 72, 'CO', 21, 'make', 'mktemp', 'O2', 'O3', 0.9794959419051688, 0.6032545566558838]
['BO', 76, 'CO', 340, 'openssl', 'factor', 'O2', 'O0', 0.9959275533169006, 5.289777994155884]
['UO', 76, 'CO', 66, 'addr2line', 'runcon', 'O0', 'O3', 0.9977201481903676, 1.3124163150787354]
['BO', 65, 'CO', 209, 'gvmap', 'touch', 'O0', 'O2', 0.9811587376354216, 0.6562819480895996]
['CO', 118, 'BO', 29, 'stty', 'libvlc.so.12.0.0', 'O1', 'O2', 0.9782716049382716, 0.7020473480224609]
['BO', 58, 'CO', 323, 'svn', 'groups', 'O1', 'O0', 0.9870077141697118, 0.7237694263458252]
['BO', 79, 'CO', 156, 'bash', 'sha256sum', 'O3', 'O1', 0.9957226875779719, 2.5356438159942627]
['BO', 51, 'CO', 57, 'lua', 'od', 'O1', 'O3', 0.9915397631133672, 1.122196912765503]
['BO', 82, 'UO', 34, 'cp', 'ld', 'O3', 'O2', 0.9609222352481438, 4.92824649810791]
['UO', 38, 'CO', 395, 'elfedit', 'csplit', 'O2', 'O0', 0.9787516600265604, 0.16302895545959473]
['BO', 65, 'CO', 400, 'gvmap', 'shred', 'O0', 'O0', 0.9720972097209721, 0.8328239917755127]
['UO', 49, 'CO', 237, 'c++filt', 'nproc', 'O3', 'O2', 0.9959559649516962, 0.7790365219116211]
['CO', 89, 'BO', 46, 'pathchk', 'ruby', 'O3', 'O3', 0.9920967467211719, 6.795272588729858]
['UO', 12, 'BO', 72, 'gprof', 'make', 'O1', 'O2', 0.9687906371911573, 7.012869119644165]
['UO', 16, 'CO', 293, 'size', '[', 'O1', 'O2', 0.9929489838241393, 1.0983412265777588]
['UO', 68, 'CO', 279, 'readelf', 'readlink', 'O0', 'O2', 0.9921956295525495, 0.8455939292907715]
['CO', 259, 'UO', 54, 'realpath', 'addr2line', 'O2', 'O3', 0.9734204793028323, 1.1120283603668213]
['BO', 83, 'CO', 270, 'lua', 'printf', 'O2', 'O2', 0.9912280701754386, 0.6959073543548584]
['CO', 27, 'BO', 83, 'wc', 'lua', 'O3', 'O2', 0.9597928723728297, 0.8855361938476562]
['CO', 289, 'BO', 55, 'cat', 'make', 'O2', 'O1', 0.9629277566539924, 0.35616350173950195]
['BO', 62, 'CO', 225, 'bash', 'stdbuf', 'O1', 'O2', 0.9973025048169557, 2.140439033508301]
['UO', 68, 'CO', 46, 'readelf', 'whoami', 'O0', 'O3', 0.9958082263557768, 0.7092380523681641]
['CO', 35, 'BO', 11, 'base32', 'ssh', 'O3', 'O1', 0.9805910895456551, 1.5992178916931152]
['BO', 59, 'CO', 84, 'libgeany.so.0.0.0', 'vdir', 'O3', 'O3', 0.9989894615273567, 18.980557203292847]
['CO', 192, 'UO', 31, 'shred', 'c++filt', 'O1', 'O2', 0.9597968683876428, 1.6551780700683594]
['BO', 81, 'CO', 65, 'sort', 'false', 'O3', 'O3', 0.9907149489322191, 0.1491382122039795]
['UO', 55, 'CO', 10, 'ar', 'users', 'O3', 'O3', 0.9967159277504105, 1.0331535339355469]
['CO', 150, 'UO', 53, 'whoami', 'gprof', 'O1', 'O3', 0.9799836601307189, 0.9230976104736328]
