['CV', 336, 'BV', 40, 'tr', 'lua', 'V1', 'V2', 0.9700680272108844, 0.5978565216064453]
['BV', 18, 'CV', 84, 'sort', 'rmdir', 'V3', 'V2', 0.97632058287796, 0.28601646423339844]
['BV', 20, 'UV', 18, 'sort', 'ar', 'V1', 'V2', 0.9679907443116081, 1.8368244171142578]
['CV', 66, 'BV', 32, 'link', 'perl', 'V2', 'V0', 0.9846736045411542, 1.4156169891357422]
['UV', 56, 'CV', 55, 'c++filt', 'nohup', 'V1', 'V2', 0.9970079076725796, 0.8088028430938721]
['BV', 27, 'CV', 328, 'libSDL2-2.0.so', 'uname', 'V1', 'V1', 0.9977662990367164, 0.791989803314209]
['BV', 0, 'CV', 241, 'bash', 'uname', 'V2', 'V0', 0.9989650175947009, 1.044874906539917]
['UV', 59, 'CV', 321, 'ld', 'hostid', 'V1', 'V1', 0.9985528219971056, 0.7445356845855713]
['CV', 58, 'UV', 61, 'readlink', 'addr2line', 'V2', 'V1', 0.974025974025974, 1.0380487442016602]
['BV', 23, 'CV', 200, 'diff', 'date', 'V3', 'V0', 0.9776247848537005, 0.33240628242492676]
['BV', 65, 'CV', 182, 'ssh', 'du', 'V1', 'V0', 0.9985000749962502, 4.051750183105469]
['CV', 113, 'UV', 41, 'date', 'cmp', 'V3', 'V3', 0.9597855227882037, 0.11519765853881836]
['UV', 10, 'CV', 268, 'as', 'dir', 'V2', 'V1', 0.9950974067862212, 3.425081253051758]
['CV', 129, 'UV', 65, 'dircolors', 'objdump', 'V3', 'V1', 0.9783767772511849, 1.746389389038086]
['BV', 61, 'CV', 311, 'cmp', 'cksum', 'V0', 'V1', 0.908745247148289, 0.020397424697875977]
['BV', 58, 'CV', 68, 'ruby', 'cat', 'V3', 'V2', 0.9891304347826086, 0.019871950149536133]
['UV', 55, 'CV', 0, 'ranlib', 'touch', 'V1', 'V2', 0.9972446368825034, 1.1277375221252441]
['UV', 41, 'BV', 12, 'cmp', 'sort', 'V3', 'V2', 0.8927038626609443, 0.16643285751342773]
['UV', 27, 'CV', 143, 'c++filt', 'yes', 'V3', 'V3', 0.9969244288224957, 0.840507984161377]
['BV', 23, 'CV', 4, 'diff', 'basename', 'V3', 'V2', 0.9801801801801802, 0.13917970657348633]
['CV', 279, 'BV', 27, 'pwd', 'libSDL2-2.0.so', 'V1', 'V1', 0.9847222222222223, 1.4193320274353027]
['CV', 201, 'UV', 77, 'expr', 'ranlib', 'V0', 'V0', 0.9635794008224007, 2.028587818145752]
['CV', 274, 'UV', 26, 'join', 'ranlib', 'V1', 'V3', 0.9763891715855892, 1.0664029121398926]
['CV', 254, 'BV', 25, 'uniq', 'git', 'V0', 'V3', 0.9941418889002418, 4.88314151763916]
['BV', 75, 'CV', 7, 'cmp', 'dir', 'V2', 'V2', 0.9023861171366594, 0.1732487678527832]
['CV', 47, 'BV', 63, 'od', 'ruby', 'V2', 'V0', 0.9899149070280492, 6.457852363586426]
['CV', 149, 'BV', 81, 'unexpand', 'dot', 'V3', 'V1', 1.0, 0.03306150436401367]
['UV', 28, 'BV', 27, 'strings', 'libSDL2-2.0.so', 'V3', 'V1', 0.9817447779533087, 25.83541250228882]
['UV', 27, 'CV', 113, 'c++filt', 'date', 'V3', 'V3', 0.9937304075235109, 1.617950201034546]
['CV', 122, 'UV', 46, 'sum', 'diff', 'V3', 'V1', 0.9189189189189189, 0.2726552486419678]
['UV', 35, 'CV', 241, 'size', 'uname', 'V3', 'V0', 0.9973492379058979, 0.526188850402832]
