['CO', 123, 'BO', 67, 'dd', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.9734893718652974, 3.8290786743164062]
['CO', 64, 'UO', 8, 'tty', 'c++filt', 'O3', 'O1', 0.9796264855687606, 0.908550500869751]
['BO', 36, 'UO', 43, 'cluster', 'find', 'O2', 'O2', 0.9305953517987902, 1.8024063110351562]
['UO', 60, 'CO', 207, 'xargs', 'ln', 'O3', 'O1', 0.9525691699604744, 0.2816805839538574]
['CO', 9, 'BO', 50, 'du', 'perl', 'O3', 'O2', 0.981840271117079, 7.73633599281311]
['CO', 7, 'BO', 33, 'fmt', 'sort', 'O3', 'O2', 0.9048543689320389, 0.18152189254760742]
['UO', 68, 'CO', 406, 'readelf', 'rm', 'O0', 'O0', 0.9937724550898204, 1.7542529106140137]
['UO', 44, 'CO', 33, 'nm', 'chown', 'O3', 'O3', 0.9889728405146008, 1.7207953929901123]
['UO', 21, 'BO', 62, 'sdiff', 'bash', 'O1', 'O1', 0.9773871733966746, 3.4036149978637695]
['UO', 60, 'CO', 322, 'xargs', 'users', 'O3', 'O0', 0.9623655913978495, 0.15610504150390625]
['CO', 176, 'UO', 61, 'head', 'find', 'O1', 'O3', 0.9646246764452114, 0.5824418067932129]
['CO', 146, 'UO', 18, 'sum', 'diff3', 'O1', 'O1', 0.861236802413273, 0.10149884223937988]
['UO', 39, 'CO', 255, 'size', 'numfmt', 'O2', 'O2', 0.9935979513444302, 1.1188182830810547]
['CO', 203, 'BO', 16, 'sort', 'make', 'O1', 'O0', 0.9575614685079151, 1.4346215724945068]
['CO', 360, 'UO', 51, 'ls', 'objcopy', 'O0', 'O3', 0.9667753454432542, 4.992529392242432]
['CO', 122, 'BO', 19, 'uptime', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.9894545105934235, 3.33522891998291]
['BO', 59, 'CO', 410, 'libgeany.so.0.0.0', 'sleep', 'O3', 'O0', 0.9992615566386058, 6.106517553329468]
['CO', 100, 'BO', 20, 'tac', 'sort', 'O3', 'O1', 0.9003623188405797, 0.21565914154052734]
['CO', 139, 'UO', 4, 'base32', 'strip', 'O1', 'O1', 0.9737885842386619, 1.2958815097808838]
['CO', 245, 'BO', 42, 'truncate', 'cmp', 'O2', 'O1', 0.8739495798319328, 0.05498623847961426]
['BO', 18, 'CO', 15, 'libvlc.so.12.0.0', 'join', 'O1', 'O3', 0.9886792452830189, 0.6848020553588867]
['UO', 0, 'CO', 31, 'locate', 'date', 'O1', 'O3', 0.9735876742479824, 0.3785231113433838]
['UO', 45, 'CO', 297, 'strip', 'pathchk', 'O3', 'O2', 0.9963853244171336, 0.8084137439727783]
['BO', 82, 'CO', 214, 'cp', 'mkdir', 'O3', 'O2', 0.9588550983899821, 0.1932530403137207]
['CO', 371, 'BO', 8, 'tsort', 'cp', 'O0', 'O0', 0.9097449313276651, 0.3200504779815674]
['CO', 94, 'UO', 73, 'rm', 'objcopy', 'O3', 'O0', 0.9834634818557648, 3.8494324684143066]
['CO', 186, 'UO', 35, 'shuf', 'gprof', 'O1', 'O2', 0.9705882352941176, 1.7663443088531494]
['BO', 59, 'CO', 49, 'libgeany.so.0.0.0', 'nice', 'O3', 'O3', 0.9997784506314157, 5.341232776641846]
['CO', 254, 'BO', 79, 'whoami', 'bash', 'O2', 'O3', 0.9897518878101402, 1.5419704914093018]
['UO', 49, 'CO', 143, 'c++filt', 'paste', 'O3', 'O1', 0.992880978865406, 0.9333255290985107]
['CO', 265, 'UO', 80, 'od', 'objdump', 'O2', 'O0', 0.9907604176291231, 3.803960084915161]
['UO', 72, 'CO', 227, 'strings', 'dd', 'O0', 'O2', 0.9939218124050283, 2.5990066528320312]
['CO', 153, 'UO', 61, 'nice', 'find', 'O1', 'O3', 0.9623824451410659, 0.4461207389831543]
['UO', 5, 'CO', 196, 'readelf', 'sha512sum', 'O1', 'O1', 0.9830028328611898, 0.630748987197876]
['BO', 70, 'CO', 39, 'diff', 'paste', 'O3', 'O3', 0.9713080168776371, 0.19649147987365723]
['UO', 65, 'CO', 57, 'sdiff', 'od', 'O3', 'O3', 0.9279711884753902, 0.14644765853881836]
['CO', 231, 'BO', 33, 'pr', 'sort', 'O2', 'O2', 0.8951048951048951, 0.26381492614746094]
['UO', 70, 'CO', 335, 'ranlib', 'pr', 'O0', 'O0', 0.997128687026886, 3.0703070163726807]
['UO', 74, 'CO', 330, 'ld', 'uptime', 'O0', 'O0', 0.9980372914622179, 2.9767608642578125]
['CO', 298, 'UO', 3, 'tr', 'nm', 'O2', 'O1', 0.9746317512274959, 1.0986688137054443]
['BO', 68, 'CO', 214, 'git', 'mkdir', 'O3', 'O2', 0.9990488543017726, 4.8254783153533936]
['BO', 27, 'UO', 29, 'perl', 'as', 'O3', 'O2', 0.9850057670126874, 78.28351068496704]
['CO', 156, 'BO', 43, 'sha256sum', 'diff', 'O1', 'O1', 0.8868894601542416, 0.22384881973266602]
['BO', 65, 'CO', 343, 'gvmap', 'date', 'O0', 'O0', 0.9704433497536946, 0.8111910820007324]
['CO', 124, 'BO', 48, 'mkfifo', 'libvlccore.so.9.0.0', 'O1', 'O0', 0.995251115268384, 4.146324872970581]
['CO', 36, 'UO', 2, 'pinky', 'find', 'O3', 'O1', 0.9650264335095567, 0.6213076114654541]
['CO', 395, 'UO', 28, 'csplit', 'readelf', 'O0', 'O2', 0.9578947368421052, 0.9507780075073242]
['UO', 66, 'CO', 142, 'nm', 'sha1sum', 'O0', 'O1', 0.9947273484112669, 1.7222325801849365]
['UO', 31, 'CO', 196, 'c++filt', 'sha512sum', 'O2', 'O1', 0.9938997821350762, 1.061474084854126]
['CO', 129, 'BO', 51, 'chgrp', 'lua', 'O1', 'O1', 0.9460976979225154, 1.199634075164795]
['CO', 129, 'UO', 38, 'chgrp', 'elfedit', 'O1', 'O2', 0.9701897018970189, 0.14516091346740723]
